complexity,loss,equation,score,sympy_format,lambda_format,run,equation_index,equation_string
1,0.66034347,3.790476,0.0,3.79047600000000,PySRFunction(X=>3.79047600000000),5,0,3.79047600000000
3,0.66034305,3.7407932 + 0.04913633,3.180164207459029e-07,0.04913633 + 3.7407932,PySRFunction(X=>0.04913633 + 3.7407932),5,1,0.04913633 + 3.7407932
4,0.6149263,sin(x2) + 3.7982388,0.07125704948562042,sin(x2) + 3.7982388,PySRFunction(X=>sin(x2) + 3.7982388),5,2,sin(x2) + 3.7982388
5,0.5034207,(x2 * 0.39640146) + 3.7982388,0.20007622098986685,x2*0.39640146 + 3.7982388,PySRFunction(X=>x2*0.39640146 + 3.7982388),5,3,x2*0.39640146 + 3.7982388
6,0.5030269,sin(x2 * 0.41899788) + 3.7982388,0.0007825544421719682,sin(x2*0.41899788) + 3.7982388,PySRFunction(X=>sin(x2*0.41899788) + 3.7982388),5,4,sin(x2*0.41899788) + 3.7982388
7,0.50291866,sin(sin(x2 * 0.44991872)) + 3.7982388,0.00021520051327194307,sin(sin(x2*0.44991872)) + 3.7982388,PySRFunction(X=>sin(sin(x2*0.44991872)) + 3.7982388),5,5,sin(sin(x2*0.44991872)) + 3.7982388
8,0.50268924,sin(0.44475973 * (x2 - -0.18612626)) + 3.7407932,0.000456281228459408,sin(0.44475973*(x2 - 1*(-0.18612626))) + 3.7407932,PySRFunction(X=>sin(0.44475973*(x2 - 1*(-0.18612626))) + 3.7407932),5,6,sin(0.44475973*(x2 - 1*(-0.18612626))) + 3.7407932
9,0.47567126,((x2 - (x8 / -1.8446679)) * 0.34479758) + 3.7791913,0.055245180668912715,(x2 - x8/(-1.8446679))*0.34479758 + 3.7791913,PySRFunction(X=>(x2 - x8/(-1.8446679))*0.34479758 + 3.7791913),5,7,(x2 - x8/(-1.8446679))*0.34479758 + 3.7791913
10,0.46798837,((x2 - sin(x9 / -0.49630523)) * 0.37631077) + 3.7407932,0.016283540202867014,(x2 - sin(x9/(-0.49630523)))*0.37631077 + 3.7407932,PySRFunction(X=>(x2 - sin(x9/(-0.49630523)))*0.37631077 + 3.7407932),5,8,(x2 - sin(x9/(-0.49630523)))*0.37631077 + 3.7407932
12,0.4677877,(((x2 * 1.093324) - sin(x9 / -0.49630523)) * 0.34479758) + 3.7407932,0.00021444233242250607,(x2*1.093324 - sin(x9/(-0.49630523)))*0.34479758 + 3.7407932,PySRFunction(X=>(x2*1.093324 - sin(x9/(-0.49630523)))*0.34479758 + 3.7407932),5,9,(x2*1.093324 - sin(x9/(-0.49630523)))*0.34479758 + 3.7407932
