run,fold,equation_index,equation,nan_count_train,nan_count_test_int,nan_count_test_ext,nan_count_synthetic
14,,16,0.30292413*x2 + log(7.63914786142377*exp(0.0809367891388041*x4 + 0.0809367891388041*x9 + 0.0809367891388041*(x6 + exp(x8))*exp(0.8219367/x9) - 0.0107300070467261/cos(x1))) + 1.6808059,0,0,0,6
14,,17,0.30292413*x2 + log(7.74883661699661*exp(0.0809367891388041*x4 + 0.0809367891388041*x9 + 0.0809367891388041*(exp(x8) + cos(2.53923821330058*x6))*exp(0.8219367/x9) - 0.0107300070467261/cos(x1))) + 1.6808059,0,0,0,6
14,,18,0.3447795*x2 + log(7.63914786142377*exp(0.0809367891388041*x4 + 0.0809367891388041*x9 + 0.0809367891388041*(exp(x8) + cos(x6/cos(x3)))*exp(0.8219367/x9) - 0.0107300070467261/cos(x1))) + 1.6808059,0,0,0,6
14,,22,log(7.75435514715823*exp(0.3447795*x2)) + log(5.46533854413675*exp(0.0929055824495323*x0 + 0.0245799479554712*x4*exp(-x1/(x5 + 0.36712164)) + 0.13257268*x9 + 0.13257268*exp(cos(x4)/x9) - 0.0114210934075351*exp(-x1 - x4 - 0.553460829307921*x7 + sin(exp(exp(x4*x9))) - 0.7349438/x5) + 0.13257268*sin(x3))),0,0,0,6
14,,23,log(7.75435514715823*exp(0.3447795*x2)) + log(5.46533816156306*exp(0.0929055824495323*x0 + 0.0245799479554712*x4*exp(-x1/(x5 + 0.461679893157762)) + 0.13257268*x9 + 0.13257268*exp(cos(x4)/x9) - 0.0114210934075351*exp(-x1 - x4 - 0.553460829307921*x7 + sin(exp(exp(x4*x9))) - 0.7349438/x5) + 0.13257268*sin(x3))),0,0,0,9
14,,24,0.3447795*x2 + log(5.46533816156306*exp(0.0929055824495323*x0 + 0.13257268*x9 + 0.0245799479554712*(x4 + 0.6774803)*exp(-x1/(x5 + 0.36712164)) + 0.13257268*exp(cos(x4)/x9) - 0.0114210934075351*exp(-x1 - x4 - 0.553460829307921*x7 + sin(exp(exp(x4*x9))) - 0.7349438/x5) + 0.13257268*sin(x3))) + 2.04825464,0,0,0,6
14,,40,log(7.67136278919233*exp(0.0862041771994853*x0 + 0.0862041771994853*x3 + 0.13257268*x9 + 0.13257268*exp(-0.247866994692143*exp(x2)*exp(-1.0643948*x1 - 1.0643948*x4*(-3.9484465*x1*x2 + 0.999999219316499/(-0.0411543 + 1.5378916/x7)) - 1.0643948*x4 - 1.0643948*exp(1.5602757/x8)) + 0.62235624/(x9*cos(x5))) - 0.00993808908440595*exp(-x1 - x4 - 0.5788835*x5 - x7 + sin(exp(exp(x4*x9)))) + 0.00286674646865701*exp(-x2)*exp(2*x4 + sin(x4)))) + log(7.79970521474529*exp(sin(0.35200387*x2))) - 0.34600782,0,0,0,10
14,,41,log(7.67136278919233*exp(0.0862041771994853*x0 + 0.0862041771994853*x3 + 0.13257268*x9 + 0.13257268*exp(-0.247866994692143*exp(x2)*exp(-x1 - x4*(-3.9484465*x1*x2 + 0.650240380607124*x7) - 1.0643948*x4 + x5*x6 - exp(1.5602757/x8)) + 0.62235624/(x9*cos(x5))) - 0.00993808908440595*exp(-x1 - x4 - 0.5788835*x5 - x7 + sin(exp(exp(x4*x9)))) + 0.00286674646865701*exp(-x2)*exp(2*x4 + sin(x4)))) + sin(0.35200387*x2) + 1.70807812,0,0,0,11
14,,46,log(7.67136278919233*exp(0.0862041771994853*x0 + 0.0862041771994853*x3 + 0.13257268*exp(-0.694571491429855*exp(x2)*exp(-x4*(x0/(-x4 + x7 + 1.2308447) - 3.9484465*x1*x2) - x4 + x5*x6 - exp(x5 + 1.5602757/x8) - 1.0643948*cos(x4)) + 0.62235624/(x9*cos(x5))) - 0.00993808908440595*exp(-x1 - x4 - 0.5788835*x5 - x7/(0.880790340824649*exp(x2/x9 - x3 + exp(x6)) + 0.89152646) + sin(exp(exp(x4*x9)))) + 0.13257268*sin(x9) + 0.00608009823006036*exp(-(x1 + 0.7518431)/x5)*exp(x4 + sin(x4 + 0.093540974)))) + sin(0.35200387*x2) + 1.68080586,0,0,0,9
14,,49,log(7.67136278919233*exp(0.0862041771994853*x0 + 0.0862041771994853*x3 + 0.13257268*exp(-0.694571409930091*exp(x2)*exp(-x4*(x0/(-x4 + x7 + 1.2308447) - 3.9484465*x1*sin(x2)) - x4 + x5*x6 - exp(x5 + 1.5602757/x8) - cos(x4)) + 0.62235624/(x9*cos(x5))) - 0.00993808908440595*exp(-x1 - x4 - 0.5788835*x5 - x7/(1.13534396740062*exp(x2/x9 - x3 + x6 + exp(x6) - cos(0.3829797*x5**2*exp(-2*x3*x9 - 2*x5))) + 0.89152646) + sin(exp(exp(x4*x9)))) + 0.13257268*sin(x9) + 0.00608009823006036*exp(-(x1 + 0.7518431)/x5)*exp(x4 + sin(x4 + 0.093540974)))) + log(7.75435514715823*exp(sin(0.35200387*x2))) - 0.36744878,0,0,0,10
