complexity,loss,equation,score,sympy_format,lambda_format,run,equation_index,equation_string
1,226.77126,86.473595,0.0,86.4735950000000,PySRFunction(X=>86.4735950000000),13,0,86.4735950000000
3,211.02496,87.15049 + x11,0.03598271196425448,x11 + 87.15049,PySRFunction(X=>x11 + 87.15049),13,1,x11 + 87.15049
4,125.30109,88.15049 * cos(x9),0.5212568593324722,88.15049*cos(x9),PySRFunction(X=>88.15049*cos(x9)),13,2,88.15049*cos(x9)
5,108.415665,square(cos(x9)) * 87.15049,0.14474697135135467,cos(x9)**2*87.15049,PySRFunction(X=>cos(x9)**2*87.15049),13,3,cos(x9)**2*87.15049
6,63.26066,87.15049 + (x11 / exp(x11)),0.5387089386787582,x11/exp(x11) + 87.15049,PySRFunction(X=>x11/exp(x11) + 87.15049),13,4,x11/exp(x11) + 87.15049
8,53.103447,(87.15049 + (x11 / exp(x11))) - x5,0.08751090478047653,x11/exp(x11) - x5 + 87.15049,PySRFunction(X=>x11/exp(x11) - x5 + 87.15049),13,5,x11/exp(x11) - x5 + 87.15049
10,44.583324,(87.15049 - (x5 - (x11 / exp(x11)))) - x5,0.08744097681651831,-x5 - (-x11/exp(x11) + x5) + 87.15049,PySRFunction(X=>-x5 - (-x11/exp(x11) + x5) + 87.15049),13,6,-x5 - (-x11/exp(x11) + x5) + 87.15049
12,39.883377,((87.15049 + x11) - (x5 - (x11 / exp(x11)))) - x5,0.05570013360825409,x11 - x5 - (-x11/exp(x11) + x5) + 87.15049,PySRFunction(X=>x11 - x5 - (-x11/exp(x11) + x5) + 87.15049),13,7,x11 - x5 - (-x11/exp(x11) + x5) + 87.15049
13,38.910862,87.15049 + ((exp(x11) - (x5 - (x11 / exp(x11)))) - x5),0.024686180106610854,-x5 - (-x11/exp(x11) + x5) + exp(x11) + 87.15049,PySRFunction(X=>-x5 - (-x11/exp(x11) + x5) + exp(x11) + 87.15049),13,8,-x5 - (-x11/exp(x11) + x5) + exp(x11) + 87.15049
14,35.732788,87.15049 + ((exp(x11) - (x5 - (x11 / exp(x11)))) - square(x5)),0.08520474178096199,-x5**2 - (-x11/exp(x11) + x5) + exp(x11) + 87.15049,PySRFunction(X=>-x5**2 - (-x11/exp(x11) + x5) + exp(x11) + 87.15049),13,9,-x5**2 - (-x11/exp(x11) + x5) + exp(x11) + 87.15049
15,32.64755,87.15049 + (((exp(x11) - (x5 - (x11 / exp(x11)))) - x5) - x5),0.09029888403602085,-x5 - x5 - (-x11/exp(x11) + x5) + exp(x11) + 87.15049,PySRFunction(X=>-x5 - x5 - (-x11/exp(x11) + x5) + exp(x11) + 87.15049),13,10,-x5 - x5 - (-x11/exp(x11) + x5) + exp(x11) + 87.15049
16,30.523659,((((x11 - (x5 - (x11 / exp(x11)))) - x5) + x11) + 87.15049) - x5,0.06726772679425451,x11 + x11 - x5 - x5 - (-x11/exp(x11) + x5) + 87.15049,PySRFunction(X=>x11 + x11 - x5 - x5 - (-x11/exp(x11) + x5) + 87.15049),13,11,x11 + x11 - x5 - x5 - (-x11/exp(x11) + x5) + 87.15049
