run,fold,equation_index,equation,nan_count_train,nan_count_test_int,nan_count_test_ext,nan_count_synthetic
27,,26,-0.938646566448308*x11**4 - 3.71039724098844*x2 - 4.71039724098844*x5 - x6 - x7 - log(x8 + 0.89041984) + sin(x10) - cos(x10) - cos(x5) + 88.89468,0,0,0,46
27,,28,-x0 - 0.94234721406849*x11**4 - 3.63926341504555*x2 - 4.63926341504555*x5 - x6 - x7 - log(x8 + 0.85738486) + sin(0.683732539693067*x10) - cos(x10) - cos(x5) + 88.56446,0,0,0,53
27,,29,-x0 - 0.939641225491865*x11**4 - 3.63926341504555*x2 - 4.63926341504555*x5 - x6 - x7 - log(x8 + 0.85738486) + sin(1.4625602*x10 - x11**2) - cos(x5) + 88.56446,0,0,0,53
27,,30,-x0 - 0.94234721406849*x11**4 - 3.36486504098844*x2 - 4.71039724098844*x5 - x6 - x7 - log(x8 + 0.89041984) + sin(1.2975144*x10 - x11**2) - cos(x5) + 88.5261179,0,0,0,46
27,,31,-x0 - 0.94234721406849*x11**4 - 3.71039724098844*x2 - 4.63926341504555*x5 - x6 - x7 - log(x8 + 0.85738486) + sin(1.4625602*x10 - x11**2) - cos(x5) - cos(x2 - x3 + x9 + 1.7034229) + 88.56446,0,0,0,53
27,,32,x10 - 0.91897013481849*x11**4 - 3.05129373883404*x2 - 4.65679729883404*x5 - x6 - x7 - log(x8 + 0.73760444) - sin(x0) - cos(x5 + sin(x4 + x9)) + 87.3844412493933,0,0,0,91
27,,33,-x0 - 0.94234721406849*x11**4 - 3.63926341504555*x2 - 4.63926341504555*x5 - x6 - x7 - log(x8 + 0.85738486) + sin(1.4625602*x10 - x11**2) - cos(x5) - cos(x2 - x3 - x7 + x9 + 1.068312) + 88.56446,0,0,0,53
27,,34,-x0 - 0.94234721406849*x11**4 - 3.63926341504555*x2 - 4.63926341504555*x5 - x6 - x7 - log(x8 + 0.85738486) + sin(1.4625602*x10 - x11**2) - cos(x5) - cos(x2 - x3 + x9 - cos(x10) + 2.1758916) + 88.56446,0,0,0,53
27,,35,-x0 - 0.939641225491865*x11**4 - 3.63926341504555*x2 - 4.63926341504555*x5 - x6 - x7 - log(x8 + 0.85738486) + sin(1.4625602*x10 - x11**2) - cos(x5) - cos(x2 - x3 + x9 - cos(x10) + 2.17589157) + 88.56446,0,0,0,53
27,,36,-x0 - 0.94234721406849*x11**4 - 3.63926341504555*x2 - 4.63926341504555*x5 - x6 - x7 - log(x8 + 0.85738486) + sin(1.4625602*x10 - x11**2) - cos(x5) - cos(x2 - cos(x10) + 1.87982058 + 0.46912184/(0.9028032*x11 + 0.9028032*x9)) + 88.56446,0,0,0,53
27,,37,-x0 - 0.94234721406849*x11**4 - 3.63926341504555*x2 - 4.63926341504555*x5 - x6 - x7 - log(x8 + 0.85738486) + sin(1.4625602*x10 - x11**2) - cos(x5) - cos(x2 - cos(x10) + 2.10766558 + 0.46912184/(0.9028032*x11 + 0.9028032*x9)) + 88.56446,0,0,0,53
27,,38,-x0 - 0.94234721406849*x11**4 - 3.63926341504555*x2 - 4.63926341504555*x5 - x6 - x7 - log(x8 + 0.85738486) + sin(1.4625602*x10 - x11**2) - cos(x5) - cos(x2 - x3 - cos(x10) + 2.10766558 + 0.46912184/(x11 + 0.9028032*x9)) + 88.56446,0,0,0,53
