Run,Equation_Index,RMSE_Train,RMSE_Test_Interpolation,RMSE_Test_Extrapolation
1,0,22.06664358102765,20.51406863047819,38.699578680249694
1,1,21.29640166939124,19.94844018162449,38.30477783006832
1,2,12.72329918609762,11.820778120343164,19.213899371357094
1,3,12.181827486357955,11.436489436677967,18.05932238805843
1,4,10.54137560445798,10.424063992263111,15.480779803420608
1,5,9.284960500260286,12.488094238773584,14.201501794016925
1,6,9.178777903484734,10.148979712353713,11.371704336025777
1,7,8.098705381048823,11.890358945586035,19.80221727856794
1,8,7.3414293627900715,10.778866332547533,16.158587023146165
1,9,7.17897074683372,10.452528114743776,17.1335740015381
1,10,6.903012189116955,10.901506348515957,16.294177292574457
1,11,6.892614131751866,10.556083866367256,17.86344447876315
1,12,6.3245846214678085,10.658612219545013,16.747573230862177
1,13,6.245837327789811,10.720727054990572,17.539242774440012
1,14,6.231547125012117,10.78157774905773,19.078972448187464
1,15,6.133189704157362,10.429354919799849,18.886796297924334
1,16,6.127456636972277,10.353639626450413,18.33362333425133
1,17,6.106576215216866,10.949198411294013,19.1573429391674
1,18,6.090757578951017,10.473309346984585,17.469827682710342
1,19,6.05529898404688,11.501978755834728,17.98978558083611
1,20,5.997135941531462,11.526249462249613,18.387862862768763
1,21,5.946218125517267,11.488418806065855,18.131656604343007
1,22,5.894252406209986,10.833132460797634,18.68094327516863
1,23,5.836436566023408,10.208165737227098,20.4508312249458
1,24,5.476244405128094,11.495516209707144,30.41968504476164
1,25,5.458572137668254,11.506073240115887,30.431142593303747
1,26,5.440775787428003,11.991890974950081,31.254451943032727
1,27,5.297862712418428,11.460244657933972,29.055787103236288
1,28,5.253040504058493,9.993871164194257,27.678012870223856
1,29,5.251474878114894,9.98680159543912,27.678920244300745
1,30,5.18123574848509,11.88736405948379,31.213839055461566
1,31,5.180484553865407,10.371956861057022,27.063196010699397
1,32,5.145138411592529,10.959409367848462,26.98648352895672
1,33,5.102375762135627,10.028216449510474,24.67505516147623
1,34,5.098022603056948,10.465951029797147,28.5869758156444
1,35,5.003430088858182,9.97319328780637,24.538065645614125
1,36,4.861145438740135,11.073633782515193,29.01064748458256
1,37,4.79580476259851,10.897977515251837,29.501864853624788
1,38,4.727053733877734,10.905600091736126,27.921423380167358
1,39,4.693238543236184,10.999078099915144,27.94912358858932
1,40,4.627616508828025,10.74715811921643,26.095338259589134
1,41,4.550398126030961,10.593786803620468,26.51834309325121
1,42,4.490030796852044,10.718464726063038,26.60596412277176
1,43,4.488769380296658,10.686176080022733,26.553536308346448
1,44,4.475108485484629,10.171680426549548,48.86455779929077
1,45,4.465178401965983,10.312842360435623,37.65781777148876
