Run,Equation_Index,RMSE_Train,RMSE_Test_Interpolation,RMSE_Test_Extrapolation
1,0,4.062669388195234,3.6179906613920587,5.428132677047866
1,1,3.3373065377020756,2.6253231966181825,3.7784440408225004
1,2,2.9164638356630777,2.592227668649247,4.057787394881336
1,3,2.8852259770399975,2.443590990368039,3.915716175506494
1,4,2.6915541030655894,2.54047538222221,3.8750553434067396
1,5,2.6905527624762655,2.1600040096187825,3.8315956090110626
1,6,2.5686854896381233,2.1410840527790214,3.4048977675269105
1,7,2.4587997150622876,2.174188805297843,3.5573756865453863
1,8,2.409273182834233,2.122275454326929,3.657989845652808
1,9,2.234548023895016,1.918292462203378,3.436396884813659
1,10,2.0772079247209283,1.9091056093025827,3.231988987313555
1,11,2.039102830130962,1.956219158937962,3.2993875885804638
1,12,2.008406857715105,1.884738529547957,2.725487835291589
1,13,1.9349783573947767,1.961377525366177,3.0888157849311377
1,14,1.8269757742981874,2.01571201391514,2.810115968186594
1,15,1.820801886829093,1.969817108177724,2.8313260254986248
1,16,1.8199076757896973,1.974379212567164,2.8358897092426636
1,17,1.8184480027894236,1.8730324370814229,3.068505179926489
1,18,1.74813421312702,1.9267236111523305,2.8277624358824203
1,19,1.7242805311095923,1.921633849074162,2.875775551527886
1,20,1.6465469364875962,1.7973506492382012,2.748424515787318
1,21,1.5486300126532775,1.6208204547305745,2.2789311054813948
1,22,1.5383906968759435,1.62309419843088,2.1835657059628444
1,23,1.5068834675868599,1.5431804357168406,2.1938985267643933
1,24,1.4911880718951291,1.5385657687878191,2.3402934170595127
1,25,1.4294267684943132,1.579940682322562,2.177393015350514
1,26,1.4147409737570293,1.5751539453283394,2.2117369672042755
1,27,1.407132483609662,1.5963165949282823,2.1543310446673662
1,28,1.403652946572122,1.661323611338955,2.178208653549453
1,29,1.4034282459923328,1.580211625682516,2.31369857461078
1,30,1.3965217307262414,1.6964525432520001,2.3562010802734257
1,31,1.3563657706417005,1.6940871958501134,2.4473102366689052
1,32,1.3562080012282411,1.6774724664548142,2.496959457200262
1,33,1.302616221274226,1.7400966895052181,2.4096123286880857
1,34,1.2936673710613593,1.7720923518131746,2.6604655995377313
1,35,1.2769607257013285,1.836730687076947,2.661245727672373
1,36,1.2767773192721843,1.7099236831100517,2.654220859828649
1,37,1.2645265066372748,1.8349028021388045,2.64980870003622
1,38,1.2379738625996937,1.8340825531298026,2.722701370360732
1,39,1.2361595032728454,1.8384227121083374,2.6581083595491846
1,40,1.2348272494290145,1.807382391996252,2.671342685416244
1,41,1.2320005354563919,1.809459478212103,2.6334029194435136
1,42,1.2315603288815318,1.8363960974426554,2.627066323845045
1,43,1.2218872629175115,1.7969108034427603,2.4774470023899404
1,44,1.2196573169599279,1.824394004092495,2.5382532612726796
1,45,1.2193991105480992,1.8252201931632956,2.5431072589021646
1,46,1.2163931944469488,1.8207604657795258,2.552393502642168
1,47,1.215548310063636,1.780532683633339,2.523354894448722
1,48,1.214973964191451,1.7925242048952277,2.6870632123913984
1,49,1.2121308202105034,1.7901258753240858,2.607259542203073
1,50,1.2050895153310675,1.8454847996372807,2.601574336136607
1,51,1.1960777147053114,1.707117301225004,2.6259016097379706
1,52,1.1934495173670574,1.7259720948879063,2.6012378935681055
1,53,1.192598536676275,1.7216053626041852,2.5832077678436423
1,54,1.1724804250975842,1.82907729593782,2.6476289010090537
1,55,1.167740926929289,1.8423210372926255,2.634866814943521
1,56,1.1673183201442605,1.7992529848621028,2.589828735955544
1,57,1.1644244795260796,1.7457726544307555,2.6430585603299552
1,58,1.1558187304639829,1.692320496289563,2.585073061992369
1,59,1.1545435289382768,1.6764452332227517,2.57813354080016
2,0,3.8628838393480245,4.402352273491774,5.428132677047866
2,1,3.275917273640768,3.6750915060957063,4.6748770300414995
2,2,2.8216268742673005,3.003574997534871,4.115094539582269
2,3,2.8209914514741654,2.9920917426421414,4.103772248948025
2,4,2.5972423116929173,2.617195084020474,3.819028747831402
2,5,2.4861960016784743,2.8048108081775993,3.9687508392835156
2,6,2.297380120122065,2.568343231191514,3.657989845652808
2,7,2.186484421106518,2.358333416943312,3.484172763936153
2,8,2.169273113012154,2.3608526225300484,3.4996054905381033
2,9,2.092961402440462,2.1728098831064955,3.5034436416595516
2,10,2.0736030257745997,2.1760732654219055,3.520964348453352
2,11,2.0349529521086263,1.9493108270727537,2.7440091149651713
2,12,1.9189725688197456,2.091348774001501,2.7871943288319443
2,13,1.8286252153969016,1.809991968649345,2.3300524211368687
2,14,1.7408796039457266,1.6873331122815105,2.474886440750323
2,15,1.7282372477352326,1.633084472452301,2.430091709444817
2,16,1.630891348227859,1.7089242822754342,1.9635956295598957
2,17,1.5546828823818302,1.6071455472100733,2.0194704526181173
2,18,1.509742149668061,1.616198591760061,2.119464493531224
2,19,1.475119619948632,1.5156883657284217,2.11672922803343
2,20,1.4467613435611364,1.5120431472758533,2.0279139704386826
2,21,1.4425616864816357,1.460181581194913,2.0947258176431625
2,22,1.4183685367265404,1.4854108868563887,2.1461657485998087
2,23,1.4105506695139278,1.4802303329369118,2.148398052170522
2,24,1.348160459762564,1.4867956354038403,2.0416870852122346
2,25,1.3438210244240432,1.4824731315767115,2.0141938072249905
2,26,1.3318396833381432,1.510707187583323,2.037535880267616
2,27,1.324481313304576,1.4168916338416386,2.0525668131888954
2,28,1.3239557618124964,1.4200360503285923,2.061012530950957
2,29,1.2907670342644442,1.6379008590922497,1.9909579329071463
2,30,1.2791628236923758,1.5552512323168328,1.972298101561543
2,31,1.2734795467751383,1.563666861497328,2.008220536518798
2,32,1.2726361660602126,1.5616854680715795,2.0214049303039285
2,33,1.2547928198127307,1.5839355238479393,1.9654585147533024
2,34,1.2460898216595662,1.6096988837713817,1.973739051003803
2,35,1.2458129219950707,1.6078500503491122,1.9651715450382514
2,36,1.242009324933785,1.6030900434620483,2.1788304149402307
2,37,1.2371724008769815,1.6262951315209242,2.149781823375088
2,38,1.233534414898948,1.5930983696077023,2.1627457608761698
2,39,1.2246971084478595,1.5834609896331606,2.091445170535721
2,40,1.2208574188493433,1.5507006346413097,2.087125382113041
2,41,1.21889550354654,1.5556212338693407,2.101068098239209
2,42,1.211425391695699,1.7059296690288603,2.095352487703513
2,43,1.2080689698096305,1.5861181079856344,2.0721534650878337
2,44,1.1959590739567543,1.722816795400879,2.1328387738838823
2,45,1.1912060041037478,1.7119029203034546,2.139880969440409
2,46,1.1912060072355102,1.7119028149597841,2.139880979807775
2,47,1.1894481962430565,1.7470173877204183,2.1619841711179437
2,48,1.1882554610659857,1.7204526899287167,2.1895828220352347
2,49,1.179938691348515,1.6815067983344312,2.1856517047054904
2,50,1.1767680150319753,1.6865770560657882,2.3081487646332697
2,51,1.1714553392094247,1.6620986165301754,2.310752931588248
2,52,1.1535256508975584,1.7525740843938662,2.162153386200801
2,53,1.1501922394999653,1.7483786788983875,2.1233518253426675
2,54,1.1499873527071678,1.7533592822406534,2.1347239399681963
2,55,1.1499866679204251,1.75334559823948,2.1346918271800646
2,56,1.1476697998445637,1.868570294127568,2.092321356314847
2,57,1.1469306004880717,1.9095466715933385,2.0998939255004383
2,58,1.136521278474353,1.92951970535463,2.1061001650318523
2,59,1.135995241334747,1.919319925937171,2.084388575277857
2,60,1.1359736561692668,1.9184256046943644,2.0849342094012524
2,61,1.1352856413864956,1.9325815812448903,2.1026356749216237
2,62,1.1341539476072884,1.9422189746399277,2.092770351260735
2,63,1.132970148032663,1.9586815599515623,2.1144214754293778
2,64,1.1321476759688087,1.8701808963006865,2.087533525747868
2,65,1.1309707342485542,1.8577229782037028,2.087490958466362
3,0,3.932591915742291,4.149911053802748,5.428132677047866
3,1,3.22574352404309,3.2969039711640438,3.7427596507479652
3,2,3.2241713162574444,3.2916343451923993,3.718030727624574
3,3,2.8690739995850865,2.80427115787326,4.103503364310996
3,4,2.8363226370241237,3.104438133768906,3.4185071956992776
3,5,2.614415600773508,2.8479949536890823,3.9227439196891125
3,6,2.535720866387206,2.9161394750921175,3.9397348795384017
3,7,2.29721212622539,3.144998353099379,3.67046744665452
3,8,2.275826848859278,2.9907262335253955,3.657457326358329
3,9,2.1967024634854244,3.0770896887634347,3.2191546973421357
3,10,2.183552956969586,3.074388377956469,3.2916568899879346
3,11,2.085395597532817,2.6395200663466385,3.3936991465023407
3,12,2.018662713551536,3.048720565223602,2.6112572278295705
3,13,1.9770044220804277,2.321625934008169,3.202810241916497
3,14,1.9621439850109577,2.2740013929978806,3.123815375459424
3,15,1.9118829007127636,2.9626370463184606,2.6049753874142
3,16,1.898706093156052,2.430304434496591,3.0306952727080274
3,17,1.8282593629913821,2.5441746567458496,2.435053825746657
3,18,1.8214798204811544,2.0661708374695835,2.763619072251016
3,19,1.7006257765535366,2.17819904920674,2.6100311484072796
3,20,1.6730620713489885,2.209269808406196,2.4904356888104924
3,21,1.6604978973148867,2.161202154611039,2.516936908984485
