Run,Equation_Index,Complexity,Constant_Num,Total_Symbols,Distinct_Symbols,MSE_Train,MSE_Test_Interpolation,MSE_Test_Extrapolation,Sigma_Train,Log_likelihood_Train,AIC_Train,BIC_Train,MDL_Train,PSM_Train,Sensitivity_Interpolation_SVP,Sensitivity_Extrapolation_SVP,Sensitivity_Interpolation_MVP,Sensitivity_Extrapolation_MVP,Extrapolation_Divergence
20,0,1,0,1,1,14.594246415833906,20.682351368241115,29.46462435963484,3.7939339639741427,-405.61712646484375,811.2342529296875,811.23425,407.9199398833653,0.0,0.0009222161575290894,0.0013183089127929116,0.0009222161575290894,0.0013183089127929116,1.0417400364512468
20,1,3,0,4,4,10.211305515206641,15.573548520720161,21.854475246009628,3.160760615741417,-379.37860107421875,758.7572021484375,758.7572,387.23257655806225,0.17856581859327275,0.0009125250217853469,0.0012018146477615348,0.0018250500435706936,0.0024036292955230704,1.0666791136538645
20,2,5,1,6,6,7.0859659611482355,12.320205529195785,16.584006534983455,2.6173952909951717,-352.5478515625,707.095703125,710.0861,365.61600064973214,0.1826897419742068,0.004255674600567873,0.005604812962895691,0.008511349201135734,0.011209625925791385,1.1801893026581756
20,3,6,1,7,7,7.028217585221809,11.858529118795165,15.881381477986208,2.5996918406154093,-351.96112060546875,705.9222412109375,708.91266,367.9040559339516,0.008182920477673073,0.0022820768109736364,0.0028595534915384587,0.0045634077995914445,0.005717680766193316,1.039060604154964
20,4,7,1,7,7,5.825603129125337,10.14502938689856,14.991669796938142,2.360214701332917,-338.18499755859375,678.3699951171875,681.3604,354.13205564445866,0.18767047758510974,0.0028358858704980844,0.003690239546992346,0.008507657611494267,0.011070718640977044,1.064431636319344
20,5,8,1,7,7,5.825168142411159,10.122991661404143,14.906559701379098,2.3600127625008085,-338.1798095703125,678.359619140625,681.35004,354.12693849558696,7.491348817426618e-05,0.0029357719390397546,0.003821791600267353,0.008807315817119247,0.011465374800802059,1.0655185485385446
20,6,9,1,9,8,5.171346224426184,8.044273784237653,12.977263516268879,2.2342192351668797,-329.4007263183594,660.8014526367188,663.7919,350.43446697008295,0.11905470207820147,0.002347299445842556,0.0030814294320024543,0.009389197783370195,0.01232571772800982,0.7189726440681778
20,7,10,1,9,8,5.170679311535326,8.023785923736469,12.879345260099754,2.2339581041463936,-329.3915100097656,660.7830200195312,663.77344,350.4253283262437,0.00012893024167568822,0.002433261459344424,0.0031946432119111874,0.009733045837377668,0.012778572847644745,0.7250418255927006
20,8,11,2,13,10,4.9982245461427475,8.102279203401975,13.360398977802202,2.2342192351668797,-326.85162353515625,657.7032470703125,663.6841,359.07868743483795,0.03392149856074826,0.0023472994458425566,0.0030814294320024535,0.009389197783370197,0.01232571772800982,0.7189726440681778
20,9,13,1,14,9,4.511296034461923,6.673607077886115,10.510009464035594,2.0879045834316714,-319.361572265625,640.72314453125,643.71356,352.4406818435664,0.05124911785184247,0.0020493937912437533,0.002556676721779057,0.010246968956218764,0.012783383608895284,0.7377836448431355
20,10,14,1,15,10,4.428886250664947,6.661626374363238,10.967194194322584,2.0749508116997633,-317.99249267578125,637.9849853515625,640.9754,354.84481062617203,0.018436614278483754,0.0016625077878750034,0.0019357036396797742,0.008312217501194576,0.009677853676626115,0.715262090695481
20,11,15,1,16,10,4.0498238806282725,4.640304110466179,10.248692150117384,1.9635241277612756,-311.47686767578125,624.9537353515625,627.94415,350.64716727273657,0.08947468291507803,0.0019861586617409862,0.002520509185140099,0.011916951970445908,0.0151230551108406,0.5827938871514696
20,12,16,1,17,11,3.9645442728777702,4.625448739441004,10.382258706148704,1.9464384481209451,-309.8990783691406,621.7981567382812,624.7886,352.98944814139907,0.021282334291800504,0.001858498500244631,0.0023875235765212508,0.011150780666930607,0.01432488422318211,0.5812217513990476
20,13,17,2,20,12,3.8515723622678766,4.800266899184103,10.599552919767156,1.962267861637537,-307.6973571777344,619.3947143554688,625.3756,359.6881837991309,0.028909335699322025,0.0019405573199090531,0.002461709835367022,0.0116433439194543,0.01477025901220214,0.5801166133390031
20,14,18,2,22,13,3.78867848286712,4.76017748439369,10.697220147012633,1.9464384481209451,-306.48724365234375,616.9744873046875,622.9553,365.20862448455773,0.0164640969441725,0.0018584985002446305,0.002387523576521251,0.011150780666930607,0.014324884223182111,0.5812217513990476
20,15,19,1,20,10,3.5865057481216986,3.942530764375574,9.616756673443204,1.8752663971280776,-302.47088623046875,606.9417724609375,609.9322,350.82975770280575,0.054839107295022636,0.0020843478586904133,0.0029344464331145796,0.012506851832886553,0.01760768754115808,0.6938933542137389
20,16,23,2,27,12,3.4752625831881856,5.580189457080867,8.939653037834988,1.844531681633836,-300.1573791503906,604.3147583007812,610.29565,369.55817362491206,0.007877078818016428,0.002473449243929651,0.002830861130591954,0.012361864656936854,0.014145505461677959,0.7916408702800424
20,17,24,2,29,13,3.2630923442866955,4.172308173570247,9.006211066453599,1.7990587709315178,-295.5130310058594,595.0260620117188,601.00696,372.19514473657046,0.06299468289361837,0.0020795748994389598,0.0027160617964863535,0.012474235990449688,0.01628862005900428,0.49803047200938394
20,18,25,2,29,13,3.057067995055287,4.3703581106465,9.570456762327854,1.7345046368220718,-290.7264709472656,585.4529418945312,591.43384,367.4144482824872,0.06521901737231008,0.0022115555752547232,0.0025840323657056975,0.013263884433919812,0.015495301648181763,0.6063042426739853
20,19,26,1,29,11,3.035581631998478,4.595216851244768,7.858351170046291,1.7277987575729803,-290.20892333984375,582.4178466796875,585.40826,362.05284832585954,0.007053117796355388,0.0026820631897506216,0.0033251759719183276,0.013411928057325072,0.016627725052629064,0.7997034034465972
20,20,27,3,31,14,3.0106050925900254,4.246658362918469,9.287154927722744,1.7345046368220718,-289.59136962890625,585.1827392578125,594.15405,373.6951537308095,0.008262146869558505,0.002211555575254723,0.002584032365705697,0.013263884433919812,0.015495301648181763,0.6063042426739853
20,21,28,1,31,12,2.9368966578843567,3.1658828310549114,7.626215983137705,1.704829588787129,-287.7734375,577.546875,580.5373,367.10582471196255,0.024787576421255682,0.002385393107442628,0.0029959534609060273,0.014313947834308026,0.017977521239132873,0.6744415888254907
20,22,30,2,35,13,2.915044043743513,4.351178127647731,8.546786751410245,1.699268677091165,-287.22381591796875,578.4476318359375,584.42847,379.2966269838453,0.003734265788034106,0.0019419253588296192,0.002378742827981541,0.0116502900917885,0.014269347093106928,0.6489947095195604
20,23,33,3,37,15,2.5949838837009644,3.2775837629413913,8.929053532994592,1.6097565123412514,-278.67218017578125,563.3443603515625,572.3157,381.1635815732626,0.03876814917498297,0.0021670825084162382,0.0026149862731562846,0.012999015097366432,0.015682217779956355,0.6316900562645008
20,24,34,3,38,15,2.526115476581551,3.0391132137315955,8.4071383949012,1.5893450825689177,-276.6951599121094,559.3903198242188,568.36163,381.8935803285825,0.02689791708706353,0.0023748428400080365,0.0028759505495192382,0.014243628425748249,0.017246895358449282,0.6747454833234293
20,25,38,4,43,16,2.462332070611441,2.9894674785085433,8.660764537124896,1.5691819283901272,-274.81549072265625,557.6309814453125,569.5927,396.32928964345297,0.00639342025740325,0.002311481628223552,0.002806828751071325,0.013863622737304543,0.016832407154515745,0.6516706704134391
20,26,40,4,45,16,2.404782139716188,3.1036993324236635,8.31100162156115,1.5507037484907602,-273.0772399902344,554.1544799804688,566.1162,400.1362471405268,0.011824806713957303,0.002258972233081343,0.0027282528892918377,0.013548566366451277,0.01636095198383882,0.6669086062582961
20,27,42,3,51,15,2.3264141702566983,3.3225942676393614,7.611081652609954,1.5199240506013765,-270.6439208984375,547.287841796875,556.25916,411.0522110981941,0.01656554989206735,0.0026748902964755356,0.0030968522761657307,0.016044151696099667,0.01856910491357322,0.5699014230622604
20,28,44,4,53,16,2.314477358722719,3.540277676653458,7.770054208246179,1.5141501291144335,-270.26727294921875,548.5345458984375,560.4963,419.514048681898,0.0025721623367728373,0.0024299786147706096,0.002816349852154334,0.014574726743040748,0.016886153485334725,0.6135577128022146
20,29,45,4,51,17,2.313088627228886,3.5335275085509195,7.597936775002254,1.513512952600708,-270.22332763671875,548.4466552734375,560.4084,417.0169620260241,0.0006003156829349041,0.00241302613288878,0.0027993206043855135,0.014473019041861716,0.01678409125694562,0.6084697634659187
20,30,46,4,56,17,2.267368324583339,3.498948714285171,7.899023477326316,1.4984554212732075,-268.75604248046875,545.5120849609375,557.4738,429.71576839648344,0.01996382739729588,0.0022061471152746257,0.0025325943839428757,0.015437788021542331,0.017716150358566513,0.6419894532440388
20,31,48,4,56,16,2.154752457462059,2.568880115710373,7.167821359176145,1.4627313748044293,-265.0099792480469,538.0199584960938,549.9817,422.5727207901436,0.02547195623334722,0.0024256366288010448,0.002880996570800126,0.014550173425448953,0.017279971644426004,0.6517673266985049
20,32,50,5,59,17,2.076416221034438,2.827777098280445,5.531919689348627,1.432198775821031,-262.2917785644531,534.5835571289062,549.5357,431.75298816525253,0.01851622218419053,0.002143648612595749,0.0024051544767504057,0.012858749522967275,0.014426807659399571,0.6337084014295872
20,33,54,5,65,17,1.9708045086237085,2.6502529632300447,5.738945727165657,1.40384358829021,-258.4494323730469,526.8988647460938,541.851,444.9007940905775,0.013050335835441067,0.0023655962987677967,0.003235395223909427,0.0141867209052042,0.019400827762738597,0.6796264212376799
20,34,55,6,65,18,1.9457265955828302,2.7832218561802047,4.8795114739374466,1.39481391135369,-257.5081787109375,527.016357421875,544.959,447.6749118663735,0.012806249696419037,0.0031643315769925894,0.0047321547198364115,0.01897726685821944,0.028373416209332786,0.6197573447188379
20,35,58,10,60,19,1.9221475179712246,2.7025819784661356,5.084027567199769,1.3864125274554355,-256.61199951171875,533.2239990234375,563.1283,435.5708249121178,0.0040642810144391256,0.003119629122545237,0.004712910885882297,0.01871043868927113,0.02826165877677902,0.6146105656495064
