complexity,loss,equation,score,sympy_format,lambda_format,run,equation_index,equation_string
1,16.505281,x4,0.0,x4,PySRFunction(X=>x4),1,0,x4
3,11.137615,-3.0595157 / x0,0.1966761360417568,-3.0595157/x0,PySRFunction(X=>-3.0595157/x0),1,1,-3.0595157/x0
5,8.505761,(x4 - x0) * 2.210487,0.13479220979861495,-x0 + x4*2.210487,PySRFunction(X=>-x0 + x4*2.210487),1,2,-x0 + x4*2.210487
6,8.324531,(sin(x4) - x0) * 2.3257833,0.021537000680162365,-x0 + sin(x4)*2.3257833,PySRFunction(X=>-x0 + sin(x4)*2.3257833),1,3,-x0 + sin(x4)*2.3257833
7,7.2444644,x1 + ((x4 - x0) * 2.210487),0.13896905174939922,x1 - x0 + x4*2.210487,PySRFunction(X=>x1 - x0 + x4*2.210487),1,4,x1 - x0 + x4*2.210487
8,7.239075,x5 + (exp(0.7932128) * (x4 - x0)),0.0007442103894498832,x5 + (-x0 + x4)*exp(0.7932128),PySRFunction(X=>x5 + (-x0 + x4)*exp(0.7932128)),1,5,x5 + (-x0 + x4)*exp(0.7932128)
9,6.598145,(x1 + (x4 - (x0 * 2.210487))) + x5,0.09270488688298636,-2.210487*x0 + x1 + x4 + x5,PySRFunction(X=>-2.210487*x0 + x1 + x4 + x5),1,6,-2.210487*x0 + x1 + x4 + x5
10,6.0456963,(((x4 - x0) * exp(0.7932128)) + x1) + x5,0.08744188538382017,x1 + x5 + (-x0 + x4)*exp(0.7932128),PySRFunction(X=>x1 + x5 + (-x0 + x4)*exp(0.7932128)),1,7,x1 + x5 + (-x0 + x4)*exp(0.7932128)
11,5.8045964,(x1 + (((x4 + x5) - x0) - x0)) + x6,0.04069657707522929,-x0 - x0 + x1 + x4 + x5 + x6,PySRFunction(X=>-x0 - x0 + x1 + x4 + x5 + x6),1,8,-x0 - x0 + x1 + x4 + x5 + x6
13,4.9932046,((x6 + x1) - x0) + (x5 - ((x0 - x4) / 0.6773386)),0.07528608920754834,-x0 + x1 + x5 + x6 - (x0 - x4)/0.6773386,PySRFunction(X=>-x0 + x1 + x5 + x6 - (x0 - x4)/0.6773386),1,9,-x0 + x1 + x5 + x6 - (x0 - x4)/0.6773386
15,4.314793,(x6 + ((x5 + (x2 + x1)) - x0)) - ((x0 - x4) / 0.6674383),0.07301427842629218,-x0 + x1 + x2 + x5 + x6 - (x0 - x4)/0.6674383,PySRFunction(X=>-x0 + x1 + x2 + x5 + x6 - (x0 - x4)/0.6674383),1,10,-x0 + x1 + x2 + x5 + x6 - (x0 - x4)/0.6674383
17,4.1579413,(((x2 + -0.572109) + x6) + (x1 - x0)) + (x5 - ((x0 - x4) / 0.6773386)),0.0185146396113006,-x0 + x1 + x2 + x5 + x6 - (x0 - x4)/0.6773386 - 0.572109,PySRFunction(X=>-x0 + x1 + x2 + x5 + x6 - (x0 - x4)/0.6773386 - 0.572109),1,11,-x0 + x1 + x2 + x5 + x6 - (x0 - x4)/0.6773386 - 0.572109
18,4.0336986,x2 + ((x5 + (x1 - x0)) - ((x0 - (x4 - cos(x1 - x0))) / 0.6674383)),0.03033635015448497,-x0 + x1 + x2 + x5 - (x0 - (x4 - cos(-x0 + x1)))/0.6674383,PySRFunction(X=>-x0 + x1 + x2 + x5 - (x0 - (x4 - cos(-x0 + x1)))/0.6674383),1,12,-x0 + x1 + x2 + x5 - (x0 - (x4 - cos(-x0 + x1)))/0.6674383
20,3.7441406,(x6 + ((x1 - x0) + (x5 - ((x0 - x4) - (x2 - cos(x1 - x0)))))) + x4,0.037245805244265455,-x0 + x1 + x4 + x5 + x6 - (x0 - x4 - (x2 - cos(-x0 + x1))),PySRFunction(X=>-x0 + x1 + x4 + x5 + x6 - (x0 - x4 - (x2 - cos(-x0 + x1)))),1,13,-x0 + x1 + x4 + x5 + x6 - (x0 - x4 - (x2 - cos(-x0 + x1)))
22,3.33784,(x6 + (x1 + (x5 + (x2 - x0)))) - ((x0 - (x4 - cos((x1 - x0) - -0.2944983))) / 0.6674383),0.05743411006608006,-x0 + x1 + x2 + x5 + x6 - (x0 - (x4 - cos(-x0 + x1 - 1*(-0.2944983))))/0.6674383,PySRFunction(X=>-x0 + x1 + x2 + x5 + x6 - (x0 - (x4 - cos(-x0 + x1 - 1*(-0.2944983))))/0.6674383),1,14,-x0 + x1 + x2 + x5 + x6 - (x0 - (x4 - cos(-x0 + x1 - 1*(-0.2944983))))/0.6674383
23,3.3153198,(x5 + ((((x1 - x0) - (x0 - (x4 / cos(-0.73906857)))) - cos(x1 - x0)) / 0.82830876)) + (x2 + x6),0.006769801623803717,x2 + x5 + x6 + (-x0 + x1 - (x0 - x4/cos(-0.73906857)) - cos(-x0 + x1))/0.82830876,PySRFunction(X=>x2 + x5 + x6 + (-x0 + x1 - (x0 - x4/cos(-0.73906857)) - cos(-x0 + x1))/0.82830876),1,15,x2 + x5 + x6 + (-x0 + x1 - (x0 - x4/cos(-0.73906857)) - cos(-x0 + x1))/0.82830876
24,3.3120635,((x5 + ((((x1 - x0) - (x0 - (x4 / 0.7286059))) - cos(x1 - x0)) / 0.82830876)) + x2) + (x6 + -0.037395895),0.0009826805285400014,x2 + x5 + x6 + (-x0 + x1 - (x0 - x4/0.7286059) - cos(-x0 + x1))/0.82830876 - 0.037395895,PySRFunction(X=>x2 + x5 + x6 + (-x0 + x1 - (x0 - x4/0.7286059) - cos(-x0 + x1))/0.82830876 - 0.037395895),1,16,x2 + x5 + x6 + (-x0 + x1 - (x0 - x4/0.7286059) - cos(-x0 + x1))/0.82830876 - 0.037395895
26,3.3067536,(x6 + ((x1 + x5) + (x2 - x0))) - ((x0 - (x4 - cos(0.38619623 - ((x1 - x0) - (x5 - 0.04804402))))) / 0.5740349),0.0008022432194326577,-x0 + x1 + x2 + x5 + x6 - (x0 - (x4 - cos(0.38619623 - (-x0 + x1 - (x5 - 1*0.04804402)))))/0.5740349,PySRFunction(X=>-x0 + x1 + x2 + x5 + x6 - (x0 - (x4 - cos(0.38619623 - (-x0 + x1 - (x5 - 1*0.04804402)))))/0.5740349),1,17,-x0 + x1 + x2 + x5 + x6 - (x0 - (x4 - cos(0.38619623 - (-x0 + x1 - (x5 - 1*0.04804402)))))/0.5740349
27,3.055973,x6 + (((x5 + x1) + (x2 - x0)) - ((x0 - (x4 - cos((0.38619623 - (x1 - x0)) - cos(x5 - -1.0316454)))) / 0.5740349)),0.0788688864189574,-x0 + x1 + x2 + x5 + x6 - (x0 - (x4 - cos(-(-x0 + x1) - cos(x5 - 1*(-1.0316454)) + 0.38619623)))/0.5740349,PySRFunction(X=>-x0 + x1 + x2 + x5 + x6 - (x0 - (x4 - cos(-(-x0 + x1) - cos(x5 - 1*(-1.0316454)) + 0.38619623)))/0.5740349),1,18,-x0 + x1 + x2 + x5 + x6 - (x0 - (x4 - cos(-(-x0 + x1) - cos(x5 - 1*(-1.0316454)) + 0.38619623)))/0.5740349
28,2.9731429,(x1 + (x5 + (x2 - x0))) + (x6 - ((x0 - (x4 - cos((0.31617704 - (x5 * 0.67749554)) - (0.38299724 - (x1 - x0))))) / 0.5740349)),0.02747842739920609,-x0 + x1 + x2 + x5 + x6 - (x0 - (x4 - cos(-0.67749554*x5 - (0.38299724 - (-x0 + x1)) + 0.31617704)))/0.5740349,PySRFunction(X=>-x0 + x1 + x2 + x5 + x6 - (x0 - (x4 - cos(-0.67749554*x5 - (0.38299724 - (-x0 + x1)) + 0.31617704)))/0.5740349),1,19,-x0 + x1 + x2 + x5 + x6 - (x0 - (x4 - cos(-0.67749554*x5 - (0.38299724 - (-x0 + x1)) + 0.31617704)))/0.5740349
30,2.7111166,(x6 + (x2 + (x5 + (x1 - x0)))) - ((x0 - (x4 - cos((0.38299724 - (x1 - x0)) - (((x2 - x0) - x5) * 0.67749554)))) / 0.6674383),0.046129514618226564,-x0 + x1 + x2 + x5 + x6 - (x0 - (x4 - cos(-(-x0 + x1) - 0.67749554*(-x0 + x2 - x5) + 0.38299724)))/0.6674383,PySRFunction(X=>-x0 + x1 + x2 + x5 + x6 - (x0 - (x4 - cos(-(-x0 + x1) - 0.67749554*(-x0 + x2 - x5) + 0.38299724)))/0.6674383),1,20,-x0 + x1 + x2 + x5 + x6 - (x0 - (x4 - cos(-(-x0 + x1) - 0.67749554*(-x0 + x2 - x5) + 0.38299724)))/0.6674383
38,2.3982546,(((x2 + x1) - x0) - (x2 - ((x4 - x2) / x0))) + (x6 + (x2 + (x5 - ((x0 - (x4 - cos((0.40494105 - (x1 - x0)) - ((0.65667975 - x5) * 0.67749554)))) / 0.6773386)))),0.015327419596464359,-x0 + x1 + x2 + x2 + x5 + x6 - (x0 - (x4 - cos(-0.67749554*(0.65667975 - x5) - (-x0 + x1) + 0.40494105)))/0.6773386 - (x2 - (-x2 + x4)/x0),PySRFunction(X=>-x0 + x1 + x2 + x2 + x5 + x6 - (x0 - (x4 - cos(-0.67749554*(0.65667975 - x5) - (-x0 + x1) + 0.40494105)))/0.6773386 - (x2 - (-x2 + x4)/x0)),1,21,-x0 + x1 + x2 + x2 + x5 + x6 - (x0 - (x4 - cos(-0.67749554*(0.65667975 - x5) - (-x0 + x1) + 0.40494105)))/0.6773386 - (x2 - (-x2 + x4)/x0)
40,2.3666458,((x6 + x2) + (((x5 - ((x0 - (x4 - cos((0.40494105 - (x1 - x0)) - ((0.65667975 - x5) * 0.51569486)))) / 0.6773386)) + x2) + (x1 - x0))) - ((x2 - ((x4 - x2) / x0)) + -0.071621455),0.006633772170226901,-x0 + x1 + x2 + x2 + x5 + x6 - (x0 - (x4 - cos(-0.51569486*(0.65667975 - x5) - (-x0 + x1) + 0.40494105)))/0.6773386 - (x2 - 0.071621455 - (-x2 + x4)/x0),PySRFunction(X=>-x0 + x1 + x2 + x2 + x5 + x6 - (x0 - (x4 - cos(-0.51569486*(0.65667975 - x5) - (-x0 + x1) + 0.40494105)))/0.6773386 - (x2 - 0.071621455 - (-x2 + x4)/x0)),1,22,-x0 + x1 + x2 + x2 + x5 + x6 - (x0 - (x4 - cos(-0.51569486*(0.65667975 - x5) - (-x0 + x1) + 0.40494105)))/0.6773386 - (x2 - 0.071621455 - (-x2 + x4)/x0)
41,2.2706976,((x2 + x5) - ((x0 - (x4 - cos((0.40494105 - (x1 - x0)) - ((0.65667975 - x5) * 0.67749554)))) / 0.6773386)) + ((sin(x6) + ((x2 + x1) - x0)) - ((x2 - ((x4 - x2) / x0)) + -0.071621455)),0.04138658138113964,-x0 + x1 + x2 + x2 + x5 - (x0 - (x4 - cos(-0.67749554*(0.65667975 - x5) - (-x0 + x1) + 0.40494105)))/0.6773386 - (x2 - 0.071621455 - (-x2 + x4)/x0) + sin(x6),PySRFunction(X=>-x0 + x1 + x2 + x2 + x5 - (x0 - (x4 - cos(-0.67749554*(0.65667975 - x5) - (-x0 + x1) + 0.40494105)))/0.6773386 - (x2 - 0.071621455 - (-x2 + x4)/x0) + sin(x6)),1,23,-x0 + x1 + x2 + x2 + x5 - (x0 - (x4 - cos(-0.67749554*(0.65667975 - x5) - (-x0 + x1) + 0.40494105)))/0.6773386 - (x2 - 0.071621455 - (-x2 + x4)/x0) + sin(x6)
