complexity,loss,equation,score,sympy_format,lambda_format,run,equation_index,equation_string
1,16.517815,x4,0.0,x4,PySRFunction(X=>x4),12,0,x4
3,11.327931,x0 / -0.4220535,0.18858402479577582,x0/(-0.4220535),PySRFunction(X=>x0/(-0.4220535)),12,1,x0/(-0.4220535)
4,10.90735,x0 / sin(-0.36588392),0.03783457191555106,x0/sin(-0.36588392),PySRFunction(X=>x0/sin(-0.36588392)),12,2,x0/sin(-0.36588392)
5,8.200347,x4 - (2.5720675 / x0),0.28526040346753084,x4 - 2.5720675/x0,PySRFunction(X=>x4 - 2.5720675/x0),12,3,x4 - 2.5720675/x0
6,7.944401,x4 - (x0 / cos(x5)),0.0317090666307146,-x0/cos(x5) + x4,PySRFunction(X=>-x0/cos(x5) + x4),12,4,-x0/cos(x5) + x4
7,6.908316,((x4 - x0) / 0.41483024) + x5,0.1397415005142649,x5 + (-x0 + x4)/0.41483024,PySRFunction(X=>x5 + (-x0 + x4)/0.41483024),12,5,x5 + (-x0 + x4)/0.41483024
8,6.701934,((x4 - x0) / sqrt(0.20698573)) + x5,0.030329761843052912,-2.19801067497367*x0 + 2.19801067497367*x4 + x5,PySRFunction(X=>-2.19801067497367*x0 + 2.19801067497367*x4 + x5),12,6,-2.19801067497367*x0 + 2.19801067497367*x4 + x5
9,5.735211,x4 + ((x6 + x5) - (2.5720675 / x0)),0.15577159992512518,x4 + x5 + x6 - 2.5720675/x0,PySRFunction(X=>x4 + x5 + x6 - 2.5720675/x0),12,7,x4 + x5 + x6 - 2.5720675/x0
10,5.6777005,(((x4 - x0) / sqrt(0.20698573)) + x5) + x1,0.01007823232157837,-2.19801067497367*x0 + x1 + 2.19801067497367*x4 + x5,PySRFunction(X=>-2.19801067497367*x0 + x1 + 2.19801067497367*x4 + x5),12,8,-2.19801067497367*x0 + x1 + 2.19801067497367*x4 + x5
11,4.685727,(x4 + (x6 + (x5 + x1))) - (2.5720675 / x0),0.19202522946756254,x1 + x4 + x5 + x6 - 2.5720675/x0,PySRFunction(X=>x1 + x4 + x5 + x6 - 2.5720675/x0),12,9,x1 + x4 + x5 + x6 - 2.5720675/x0
13,4.3394914,(x4 + ((x4 + (x1 + x6)) + x5)) - (2.5720675 / x0),0.038381963720338294,x1 + x4 + x4 + x5 + x6 - 2.5720675/x0,PySRFunction(X=>x1 + x4 + x4 + x5 + x6 - 2.5720675/x0),12,10,x1 + x4 + x4 + x5 + x6 - 2.5720675/x0
15,3.9668887,x4 + (((x1 - (x0 / 0.36342478)) + (x5 + x6)) - (x0 * x2)),0.044887533816150536,-x0*x2 - x0/0.36342478 + x1 + x4 + x5 + x6,PySRFunction(X=>-x0*x2 - x0/0.36342478 + x1 + x4 + x5 + x6),12,11,-x0*x2 - x0/0.36342478 + x1 + x4 + x5 + x6
17,3.5839524,x4 + (((x1 - (x0 / 0.36097246)) + (x6 - (x2 * (x0 + -0.5050411)))) + x5),0.05075793544913629,-x0/0.36097246 + x1 - x2*(x0 - 0.5050411) + x4 + x5 + x6,PySRFunction(X=>-x0/0.36097246 + x1 - x2*(x0 - 0.5050411) + x4 + x5 + x6),12,12,-x0/0.36097246 + x1 - x2*(x0 - 0.5050411) + x4 + x5 + x6
19,3.276429,(x4 + (x1 - (x0 / 0.36097246))) + (((x6 - (x2 * (x0 + -0.5050411))) + x5) + -0.5511526),0.044856051988113314,-x0/0.36097246 + x1 - x2*(x0 - 0.5050411) + x4 + x5 + x6 - 0.5511526,PySRFunction(X=>-x0/0.36097246 + x1 - x2*(x0 - 0.5050411) + x4 + x5 + x6 - 0.5511526),12,13,-x0/0.36097246 + x1 - x2*(x0 - 0.5050411) + x4 + x5 + x6 - 0.5511526
22,2.8598619,sin(x2) + (x1 + ((x4 + (x5 - ((x1 + x2) * x0))) - (x0 * ((x5 * -0.77234775) + 2.818713)))),0.045326924281875736,-x0*(2.818713 + x5*(-0.77234775)) - x0*(x1 + x2) + x1 + x4 + x5 + sin(x2),PySRFunction(X=>-x0*(2.818713 + x5*(-0.77234775)) - x0*(x1 + x2) + x1 + x4 + x5 + sin(x2)),12,14,-x0*(2.818713 + x5*(-0.77234775)) - x0*(x1 + x2) + x1 + x4 + x5 + sin(x2)
24,2.7594516,sin(x2) + (x1 + ((((x4 + x5) - ((x1 + x2) * x0)) - (((x5 * -0.77234775) + 2.818713) * x0)) - 0.46364197)),0.017870686309172604,-x0*(2.818713 + x5*(-0.77234775)) - x0*(x1 + x2) + x1 + x4 + x5 + sin(x2) - 1*0.46364197,PySRFunction(X=>-x0*(2.818713 + x5*(-0.77234775)) - x0*(x1 + x2) + x1 + x4 + x5 + sin(x2) - 1*0.46364197),12,15,-x0*(2.818713 + x5*(-0.77234775)) - x0*(x1 + x2) + x1 + x4 + x5 + sin(x2) - 1*0.46364197
25,2.6970055,((sin(x2) + ((x1 + ((x6 * 0.6964195) + x4)) + (x5 - ((x1 + x2) * x0)))) - (2.818713 * x0)) - square(-0.6595801),0.022889880875845616,-x0*(x1 + x2) - 2.818713*x0 + x1 + x4 + x5 + x6*0.6964195 + sin(x2) - 1*0.43504590831601,PySRFunction(X=>-x0*(x1 + x2) - 2.818713*x0 + x1 + x4 + x5 + x6*0.6964195 + sin(x2) - 1*0.43504590831601),12,16,-x0*(x1 + x2) - 2.818713*x0 + x1 + x4 + x5 + x6*0.6964195 + sin(x2) - 1*0.43504590831601
26,2.1924608,(sin(x2) + (((x1 + x4) - ((x1 + x2) * x0)) + (x5 - (((x5 * -0.77234775) + 2.818713) * x0)))) + (x6 - 0.3167612),0.20711751748748464,-x0*(2.818713 + x5*(-0.77234775)) - x0*(x1 + x2) + x1 + x4 + x5 + x6 + sin(x2) - 1*0.3167612,PySRFunction(X=>-x0*(2.818713 + x5*(-0.77234775)) - x0*(x1 + x2) + x1 + x4 + x5 + x6 + sin(x2) - 1*0.3167612),12,17,-x0*(2.818713 + x5*(-0.77234775)) - x0*(x1 + x2) + x1 + x4 + x5 + x6 + sin(x2) - 1*0.3167612
