complexity,loss,equation,score,sympy_format,lambda_format,run,equation_index,equation_string
1,7.3689504,5.7787213,0.0,5.77872130000000,PySRFunction(X=>5.77872130000000),10,0,5.77872130000000
3,4.354767,x1 + 5.7589946,0.26300208685572757,x1 + 5.7589946,PySRFunction(X=>x1 + 5.7589946),10,1,x1 + 5.7589946
5,2.2999885,(x1 / 0.3905313) + 5.848197,0.31918349211421776,x1/0.3905313 + 5.848197,PySRFunction(X=>x1/0.3905313 + 5.848197),10,2,x1/0.3905313 + 5.848197
8,2.263947,x1 + (x1 + (sin(x1) + 5.824828)),0.005264790916558765,x1 + x1 + sin(x1) + 5.824828,PySRFunction(X=>x1 + x1 + sin(x1) + 5.824828),10,3,x1 + x1 + sin(x1) + 5.824828
9,2.263389,x1 + ((exp(1.7603469) + x1) + sin(x1)),0.00024650258024818837,x1 + x1 + sin(x1) + exp(1.7603469),PySRFunction(X=>x1 + x1 + sin(x1) + exp(1.7603469)),10,4,x1 + x1 + sin(x1) + exp(1.7603469)
10,2.2583363,sin(x1 + 0.12748125) + (x1 + (x1 + 5.681292)),0.0022348558427509393,x1 + x1 + sin(x1 + 0.12748125) + 5.681292,PySRFunction(X=>x1 + x1 + sin(x1 + 0.12748125) + 5.681292),10,5,x1 + x1 + sin(x1 + 0.12748125) + 5.681292
13,2.2505808,(x1 + sin(x1 + square(sin(sin(x0))))) + (x1 + 5.635416),0.0011466918369810492,x1 + x1 + sin(x1 + sin(sin(x0))**2) + 5.635416,PySRFunction(X=>x1 + x1 + sin(x1 + sin(sin(x0))**2) + 5.635416),10,6,x1 + x1 + sin(x1 + sin(sin(x0))**2) + 5.635416
14,2.2381847,(x1 + sin(x1 + square(sin(sin(sin(x0)))))) + (x1 + 5.635416),0.00552318071079698,x1 + x1 + sin(x1 + sin(sin(sin(x0)))**2) + 5.635416,PySRFunction(X=>x1 + x1 + sin(x1 + sin(sin(sin(x0)))**2) + 5.635416),10,7,x1 + x1 + sin(x1 + sin(sin(sin(x0)))**2) + 5.635416
15,2.2300756,(square(sin(sin(x0)) - x0) + (sin(x1) + (x1 + 5.635416))) + x1,0.0036296492855072047,x1 + x1 + (-x0 + sin(sin(x0)))**2 + sin(x1) + 5.635416,PySRFunction(X=>x1 + x1 + (-x0 + sin(sin(x0)))**2 + sin(x1) + 5.635416),10,8,x1 + x1 + (-x0 + sin(sin(x0)))**2 + sin(x1) + 5.635416
16,2.2295089,((square(sin(sin(sin(x0))) - x0) + (x1 + 5.635416)) + sin(x1)) + x1,0.0002541492388139069,x1 + x1 + (-x0 + sin(sin(sin(x0))))**2 + sin(x1) + 5.635416,PySRFunction(X=>x1 + x1 + (-x0 + sin(sin(sin(x0))))**2 + sin(x1) + 5.635416),10,9,x1 + x1 + (-x0 + sin(sin(sin(x0))))**2 + sin(x1) + 5.635416
