run,fold,equation_index,equation,nan_count_train,nan_count_test_int,nan_count_test_ext,nan_count_synthetic
1,,34,2.132502*x1 + sin(x1) - 0.5909813*sin((x1 + 1.630133)*(sin(x1) + sin(x0 + 5.35305335437261*x1 - 347.714590141003*exp(x0) + sin(x0)**2)) + (-x0*x1 + x1 + 0.2841617)*(-x1**2 + x1 + sin(x1 - 0.36882317) + 0.6509662)) - cos(0.71415067*x0) + cos(sqrt(sin(x0**2*sin(4.3546896*x0 + 347.714590141003*exp(0.3322003*x1))**2))) + 5.6344712,0,0,0,2
1,,35,2.132502*x1 + sin(x1) - 0.5909813*sin((x1 + 1.630133)*(sin(x1) + sin(x0 + 5.35305335437261*x1 - 347.714590141003*exp(x0) + sin(x0)**2)) + (-x0*x1 + x1 + 0.2841617)*(-x1**2 + x1 + sin(x1 - cos(0.785254737814829*x1) + 0.63116) + 0.6509662)) - cos(0.71415067*x0) + 1.132502*cos(sqrt(sin(x0**2*sin(4.3546896*x0 + 347.714590141003*exp(0.3322003*x1))**2))) + 5.6344712,0,0,0,2
1,,36,2.132502*x1 + sin(x1) - 0.5909813*sin((x1 + 1.630133)*(sin(x1) + sin(x0 + 5.35305335437261*x1 - 347.714590141003*exp(x0) + sin(x0)**2)) + (-x0*x1 + x1 + 0.2841617)*(-x1**2 + x1 + sin(x1 - cos(sin(0.785254737814829*x1)) + 0.63116) + 0.6509662)) - cos(0.71415067*x0) + 1.132502*cos(sqrt(sin(x0**2*sin(4.3546896*x0 + 347.714590141003*exp(0.3322003*x1))**2))) + 5.6344712,0,0,0,2
1,,37,2.132502*x1 + sin(x1) - 0.5909813*sin((x1 + 1.630133)*(sin(x1) + sin(x0 + 5.35305335437261*x1 - 347.714590141003*exp(x0) + sin(x0)**2)) + (-x0*x1 + x1 + 0.2841617)*(-x1**2 + x1 + sin(x1 - cos(sin(0.785254737814829*x1)) + 0.63116) + 0.6509662)) - cos(0.71415067*x0) + 1.132502*cos(sqrt(sin(x0**2*sin(4.3546896*x0 + 347.714590141003*exp(0.3322003*x1))**2))) + 5.6344712,0,0,0,2
1,,38,2.132502*x1 + sqrt(cos(x1*sin(x1**2 + sin(x1))) + 0.27875036) + sin(x1) + 0.53861064*sin(2*x0*x1*(cos(x1**2 - x1 + 0.87584525) + 0.0088952705 + sin(x1 + (x1 + 0.064792074)**2 - sin(sin(x1)))/x1) - sin(2.630133*x1 + 1.630133*sin(x0 + 5.21820589551605*x1 - 347.714590141003*exp(x0) + sin(x0)**2) + 0.2841617)) - cos(x0*cos(0.9357742*x0 + x1)) + 5.516305294,0,0,2,5
1,,39,2.132502*x1 + sin(x1) - 0.5909813*sin((x1 + 1.630133)*(sin(x1) + sin(x0 + 5.35305335437261*x1 - 347.714590141003*exp(x0) + sin(x0)**2)) + (-x0*x1 + x1 + 0.2841617)*(-x1**2 + x1 + sin(x1 - cos(sin(0.785254737814829*x1)) + 0.5663679) + 0.650966223116004)) - cos(0.714150692547764*x0) + 1.132502*cos(sqrt(sin(x0**2*sin(4.3546896*x0 + 347.714590141003*exp(0.3322003*x1))**2))) + 5.6344712,0,0,0,2
1,,40,2.132502*x1 + sqrt(cos(x1*sin(x1**2 + sin(x1 - 0.45163524))) + 0.27875036) + sin(x1) + 0.53861064*sin(2*x0*x1*(cos(x1**2 - x1 + 0.87584525) + 0.0088952705 + sin(x1 + (x1 + 0.064792074)**2 - sin(sin(x1)))/x1) - sin(2.630133*x1 + 1.630133*sin(x0 + 5.42126422*x1 - 347.714590141003*exp(x0) + sin(x0)**2) + 0.2841617)) - cos(x0*cos(0.9357742*x0 + x1)) + 5.516305294,0,0,3,3
1,,41,2.132502*x1 + sqrt(cos(x1*sin(x1**2 + sin(x1 + sin(17.9258212260556*exp(-x1 + sin(x0))) - 0.45163524))) + 0.27875036) + sin(x1) + 0.53861064*sin(2*x0*x1*(cos(x1**2 - x1 + 0.87584525) + 0.0088952705 + sin(x1 + (-x1 - 0.064792074)**2 - sin(sin(x1)))/x1) - sin(2.630133*x1 + 1.630133*sin(x0 + 5.2182059*x1 - 347.714590141003*exp(x0) + sin(x0**2)) + 0.2841617)) - cos(x0*cos(0.9357742*x0 + x1)) + 5.516305294,0,0,7,4
1,,42,2.132502*x1 + sqrt(cos(x1*sin(x1**2 + sin(x1 + sin(17.9258212260556*exp(-x1 + sin(x0))) - 0.45163524))) + 0.29167372) + sin(x1) + 0.53861064*sin(2*x0*x1*(cos(x1**2 - x1 + 0.87584525) + 0.0088952705 + sin(x1 + (-x1 - 0.064792074)**2 - sin(sin(x1)))/x1) - sin(2.630133*x1 + 1.630133*sin(x0 + 5.2182059*x1 - 347.714590141003*exp(x0) + sin(x0)**2) + 0.2841617)) - cos(x0*cos(0.9357742*x0 + x1)) + 5.516305294,0,0,7,4
1,,43,2.132502*x1 + sqrt(cos(x1*sin(x1**2 + sin(x1 + sin(x0 + x1 - exp(x1) + sin(2*x1 + 0.66351885)) - 0.20764194))) + 0.27875036) + sin(x1) + 0.585959366055*sin(2*x0*x1*(cos(x1**2 - x1 + 0.87584525) + 0.0088952705 + sin(x1 + (x1 + 0.064792074)**2 - sin(sin(x1)))/x1) - sin(2.630133*x1 + 1.630133*sin(x0 + 5.07806646*x1 - 347.714590141003*exp(x0) + sin(0.717513117017332*x0**2) + 0.17082116) + 0.2841617)) - cos(x0*cos(0.9357742*x0 + x1)) + 5.516305294,0,0,12,3
1,,44,2.132502*x1 + sqrt(cos(x1*sin(x1**2 + sin(x1 + sin(x0 + x1 - exp(x1) + sin(cos(2*x1 - 0.845284))) - 0.20764194))) + 0.27875036) + sin(x1) + 0.585959366055*sin(2*x0*x1*(cos(x1**2 - x1 + 0.87584525) + 0.0088952705 + sin(x1 + (x1 + 0.064792074)**2 - sin(sin(x1)))/x1) - sin(2.630133*x1 + 1.630133*sin(x0 + 5.07806646*x1 - 347.714590141003*exp(x0) + sin(0.717513117017332*x0**2) + 0.17082116) + 0.2841617)) - cos(x0*cos(0.9357742*x0 + x1)) + 5.516305294,0,0,11,2
1,,45,2.132502*x1 + sqrt(cos(x1*sin(x1**2 + sin(x0 + x1 + sin(sin(exp(x1)) + 2.8862422) - 0.82205003))) + 0.27875036) + sin(x1) - 0.53861064*sin(-2*x0*x1*(x1 + (-x1 - 0.064792074)**2 - sin(x1*sin(sin(x1))) + cos(x1 - cos((x1 + 1.1812856)*sin(-x1**2 + x1 + sin(x0 + exp(x1) - sin(x0 + 2.8862422)))))) + sin(2.630133*x1 + 1.630133*sin(x0 + 5.42126425*x1 - 347.714590141003*exp(x0) + sin(x0**2))) + 0.2841617) - cos(x0*cos(0.9357742*x0 + x1)) + 5.516305294,0,0,7,4
