Run,Equation_Index,Complexity,Constant_Num,Total_Symbols,Distinct_Symbols,MSE_Train,MSE_Test_Interpolation,MSE_Test_Extrapolation,Sigma_Train,Log_likelihood_Train,AIC_Train,BIC_Train,MDL_Train,PSM_Train,Sensitivity_Interpolation_SVP,Sensitivity_Extrapolation_SVP,Sensitivity_Interpolation_MVP,Sensitivity_Extrapolation_MVP,Extrapolation_Divergence
1,0,1,1,1,1,0.76029366,0.694210762,1.159800744,0.871947881,-461.4887695,924.9775391,928.86365,464.2290895,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,2,3,3,0.760293445,0.693878042,1.158853465,0.871947881,-461.4887085,926.977417,934.74963,467.5248651,7.01e-08,0.0,0.0,0.0,0.0,0.0
1,2,5,2,6,5,0.663475054,0.578370448,1.154612537,0.814073939,-436.970459,877.940918,885.71313,449.3682639,0.136213369,0.000109993,0.000153302,0.000109993,0.000153302,0.703815402
1,3,6,2,9,7,0.659945044,0.564784559,1.059362763,0.812036918,-436.0101318,876.0202637,883.7925,456.2642576,0.005334524,9.36e-05,0.000121015,9.36e-05,0.000121015,0.677321321
1,4,8,3,13,8,0.659450878,0.568614951,1.079466682,0.81206152,-435.8752441,877.7504883,889.4088,465.6483111,0.000374565,9.27e-05,0.000120105,9.27e-05,0.000120105,0.675386667
1,5,10,4,17,9,0.659444041,0.569060969,1.081842379,0.81206152,-435.8734131,879.7468262,895.29126,475.9665502,5.21e-06,9.27e-05,0.000120105,9.27e-05,0.000120105,0.675386667
1,6,11,3,15,10,0.652206342,0.628210332,1.256698637,0.806545317,-433.8874817,873.7749634,885.4333,471.1685233,0.011036178,0.000180705,0.00024299,0.000360989,0.000484931,0.621857561
1,7,12,3,18,11,0.629183932,0.552442989,1.145366308,0.791467439,-427.4199219,860.8398438,872.49817,473.3256538,0.03593734,0.000129037,0.000270585,0.000257226,0.000539965,0.628912577
1,8,13,3,19,12,0.626427109,0.551636171,1.13685119,0.787827495,-426.635437,859.270874,870.9292,476.595889,0.004391256,0.000106926,0.000220274,0.000213366,0.000439709,0.628360221
1,9,14,3,20,13,0.617418965,0.528699834,1.023097205,0.784711341,-424.0211792,854.0423584,865.7007,478.0624878,0.014484538,0.000169549,0.000597526,0.000515661,0.001286069,0.633485478
1,10,17,5,25,13,0.616045741,0.527592227,0.935193258,0.783336,-423.6211548,857.2423096,876.67285,490.4881701,0.000742213,9.94e-05,0.000152732,0.00019841,0.000304897,0.599734649
1,11,18,3,22,13,0.605477961,0.524779592,1.042993033,0.777450898,-420.5054932,847.0109863,858.6693,479.6759971,0.01730292,7.28e-05,0.000118991,0.000290664,0.000474951,0.629613747
1,12,19,4,32,13,0.584171642,0.490188418,1.098043286,0.764179132,-414.0570068,836.1140137,851.65845,498.8759652,0.035823368,0.000508639,0.000813366,0.001431304,0.002327924,0.564413848
1,13,20,4,35,13,0.575553582,0.487092882,1.052776662,0.758543472,-411.3817749,830.7635498,846.308,503.8955373,0.014862396,0.001141386,0.001289161,0.003208039,0.003871689,0.590836889
1,14,23,3,33,15,0.573043581,0.551247766,0.925971744,0.756705761,-410.5950623,827.1901245,838.84845,502.7016143,0.001456887,0.000196679,0.000293296,0.000982504,0.001453074,0.612187079
