complexity,loss,equation,score,sympy_format,lambda_format,run,equation_index,equation_string
1,0.7668599,3.2340677,0.0,3.23406770000000,PySRFunction(X=>3.23406770000000),20,0,3.23406770000000
4,0.6870479,sqrt(x0 + 10.312866),0.036633370580920525,3.21136513028338*sqrt(0.0969662555491364*x0 + 1),PySRFunction(X=>3.21136513028338*sqrt(0.0969662555491364*x0 + 1)),20,1,3.21136513028338*sqrt(0.0969662555491364*x0 + 1)
5,0.68021554,(x0 * 0.21966687) + 3.1080542,0.009994294693185699,x0*0.21966687 + 3.1080542,PySRFunction(X=>x0*0.21966687 + 3.1080542),20,2,x0*0.21966687 + 3.1080542
6,0.6494369,sqrt(10.227066 + (x0 - x2)),0.046304038797816444,3.19797842394223*sqrt(0.0977797542325433*x0 - 0.0977797542325433*x2 + 1),PySRFunction(X=>3.19797842394223*sqrt(0.0977797542325433*x0 - 0.0977797542325433*x2 + 1)),20,3,3.19797842394223*sqrt(0.0977797542325433*x0 - 0.0977797542325433*x2 + 1)
8,0.60392106,sqrt(((x0 / 0.4543257) + 10.227066) - x2),0.03633109285340695,3.19797842394223*sqrt(0.215219509335579*x0 - 0.0977797542325433*x2 + 1),PySRFunction(X=>3.19797842394223*sqrt(0.215219509335579*x0 - 0.0977797542325433*x2 + 1)),20,4,3.19797842394223*sqrt(0.215219509335579*x0 - 0.0977797542325433*x2 + 1)
9,0.603921,sqrt((x0 / cos(1.0991812)) + (10.227066 - x2)),9.935073790913073e-08,3.19797842394223*sqrt(0.215219514130746*x0 - 0.0977797542325433*x2 + 1),PySRFunction(X=>3.19797842394223*sqrt(0.215219514130746*x0 - 0.0977797542325433*x2 + 1)),20,5,3.19797842394223*sqrt(0.215219514130746*x0 - 0.0977797542325433*x2 + 1)
11,0.60143054,sqrt(10.227066 + (1.0991812 * ((x0 / cos(1.052651)) - x2))),0.0020661719517767493,3.19797842394223*sqrt(0.217008336827603*x0 - 0.107477667593032*x2 + 1),PySRFunction(X=>3.19797842394223*sqrt(0.217008336827603*x0 - 0.107477667593032*x2 + 1)),20,6,3.19797842394223*sqrt(0.217008336827603*x0 - 0.107477667593032*x2 + 1)
13,0.6009306,sqrt((((x0 * 1.0991812) / cos(1.0991812)) + (10.227066 - x2)) - x2),0.0004157985585023586,3.19797842394223*sqrt(0.23656524380565*x0 - 0.195559508465087*x2 + 1),PySRFunction(X=>3.19797842394223*sqrt(0.23656524380565*x0 - 0.195559508465087*x2 + 1)),20,7,3.19797842394223*sqrt(0.23656524380565*x0 - 0.195559508465087*x2 + 1)
14,0.574773,(cos(cos(x1)) + (x0 * 0.3951459)) + sqrt((x2 * -0.9599073) + 6.1491513),0.04450427341641192,0.3951459*x0 + 2.4797482331882*sqrt(1 - 0.15610403016104*x2) + cos(cos(x1)),PySRFunction(X=>0.3951459*x0 + 2.4797482331882*sqrt(1 - 0.15610403016104*x2) + cos(cos(x1))),20,8,0.3951459*x0 + 2.4797482331882*sqrt(1 - 0.15610403016104*x2) + cos(cos(x1))
17,0.5727403,sqrt(exp((x2 * -0.1812297) + exp(cos(cos(sin(x3)))))) + ((x0 * 0.3918101) + 0.5890722),0.0011809316290575815,0.3918101*x0 + sqrt(exp(-0.1812297*x2 + exp(cos(cos(sin(x3)))))) + 0.5890722,PySRFunction(X=>0.3918101*x0 + sqrt(exp(-0.1812297*x2 + exp(cos(cos(sin(x3)))))) + 0.5890722),20,9,0.3918101*x0 + sqrt(exp(-0.1812297*x2 + exp(cos(cos(sin(x3)))))) + 0.5890722
18,0.5624148,sqrt(exp(exp(cos(cos(sin(x3 * x0))))) - x2) + cos((x0 * 0.5409942) + -0.6429863),0.01819272941463789,sqrt(-x2 + exp(exp(cos(cos(sin(x0*x3)))))) + cos(0.5409942*x0 - 0.6429863),PySRFunction(X=>sqrt(-x2 + exp(exp(cos(cos(sin(x0*x3)))))) + cos(0.5409942*x0 - 0.6429863)),20,10,sqrt(-x2 + exp(exp(cos(cos(sin(x0*x3)))))) + cos(0.5409942*x0 - 0.6429863)
19,0.5478726,(cos(cos(x1)) + (x0 * 0.3893564)) + sqrt((x2 * -0.9599073) + exp(exp(sin(cos(cos(x3)))))),0.026196877771555247,0.3893564*x0 + sqrt(-0.9599073*x2 + exp(exp(sin(cos(cos(x3)))))) + cos(cos(x1)),PySRFunction(X=>0.3893564*x0 + sqrt(-0.9599073*x2 + exp(exp(sin(cos(cos(x3)))))) + cos(cos(x1))),20,11,0.3893564*x0 + sqrt(-0.9599073*x2 + exp(exp(sin(cos(cos(x3)))))) + cos(cos(x1))
20,0.53795,(sqrt((x2 * -0.9599073) + exp(exp(cos(cos(sin(sin(x3))))))) + cos(cos(x1))) + (x0 * 0.38570043),0.018277159128200927,0.38570043*x0 + sqrt(-0.9599073*x2 + exp(exp(cos(cos(sin(sin(x3))))))) + cos(cos(x1)),PySRFunction(X=>0.38570043*x0 + sqrt(-0.9599073*x2 + exp(exp(cos(cos(sin(sin(x3))))))) + cos(cos(x1))),20,12,0.38570043*x0 + sqrt(-0.9599073*x2 + exp(exp(cos(cos(sin(sin(x3))))))) + cos(cos(x1))
25,0.5333194,(cos(cos(x1)) + (square(sin(cos(cos(cos(x5))))) * x0)) + sqrt((-0.9599073 * x2) + exp(exp(sin(cos(cos(sin(x3))))))),0.0017290249642838086,x0*sin(cos(cos(cos(x5))))**2 + sqrt(-0.9599073*x2 + exp(exp(sin(cos(cos(sin(x3))))))) + cos(cos(x1)),PySRFunction(X=>x0*sin(cos(cos(cos(x5))))**2 + sqrt(-0.9599073*x2 + exp(exp(sin(cos(cos(sin(x3))))))) + cos(cos(x1))),20,13,x0*sin(cos(cos(cos(x5))))**2 + sqrt(-0.9599073*x2 + exp(exp(sin(cos(cos(sin(x3))))))) + cos(cos(x1))
26,0.5331052,(cos(cos(x1)) + (square(sin(cos(cos(cos(x5))))) * x0)) + sqrt(exp(exp(sin(cos(cos(sin(sin(x3))))))) + (x2 * -0.9599073)),0.00040171616986441484,x0*sin(cos(cos(cos(x5))))**2 + sqrt(-0.9599073*x2 + exp(exp(sin(cos(cos(sin(sin(x3)))))))) + cos(cos(x1)),PySRFunction(X=>x0*sin(cos(cos(cos(x5))))**2 + sqrt(-0.9599073*x2 + exp(exp(sin(cos(cos(sin(sin(x3)))))))) + cos(cos(x1))),20,14,x0*sin(cos(cos(cos(x5))))**2 + sqrt(-0.9599073*x2 + exp(exp(sin(cos(cos(sin(sin(x3)))))))) + cos(cos(x1))
28,0.5279934,(cos(cos(x1)) + sqrt((-0.9599073 * x2) + exp(exp(sin(cos(cos(sin(x3)))))))) + (x0 * square(cos(cos(sin(x1) / (x5 + x4))))),0.0048174972102494875,x0*cos(cos(sin(x1)/(x4 + x5)))**2 + sqrt(-0.9599073*x2 + exp(exp(sin(cos(cos(sin(x3))))))) + cos(cos(x1)),PySRFunction(X=>x0*cos(cos(sin(x1)/(x4 + x5)))**2 + sqrt(-0.9599073*x2 + exp(exp(sin(cos(cos(sin(x3))))))) + cos(cos(x1))),20,15,x0*cos(cos(sin(x1)/(x4 + x5)))**2 + sqrt(-0.9599073*x2 + exp(exp(sin(cos(cos(sin(x3))))))) + cos(cos(x1))
33,0.5262293,(cos(cos(cos(-1.2266462 - sin(x1)))) + (square(cos(cos((x1 * x3) / (x5 + x4)))) * x0)) + sqrt((x2 * -0.9599073) + exp(exp(cos(cos(sin(sin(x3))))))),0.0006693468644094539,x0*cos(cos(x1*x3/(x4 + x5)))**2 + sqrt(-0.9599073*x2 + exp(exp(cos(cos(sin(sin(x3))))))) + cos(cos(cos(sin(x1) + 1.2266462))),PySRFunction(X=>x0*cos(cos(x1*x3/(x4 + x5)))**2 + sqrt(-0.9599073*x2 + exp(exp(cos(cos(sin(sin(x3))))))) + cos(cos(cos(sin(x1) + 1.2266462)))),20,16,x0*cos(cos(x1*x3/(x4 + x5)))**2 + sqrt(-0.9599073*x2 + exp(exp(cos(cos(sin(sin(x3))))))) + cos(cos(cos(sin(x1) + 1.2266462)))
