run,fold,equation_index,equation,nan_count_train,nan_count_test_int,nan_count_test_ext,nan_count_synthetic
3,,7,exp(1.07923139328919*sqrt(sqrt(-0.234856402698412*x2 + 0.737125984118473*sin(sin(x0)) + 1) + 0.177672174807055)),0,0,1,0
3,,8,exp(1.07923139328919*(-0.264532623058392*x2 + 0.737125984118473*sin(x0) + 0.737125984118473*sin(cos(x6)) + 1)**(1/4)),0,0,0,1
3,,11,exp(1.20148688118766*(-0.143689113115771*x2 + 0.479870295282044*sin(x0) - 0.279579200202482*cos(2.4348366*x3) + 1)**(1/4)),0,0,1,0
3,,15,exp(1.17848619982766*(-0.165181984272478*x2 + 0.518444169784244*sin(x0 + sin(x0) + cos(x0 + cos(x2**2) + 1.2228734)) - 0.272533475940043*cos(2.49902*x3) + 1)**(1/4)) + 0.15504844,0,0,1,0
3,,16,1.02277025491812*exp(1.17848619982766*(0.518444169784244*x0 - 0.165181984272478*x2 + 0.518444169784244*sin(cos(x6)) + 0.518444169784244*sin(cos(x0 + cos(x2**2) + 2.0137458)) - 0.272533475940043*cos(2.49902*x3) + 1)**(1/4)),0,0,1,1
3,,21,1.1677145238267*exp(1.14365686028625*(-0.0906326008926368*x2 + 0.584543778013096*sin(x0 + cos(x0 + sin(x1 - sin(x0) + cos(x6)) + cos(x2**2) + 1.3801233)) - 0.30728043046049*cos(2.5865974*x3) + 1)**(1/4)),0,0,1,0
3,,23,1.1677145238267*exp(1.14365686028625*(-0.0906326008926368*x2 + 0.584543778013096*sin(x0 + cos(x0 + sin(x1 - sin(x0) + cos(x6) + 0.15504844) + cos(x2**2) + 1.3801233)) - 0.30728043046049*cos(2.5865974*x3) + 1)**(1/4)),0,0,1,0
3,,24,1.1677145238267*exp(1.14365686028625*(-0.0906326008926368*x2 + 0.584543778013096*sin(x0 + cos(x0 + sin(x1 - sin(sin(x0)) + cos(x6) + 0.15504844) + cos(x2**2) + 1.3801233)) - 0.30728043046049*cos(2.5865974*x3) + 1)**(1/4)),0,0,1,0
3,,26,1.1677145238267*exp(1.14365686028625*(-0.0906326008926368*x2 + 0.584543778013096*sin(x0 + cos(x0 + sin(x1 - sin(x0) + cos(x6) + 0.273822366575296*exp(-x3)) + cos(x2**2) + 1.3801233)) - 0.30728043046049*cos(2.5865974*x3) + 1)**(1/4)),0,0,1,0
3,,49,exp(1.17848619982766*(-0.0643325446069364*x5*x6 - 0.0643325446069364*sin(2.4558961*x1 + 1.4890788392253) + 0.518444169784244*sin(x0 + sin(sin(x0) - sin(x2 + exp(sin(x3)) - 1.723786)) + sin(sin(x0 - x2 + 2.49902*x3 + sin(cos((-x0 + sin(x6) - 0.6635715)**2)) + sin(cos(x1 - (x4 + 1.5813043)*cos(x2 - 0.17572415) + 2.81722537)) + 1.5744292) + sin(sin(cos(x0))) - sin(cos(x1 + 2.4561312)) + 1.928848) + cos(x0 + cos(x2**2) + 1.2228734)) + 0.0643325446069364*sin(x2 + x4 + 1.79621859726864*(1 - 0.746140142429199*sin(x6))**2 - sin(x2) + cos(1.5749733*x3) - 1.723786) + 0.0643325446069364*sin(sin(sin(exp(x2) + sin(x3) + 1.723786))) - 0.272533475940043*cos(2.1540952*x3) + 1)**(1/4)) + 0.15504844,0,0,0,1
