complexity,loss,equation,score,sympy_format,lambda_format,run,equation_index,equation_string
1,16.163887,5.819625,0.0,5.81962500000000,PySRFunction(X=>5.81962500000000),1,0,5.81962500000000
3,9.207157,5.819625 - x0,0.2813992199723804,5.819625 - x0,PySRFunction(X=>5.819625 - x0),1,1,5.819625 - x0
4,3.321581,exp(-2.3252902 / x0),1.0195402420050368,exp(-2.3252902/x0),PySRFunction(X=>exp(-2.3252902/x0)),1,2,exp(-2.3252902/x0)
5,0.62130827,5.819625 - (x0 / x1),1.6763687855992842,5.819625 - x0/x1,PySRFunction(X=>5.819625 - x0/x1),1,3,5.819625 - x0/x1
6,0.5488754,exp(-2.3252902 / x0) + 1.5344534,0.12395591013600028,1.5344534 + exp(-2.3252902/x0),PySRFunction(X=>1.5344534 + exp(-2.3252902/x0)),1,4,1.5344534 + exp(-2.3252902/x0)
7,0.51130444,exp(square(square(square(x0)))) / 0.8653566,0.07090627184943492,exp(x0**8)/0.8653566,PySRFunction(X=>exp(x0**8)/0.8653566),1,5,exp(x0**8)/0.8653566
8,0.5105775,exp(square(square(square(x0)))) * exp(0.13503604),0.001422747764038746,exp(0.13503604)*exp(x0**8),PySRFunction(X=>exp(0.13503604)*exp(x0**8)),1,6,exp(0.13503604)*exp(x0**8)
9,0.51017725,(1.1378244 * exp(square(square(square(x0))))) / 0.9929181,0.0007842236747133182,1.1378244*exp(x0**8)/0.9929181,PySRFunction(X=>1.1378244*exp(x0**8)/0.9929181),1,7,1.1378244*exp(x0**8)/0.9929181
12,0.5096844,((1.0802475 / square(exp(x0))) + x0) + square(x0 * 0.9767379),0.0003221679060524066,0.95401692529641*x0**2 + x0 + 1.0802475/exp(2*x0),PySRFunction(X=>0.95401692529641*x0**2 + x0 + 1.0802475/exp(2*x0)),1,8,0.95401692529641*x0**2 + x0 + 1.0802475/exp(2*x0)
15,0.50967807,(1.102407 / square(exp(x0))) + (sin(sqrt(cos(0.11604842))) + (1.102407 * sin(x0))),4.13984242532167e-06,1.102407*sin(x0) + 0.839646093909052 + 1.102407*exp(-2*x0),PySRFunction(X=>1.102407*sin(x0) + 0.839646093909052 + 1.102407*exp(-2*x0)),1,9,1.102407*sin(x0) + 0.839646093909052 + 1.102407*exp(-2*x0)
19,0.50967777,(1.102407 / square(exp(x0))) + (sin((x0 * x0) + 1.0789299) * (x0 + sqrt(sin(cos(0.21958573))))),1.4715175417925343e-07,(x0 + 0.910085594950523)*sin(x0**2 + 1.0789299) + 1.102407*exp(-2*x0),PySRFunction(X=>(x0 + 0.910085594950523)*sin(x0**2 + 1.0789299) + 1.102407*exp(-2*x0)),1,10,(x0 + 0.910085594950523)*sin(x0**2 + 1.0789299) + 1.102407*exp(-2*x0)
23,0.50967765,(1.102407 / square(exp(x0))) + ((x0 + sqrt(sin(cos(0.5460203 + (x1 / -0.83514607))))) * sin((x0 * x0) + 1.0789299)),5.88607259502284e-08,(x0 + sqrt(sin(cos(1.19739532510762*x1 - 0.5460203))))*sin(x0**2 + 1.0789299) + 1.102407*exp(-2*x0),PySRFunction(X=>(x0 + sqrt(sin(cos(1.19739532510762*x1 - 0.5460203))))*sin(x0**2 + 1.0789299) + 1.102407*exp(-2*x0)),1,11,(x0 + sqrt(sin(cos(1.19739532510762*x1 - 0.5460203))))*sin(x0**2 + 1.0789299) + 1.102407*exp(-2*x0)
26,0.50967747,(1.102407 / square(exp(x0))) + (sin((x0 * x0) + 1.0789299) * (x0 + sqrt(sin(cos((x1 / -0.83514607) + (x1 * square(0.57760656))))))),1.1772148651119853e-07,(x0 + sqrt(sin(cos(0.863765986952585*x1))))*sin(x0**2 + 1.0789299) + 1.102407*exp(-2*x0),PySRFunction(X=>(x0 + sqrt(sin(cos(0.863765986952585*x1))))*sin(x0**2 + 1.0789299) + 1.102407*exp(-2*x0)),1,12,(x0 + sqrt(sin(cos(0.863765986952585*x1))))*sin(x0**2 + 1.0789299) + 1.102407*exp(-2*x0)
35,0.50967735,(1.102407 / square(exp(x0))) + (sin((x0 * x0) + 1.0789299) * (x0 + sqrt(sin(cos((x1 / -0.83514607) + (sin(x1 * 0.57760656) * ((x1 / -0.83514607) + cos(x0 * 0.5038396)))))))),2.616033801497056e-08,(x0 + sqrt(sin(cos(1.19739532510762*x1 - (-1.19739532510762*x1 + cos(0.5038396*x0))*sin(0.57760656*x1)))))*sin(x0**2 + 1.0789299) + 1.102407*exp(-2*x0),PySRFunction(X=>(x0 + sqrt(sin(cos(1.19739532510762*x1 - (-1.19739532510762*x1 + cos(0.5038396*x0))*sin(0.57760656*x1)))))*sin(x0**2 + 1.0789299) + 1.102407*exp(-2*x0)),1,13,(x0 + sqrt(sin(cos(1.19739532510762*x1 - (-1.19739532510762*x1 + cos(0.5038396*x0))*sin(0.57760656*x1)))))*sin(x0**2 + 1.0789299) + 1.102407*exp(-2*x0)
49,0.5096773,(sin((x0 * x0) + 1.0789299) * (sqrt(sin(cos(sqrt(x1) / (sqrt((((cos(square(x1 * x1)) / (0.7089157 - sin(x1))) + (((x0 * x0) * 0.5280097) + exp(sqrt(cos(x0))))) + x0) + x1) * x0)))) + x0)) + (1.102407 / square(exp(x0))),7.007234573078721e-09,(x0 + sqrt(sin(cos(sqrt(x1)/(x0*sqrt(0.5280097*x0**2 + x0 + x1 + exp(sqrt(cos(x0))) + cos(x1**4)/(0.7089157 - sin(x1))))))))*sin(x0**2 + 1.0789299) + 1.102407*exp(-2*x0),PySRFunction(X=>(x0 + sqrt(sin(cos(sqrt(x1)/(x0*sqrt(0.5280097*x0**2 + x0 + x1 + exp(sqrt(cos(x0))) + cos(x1**4)/(0.7089157 - sin(x1))))))))*sin(x0**2 + 1.0789299) + 1.102407*exp(-2*x0)),1,14,(x0 + sqrt(sin(cos(sqrt(x1)/(x0*sqrt(0.5280097*x0**2 + x0 + x1 + exp(sqrt(cos(x0))) + cos(x1**4)/(0.7089157 - sin(x1))))))))*sin(x0**2 + 1.0789299) + 1.102407*exp(-2*x0)
1,15.510407,5.4933953,0.0,5.49339530000000,PySRFunction(X=>5.49339530000000),2,0,5.49339530000000
3,8.839053,5.5488124 - x0,0.2811657368823309,5.5488124 - x0,PySRFunction(X=>5.5488124 - x0),2,1,5.5488124 - x0
4,1.203445,exp(1.2148411 - x0),1.9939914670590795,exp(1.2148411 - x0),PySRFunction(X=>exp(1.2148411 - x0)),2,2,exp(1.2148411 - x0)
5,0.8377457,5.5488124 - (x0 / x1),0.36222896232923585,5.5488124 - x0/x1,PySRFunction(X=>5.5488124 - x0/x1),2,3,5.5488124 - x0/x1
6,0.83028036,exp(1.0854458 - x0) + 0.9439718,0.008951166920771728,exp(1.0854458 - x0) + 0.9439718,PySRFunction(X=>exp(1.0854458 - x0) + 0.9439718),2,4,exp(1.0854458 - x0) + 0.9439718
11,0.83027756,exp((sin(x1 + 0.62942886) - x0) + 0.30788344) + 0.9435577,6.744721075546802e-07,exp(-x0 + sin(x1 + 0.62942886) + 0.30788344) + 0.9435577,PySRFunction(X=>exp(-x0 + sin(x1 + 0.62942886) + 0.30788344) + 0.9435577),2,5,exp(-x0 + sin(x1 + 0.62942886) + 0.30788344) + 0.9435577
14,0.8302664,exp(sin(x1 + 0.6267636) + (0.30788344 - x0)) + cos(0.30632314 / x0),4.480459523713267e-06,exp(-x0 + sin(x1 + 0.6267636) + 0.30788344) + cos(0.30632314/x0),PySRFunction(X=>exp(-x0 + sin(x1 + 0.6267636) + 0.30788344) + cos(0.30632314/x0)),2,6,exp(-x0 + sin(x1 + 0.6267636) + 0.30788344) + cos(0.30632314/x0)
15,0.83026147,cos(square(square(((x0 + 2.6405) * 0.005774439) + 0.74557984))) + exp(1.0854458 - x0),5.937870829031123e-06,exp(1.0854458 - x0) + cos(((x0 + 2.6405)*0.005774439 + 0.74557984)**4),PySRFunction(X=>exp(1.0854458 - x0) + cos(((x0 + 2.6405)*0.005774439 + 0.74557984)**4)),2,7,exp(1.0854458 - x0) + cos(((x0 + 2.6405)*0.005774439 + 0.74557984)**4)
19,0.8302601,cos(square(square((((x0 + 2.6197941) + (x0 * 0.38142413)) * 0.005774439) + 0.7456211))) + exp(1.0854458 - x0),4.1252098882091376e-07,exp(1.0854458 - x0) + cos(((x0*0.38142413 + x0 + 2.6197941)*0.005774439 + 0.7456211)**4),PySRFunction(X=>exp(1.0854458 - x0) + cos(((x0*0.38142413 + x0 + 2.6197941)*0.005774439 + 0.7456211)**4)),2,8,exp(1.0854458 - x0) + cos(((x0*0.38142413 + x0 + 2.6197941)*0.005774439 + 0.7456211)**4)
24,0.83026004,cos(square(square((0.005774439 * ((x0 + square(1.6185778)) + (x0 * square(-0.61759543)))) + sin(sin(cos(0.005774439)))))) + exp(1.0854458 - x0),1.4453302566326671e-08,exp(1.0854458 - x0) + cos((0.005774439*(x0*0.381424115156885 + x0 + 2.61979409465284) + sin(sin(cos(0.005774439))))**4),PySRFunction(X=>exp(1.0854458 - x0) + cos((0.005774439*(x0*0.381424115156885 + x0 + 2.61979409465284) + sin(sin(cos(0.005774439))))**4)),2,9,exp(1.0854458 - x0) + cos((0.005774439*(x0*0.381424115156885 + x0 + 2.61979409465284) + sin(sin(cos(0.005774439))))**4)
156,0.83026,sqrt(square(cos(((((x1 + cos(cos(x1 - (x1 * (x0 / square(x0)))) + 0.44212955)) + sqrt(square(exp(sin(-0.8223161 - square((x0 + x1) + -0.3305087)))))) + exp((x1 * x1) - cos(x0))) * (x1 * 0.053434435)) + (x1 * (cos((((((sqrt(square(sin(exp(-0.8223161 - square((x0 + x0) + x1))))) + cos(cos(x1 - square((x1 / 0.9323957) * 0.44212955)))) + (x1 + (x1 * ((x1 * -0.21134725) + -2.1520452)))) * 0.053434435) + (sin(-0.62683755 - square((x0 + x1) + x1)) * (cos(((x1 * x1) / 1.560653) + sin(x1)) * x1))) + x1) * x1) + 0.19547854))) + exp((0.11021015 - x0) + sin(cos(((square(x0 * (x1 + (x0 + -0.8223161))) - 1.1053985) - square(cos(sin(x0) * (x1 - -1.5288317)) * x1)) + (square(((sin(x0) * 0.28383866) - (x1 - 1.8126704)) + -0.8223161) + x0)) + sqrt(exp(x1)))))),3.6498240999633166e-10,1.11651268094621*sqrt((exp(-x0 + sin(sqrt(exp(x1)) + cos(x0**2*(x0 + x1 - 0.8223161)**2 + x0 - x1**2*cos((x1 + 1.5288317)*sin(x0))**2 + (-x1 + 0.28383866*sin(x0) + 0.9903543)**2 - 1.1053985))) + 0.895645895532982*cos(x1*(cos(x1*(0.053434435*x1*(-0.21134725*x1 - 2.1520452) - x1*sin((x0 + 2*x1)**2 + 0.62683755)*cos(0.640757426538763*x1**2 + sin(x1)) + 1.053434435*x1 + 0.053434435*sqrt(sin(0.439412751147509*exp(-(2*x0 + x1)**2))**2) + 0.053434435*cos(cos(0.22485293483613*x1**2 - x1)))) + 0.19547854) + 0.053434435*x1*(x1 + exp(x1**2 - cos(x0)) + sqrt(exp(-2*sin((x0 + x1 - 0.3305087)**2 + 0.8223161))) + cos(cos(x1 - x1/x0) + 0.44212955))))**2),PySRFunction(X=>1.11651268094621*sqrt((exp(-x0 + sin(sqrt(exp(x1)) + cos(x0**2*(x0 + x1 - 0.8223161)**2 + x0 - x1**2*cos((x1 + 1.5288317)*sin(x0))**2 + (-x1 + 0.28383866*sin(x0) + 0.9903543)**2 - 1.1053985))) + 0.895645895532982*cos(x1*(cos(x1*(0.053434435*x1*(-0.21134725*x1 - 2.1520452) - x1*sin((x0 + 2*x1)**2 + 0.62683755)*cos(0.640757426538763*x1**2 + sin(x1)) + 1.053434435*x1 + 0.053434435*sqrt(sin(0.439412751147509*exp(-(2*x0 + x1)**2))**2) + 0.053434435*cos(cos(0.22485293483613*x1**2 - x1)))) + 0.19547854) + 0.053434435*x1*(x1 + exp(x1**2 - cos(x0)) + sqrt(exp(-2*sin((x0 + x1 - 0.3305087)**2 + 0.8223161))) + cos(cos(x1 - x1/x0) + 0.44212955))))**2)),2,10,1.11651268094621*sqrt((exp(-x0 + sin(sqrt(exp(x1)) + cos(x0**2*(x0 + x1 - 0.8223161)**2 + x0 - x1**2*cos((x1 + 1.5288317)*sin(x0))**2 + (-x1 + 0.28383866*sin(x0) + 0.9903543)**2 - 1.1053985))) + 0.895645895532982*cos(x1*(cos(x1*(0.053434435*x1*(-0.21134725*x1 - 2.1520452) - x1*sin((x0 + 2*x1)**2 + 0.62683755)*cos(0.640757426538763*x1**2 + sin(x1)) + 1.053434435*x1 + 0.053434435*sqrt(sin(0.439412751147509*exp(-(2*x0 + x1)**2))**2) + 0.053434435*cos(cos(0.22485293483613*x1**2 - x1)))) + 0.19547854) + 0.053434435*x1*(x1 + exp(x1**2 - cos(x0)) + sqrt(exp(-2*sin((x0 + x1 - 0.3305087)**2 + 0.8223161))) + cos(cos(x1 - x1/x0) + 0.44212955))))**2)
1,15.449073,6.0502715,0.0,6.05027150000000,PySRFunction(X=>6.05027150000000),3,0,6.05027150000000
3,8.730482,6.0074706 - x0,0.2853642106516746,6.0074706 - x0,PySRFunction(X=>6.0074706 - x0),3,1,6.0074706 - x0
4,1.56137,exp(1.0971429 - x0),1.7212569392471844,exp(1.0971429 - x0),PySRFunction(X=>exp(1.0971429 - x0)),3,2,exp(1.0971429 - x0)
5,0.89722884,6.0502715 - (x0 / x1),0.5540079733964562,6.0502715 - x0/x1,PySRFunction(X=>6.0502715 - x0/x1),3,3,6.0502715 - x0/x1
6,0.7405242,exp(x0 * -1.8685066) + 2.0068595,0.19195263278377428,exp(x0*(-1.8685066)) + 2.0068595,PySRFunction(X=>exp(x0*(-1.8685066)) + 2.0068595),3,4,exp(x0*(-1.8685066)) + 2.0068595
10,0.74052405,((exp(x0 * -1.8685066) + -0.46135873) - -1.5066012) + 0.96161705,5.063980864594078e-08,exp(x0*(-1.8685066)) - 0.46135873 + 0.96161705 - 1*(-1.5066012),PySRFunction(X=>exp(x0*(-1.8685066)) - 0.46135873 + 0.96161705 - 1*(-1.5066012)),3,5,exp(x0*(-1.8685066)) - 0.46135873 + 0.96161705 - 1*(-1.5066012)
11,0.7405238,exp(x1 + 0.013430521) + (exp(x0 * -1.8685066) + 0.69060624),3.375988156016389e-07,exp(x0*(-1.8685066)) + exp(x1 + 0.013430521) + 0.69060624,PySRFunction(X=>exp(x0*(-1.8685066)) + exp(x1 + 0.013430521) + 0.69060624),3,6,exp(x0*(-1.8685066)) + exp(x1 + 0.013430521) + 0.69060624
13,0.7401657,(exp((x0 * -1.8685066) + (x1 * 0.013430521)) + 0.69060624) + exp(x1),0.00024184679298503757,exp(x1) + exp(x0*(-1.8685066) + x1*0.013430521) + 0.69060624,PySRFunction(X=>exp(x1) + exp(x0*(-1.8685066) + x1*0.013430521) + 0.69060624),3,7,exp(x1) + exp(x0*(-1.8685066) + x1*0.013430521) + 0.69060624
17,0.7401022,exp((((-0.7521753 - x0) * 0.022517968) - x1) * 1.0869983) + (exp(x0 * -1.8685066) + 1.2662855),2.1448820189565826e-05,exp(x0*(-1.8685066)) + exp(-x1 - x0 - 0.7521753*0.022517968*1.0869983) + 1.2662855,PySRFunction(X=>exp(x0*(-1.8685066)) + exp(-x1 - x0 - 0.7521753*0.022517968*1.0869983) + 1.2662855),3,8,exp(x0*(-1.8685066)) + exp(-x1 - x0 - 0.7521753*0.022517968*1.0869983) + 1.2662855
20,0.7400978,(cos(exp(sin(x0))) * 0.026678864) + ((exp(x0 * -1.8685066) + exp(x1 * (-0.073706664 - 1.0869983))) + 1.2662855),1.9817141827953584e-06,exp(x0*(-1.8685066)) + exp(x1*(-1*1.0869983 - 0.073706664)) + cos(exp(sin(x0)))*0.026678864 + 1.2662855,PySRFunction(X=>exp(x0*(-1.8685066)) + exp(x1*(-1*1.0869983 - 0.073706664)) + cos(exp(sin(x0)))*0.026678864 + 1.2662855),3,9,exp(x0*(-1.8685066)) + exp(x1*(-1*1.0869983 - 0.073706664)) + cos(exp(sin(x0)))*0.026678864 + 1.2662855
21,0.7400968,(exp(cos(x0 + 0.7183364)) * 0.026678864) + ((exp(x0 * -1.8685066) + 1.2662855) + exp((-0.073706664 - x1) * 1.0869983)),1.3511736902765488e-06,exp(x0*(-1.8685066)) + exp(-x1 - 0.073706664*1.0869983) + exp(cos(x0 + 0.7183364))*0.026678864 + 1.2662855,PySRFunction(X=>exp(x0*(-1.8685066)) + exp(-x1 - 0.073706664*1.0869983) + exp(cos(x0 + 0.7183364))*0.026678864 + 1.2662855),3,10,exp(x0*(-1.8685066)) + exp(-x1 - 0.073706664*1.0869983) + exp(cos(x0 + 0.7183364))*0.026678864 + 1.2662855
23,0.74009633,((exp(-0.073706664 - (x1 * 1.0869983)) + ((exp(x1) * 0.029654533) * square(0.17771101 - x0))) + exp(x0 * -1.8685066)) + 1.2662855,3.1752613256844207e-07,exp(x1)*0.029654533*(0.17771101 - x0)**2 + exp(x0*(-1.8685066)) + exp(-1.0869983*x1 - 0.073706664) + 1.2662855,PySRFunction(X=>exp(x1)*0.029654533*(0.17771101 - x0)**2 + exp(x0*(-1.8685066)) + exp(-1.0869983*x1 - 0.073706664) + 1.2662855),3,11,exp(x1)*0.029654533*(0.17771101 - x0)**2 + exp(x0*(-1.8685066)) + exp(-1.0869983*x1 - 0.073706664) + 1.2662855
