complexity,loss,equation,score,sympy_format,lambda_format,run,equation_index,equation_string
1,15.308378,6.0901904,0.0,6.09019040000000,PySRFunction(X=>6.09019040000000),24,0,6.09019040000000
3,8.642909,5.997538 - x0,0.28583052213305127,5.997538 - x0,PySRFunction(X=>5.997538 - x0),24,1,5.997538 - x0
4,1.3646625,square(-2.005417 + x0),1.8458320706458122,4.021697343889*(0.49864940807822*x0 - 1)**2,PySRFunction(X=>4.021697343889*(0.49864940807822*x0 - 1)**2),24,2,4.021697343889*(0.49864940807822*x0 - 1)**2
5,0.8338707,square(2.2259836 - sin(x0)),0.49258406993160214,4.95500298746896*(1 - 0.449239608054615*sin(x0))**2,PySRFunction(X=>4.95500298746896*(1 - 0.449239608054615*sin(x0))**2),24,3,4.95500298746896*(1 - 0.449239608054615*sin(x0))**2
7,0.8123764,square(2.2259836 - sin(x0)) + 0.13930506,0.013057287406562292,4.95500298746896*(1 - 0.449239608054615*sin(x0))**2 + 0.13930506,PySRFunction(X=>4.95500298746896*(1 - 0.449239608054615*sin(x0))**2 + 0.13930506),24,4,4.95500298746896*(1 - 0.449239608054615*sin(x0))**2 + 0.13930506
9,0.81186783,x1 + square(-0.023918934 + (2.2259836 - sin(x0))),0.0003131117889948894,x1 + 4.84908879324569*(1 - 0.454119270628177*sin(x0))**2,PySRFunction(X=>x1 + 4.84908879324569*(1 - 0.454119270628177*sin(x0))**2),24,5,x1 + 4.84908879324569*(1 - 0.454119270628177*sin(x0))**2
13,0.81166,exp((exp(x1) - x0) + square(exp(-2.3257701))) + (x0 - 0.18027148),6.40056786507738e-05,x0 + exp(-x0 + exp(x1) + 0.00954688648652254) - 1*0.18027148,PySRFunction(X=>x0 + exp(-x0 + exp(x1) + 0.00954688648652254) - 1*0.18027148),24,6,x0 + exp(-x0 + exp(x1) + 0.00954688648652254) - 1*0.18027148
18,0.81164557,(x0 + exp((exp(x1) - x0) - square(cos(square(x0 * x0)) * 0.36031735))) - 0.052121244,3.555707629425819e-06,x0 + exp(-x0 + exp(x1) - 0.129828592711022*cos(x0**4)**2) - 1*0.052121244,PySRFunction(X=>x0 + exp(-x0 + exp(x1) - 0.129828592711022*cos(x0**4)**2) - 1*0.052121244),24,7,x0 + exp(-x0 + exp(x1) - 0.129828592711022*cos(x0**4)**2) - 1*0.052121244
20,0.81163764,((exp((exp(x1) - x0) - square(cos(square(x0 * x0)) * 0.36031735)) + -0.0016251531) + x0) - 0.052121244,4.885161105117044e-06,x0 + exp(-x0 + exp(x1) - 0.129828592711022*cos(x0**4)**2) - 1*0.052121244 - 0.0016251531,PySRFunction(X=>x0 + exp(-x0 + exp(x1) - 0.129828592711022*cos(x0**4)**2) - 1*0.052121244 - 0.0016251531),24,8,x0 + exp(-x0 + exp(x1) - 0.129828592711022*cos(x0**4)**2) - 1*0.052121244 - 0.0016251531
23,0.8116362,(exp((exp(x1) - x0) - (exp(exp(x1 - (x0 - -0.58947116)) * -1.9250379) * 0.12982859)) + x0) + (-0.0016251531 - 0.05068785),5.913974440620886e-07,x0 + exp(-x0 + exp(x1) - 0.12982859*exp(exp(x1 - (x0 - 1*(-0.58947116)))*(-1.9250379))) - 1*0.05068785 - 0.0016251531,PySRFunction(X=>x0 + exp(-x0 + exp(x1) - 0.12982859*exp(exp(x1 - (x0 - 1*(-0.58947116)))*(-1.9250379))) - 1*0.05068785 - 0.0016251531),24,9,x0 + exp(-x0 + exp(x1) - 0.12982859*exp(exp(x1 - (x0 - 1*(-0.58947116)))*(-1.9250379))) - 1*0.05068785 - 0.0016251531
24,0.81163555,(((x0 + exp((exp(x1) - x0) - square((0.6701078 * 0.5377006) * cos(square(x0 * x0))))) - 0.052121244) + -0.0016251531) - 0.00094484503,8.008517366424235e-07,x0 + exp(-x0 + exp(x1) - 0.129828604331027*cos(x0**4)**2) - 1*0.052121244 - 0.0016251531 - 1*0.00094484503,PySRFunction(X=>x0 + exp(-x0 + exp(x1) - 0.129828604331027*cos(x0**4)**2) - 1*0.052121244 - 0.0016251531 - 1*0.00094484503),24,10,x0 + exp(-x0 + exp(x1) - 0.129828604331027*cos(x0**4)**2) - 1*0.052121244 - 0.0016251531 - 1*0.00094484503
25,0.8116337,(exp((exp(x1) - x0) - (exp((x0 - x1) - ((-0.35869253 * 0.12982859) - sin(x0 - 0.14587024))) * 0.018938128)) - 0.05068785) + x0,2.2793507608213503e-06,x0 + exp(-x0 + exp(x1) - 0.018938128*exp(x0 - x1 - (-sin(x0 - 1*0.14587024) - 0.358692530000000*0.12982859))) - 1*0.05068785,PySRFunction(X=>x0 + exp(-x0 + exp(x1) - 0.018938128*exp(x0 - x1 - (-sin(x0 - 1*0.14587024) - 0.358692530000000*0.12982859))) - 1*0.05068785),24,11,x0 + exp(-x0 + exp(x1) - 0.018938128*exp(x0 - x1 - (-sin(x0 - 1*0.14587024) - 0.358692530000000*0.12982859))) - 1*0.05068785
30,0.81163365,(x0 + -0.0016251531) + (exp((exp(x1) - x0) - square(cos(exp((x0 - 0.28707546) * square(square(cos(x0)))) - (exp(x1) - x0)) * 0.36031735)) - 0.052121244),1.2320829358791298e-08,x0 + exp(-x0 + exp(x1) - 0.129828592711022*cos(-(-x0 + exp(x1)) + exp((x0 - 1*0.28707546)*cos(x0)**4))**2) - 1*0.052121244 - 0.0016251531,PySRFunction(X=>x0 + exp(-x0 + exp(x1) - 0.129828592711022*cos(-(-x0 + exp(x1)) + exp((x0 - 1*0.28707546)*cos(x0)**4))**2) - 1*0.052121244 - 0.0016251531),24,12,x0 + exp(-x0 + exp(x1) - 0.129828592711022*cos(-(-x0 + exp(x1)) + exp((x0 - 1*0.28707546)*cos(x0)**4))**2) - 1*0.052121244 - 0.0016251531
32,0.8116335,(exp(exp(x1) - x0) + x0) - (exp(x0 / (((x0 * -0.98025733) - x1) - ((sin(cos(x1 + (x1 - (0.3162838 + x0)))) * x1) * 0.99161464))) * 0.3162838),9.240623143465782e-08,x0 - 0.3162838*exp(x0/(x0*(-0.98025733) - 0.99161464*x1*sin(cos(x1 + x1 - (x0 + 0.3162838))) - x1)) + exp(-x0 + exp(x1)),PySRFunction(X=>x0 - 0.3162838*exp(x0/(x0*(-0.98025733) - 0.99161464*x1*sin(cos(x1 + x1 - (x0 + 0.3162838))) - x1)) + exp(-x0 + exp(x1))),24,13,x0 - 0.3162838*exp(x0/(x0*(-0.98025733) - 0.99161464*x1*sin(cos(x1 + x1 - (x0 + 0.3162838))) - x1)) + exp(-x0 + exp(x1))
34,0.8116334,(exp((exp(x1) - x0) - (exp((x0 - x1) - sin(((((x1 - x0) - exp(-0.35869253)) * x1) * 0.12982859) - (x0 - 0.14587024))) * 0.018938128)) - 0.05068785) + (x0 + -0.0016251531),6.160416384603821e-08,x0 + exp(-x0 + exp(x1) - 0.018938128*exp(x0 - x1 - sin(-x0 + x1 - exp(-0.35869253)*x1*0.12982859 - (x0 - 1*0.14587024)))) - 1*0.05068785 - 0.0016251531,PySRFunction(X=>x0 + exp(-x0 + exp(x1) - 0.018938128*exp(x0 - x1 - sin(-x0 + x1 - exp(-0.35869253)*x1*0.12982859 - (x0 - 1*0.14587024)))) - 1*0.05068785 - 0.0016251531),24,14,x0 + exp(-x0 + exp(x1) - 0.018938128*exp(x0 - x1 - sin(-x0 + x1 - exp(-0.35869253)*x1*0.12982859 - (x0 - 1*0.14587024)))) - 1*0.05068785 - 0.0016251531
