Run,Equation_Index,Complexity,Constant_Num,Total_Symbols,Distinct_Symbols,MSE_Train,MSE_Test_Interpolation,MSE_Test_Extrapolation,Sigma_Train,Log_likelihood_Train,AIC_Train,BIC_Train,MDL_Train,PSM_Train,Sensitivity_Interpolation_SVP,Sensitivity_Extrapolation_SVP,Sensitivity_Interpolation_MVP,Sensitivity_Extrapolation_MVP,Extrapolation_Divergence
11,0,1,0,1,1,7.738421771686463,8.268551178404824,17.654137207166674,2.781032026579469,-6764.44384765625,13528.8876953125,13528.888,6768.204831559854,0.0,0.0007569303879869792,0.0015808554783318166,0.0007569303879869792,0.0015808554783318166,0.9983332811585658
11,1,3,0,4,4,5.429335791128936,5.91896593620613,10.315387781718252,2.3296192135908345,-6273.6259765625,12547.251953125,12547.252,6282.932028082519,0.17719036333524318,0.0007520526832784981,0.001717917898174581,0.001504105366556996,0.003435835796349162,1.1406406109015894
11,2,5,0,6,4,4.78063865183811,5.117627473263026,8.233230282677923,2.186280342267093,-6097.39501953125,12194.7900390625,12194.79,6109.473482693244,0.06362138906366789,0.0018728151511335233,0.004500388375200599,0.0037456303022670467,0.0090007767504012,1.1056036134691374
11,3,7,1,7,7,3.8881787211592322,3.786425933356806,7.944580113463393,1.9716642419310424,-5811.2080078125,11624.416015625,11630.343,5828.5900861542395,0.10331666753341062,0.009087476808431858,0.02168921313949223,0.027262430425295577,0.06506763941847668,1.4639780700948786
11,4,9,1,10,7,2.285256592946706,2.265093309601919,2.712364607786435,1.5116816565386253,-5075.1318359375,10152.263671875,10158.19,5098.351530773484,0.2657312530614428,0.01127692035179844,0.02713634867831507,0.03383076105539532,0.08140904603494523,1.4889360714622528
11,5,11,2,12,9,2.10097917208456,2.099928963202092,2.1455870631242493,1.4494686672423904,-4958.6884765625,9921.376953125,9933.23,4988.815747339433,0.042037373135574534,0.010755157605905327,0.02595884846408984,0.03226547281771598,0.07787654539226951,1.4560977197255665
11,6,14,3,14,10,2.0965987262647374,2.0869795962176347,2.1012413078568986,1.447960719321852,-4955.7978515625,9917.595703125,9935.376,4991.794614470458,0.000695750691594589,0.011428261415846913,0.027582802720738753,0.034284784247540744,0.08274840816221625,1.4624227033653914
11,7,17,2,18,9,2.0964354280399733,2.0866735567697074,2.0992106530322783,1.4479069708023247,-4955.6904296875,9915.380859375,9927.234,4999.001040897029,2.5963698199937738e-05,0.011331331555342671,0.027382277458040255,0.03399399466602801,0.08214683237412074,1.4509551230810365
11,8,18,5,25,14,2.0886064603649626,2.082131779333197,2.0539307916850578,1.445201052489212,-4950.50830078125,9911.0166015625,9940.649,5020.24530287462,0.0037412811239211463,0.011992836598374811,0.028946133504454918,0.03597850979512442,0.08683840051336476,1.4610505069187276
11,9,22,3,25,12,2.0625897658457935,2.0531123546356222,1.9553329782050524,1.4361688025460058,-4933.1474609375,9872.294921875,9890.075,4999.030699155267,0.003133667607878063,0.00850546921003855,0.0205509442355555,0.0340218768401542,0.082203776942222,1.4606031299213473
11,10,36,7,40,16,2.0621612728057346,2.1124691921954457,1.9872220890475392,1.435897150638665,-4932.85986328125,9879.7197265625,9921.206,5047.524112072326,1.4844184706252021e-05,0.008079841208157114,0.019508662875980274,0.03231936715517621,0.07803465810871411,1.4345892227336126
11,11,39,7,44,18,2.0524512159027424,2.129567398878549,2.054484776831651,1.4326323970658725,-4926.3232421875,9866.646484375,9908.133,5057.260174192009,0.001573306198638349,0.007458882528238228,0.017822649285264922,0.0298318599822071,0.07126832554130669,1.4327191210107597
11,12,40,6,45,17,2.0508661802022377,2.129095422446511,2.006175961888134,1.43200430882121,-4925.2529296875,9862.505859375,9898.065,5056.50818296854,0.000772545724142789,0.00730382954911047,0.018165801385991272,0.02921194853570481,0.07263652406290388,1.4389027314564116
11,13,42,7,47,18,2.046426972473124,2.13387243170281,2.0545305748756,1.43052991181158,-4922.251953125,9858.50390625,9899.99,5061.859998508509,0.0010834230377318762,0.0073197145443835284,0.0186312084034808,0.02926743370944843,0.07451735844420418,1.4654709830249077
11,14,57,12,65,23,2.0450457778026117,2.1096727475785673,2.018803702798721,1.4291984418452144,-4921.31787109375,9866.6357421875,9937.755,5128.886458223087,4.50041685050657e-05,0.007065533539020468,0.017636963658091864,0.02826428737267413,0.07054099898579402,1.4613203455742938
11,15,58,10,68,21,2.0334486018135656,2.1052114075370927,2.0113292931923947,1.425638073221172,-4913.4404296875,9846.880859375,9906.146,5124.228894803437,0.005687064522760788,0.00779044363807025,0.018146468511067635,0.031137760477825665,0.07252018445180053,1.4445268286802582
11,16,69,11,79,20,2.032608502489815,2.1068313767518703,2.0168743879720554,1.4256234049609504,-4912.86767578125,9847.7353515625,9912.928,5153.291170258851,3.7570459790382825e-05,0.007711628926228409,0.01821492121292752,0.03082553365375574,0.07277114688535616,1.4512672797965858
11,17,71,13,91,23,2.031431389368451,2.121325539631504,2.014268012892388,1.4251273168385294,-4912.0654296875,9850.130859375,9927.177,5201.156135992709,0.0002896379124908109,0.00782737329238284,0.01833256882531761,0.031245552889138915,0.07308932019520932,1.445252856986453
11,18,72,13,90,24,2.0304895079770073,2.120247377167058,2.0172252397406862,1.4248205453313276,-4911.42333984375,9848.8466796875,9925.893,5201.208892206558,0.00046381998235314764,0.007849176937241438,0.018364223063529403,0.031329853118279606,0.07320243074024127,1.4462216084445643
11,19,74,10,87,21,2.030013554946897,2.1117957203922675,2.0108488001582785,1.4247116371758184,-4911.0986328125,9842.197265625,9901.463,5179.732731583816,0.00011717760143940738,0.007689032753108229,0.0182357074673068,0.03073657526959819,0.07284933190261542,1.4518530036866395
11,20,79,14,99,24,2.028802221203744,2.1209285592624103,2.016048742348168,1.4242921306752099,-4910.27197265625,9848.5439453125,9931.517,5228.659942543084,0.00011938457872076323,0.00781991760870672,0.01847778765966113,0.031215684403153084,0.07362839590219637,1.4541876747773779
11,21,81,10,94,21,2.0282975285757145,2.1031495347055973,2.0097681380228654,1.424102246894095,-4909.92724609375,9839.8544921875,9899.12,5199.873009222676,0.0001244238624570083,0.007717718358974395,0.018185375820348855,0.03085090005257478,0.07269159648103904,1.4646627653941628
11,22,89,14,104,26,2.02751683233321,2.118881275037671,2.1257862367362232,1.423524202281025,-4909.39453125,9846.7890625,9929.762,5251.99754518827,4.811611005495822e-05,0.00839953895027462,0.020909180828655755,0.03296286480416895,0.08039155664696288,1.4346996575292381
11,23,91,10,105,21,2.0272659385027665,2.1051843260780356,2.009562634740008,1.423689958928201,-4909.22265625,9838.4453125,9897.711,5232.65821901377,6.190220909022669e-05,0.007716985806056897,0.018066029578235596,0.030850138874949255,0.07221319153405005,1.4653013918465119
11,24,92,16,114,27,2.0257547752094514,2.1279800674397666,2.1070160220667193,1.4229784291517693,-4908.18994140625,9848.3798828125,9943.205,5287.676241251807,0.0007456661371520851,0.008212274072191337,0.02050717059165609,0.032386774426355,0.07944551098094751,1.4320361278184373
11,25,93,16,112,28,2.0253672441397357,2.1315169220947063,2.1164543222426397,1.4230697501694547,-4907.9248046875,9847.849609375,9942.675,5284.892367376826,0.0001914037789500337,0.008186230947270326,0.02039190457652642,0.03231320363464178,0.07890806993773061,1.4383157560176576
11,26,95,17,114,29,2.0246226075278573,2.1293210573191566,2.11342842930448,1.4224836074425322,-4907.416015625,9848.83203125,9949.584,5295.048739940124,0.00018377824723345905,0.008256402854721802,0.020530952390881166,0.03256880526088595,0.07936518187551184,1.438454310165562
11,27,106,17,126,28,2.023542780961921,2.1296182726537247,2.1124070662104595,1.4224027009971818,-4906.6767578125,9847.353515625,9948.105,5330.29521094383,4.8511315198004785e-05,0.008727215194713953,0.02169954075416768,0.033365256342018694,0.08094425967700562,1.4268009751319513
11,28,110,14,131,25,2.021512400244243,2.062385417042962,2.0098322035318468,1.4216010604962588,-4905.2861328125,9838.572265625,9921.545,5330.719643583424,0.00025093603427603334,0.00769793080432272,0.018285442712305627,0.030766543638741883,0.07271199567821691,1.4036231598710887
11,29,112,14,134,25,2.0192877400085822,2.091363775958232,2.0295111450571213,1.4209798206470061,-4903.7607421875,9835.521484375,9918.494,5338.850709889357,0.000550608832354976,0.007711977934968503,0.01965116758005691,0.030726744847379958,0.0779342018130666,1.4280076887310256
11,30,114,14,136,25,2.0173772820633387,2.073307194826759,2.044011008811399,1.420084086886851,-4902.45068359375,9832.9013671875,9915.874,5343.978638796234,0.0004732868059740289,0.007755053140122373,0.019011818220856572,0.03094948763314348,0.07525043486783674,1.4113950079497237
11,31,119,14,145,25,2.0123636191673393,2.0768566485746587,2.0015253819054344,1.4185768213578556,-4899.00390625,9826.0078125,9908.98,5369.501470847955,0.0004976402042093391,0.00771254038356956,0.018736122940094187,0.030829714760260862,0.07420146466343631,1.3908610529806573
11,32,161,23,200,31,2.0114472145696887,2.0704063018265018,1.9998605378402825,1.4180729999440176,-4898.37353515625,9842.7470703125,9979.059,5588.931737039459,1.0846150324199949e-05,0.007846694922136662,0.01898218757890201,0.03094273589711568,0.07417533255502544,1.3982424392162565
11,33,165,26,145,30,2.0111842679217036,2.076148732725077,1.9909893422807243,1.4177019419847166,-4898.1923828125,9848.384765625,10002.477,5395.127058672487,3.2652753217932705e-05,0.007910707029473382,0.018664845853339943,0.03127071781071815,0.07429895954211986,1.3859979916848824
11,34,172,29,160,35,2.0092867453083105,2.0708152513136975,1.9876416346033814,1.4171932092118402,-4896.884765625,9851.76953125,10023.641,5469.501341855819,0.0001348527112594676,0.007862806553889682,0.018443231270437118,0.03141223436661302,0.07370692542775145,1.3975897512428013
11,35,173,29,172,33,2.007666721725323,2.0725256748262715,1.9947659877417487,1.4164837946642668,-4895.76806640625,9849.5361328125,10021.407,5500.928399259697,0.000806631198086199,0.008042701356067588,0.019298472573421904,0.03133145604211897,0.07505096164300454,1.390917823757544
11,36,174,28,172,32,2.0064575473034307,2.0718902719291368,1.994302477119073,1.416087517488128,-4894.93359375,9845.8671875,10011.8125,5494.801169229349,0.000602472627193895,0.008051235202453285,0.01930503769927919,0.03135996177692109,0.07505756044521927,1.3878722058657964
