complexity,loss,equation,score,sympy_format,lambda_format,run,equation_index,equation_string
1,8.551317,x3,0.0,x3,PySRFunction(X=>x3),1,0,x3
2,7.9856796,sin(x1),0.06843541854837772,sin(x1),PySRFunction(X=>sin(x1)),1,1,sin(x1)
3,5.5958524,x1 - x0,0.35562420715328685,-x0 + x1,PySRFunction(X=>-x0 + x1),1,2,-x0 + x1
5,4.9010596,(x0 / -0.36669645) - x3,0.0662871269177776,x0/(-0.36669645) - x3,PySRFunction(X=>x0/(-0.36669645) - x3),1,3,x0/(-0.36669645) - x3
7,3.6711178,x1 + ((x0 / -0.35150144) - x3),0.14447761664409292,x0/(-0.35150144) + x1 - x3,PySRFunction(X=>x0/(-0.35150144) + x1 - x3),1,4,x0/(-0.35150144) + x1 - x3
9,3.372326,((x0 / -0.35150144) + (x1 - x3)) - x3,0.042446739676596124,x0/(-0.35150144) + x1 - x3 - x3,PySRFunction(X=>x0/(-0.35150144) + x1 - x3 - x3),1,5,x0/(-0.35150144) + x1 - x3 - x3
10,3.1018806,((x0 / -0.36669645) - (x3 / cos(-1.0364535))) / 0.49492154,0.08359414127800419,(x0/(-0.36669645) - x3/cos(-1.0364535))/0.49492154,PySRFunction(X=>(x0/(-0.36669645) - x3/cos(-1.0364535))/0.49492154),1,6,(x0/(-0.36669645) - x3/cos(-1.0364535))/0.49492154
11,2.1623924,x1 + (((x0 / -0.36669645) - (x3 / 0.54304194)) / 0.56293035),0.360793371357068,x1 + (x0/(-0.36669645) - x3/0.54304194)/0.56293035,PySRFunction(X=>x1 + (x0/(-0.36669645) - x3/0.54304194)/0.56293035),1,7,x1 + (x0/(-0.36669645) - x3/0.54304194)/0.56293035
12,2.0733387,x1 + (((x0 / -0.36669645) - (x3 / cos(-1.0364535))) / 0.49492154),0.04205499485646634,x1 + (x0/(-0.36669645) - x3/cos(-1.0364535))/0.49492154,PySRFunction(X=>x1 + (x0/(-0.36669645) - x3/cos(-1.0364535))/0.49492154),1,8,x1 + (x0/(-0.36669645) - x3/cos(-1.0364535))/0.49492154
13,2.064934,(x1 + (((x0 / -0.36669645) - (x3 / 0.5092397)) / 0.56293035)) * 1.1224741,0.004061941860921407,(x1 + (x0/(-0.36669645) - x3/0.5092397)/0.56293035)*1.1224741,PySRFunction(X=>(x1 + (x0/(-0.36669645) - x3/0.5092397)/0.56293035)*1.1224741),1,9,(x1 + (x0/(-0.36669645) - x3/0.5092397)/0.56293035)*1.1224741
17,2.0378718,(x2 * -0.20317446) - ((x1 + (((x0 / -0.36669645) - (x3 / 0.5092756)) / 0.55866635)) * -1.1453716),0.0032980591574593974,x2*(-0.20317446) - (-1.1453716)*(x1 + (x0/(-0.36669645) - x3/0.5092756)/0.55866635),PySRFunction(X=>x2*(-0.20317446) - (-1.1453716)*(x1 + (x0/(-0.36669645) - x3/0.5092756)/0.55866635)),1,10,x2*(-0.20317446) - (-1.1453716)*(x1 + (x0/(-0.36669645) - x3/0.5092756)/0.55866635)
19,2.0301666,(x2 * -0.20317446) - ((x1 + ((((x0 / -0.36572027) - (x3 / 0.5092756)) / 0.55360854) / 1.0447025)) * -1.1453716),0.0018940846807834458,x2*(-0.20317446) - (-1.1453716)*(x1 + (x0/(-0.36572027) - x3/0.5092756)/(0.55360854*1.0447025)),PySRFunction(X=>x2*(-0.20317446) - (-1.1453716)*(x1 + (x0/(-0.36572027) - x3/0.5092756)/(0.55360854*1.0447025))),1,11,x2*(-0.20317446) - (-1.1453716)*(x1 + (x0/(-0.36572027) - x3/0.5092756)/(0.55360854*1.0447025))
36,2.027533,(((((((((x1 - x0) + ((((x2 - (0.7862725 - x0)) * 0.8461836) - (0.16890295 - sin(x0))) * -0.11365088)) - (x0 + x3)) * 1.8684573) - x1) - x3) + -0.16536207) / 0.89602476) / 0.8976605) / 0.9373952,7.635738673795821e-05,(-x1 - x3 - x0 + x1 - (x0 + x3) - (0.16890295 - sin(x0)) + x2 - (0.7862725 - x0)*0.8461836*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952),PySRFunction(X=>(-x1 - x3 - x0 + x1 - (x0 + x3) - (0.16890295 - sin(x0)) + x2 - (0.7862725 - x0)*0.8461836*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952)),1,12,(-x1 - x3 - x0 + x1 - (x0 + x3) - (0.16890295 - sin(x0)) + x2 - (0.7862725 - x0)*0.8461836*(-0.11365088)*1.8684573 - 0.16536207)/(0.89602476*0.8976605*0.9373952)
