complexity,loss,equation,score,sympy_format,lambda_format,run,equation_index,equation_string
1,8.231819,x3,0.0,x3,PySRFunction(X=>x3),7,0,x3
2,7.6924458,sin(x1),0.06776822855826414,sin(x1),PySRFunction(X=>sin(x1)),7,1,sin(x1)
3,5.380835,x1 - x0,0.3573952157736901,-x0 + x1,PySRFunction(X=>-x0 + x1),7,2,-x0 + x1
5,4.775037,x1 - (x0 / 0.54378927),0.059720921998960605,-x0/0.54378927 + x1,PySRFunction(X=>-x0/0.54378927 + x1),7,3,-x0/0.54378927 + x1
7,3.6472008,(x1 - (x0 / 0.32761273)) - x3,0.1347208766651769,-x0/0.32761273 + x1 - x3,PySRFunction(X=>-x0/0.32761273 + x1 - x3),7,4,-x0/0.32761273 + x1 - x3
8,3.5833127,(x1 - (x0 / square(0.59371054))) - x3,0.017672261513969334,-x0/0.352492205307092 + x1 - x3,PySRFunction(X=>-x0/0.352492205307092 + x1 - x3),7,5,-x0/0.352492205307092 + x1 - x3
9,3.0434017,((x1 - (x0 / 0.32761273)) - x3) - x3,0.16331183765993587,-x0/0.32761273 + x1 - x3 - x3,PySRFunction(X=>-x0/0.32761273 + x1 - x3 - x3),7,6,-x0/0.32761273 + x1 - x3 - x3
11,2.9140182,((x1 - (x0 / 0.44631222)) - (x3 / 0.668066)) / 0.65128636,0.021721458312820373,(-x0/0.44631222 + x1 - x3/0.668066)/0.65128636,PySRFunction(X=>(-x0/0.44631222 + x1 - x3/0.668066)/0.65128636),7,7,(-x0/0.44631222 + x1 - x3/0.668066)/0.65128636
12,2.6979156,((x1 - (x0 / square(-0.62678707))) - (x3 * 2.1323762)) - x0,0.07705347859904459,-x0/0.392862031119185 - x0 + x1 - 2.1323762*x3,PySRFunction(X=>-x0/0.392862031119185 - x0 + x1 - 2.1323762*x3),7,8,-x0/0.392862031119185 - x0 + x1 - 2.1323762*x3
13,2.3638391,(((((x1 - x3) - x0) - x0) - x3) - x0) / 0.65663105,0.1321924402430935,(-x0 - x0 - x0 + x1 - x3 - x3)/0.65663105,PySRFunction(X=>(-x0 - x0 - x0 + x1 - x3 - x3)/0.65663105),7,9,(-x0 - x0 - x0 + x1 - x3 - x3)/0.65663105
16,2.2215312,(((((sin(x1) - x3) - x0) - x0) - x3) - x0) / (0.71157837 / 1.1770725),0.02069678225401632,(-x0 - x0 - x0 - x3 - x3 + sin(x1))/((0.71157837/1.1770725)),PySRFunction(X=>(-x0 - x0 - x0 - x3 - x3 + sin(x1))/((0.71157837/1.1770725))),7,10,(-x0 - x0 - x0 - x3 - x3 + sin(x1))/((0.71157837/1.1770725))
17,2.220324,(((((((x1 - x3) - x0) - x0) - x3) - x0) - x3) - x0) / 0.71442395,0.0005435566786248172,(-x0 - x0 - x0 - x0 + x1 - x3 - x3 - x3)/0.71442395,PySRFunction(X=>(-x0 - x0 - x0 - x0 + x1 - x3 - x3 - x3)/0.71442395),7,11,(-x0 - x0 - x0 - x0 + x1 - x3 - x3 - x3)/0.71442395
19,2.14611,(((((((x1 - x3) - x0) - x3) - x0) - x0) - x3) - (x0 / 0.71157837)) / 0.8904957,0.016998115065750836,(-x0/0.71157837 - x0 - x0 - x0 + x1 - x3 - x3 - x3)/0.8904957,PySRFunction(X=>(-x0/0.71157837 - x0 - x0 - x0 + x1 - x3 - x3 - x3)/0.8904957),7,12,(-x0/0.71157837 - x0 - x0 - x0 + x1 - x3 - x3 - x3)/0.8904957
