complexity,loss,equation,score,sympy_format,lambda_format,run,equation_index,equation_string
1,156.22678,72.63205,0.0,72.6320500000000,PySRFunction(X=>72.6320500000000),1,0,72.6320500000000
3,135.57945,x1 + 72.31504,0.07087542711208969,x1 + 72.31504,PySRFunction(X=>x1 + 72.31504),1,1,x1 + 72.31504
5,35.104683,(x1 * 11.221622) + 71.51702,0.6756116374866632,x1*11.221622 + 71.51702,PySRFunction(X=>x1*11.221622 + 71.51702),1,2,x1*11.221622 + 71.51702
7,33.759342,((x1 * 11.221622) + 71.51702) - x0,0.019538680679627694,-x0 + x1*11.221622 + 71.51702,PySRFunction(X=>-x0 + x1*11.221622 + 71.51702),1,3,-x0 + x1*11.221622 + 71.51702
10,33.52543,(((x1 + x1) + cos(x1)) * 5.0730295) + 68.72411,0.002317641227310697,(x1 + x1 + cos(x1))*5.0730295 + 68.72411,PySRFunction(X=>(x1 + x1 + cos(x1))*5.0730295 + 68.72411),1,4,(x1 + x1 + cos(x1))*5.0730295 + 68.72411
13,33.494305,((x1 + (x1 + cos(x1))) * (sin(-2.7386026) + 5.4105124)) + 68.72411,0.000309610318390565,(sin(-2.7386026) + 5.4105124)*(x1 + x1 + cos(x1)) + 68.72411,PySRFunction(X=>(sin(-2.7386026) + 5.4105124)*(x1 + x1 + cos(x1)) + 68.72411),1,5,(sin(-2.7386026) + 5.4105124)*(x1 + x1 + cos(x1)) + 68.72411
14,33.30644,((71.3996 + sin(cos(square(x1)))) - x0) + ((x1 + x1) * 5.4105124),0.00562465269768281,-x0 + (x1 + x1)*5.4105124 + sin(cos(x1**2)) + 71.3996,PySRFunction(X=>-x0 + (x1 + x1)*5.4105124 + sin(cos(x1**2)) + 71.3996),1,6,-x0 + (x1 + x1)*5.4105124 + sin(cos(x1**2)) + 71.3996
15,33.103455,(((x1 + (x1 + cos(x1))) * (sin(68.72411) + 5.4105124)) + 68.72411) - x0,0.006113114081312858,-x0 + (sin(68.72411) + 5.4105124)*(x1 + x1 + cos(x1)) + 68.72411,PySRFunction(X=>-x0 + (sin(68.72411) + 5.4105124)*(x1 + x1 + cos(x1)) + 68.72411),1,7,-x0 + (sin(68.72411) + 5.4105124)*(x1 + x1 + cos(x1)) + 68.72411
16,32.907024,((x1 + x1) * 5.4105124) + (71.3996 + (sin(x1 - x0) - (0.8965775 / x0))),0.005951527175239847,(x1 + x1)*5.4105124 + sin(-x0 + x1) + 71.3996 - 0.8965775/x0,PySRFunction(X=>(x1 + x1)*5.4105124 + sin(-x0 + x1) + 71.3996 - 0.8965775/x0),1,8,(x1 + x1)*5.4105124 + sin(-x0 + x1) + 71.3996 - 0.8965775/x0
18,32.69413,71.3996 + (((5.4105124 * (x1 + x1)) + sin(((-1.3191772 * x1) - x0) - x0)) - x0),0.0032452896696391195,-x0 + 5.4105124*(x1 + x1) + sin(-x0 - x0 - 1.3191772*x1) + 71.3996,PySRFunction(X=>-x0 + 5.4105124*(x1 + x1) + sin(-x0 - x0 - 1.3191772*x1) + 71.3996),1,9,-x0 + 5.4105124*(x1 + x1) + sin(-x0 - x0 - 1.3191772*x1) + 71.3996
20,32.66493,71.3996 + ((cos(square(x1)) * (((x0 / x0) - sin(x1)) - x0)) + ((x1 + x1) * 5.4105124)),0.0004467628809647536,(x1 + x1)*5.4105124 + (-x0 - sin(x1) + x0/x0)*cos(x1**2) + 71.3996,PySRFunction(X=>(x1 + x1)*5.4105124 + (-x0 - sin(x1) + x0/x0)*cos(x1**2) + 71.3996),1,10,(x1 + x1)*5.4105124 + (-x0 - sin(x1) + x0/x0)*cos(x1**2) + 71.3996
22,32.507324,71.3996 + ((cos(square(x1)) * (((x0 / x0) - sin(x1 + x1)) - x0)) + ((x1 + x1) * 5.4105124)),0.0024183037652289194,(x1 + x1)*5.4105124 + (-x0 - sin(x1 + x1) + x0/x0)*cos(x1**2) + 71.3996,PySRFunction(X=>(x1 + x1)*5.4105124 + (-x0 - sin(x1 + x1) + x0/x0)*cos(x1**2) + 71.3996),1,11,(x1 + x1)*5.4105124 + (-x0 - sin(x1 + x1) + x0/x0)*cos(x1**2) + 71.3996
25,32.194355,(sin((-1.3191772 * x0) - sin(x0 - -1.0187397)) - ((x0 + -0.628222) * cos(square(x1)))) + (71.3996 + ((x1 + x1) * 5.4105124)),0.0032247637236058383,-(x0 - 0.628222)*cos(x1**2) + (x1 + x1)*5.4105124 + sin(-1.3191772*x0 - sin(x0 - 1*(-1.0187397))) + 71.3996,PySRFunction(X=>-(x0 - 0.628222)*cos(x1**2) + (x1 + x1)*5.4105124 + sin(-1.3191772*x0 - sin(x0 - 1*(-1.0187397))) + 71.3996),1,12,-(x0 - 0.628222)*cos(x1**2) + (x1 + x1)*5.4105124 + sin(-1.3191772*x0 - sin(x0 - 1*(-1.0187397))) + 71.3996
27,32.149445,(((5.4105124 * (x1 + x1)) + (sin((x0 * -1.3191772) - sin(x0 - -1.0187397)) - (x0 * cos(square(x1))))) + 71.3996) + cos(square(x1)),0.0006979694592611161,-x0*cos(x1**2) + 5.4105124*(x1 + x1) + sin(x0*(-1.3191772) - sin(x0 - 1*(-1.0187397))) + cos(x1**2) + 71.3996,PySRFunction(X=>-x0*cos(x1**2) + 5.4105124*(x1 + x1) + sin(x0*(-1.3191772) - sin(x0 - 1*(-1.0187397))) + cos(x1**2) + 71.3996),1,13,-x0*cos(x1**2) + 5.4105124*(x1 + x1) + sin(x0*(-1.3191772) - sin(x0 - 1*(-1.0187397))) + cos(x1**2) + 71.3996
