run,fold,equation_index,equation,nan_count_train,nan_count_test_int,nan_count_test_ext,nan_count_synthetic
8,,32,x0**2 + 5*x1 + exp(x1) - log(2.5969536*x0*x1/(x0**4 - 1.2541691) + 33.61671) - sin(x0 + x1**2 + 0.21131608) + cos(5.89709846243772*x1)**2 - 5.85513243050704*cos(exp(x1)) - 5.85513243050704*cos(exp(cos(x1))) + 72.1505864196012 - 3.79360475592927/(4*(x0 + x1/2 + exp(x1)/2 + cos(exp(cos(x1)))/2 - 0.338573215 + x1/(2*x0*sin(cos(3.56457524177308*exp(cos(sin(x0)**2 - 1.2541691))))))**2 + 0.978701924649023 - 0.24472578/(x1*(1.3519752 - x1))) - 1.07381983/x0,0,1,1,0
8,,33,x0**2 + 5*x1 + exp(x1) - log(2.5969536*x0*x1/(x0**4 - 1.2541691) + 33.61671) - sin(x0 + x1**2 - 0.00532165000000001) + cos(5.89709846243772*x1)**2 - 5.85513243050704*cos(exp(x1)) - 5.85513243050704*cos(exp(cos(x1))) + 72.1505864196012 - 3.79360475592927/(4*(x0 + x1/2 + exp(x1)/2 + cos(exp(cos(x1)))/2 - 0.338573215 + x1/(2*x0*sin(cos(3.56457524177308*exp(cos(sin(x0)**2 - 1.2541691))))))**2 + 0.978392447819132 - 0.24472578/(x1*(1.3519752 - x1))) - 1.07381983/x0,0,1,1,0
8,,34,x0**2 + 5*x1 + exp(x1) - log(2.5969536*x0*x1/(x0**4 - 1.2541691) + 33.61671) - sin(x0 + x1**2 - 0.00532165000000001) + cos(5.89709846243772*x1)**2 - 5.85513243050704*cos(exp(x1)) - 5.85513243050704*cos(exp(cos(x1))) + 72.1505864196012 - 3.79360475592927/(4*(x0 + x1/2 + exp(x1**2)/2 + cos(exp(cos(x1)))/2 - 0.338573215 + x1/(2*x0*sin(cos(3.56457524177308*exp(cos(sin(x0)**2 - 1.2541691))))))**2 + 0.978701924649023 - 0.24472578/(x1*(1.3519752 - x1))) - 1.07381983/x0,0,1,1,0
8,,39,x0**2 - x0 + 5*x1 + exp(x1) - log(2.5969536*x0*x1/(x0**4 - 1.2541691) + 33.61671) + sin(0.21663773 + 0.24472578/(0.439361413160889*x1*exp(-sin(0.67714643*x0 + exp(2*exp(2*sin(x0 - 0.687906))))) + 4*(x0 + x1/2 + exp(x1)/2 + exp(cos(x0)**2)/2 - 0.338573215)**2)) + cos(5.38167252049126*x1)**2 - 5.85513243050704*cos(exp(x1)) - 5.85513243050704*cos(exp(cos(x1))) + 72.4262324941012 - 5.4153595/(4*(x0 + x1/2 + exp(x1)/2 + cos(exp(cos(x1)))/2 - 0.338573215 + x1/(2*x0*cos(3.50492492199874*exp(sin(2.5969536/(x0**4 - 1.2541691)) - cos(sin(x0**2))))))**2 + 0.8296008 - 0.24472578/cos(x1/sin(exp(cos(sin(x0**2) - 1.2541691) - 0.12501116/x1)))) - 0.82909405/(x0 - 0.26156014),0,1,1,0
8,,40,x0**2 - x0 + 5*x1 + exp(x1) - log(2.5969536*x0*x1/(x0**4 - 1.2541691) + 33.61671) + sin(0.21663773 + 0.24472578/(0.439361413160889*x1*exp(-sin(0.67714643*x0 + exp(2*exp(-2*sin(-x0 + x1 + 0.67714643))))) + 4*(x0 + x1/2 + exp(x1)/2 + exp(cos(x0)**2)/2 - 0.338573215)**2)) + cos(5.38167252049126*x1)**2 - 5.85513243050704*cos(exp(x1)) - 5.85513243050704*cos(exp(cos(x1))) + 72.4262324941012 - 5.4153595/(4*(x0 + x1/2 + exp(x1)/2 + cos(exp(cos(x1)))/2 - 0.338573215 + x1/(2*x0*cos(3.50492492199874*exp(sin(2.5969536/(x0**4 - 1.2541691)) - cos(sin(x0**2))))))**2 + 0.8296008 - 0.24472578/cos(x1/sin(exp(cos(sin(x0**2) - 1.2541691) - 0.12501116/x1)))) - 0.82909405/(x0 - 0.26156014),0,1,1,0
8,,41,x0**2 - x0 + 5*x1 + exp(x1) - log(2.5969536*x0*x1/(x0**4 - 1.2541691) + 33.61671) - sin(x0 + x1**2) + cos(5.89709846243772*x1**2*(-0.540766517943714*x0 - exp(x0) + 0.579934026108656*exp(2*x1 + cos(x0 + 0.10897371)) + sin(x1 - cos(exp(cos(6.376705745796*(1 - 0.396006041468169*sin(x0))**2)))) + 1.4222233 - 11.692318/x0) - 0.24472578) - 5.85513243050704*cos(exp(x1)) - 5.85513243050704*cos(exp(cos(x1))) + 72.2844474096012 - exp(x1)/(4*(x0 + x1/2 + exp(x1)/2 + cos(exp(cos(x1 + 0.07489735)))/2 - 0.338573215 + x1/(2*x0*sin(cos(3.56457524177308*exp(cos(sin(x0)**2 - 1.2541691))))))**2 + cos(sin(2.8409295*x1)) - 0.24472578/(x1*(1.3519752 - x1))) - 0.24472578/x0,0,1,1,0
8,,42,x0**2 - x0 + 5*x1 + exp(x1) - log(2.5969536*x0*x1/(x0**4 - 1.2541691) + 33.61671) - sin(x0 + x1**2) + cos(5.89709846243772*x1**2*(1.3204896*x0/(-x1 - 2.2929096) - exp(x0) + 0.579934026108656*exp(2*x1 + cos(x0)) - sin(x1) + 2.4222233 - 0.24472578/(x1*(1.3519752 - x1)) - 11.692318/x0)) - 5.85513243050704*cos(exp(x1)) - 5.85513243050704*cos(exp(cos(x1))) + 72.3619024996012 - exp(x1)/(4*(x0 + x1/2 + exp(x1)/2 + cos(exp(cos(x1 + 0.07489735)))/2 - 0.338573215 + x1/(2*x0*sin(cos(3.56457524177308*exp(cos(sin(x0)**2 - 1.2541691))))))**2 + cos(sin(2.8409295*x1 + exp(exp(cos(x0))/(x1 + 0.8769643)))) - 0.24472578/(x1*(1.3519752 - x1))) - 0.24472578/x0,0,1,1,0
8,,43,x0**2 - x0 + 5*x1 + exp(x1) - log(2.5969536*x0*x1/(x0**4 - 1.2541691) + 33.61671) + cos(5.89709846243772*x1**2*(-0.540766498012806*x0 - exp(x0) + 0.579934026108656*exp(2*x1 + cos(x0 + 0.10897371)) + sin(x1 - cos(exp(cos(6.376705745796*(1 - 0.396006041468169*sin(x0))**2)))) + 1.381637797 - 11.692318/x0)) - cos(x1**2 + exp(x1) - log(2.5969536*x0/(0.3459085*x0**4 - 0.43382775212735) + 33.61671)) - 5.85513243050704*cos(exp(x1)) - 5.85513243050704*cos(exp(cos(x1))) + 72.2844474096012 - exp(x1)/(4*(x0 + x1/2 + exp(x1)/2 + cos(exp(cos(x1 + 0.07489735)))/2 - 0.338573215 + x1/(2*x0*sin(cos(3.56457524177308*exp(cos(sin(x0)**2 - 1.2541691))))))**2 + cos(sin(2.8409295*x1)) - 0.24472578/(x1*(1.3519752 - x1))) - 0.5948771/x0,0,1,1,1
8,,44,x0**2 - x0 + 5*x1 + exp(x1) - log(2.5969536*x0*x1/(x0**4 - 1.2541691) + 33.61671) + cos(5.89709846243772*x1**2*(-0.540766498012806*x0 - exp(x0) + 0.579934026108656*exp(2*x1 + cos(x0 + 0.10897371)) + sin(x1 - cos(exp(cos(6.376705745796*(1 - 0.396006041468169*sin(x0))**2)))) + 1.381637797 - 11.692318/x0)) - cos(x1**2 + exp(x1) - log(2.5969536*x0/(0.3459085*x0**4 - 0.43382775212735) + 33.61671)) - 5.85513243050704*cos(exp(x1)) - 5.85513243050704*cos(exp(cos(x1))) + 72.4349983296012 - exp(x1)/(4*(x0 + x1/2 + exp(x1)/2 + cos(exp(cos(x1 + 0.07489735)))/2 - 0.338573215 + x1/(2*x0*sin(cos(3.56457524177308*exp(cos(sin(x0)**2 - 1.2541691))))))**2 + cos(sin(2.8409295*x1)) - 0.24472578/(x1*(1.3519752 - x1))) - 0.5948771/x0,0,1,1,1
8,,45,x0**2 - x0 + 5*x1 + exp(x1) - log(2.5969536*x0*x1/(x0**4 - 1.2541691) + 33.61671) + cos(5.89709846243772*x1**2*(-0.540766498012806*x0 - exp(x0) + 0.579934026108656*exp(2*x1 + cos(x0 + 0.10897371)) + sin(x1 - cos(exp(cos(6.376705745796*(1 - 0.396006041468169*sin(x0))**2)))) + 1.381637797 - 11.692318/x0)) - cos(x1**2 + exp(x0 + x1) - log(0.8983083243456*x0/(x0**4 - 1.2541691) + 33.61671)) - 5.85513243050704*cos(exp(x1)) - 5.85513243050704*cos(exp(cos(x1))) + 72.2844474096012 - exp(x1)/(4*(x0 + x1/2 + exp(x1)/2 + cos(exp(cos(x1 + 0.07489735)))/2 - 0.338573215 + x1/(2*x0*sin(cos(3.56457524177308*exp(cos(sin(x0)**2 - 1.2541691))))))**2 + cos(sin(2.8409295*x1)) - 0.24472578/(x1*(1.3519752 - x1))) - 0.5948771/x0,0,1,1,0
