complexity,loss,equation,score,sympy_format,lambda_format,run,equation_index,equation_string
1,2381.8896,942.16296,0.0,942.162960000000,PySRFunction(X=>942.162960000000),1,0,942.162960000000
3,2335.7896,x8 + 944.3425,0.009772064917776144,x8 + 944.3425,PySRFunction(X=>x8 + 944.3425),1,1,x8 + 944.3425
4,2262.77,exp(x8) + 944.3425,0.03176026592799631,exp(x8) + 944.3425,PySRFunction(X=>exp(x8) + 944.3425),1,2,exp(x8) + 944.3425
5,1686.0406,(x8 * 21.991425) + 944.49097,0.29420678653439997,x8*21.991425 + 944.49097,PySRFunction(X=>x8*21.991425 + 944.49097),1,3,x8*21.991425 + 944.49097
7,1269.3162,((x8 + x13) * 21.991425) + 945.2362,0.14195230484163565,(x13 + x8)*21.991425 + 945.2362,PySRFunction(X=>(x13 + x8)*21.991425 + 945.2362),1,4,(x13 + x8)*21.991425 + 945.2362
9,1142.6189,((x8 + (x13 + x7)) * 21.991425) + 944.49097,0.05257771093877829,(x13 + x7 + x8)*21.991425 + 944.49097,PySRFunction(X=>(x13 + x7 + x8)*21.991425 + 944.49097),1,5,(x13 + x7 + x8)*21.991425 + 944.49097
11,1103.6648,944.49097 + ((x8 + (x13 + (x2 * x0))) * 21.991425),0.017343314914775042,(x0*x2 + x13 + x8)*21.991425 + 944.49097,PySRFunction(X=>(x0*x2 + x13 + x8)*21.991425 + 944.49097),1,6,(x0*x2 + x13 + x8)*21.991425 + 944.49097
13,1054.9673,((x8 + x7) * 21.991425) + (square(cos(x5) + 32.871975) / 1.1900042),0.022563253688321024,(x7 + x8)*21.991425 + (1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042,PySRFunction(X=>(x7 + x8)*21.991425 + (1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042),1,7,(x7 + x8)*21.991425 + (1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042
15,816.42737,((x13 + (x7 + x8)) * 21.991425) + (square(cos(x5) + 32.871975) / 1.1900042),0.12816354728133983,(1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042 + (x13 + x7 + x8)*21.991425,PySRFunction(X=>(1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042 + (x13 + x7 + x8)*21.991425),1,8,(1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042 + (x13 + x7 + x8)*21.991425
17,718.9249,(square(cos(x5) + 32.871975) / 1.1900042) + ((x0 + ((x7 + x13) + x8)) * 19.523352),0.06359052698331492,(1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042 + (x0 + x13 + x7 + x8)*19.523352,PySRFunction(X=>(1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042 + (x0 + x13 + x7 + x8)*19.523352),1,9,(1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042 + (x0 + x13 + x7 + x8)*19.523352
19,714.6103,(square(cos(x5) + 32.871975) / 1.1900042) + (((x0 + ((x7 + x13) + x8)) * 19.523352) + x10),0.0030097712482033234,x10 + (1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042 + (x0 + x13 + x7 + x8)*19.523352,PySRFunction(X=>x10 + (1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042 + (x0 + x13 + x7 + x8)*19.523352),1,10,x10 + (1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042 + (x0 + x13 + x7 + x8)*19.523352
20,713.26025,((19.523352 * (x0 + ((x13 + x8) + x7))) + square(x4)) + (square(32.871975 + cos(x5)) / 1.1900042),0.0018909983153596076,x4**2 + (1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042 + 19.523352*(x0 + x13 + x7 + x8),PySRFunction(X=>x4**2 + (1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042 + 19.523352*(x0 + x13 + x7 + x8)),1,11,x4**2 + (1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042 + 19.523352*(x0 + x13 + x7 + x8)
21,650.17,(square(cos(x5) + 32.871975) / 1.1900042) + ((((x7 + (x13 + x8)) / 0.20108776) + (x0 / x4)) * 3.9259071),0.09261249367206481,(x0/x4 + (x13 + x7 + x8)/0.20108776)*3.9259071 + (1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042,PySRFunction(X=>(x0/x4 + (x13 + x7 + x8)/0.20108776)*3.9259071 + (1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042),1,12,(x0/x4 + (x13 + x7 + x8)/0.20108776)*3.9259071 + (1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042
23,597.7286,(square(cos(x5) + 32.871975) / 1.1900042) + ((((x0 + (x7 + (x13 + x8))) / 0.20108776) + (x0 / x4)) * 3.9259071),0.0420485311892755,(x0/x4 + (x0 + x13 + x7 + x8)/0.20108776)*3.9259071 + (1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042,PySRFunction(X=>(x0/x4 + (x0 + x13 + x7 + x8)/0.20108776)*3.9259071 + (1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042),1,13,(x0/x4 + (x0 + x13 + x7 + x8)/0.20108776)*3.9259071 + (1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042
25,546.9555,(square(cos(x5) + 32.871975) / 1.1900042) + (3.9259071 * ((((x8 + (x7 + x13)) / 0.1785199) + (0.35216898 / x5)) + (x0 / x4))),0.04438467924921341,(1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042 + 3.9259071*(x0/x4 + (x13 + x7 + x8)/0.1785199 + 0.35216898/x5),PySRFunction(X=>(1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042 + 3.9259071*(x0/x4 + (x13 + x7 + x8)/0.1785199 + 0.35216898/x5)),1,14,(1080.56674040062*(0.0304210501498617*cos(x5) + 1)**2)/1.1900042 + 3.9259071*(x0/x4 + (x13 + x7 + x8)/0.1785199 + 0.35216898/x5)
26,546.07135,(((0.35216898 / x5) + ((((x8 + x13) + x7) / 0.21788807) + (x0 / x4))) * 3.9259071) + (square(sin(cos(x5)) + 32.871975) / 1.1900042),0.001617801416020245,(1080.56674040062*(0.0304210501498617*sin(cos(x5)) + 1)**2)/1.1900042 + (x0/x4 + (x13 + x7 + x8)/0.21788807 + 0.35216898/x5)*3.9259071,PySRFunction(X=>(1080.56674040062*(0.0304210501498617*sin(cos(x5)) + 1)**2)/1.1900042 + (x0/x4 + (x13 + x7 + x8)/0.21788807 + 0.35216898/x5)*3.9259071),1,15,(1080.56674040062*(0.0304210501498617*sin(cos(x5)) + 1)**2)/1.1900042 + (x0/x4 + (x13 + x7 + x8)/0.21788807 + 0.35216898/x5)*3.9259071
28,498.14575,(square(sin(cos(x5)) + 32.871975) / 1.1900042) + (((((x7 + x8) + x13) / 0.1785199) + (((0.35216898 / x5) + 1.9239409) + (x0 / x4))) * 3.9259071),0.045928469987663784,(1080.56674040062*(0.0304210501498617*sin(cos(x5)) + 1)**2)/1.1900042 + (x0/x4 + (x13 + x7 + x8)/0.1785199 + 1.9239409 + 0.35216898/x5)*3.9259071,PySRFunction(X=>(1080.56674040062*(0.0304210501498617*sin(cos(x5)) + 1)**2)/1.1900042 + (x0/x4 + (x13 + x7 + x8)/0.1785199 + 1.9239409 + 0.35216898/x5)*3.9259071),1,16,(1080.56674040062*(0.0304210501498617*sin(cos(x5)) + 1)**2)/1.1900042 + (x0/x4 + (x13 + x7 + x8)/0.1785199 + 1.9239409 + 0.35216898/x5)*3.9259071
29,480.0652,(square(sin(cos(x5)) + 32.871975) / 1.1900042) + ((((((x8 + x13) + x7) / 0.21788807) + ((0.35216898 / x5) + exp(x0))) + (x0 / x4)) * 3.9259071),0.03697077687691607,(1080.56674040062*(0.0304210501498617*sin(cos(x5)) + 1)**2)/1.1900042 + (x0/x4 + (x13 + x7 + x8)/0.21788807 + exp(x0) + 0.35216898/x5)*3.9259071,PySRFunction(X=>(1080.56674040062*(0.0304210501498617*sin(cos(x5)) + 1)**2)/1.1900042 + (x0/x4 + (x13 + x7 + x8)/0.21788807 + exp(x0) + 0.35216898/x5)*3.9259071),1,17,(1080.56674040062*(0.0304210501498617*sin(cos(x5)) + 1)**2)/1.1900042 + (x0/x4 + (x13 + x7 + x8)/0.21788807 + exp(x0) + 0.35216898/x5)*3.9259071
30,470.9361,(square(sin(cos(x5)) + 32.871975) / 1.1900042) + (((((x0 / x4) - x6) + ((x7 + (x13 + x8)) / 0.1785199)) + ((0.35216898 / x5) + 1.6444596)) * 3.9259071),0.01919951198799188,(1080.56674040062*(0.0304210501498617*sin(cos(x5)) + 1)**2)/1.1900042 + (x0/x4 - x6 + (x13 + x7 + x8)/0.1785199 + 1.6444596 + 0.35216898/x5)*3.9259071,PySRFunction(X=>(1080.56674040062*(0.0304210501498617*sin(cos(x5)) + 1)**2)/1.1900042 + (x0/x4 - x6 + (x13 + x7 + x8)/0.1785199 + 1.6444596 + 0.35216898/x5)*3.9259071),1,18,(1080.56674040062*(0.0304210501498617*sin(cos(x5)) + 1)**2)/1.1900042 + (x0/x4 - x6 + (x13 + x7 + x8)/0.1785199 + 1.6444596 + 0.35216898/x5)*3.9259071
32,446.1788,(square(sin(cos(x5)) + 32.871975) / 1.1900042) + ((((((x0 / x4) + x3) - x6) + ((x7 + (x13 + x8)) / 0.1785199)) + ((0.35216898 / x5) + 1.6444596)) * 3.9259071),0.027001323739695667,(1080.56674040062*(0.0304210501498617*sin(cos(x5)) + 1)**2)/1.1900042 + (x0/x4 + x3 - x6 + (x13 + x7 + x8)/0.1785199 + 1.6444596 + 0.35216898/x5)*3.9259071,PySRFunction(X=>(1080.56674040062*(0.0304210501498617*sin(cos(x5)) + 1)**2)/1.1900042 + (x0/x4 + x3 - x6 + (x13 + x7 + x8)/0.1785199 + 1.6444596 + 0.35216898/x5)*3.9259071),1,19,(1080.56674040062*(0.0304210501498617*sin(cos(x5)) + 1)**2)/1.1900042 + (x0/x4 + x3 - x6 + (x13 + x7 + x8)/0.1785199 + 1.6444596 + 0.35216898/x5)*3.9259071
