run,fold,equation_index,equation,nan_count_train,nan_count_test_int,nan_count_test_ext,nan_count_synthetic
1,,64,-x1 + (1338.3956 - x1)*(x1 - 1*(-0.3898122))*(x1 - 1*(-0.4572515))*(1.05373058159044*cos(cos(exp(7.199227/(-x0 + exp(x1 - 1*0.017297965)))/0.97019106))**2)*cos(cos(cos(x2)/(exp(exp(x1) - 1*1.4113292)*sin(x1 - 1*3.912312))))*cos(cos(-0.85242516/(-(x0 - 1*(-0.4572515))*0.22553209956484*(x1 - (4.19149256728225*(0.231963595218807*x0*(cos(0.99169683/sin(sin(-(-0.3898122)*x1 + x1 - (-x0 + x2)))) - 1*2.5714664) + 1)**2 - 1*(-0.24284385)))**2 - 0.25981808)))/(-x0 + exp(x1**2 - 1*0.73744184)) - (-1*0.558687 + exp(-(x0/0.35495117 - x2) + cos(x2))/(x0 + x1*x1 + x1 + sin(x1) - 1*0.60285354)) + x2 - (x1 - exp(exp(-x0 - x1 - 1.0357751))) - 1*0.90505075*4.985052 - 0.4627511,0,1,0,0
1,,65,x0 - x1 - x2 + (1338.3956 - x1)*(x1 - 1*(-0.3898122))*(x1 - 1*(-0.4572515))*(1.05373058159044*cos(cos(exp(7.199227/(-x0 + exp(x1 - 1*0.017297965)))/0.97019106))**2)*cos(cos(cos(x2)/(exp(exp(x1) - 1*1.4113292)*sin(x1 - 1*3.912312))))*cos(cos(-0.85242516/(-(x0 - 1*(-0.4572515))*0.22553209956484*(x1 - (4.19149256728225*(0.231963595218807*x0*(cos(0.99169683/sin(sin(-(-0.3898122)*x1 + x1 - (-x0 + x2)))) - 1*2.5714664) + 1)**2 - 1*(-0.24284385)))**2 - 0.25981808)))/(-x0 + exp(x1**2 - 1*0.73744184)) - (-1*0.558687 + exp(-(x0/0.35495117 - x2) + cos(x2))/(x0 + x1*x1 + x1 + sin(x1) - 1*0.60285354)) + x2 - (x1 - exp(exp(-x0 - x1 - 1.0357751))) - 1*0.90505075*4.985052,0,1,0,0
1,,66,x0 - x1 - x2 + (1338.3956 - x1)*(x1 - 1*(-0.3898122))*(x1 - 1*(-0.4572515))*(1.05373058159044*cos(cos(exp(7.199227/(-x0 + exp(x1 - 1*0.017297965)))/0.97019106))**2)*cos(cos(cos(x2)/(exp(exp(x1) - 1*1.4113292)*sin(x1 - 1*3.912312))))*cos(cos(-0.85242516/(-(x0 - 1*(-0.4572515))*0.22553209956484*(x1 - (4.19149256728225*(0.231963595218807*x0*(cos(0.99169683/sin(sin(-(-0.3898122)*x1 + x1 - (-x0 + x2)))) - 1*2.5714664) + 1)**2 - 1*(-0.24284385)))**2 - 0.25981808)))/(-x0 + exp(x1**2 - 1*0.73744184)) - (-1*0.558687 + exp(-(x0/0.35495117 - x2) + cos(x2))/(x0 + x1*x1 + x1 + sin(x1) - 1*0.60285354)) + x2 - (x1 - exp(exp(-x0 - x1 - 1.0357751))) - 1*0.90505075*4.985052 - 0.4627511,0,1,0,0
1,,67,x0 - x1 - x2 + (1338.3956 - x1)*(x1 - 1*(-0.3898122))*(x1 - 1*(-0.4572515))*(1.05373058159044*cos(cos(exp(7.199227/(-x0 + exp(x1 - 1*0.017297965)))/0.97019106))**2)*cos(cos(cos(x2)/(exp(exp(x1) - 1*1.4113292)*sin(x1 - 1*3.912312))))*cos(cos(-0.85242516/(-x1**4*(x1 - (4.19149256728225*(0.231963595218807*x0*(cos(0.99169683/sin(sin(-(-0.3898122)*x1 + x1 - (-x0 + x2)))) - 1*2.5714664) + 1)**2 - 1*(-0.24284385)))**2*(x0 - 1*(-0.4572515)) - 0.25981808)))/(-x0 + exp(x1**2 - 1*0.73744184)) - (-1*0.558687 + exp(-(x0/0.35495117 - x2) + cos(x2))/(x0 + x1*x1 + x1 + sin(x1) - 1*0.60285354)) + x2 - (x1 - exp(exp(-x0 - x1 - 1.0357751))) - 1*0.90505075*4.985052 - 0.4627511,0,1,0,0
1,,68,-x1 - x2 + x2 + x2/(x1 + 1.426111) - 4.985052*(x1 - exp(exp(-x0 - x1 - 1.0357751))) - (-x0 + x2 + 0.1469428 + exp(-(x0/0.35495117 - x2) + cos(x2))/(x0 + x1*x1 + x1 + sin(x1) - 1*0.60285354)) - 1*1.0741963 + cos(cos(-0.85242516/(-(x0 - 1*(-0.4572515))*0.22553209956484*(x1 - (4.19149256728225*(0.231963595218807*x0*(cos(1.0012574/sin(sin(-x0 + x2 - (-(-0.3898122)*x1 + x1)))) - 1*2.5714664) + 1)**2 - 1*(-0.24284385)))**2 - 0.25981808)))*(x1 - 1*(-0.4572515))*cos(cos(cos(x2)/(exp(exp(x1) - 1*1.4113292)*sin(x0 - 1*3.912312))))*(1.05373058159044*cos(cos(exp(7.199227/(-x0 + exp(x1 - 1*0.017297965)))/0.97019106))**2)*1337.8667*(x1 - 1*(-0.3898122))/(-x0 + exp(x1**2 - 1*0.73744184)),0,1,0,0
1,,69,x2/(x1 + 1.426111) + (-1*0.5288701 + (1.05373058159044*cos(cos(exp(7.199227/(-x0 + exp(x1 - 1*0.017297965)))/0.97019106))**2)*1338.3956/(-x0 + exp(x1**2 - 1*0.73744184)))*(x1 - 1*(-0.3898122))*(x1 - 1*(-0.4572515))*cos(cos(cos(x2)/(exp(exp(x1) - 1*1.4113292)*sin(x0 - 1*3.912312))))*cos(cos(-0.85242516/(-(x0 - 1*(-0.46291924))*0.22553209956484*(x1 - (4.19149256728225*(0.231963595218807*x0*(cos(exp(0.07157278/exp(x0 - 1*(-4.302124)))/sin(sin(-x0 + x2 - (-(-1)*0.3898122*x1 + x1)))) - 1*2.5714664) + 1)**2 - 1*(-0.24284385)))**2 - 0.25981808))) - 4.985052*(x1 - exp(exp(-x0 - x1 - 1.0357751))) - (-x0 + x2 + 0.1469428 + exp(-(x0/0.35495117 - x2) + cos(x2))/(x0 + x1*x1 + x1 + sin(x1) - cos(-1*0.80140245 - 0.12232108))) - exp(x1),0,1,0,0
1,,70,x0/(x1 + 1.426111) - x1 - x2 + x2 - (x1 - 4.985052*exp(exp(-x0 - x1 - 1.0357751))) - (-x0 + x2 + (exp(-(x0/0.35495117 - x2) + cos(x2)) + 0.1469428)/(x0 + x1*x1 + x1 + sin(x1) - 1*0.60285354)) - exp(x1) + (x1 - 1*(-0.4572515))*cos(cos(-0.85242516/(-(x0 - 1*(-0.46291924))*0.22553209956484*(x1 - (4.19149256728225*(0.231963595218807*x0*(cos(exp(0.07157278/exp(x0 - 1*(-4.302124)))/sin(sin(-x0 + x2 - (-(-0.3898122)*x1 + x1)))) - 1*2.5714664) + 1)**2 - 1*(-0.24284385)))**2 - 0.25981808)))*cos(cos(cos(x2)/(exp(exp(x1) - 1*1.4113292)*sin(x0 - 1*3.912312))))*(1.05373058159044*cos(cos(exp(7.199227/(-x0 + exp(x1 - 1*0.017297965)))/0.97019106))**2)*1337.8667*(x1 - 1*(-0.3898122))/(-x0 + exp(x1**2 - 1*0.73744184)),0,1,0,0
1,,71,-x1 - x2 + x2 + x2/(x1 + 1.426111) + (-1*0.5288701 + (1.05373058159044*cos(cos(exp(7.199227/(-x0 + exp(x1 - 1*0.017297965)))/0.97019106))**2)*1338.3956/(-x0 + exp(x1**2 - 1*0.73744184)))*(x1 - 1*(-0.3898122))*(x1 - 1*(-0.4572515))*cos(cos(cos(x2)/(exp(exp(x1) - 1*1.4113292)*sin(x0 - 1*3.912312))))*cos(cos(-0.85242516/(-(x0 - 1*(-0.46291924))*0.22553209956484*(x1 - (4.19149256728225*(0.231963595218807*x0*(cos(exp(0.07157278/exp(x0 - 1*(-4.302124)))/sin(sin(-x0 + x2 - (-(-0.3898122)*x1 + x1)))) - 1*2.5714664) + 1)**2 - 1*(-0.24284385)))**2 - 0.25981808))) - (x1 - 4.985052*exp(exp(-x0 - x1 - 1.0357751))) - (-x0 + x2 + exp(-(x0/0.35495117 - x2) + cos(x2) + 0.1469428)/(x0 + x1*x1 + x1 + sin(x1) - 1*0.60285354)) - exp(x1),0,1,0,0
1,,72,x2 + x2/(x1 + 1.426111) + (-1*0.5288701 + (1.05373058159044*cos(cos(exp(7.199227/(-x0 + exp(x1 - 1*0.017297965)))/0.97019106))**2)*1338.3956/(-x0 + exp(x1**2 - 1*0.73744184)))*(x1 - 1*(-0.3898122))*(x1 - 1*(-0.4572515))*cos(cos(cos(x2)/(exp(exp(x1) - 1*1.4113292)*sin(x0 - 1*3.912312))))*cos(cos(-0.85242516/(-(-1*(-0.46291924) + cos(0.59339374))*0.22553209956484*(x1 - (4.19149256728225*(0.231963595218807*x0*(cos(exp(0.07157278/exp(-0.25981808 - 1*(-4.302124)))/sin(sin(-x0 + x2 - (-(-1)*0.3898122*x1 + x1)))) - 1*2.5714664) + 1)**2 - 1*(-0.24284385)))**2 - 0.25981808))) - (-x1 + x2) - 4.985052*(x1 - exp(exp(-x0 - x1 - 1.0357751))) - (-x0 + x2 + 0.1469428 + exp(-(x0/0.35495117 - x2) + cos(x2))/(x0 + x1*x1 + x1 + sin(x1) - cos(0.80140245 - 1*(-0.12232108)))) - exp(x1),0,1,0,0
1,,73,-x1 - x2 + x2 + x2/(x1 + 1.426111) + (-1*0.5288701 + (1.05373058159044*cos(cos(exp(7.199227/(-x0 + exp(x1 - 1*0.017297965)))/0.97019106))**2)*1338.3956/(-x0 + exp(x1**2 - 1*0.73744184)))*(x1 - 1*(-0.3898122))*(x1 - 1*(-0.4572515))*cos(cos(cos(x2)/(exp(exp(x1) - 1*1.4113292)*sin(x0 - 1*3.912312))))*cos(cos(-0.85242516/(-(x0 - 1*(-0.46291924))*0.22553209956484*(x1 - (4.19149256728225*(0.231963595218807*x0*(cos(exp(0.07157278/exp(x0 - 1*(-4.302124)))/sin(sin(-x0 + x2 - (-(-1)*0.3898122*x1 + x1)))) - 1*2.5714664) + 1)**2 - 1*(-0.24284385)))**2 - 0.25981808))) - (-4.985052*exp(exp(-x0 - x1 - 1.0357751)) + exp(exp(-x0 - x1 - 1.0357751))) - (-x0 + x2 + (exp(-(x0/0.35495117 - x2) + cos(x2)) + 0.1469428)/(x0 + x1*x1 + x1 + sin(x1) - cos(-1*0.80140245 - 0.12232108))) - exp(x1),0,1,0,0
