complexity,loss,equation,score,sympy_format,lambda_format,run,equation_index,equation_string
1,19658.31,9.6217785,0.0,9.62177850000000,PySRFunction(X=>9.62177850000000),1,0,9.62177850000000
2,12166.06,exp(x6),0.4798500420178684,exp(x6),PySRFunction(X=>exp(x6)),1,1,exp(x6)
5,8900.075,exp(exp(x2 * x0)),0.10419680133151878,exp(exp(x0*x2)),PySRFunction(X=>exp(exp(x0*x2))),1,2,exp(exp(x0*x2))
6,3466.1519,square((x3 + 2.983849) * -3.0500412),0.9430146876000665,82.8256961430413*(0.335137602472511*x3 + 1)**2,PySRFunction(X=>82.8256961430413*(0.335137602472511*x3 + 1)**2),1,3,82.8256961430413*(0.335137602472511*x3 + 1)**2
8,1256.8091,square((x6 + (x2 + 3.1018991)) * -3.0500412),0.5072344837623382,89.509008253854*(0.322383149084379*x2 + 0.322383149084379*x6 + 1)**2,PySRFunction(X=>89.509008253854*(0.322383149084379*x2 + 0.322383149084379*x6 + 1)**2),1,4,89.509008253854*(0.322383149084379*x2 + 0.322383149084379*x6 + 1)**2
9,1102.3849,square(((x6 + 3.1018991) + x2) * square(1.7076086)),0.1311001247482081,81.8104284327867*(0.322383149084379*x2 + 0.322383149084379*x6 + 1)**2,PySRFunction(X=>81.8104284327867*(0.322383149084379*x2 + 0.322383149084379*x6 + 1)**2),1,5,81.8104284327867*(0.322383149084379*x2 + 0.322383149084379*x6 + 1)**2
10,548.2639,square((2.7477164 * (x4 + (x3 + 3.1018991))) + x2),0.6984744624042875,72.6438988942858*(0.117327664923636*x2 + 0.322383149084379*x3 + 0.322383149084379*x4 + 1)**2,PySRFunction(X=>72.6438988942858*(0.117327664923636*x2 + 0.322383149084379*x3 + 0.322383149084379*x4 + 1)**2),1,6,72.6438988942858*(0.117327664923636*x2 + 0.322383149084379*x3 + 0.322383149084379*x4 + 1)**2
12,470.6273,square(((x3 + ((x2 + x4) + 3.1018991)) * 2.7477164) - x2),0.07634512735668425,(-x2 + (x2 + x3 + x4 + 3.1018991)*2.7477164)**2,PySRFunction(X=>(-x2 + (x2 + x3 + x4 + 3.1018991)*2.7477164)**2),1,7,(-x2 + (x2 + x3 + x4 + 3.1018991)*2.7477164)**2
14,458.84308,square(x2 - (((x2 + (x3 + 3.1018991)) + x4) * 2.7477164)) + x6,0.012679103845161967,x6 + (x2 - 2.7477164*(x2 + x3 + x4 + 3.1018991))**2,PySRFunction(X=>x6 + (x2 - 2.7477164*(x2 + x3 + x4 + 3.1018991))**2),1,8,x6 + (x2 - 2.7477164*(x2 + x3 + x4 + 3.1018991))**2
16,371.2524,square(((x2 + x6) - -2.579805) * -2.705756) + (((x3 / 0.18811211) + 4.0421333) * 8.020596),0.10591306161380389,(x3/0.18811211 + 4.0421333)*8.020596 + 7.321115531536*(x2 + x6 - 1*(-2.579805))**2,PySRFunction(X=>(x3/0.18811211 + 4.0421333)*8.020596 + 7.321115531536*(x2 + x6 - 1*(-2.579805))**2),1,9,(x3/0.18811211 + 4.0421333)*8.020596 + 7.321115531536*(x2 + x6 - 1*(-2.579805))**2
20,281.27744,(((x3 / 0.18811211) + ((x6 / -0.52151597) + 3.4854932)) * 9.338537) + square((x6 + (x2 - -2.579805)) * 2.7477164),0.0693851603846262,7.54994541482896*(x2 + x6 - 1*(-2.579805))**2 + (x3/0.18811211 + x6/(-0.52151597) + 3.4854932)*9.338537,PySRFunction(X=>7.54994541482896*(x2 + x6 - 1*(-2.579805))**2 + (x3/0.18811211 + x6/(-0.52151597) + 3.4854932)*9.338537),1,10,7.54994541482896*(x2 + x6 - 1*(-2.579805))**2 + (x3/0.18811211 + x6/(-0.52151597) + 3.4854932)*9.338537
22,186.48805,square(((x2 + x6) - -2.579805) * 2.7964046) + ((((x6 / -0.43389964) + (x3 / 0.18811211)) + (x4 + 3.4854932)) * 9.573757),0.20548717562001115,7.81987868690116*(x2 + x6 - 1*(-2.579805))**2 + (x3/0.18811211 + x4 + x6/(-0.43389964) + 3.4854932)*9.573757,PySRFunction(X=>7.81987868690116*(x2 + x6 - 1*(-2.579805))**2 + (x3/0.18811211 + x4 + x6/(-0.43389964) + 3.4854932)*9.573757),1,11,7.81987868690116*(x2 + x6 - 1*(-2.579805))**2 + (x3/0.18811211 + x4 + x6/(-0.43389964) + 3.4854932)*9.573757
24,154.01788,((x4 + 9.338537) * ((x3 / 0.18811211) + ((x6 / -0.52151597) + (x4 + 3.4854932)))) + square(((x6 + x2) - -2.579805) * 2.7477164),0.09564923119687696,(x4 + 9.338537)*(x3/0.18811211 + x4 + x6/(-0.52151597) + 3.4854932) + 7.54994541482896*(x2 + x6 - 1*(-2.579805))**2,PySRFunction(X=>(x4 + 9.338537)*(x3/0.18811211 + x4 + x6/(-0.52151597) + 3.4854932) + 7.54994541482896*(x2 + x6 - 1*(-2.579805))**2),1,12,(x4 + 9.338537)*(x3/0.18811211 + x4 + x6/(-0.52151597) + 3.4854932) + 7.54994541482896*(x2 + x6 - 1*(-2.579805))**2
26,118.52994,(((x4 + x4) + 8.020596) * ((((x6 / -0.43389964) + (x3 / 0.18811211)) + x4) + 3.4854932)) + square((-2.579805 - (x2 + x6)) * 2.7477164),0.1309515563399391,50.2478601912778*(-0.387626196553616*x2 - 0.387626196553616*x6 - 1)**2 + (x4 + x4 + 8.020596)*(x3/0.18811211 + x4 + x6/(-0.43389964) + 3.4854932),PySRFunction(X=>50.2478601912778*(-0.387626196553616*x2 - 0.387626196553616*x6 - 1)**2 + (x4 + x4 + 8.020596)*(x3/0.18811211 + x4 + x6/(-0.43389964) + 3.4854932)),1,13,50.2478601912778*(-0.387626196553616*x2 - 0.387626196553616*x6 - 1)**2 + (x4 + x4 + 8.020596)*(x3/0.18811211 + x4 + x6/(-0.43389964) + 3.4854932)
