complexity,loss,equation,score,sympy_format,lambda_format,run,equation_index,equation_string
1,15497.394,72.01275,0.0,72.0127500000000,PySRFunction(X=>72.0127500000000),16,0,72.0127500000000
3,10818.415,square(square(x6)),0.1797110530274813,x6**4,PySRFunction(X=>x6**4),16,1,x6**4
4,9690.503,square(x6 * x3),0.11010344096254379,x3**2*x6**2,PySRFunction(X=>x3**2*x6**2),16,2,x3**2*x6**2
5,4323.829,square(8.4860325 + square(x3)),0.8070049814612003,72.0127475910563*(0.117840698818912*x3**2 + 1)**2,PySRFunction(X=>72.0127475910563*(0.117840698818912*x3**2 + 1)**2),16,3,72.0127475910563*(0.117840698818912*x3**2 + 1)**2
7,2712.9963,square((8.4860325 + x5) + square(x3)),0.23304384120350424,72.0127475910563*(0.117840698818912*x3**2 + 0.117840698818912*x5 + 1)**2,PySRFunction(X=>72.0127475910563*(0.117840698818912*x3**2 + 0.117840698818912*x5 + 1)**2),16,4,72.0127475910563*(0.117840698818912*x3**2 + 0.117840698818912*x5 + 1)**2
9,1462.7042,square(8.132872 + (x2 + (x5 + square(x3)))),0.30888337778148645,66.143606968384*(0.122957793999463*x2 + 0.122957793999463*x3**2 + 0.122957793999463*x5 + 1)**2,PySRFunction(X=>66.143606968384*(0.122957793999463*x2 + 0.122957793999463*x3**2 + 0.122957793999463*x5 + 1)**2),16,5,66.143606968384*(0.122957793999463*x2 + 0.122957793999463*x3**2 + 0.122957793999463*x5 + 1)**2
11,866.8825,square(x5 + (x2 + (square(x3) + (x2 + 8.132872)))),0.2615693752465247,66.143606968384*(0.245915587998926*x2 + 0.122957793999463*x3**2 + 0.122957793999463*x5 + 1)**2,PySRFunction(X=>66.143606968384*(0.245915587998926*x2 + 0.122957793999463*x3**2 + 0.122957793999463*x5 + 1)**2),16,6,66.143606968384*(0.245915587998926*x2 + 0.122957793999463*x3**2 + 0.122957793999463*x5 + 1)**2
13,856.53735,square((x2 + (x2 + 8.132872)) + (x5 + square(x3))) + -0.80664897,0.0060027591394532865,66.143606968384*(0.245915587998926*x2 + 0.122957793999463*x3**2 + 0.122957793999463*x5 + 1)**2 - 0.80664897,PySRFunction(X=>66.143606968384*(0.245915587998926*x2 + 0.122957793999463*x3**2 + 0.122957793999463*x5 + 1)**2 - 0.80664897),16,7,66.143606968384*(0.245915587998926*x2 + 0.122957793999463*x3**2 + 0.122957793999463*x5 + 1)**2 - 0.80664897
14,433.54822,square((x2 + ((x2 + (x5 + square(x3))) + 8.132872)) + sin(x3)),0.6808949003439122,66.143606968384*(0.245915587998926*x2 + 0.122957793999463*x3**2 + 0.122957793999463*x5 + 0.122957793999463*sin(x3) + 1)**2,PySRFunction(X=>66.143606968384*(0.245915587998926*x2 + 0.122957793999463*x3**2 + 0.122957793999463*x5 + 0.122957793999463*sin(x3) + 1)**2),16,8,66.143606968384*(0.245915587998926*x2 + 0.122957793999463*x3**2 + 0.122957793999463*x5 + 0.122957793999463*sin(x3) + 1)**2
16,414.51968,square((((x5 + x2) + (8.132872 + square(x3))) + x2) + sin(x3)) + x3,0.02244128591838068,x3 + 66.143606968384*(0.245915587998926*x2 + 0.122957793999463*x3**2 + 0.122957793999463*x5 + 0.122957793999463*sin(x3) + 1)**2,PySRFunction(X=>x3 + 66.143606968384*(0.245915587998926*x2 + 0.122957793999463*x3**2 + 0.122957793999463*x5 + 0.122957793999463*sin(x3) + 1)**2),16,9,x3 + 66.143606968384*(0.245915587998926*x2 + 0.122957793999463*x3**2 + 0.122957793999463*x5 + 0.122957793999463*sin(x3) + 1)**2
