run,fold,equation_index,equation,nan_count_train,nan_count_test_int,nan_count_test_ext,nan_count_synthetic
22,,64,-1.67218582746928*x0*x4 - x0 - x1 - x4 + x5 + x6 + 3.5711775*(-x3*(cos(x4 + 0.9413113) + 0.99678224) + exp(exp(cos(sin(1.14237794891895*exp(x0))))*cos(1.5632563*x2 - 1.5632563*x4))*cos(exp(exp(x3))))*sin(x3) - (x3*cos(x2)**2 - sin(sin(x2)))*(log(x5 + cos(x4)) + 17.469305) + 17.3807727858452*(x3 + 0.239864213828009*x5 + 0.0825889739122242)**2 + exp(x2 + x3) + exp(1.8879645*exp(cos(0.63424313777099*exp(-0.6823123*x3 - 0.239864213828009*x4)))) + 3.5711775*sin(x5 + cos(x5)) + cos(3.0236945*x3*x5/x2) - 1.12288218,0,0,3,3
22,,65,-1.67218582746928*x0*x4 - x0 - x1 - x4 + x5 + x6 + 3.5711775*(-x3*(cos(x4 + 0.9413113) + 0.99678224) + exp(exp(cos(sin(1.14237794891895*exp(x0))))*cos(1.5632563*x2 - 1.5632563*x4))*cos(exp(exp(x3))))*sin(x3) - (x3*cos(x2)**2 - sin(sin(x2)))*(x4 + log(x5 + cos(x4)) + 17.469305) + 17.3807727858452*(x3 + 0.239864213828009*x5 + 0.0825889739122242)**2 + exp(x2 + x3) + exp(1.8879645*exp(cos(0.63424313777099*exp(-0.6823123*x3 - 0.239864213828009*x4)))) + 3.5711775*sin(x5 + cos(x5)) + cos(3.0236945*x3*x5/x2) - 1.12288218,0,0,3,3
22,,66,-1.83086284025121*x0*x4 - x0 - x1 - x4 + x5 + x6 + 3.5711775*(-x3*(cos(x4 + 0.9413113) + 0.99678224) + exp(exp(cos(sin(1.14237794891895*exp(x0))))*cos(1.5632563*x2 - 1.5632563*x4))*cos(exp(exp(x3))))*sin(x3) - (x3*cos(x2)**2 - sin(sin(x2)))*(log(x5 + cos(x4)) + sin(x3) + 17.469305) + 17.3807727858452*(x3 + 0.239864213828009*x5 + 0.0825889739122242)**2 + exp(x2 + x3) + exp(1.8879645*exp(cos(0.63424313777099*exp(-0.6823123*x3 - 0.239864213828009*x4)))) + 3.5711775*sin(x5 + cos(x5)) + cos(3.0236945*x3*x5/x2) - 0.72372781,0,0,3,3
22,,67,-1.67218582746928*x0*x4 - x0 - x1 - x4 + x5 + x6 + 3.5711775*(-x3*(cos(x4 + 0.9413113) + 0.99678224) + exp(exp(cos(sin(1.14237794891895*exp(x0))))*cos(1.5632563*x2 - 1.5632563*x4))*cos(exp(exp(x3))))*sin(x3) - (x3*cos(x2)**2 - sin(sin(x2)))*((cos(x2) - cos(x3*(exp(exp(x3)) + 0.9971864)))*sin(x3) + log(x5 + cos(x4)) + 17.469305) + 17.3807727858452*(x3 + 0.239864213828009*x5 + 0.0825889739122242)**2 + exp(x2 + x3) + exp(1.8879645*exp(cos(0.63424313777099*exp(-0.6823123*x3 - 0.239864213828009*x4)))) + 3.5711775*sin(x5 + cos(x5)) + cos(3.0236945*x3*x5/x2) - 0.62244868,0,0,3,3
22,,68,-1.67218582746928*x0*x4 - x0 - x1 - x4 + x5 + x6 + 3.5711775*(-x3*(cos(x4 + 0.9413113) + 0.99678224) + exp(exp(cos(sin(1.14237794891895*exp(x0))))*cos(1.5632563*x2 - 1.5632563*x4))*cos(exp(exp(x3))))*sin(x3) - (x3*cos(x2)**2 - sin(sin(x2)))*((-cos(x3*(exp(exp(x3)) + 0.9971864)) + cos(x2 + 0.99465233))*sin(x3) + log(x5 + cos(x4)) + 17.469305) + 17.3807727858452*(x3 + 0.239864213828009*x5 + 0.0825889739122242)**2 + exp(x2 + x3) + exp(1.8879645*exp(cos(0.63424313777099*exp(-0.6823123*x3 - 0.239864213828009*x4)))) + 3.5711775*sin(x5 + cos(x5)) + cos(3.0236945*x3*x5/x2) - 0.62244868,0,0,3,3
22,,69,-1.83086284025121*x0*x4 - x0 - x1 - x4 + x5 + x6 + 3.5711775*(-x3*(cos(x4 + 0.9413113) + 0.99678224) + exp(exp(cos(sin(1.14237794891895*exp(x0))))*cos(1.5632563*x2 - 1.5632563*x4))*cos(exp(exp(x3))))*sin(x3) - (x3*cos(x2)**2 - sin(sin(x2)))*(x3*(-cos(x3*(exp(exp(x3)) + 0.787427995049484)) + cos(x2 + 0.99465233)) + log(x5 + cos(x4)) + 17.469305) + 17.3807727858452*(x3 + 0.239864213828009*x5 + 0.0825889739122242)**2 + exp(x2 + x3) + exp(1.8879645*exp(cos(0.63424313777099*exp(-0.6823123*x3 - 0.239864213828009*x4)))) + 3.5711775*sin(x5 + cos(x5)) + cos(3.0236945*x3*x5/x2) - 0.72372781,0,0,3,3
22,,71,-1.67218582746928*x0*x4 - x0 - x1 - x4 + x5 + x6 + 3.5711775*(-x3*(cos(x4 + 0.9413113) + 0.99678224) + exp(exp(cos(sin(1.14237794891895*exp(x0))))*cos(1.5632563*x2 - 1.5632563*x4))*cos(exp(exp(x3))))*sin(x3) - (x3*cos(x2)**2 - sin(sin(x2)))*((-x3*cos(exp(exp(x3)) + cos(cos(x1) + 0.5567311)) + exp(cos(exp(x5))))*exp(cos(x3 - x4)**2)*sin(x3) + log(x5 + cos(x4)) + 17.469305) + 17.3807727858452*(x3 + 0.239864213828009*x5 + 0.0825889739122242)**2 + exp(x2 + x3) + exp(1.8879645*exp(cos(0.63424313777099*exp(-0.6823123*x3 - 0.239864213828009*x4)))) + 3.5711775*sin(x5 + cos(x5)) + cos(3.0236945*x3*x5/x2) - 0.13592452,0,0,3,3
22,,73,-1.67218582746928*x0*x4 - x0 - x1 - x4 + x5 + x6 + 3.5711775*(-x3*(cos(x4 + 0.9413113) + 0.99678224) + exp(exp(cos(sin(1.14237794891895*exp(x0))))*cos(1.5632563*x2 - 1.5632563*x4))*cos(exp(exp(x3))))*sin(x3) - (x3*cos(x2)**2 - sin(sin(x2)))*((-x3*cos(exp(exp(x3)) + cos(cos(x1) + 0.5567311)) + exp(cos(exp(x5))))*exp(cos(x3*x4 - 0.603806)**2)*sin(x3) + log(x5 + cos(x4)) + 17.469305) + 17.3807727858452*(x3 + 0.239864213828009*x5 + 0.0825889739122242)**2 + exp(x2 + x3) + exp(1.8879645*exp(cos(0.63424313777099*exp(-0.6823123*x3 - 0.239864213828009*x4)))) + 3.5711775*sin(x5 + cos(x5)) + cos(3.0236945*x3*x5/x2) - 0.13592452,0,0,3,3
22,,75,-1.67218582746928*x0*x4 - x0 - x1 - x4 + x5 + x6 + 3.5711775*(-x3*(cos(x4 + 0.9413113) + 0.99678224) + exp(exp(cos(sin(1.14237794891895*exp(x0))))*cos(1.5632563*x2 - 1.5632563*x4))*cos(exp(exp(x3))))*sin(x3) - (x3*cos(x2)**2 - sin(sin(x2)))*((-x3*cos(exp(exp(x3)) + cos(cos(x1) + 0.5567311)) + exp(cos(exp(x5))))*exp(cos((x3 - x4)**2*exp(2*sin(cos(x0 + 0.13311201)))))*sin(x3) + log(x5 + cos(x4)) + 17.469305) + 17.3807727858452*(x3 + 0.239864213828009*x5 + 0.0825889739122242)**2 + exp(x2 + x3) + exp(1.8879645*exp(cos(0.63424313777099*exp(-0.6823123*x3 - 0.239864213828009*x4)))) + 3.5711775*sin(x5 + cos(x5)) + cos(3.0236945*x3*x5/x2) - 0.13592452,0,0,3,3
22,,76,-1.67218582746928*x0*x4 - x0 - x1 - x4 + x5 + x6 + 3.5711775*(-x3*(cos(x4 + 0.9413113) + 0.99678224) + exp(exp(cos(sin(1.14237794891895*exp(x0))))*cos(1.5632563*x2 - 1.5632563*x4))*cos(exp(exp(x3))))*sin(x3) - (x3*cos(x2)**2 - sin(sin(x2)))*((-x3*cos(exp(exp(x3)) + cos(cos(x1) + 0.5567311)) + exp(cos(exp(x5))))*exp(cos((x3 - x4)**2*exp(2*sin(cos(x0 + 0.13311201)))))*sin(x3) + log(x5 + cos(x4)) + 17.469305) + 17.3807727858452*(x3 + 0.239864213828009*x5 + 0.0825889739122242)**2 + exp(x2 + x3) + exp(1.8879645*exp(cos(0.63424313777099*exp(-0.6823123*x3 - 0.239864213828009*x4)))) + 3.5711775*sin(x5 + cos(x5)) + cos(3.0236945*x3*x5/x2) - 0.324783274195821,0,0,3,3
