run,fold,equation_index,equation,nan_count_train,nan_count_test_int,nan_count_test_ext,nan_count_synthetic
8,,23,0.764627314014175*((x4 - 1.59402661278876*cos(3.0174384*log(x0*x1 + 0.54115367)) - 1.82454176438406)*sin(sin(x1)) + 0.1347562)*log(0.0428389655114559*(1 - 0.611138864785701*cos(x0))**2)**2*log((-0.07791882 - 0.020534156/x1)*(x0 - 0.20687565) + 0.8309149)**2,0,0,0,1
8,,24,0.764627314014175*((x4 - 1.59402661278876*cos(3.0174384*log(x0*(x1 - 0.28976128) + 0.8309149)) - 1.82454176438406)*sin(x1) + 0.1347562)*log(0.0428389686668602*(1 - 0.611138864785701*cos(x0))**2)**2*log((-0.07791882 - 0.020534156/x1)*(x0 - 0.20687565) + 0.8309149)**2,0,0,0,1
8,,25,0.764627314014175*((x4 - 1.59402661278876*cos(3.0174384*log(x0*(x1 - 0.28976128) + 0.8309149)) - 1.82454176438406)*sin(sin(x1)) + 0.1347562)*log(0.0428389686668602*(1 - 0.611138864785701*cos(x0))**2)**2*log((-0.07791882 - 0.020534156/x1)*(x0 - 0.20687565) + 0.8309149)**2,0,0,0,1
8,,26,0.894950800002544*(0.874429707874895*(x4 - 1.59402661278876*cos(3.0174384*log((x0 - 0.09416654)*(x1 - 0.28976128) + 0.8309149)) - 1.82454176438406)*sin(sin(x1)) + 0.117834824600331)*log(0.0478674008300104*(1 - 0.611138864785701*cos(x0))**2)**2*log((-0.07791882 - 0.020534156/x1)*(x0 - 0.20687565) + 0.8309149)**2,0,0,0,1
8,,27,0.782571566608628*((x4 - 1.59402661278876*cos(3.0174384*log((x0 - 0.09416654)*(x1 - 0.28976128) + 0.8309149)) - 1.82454176438406)*sin(sin(x1)) + 0.1347562)*log(0.0478674008300104*(1 - 0.611138864785701*cos(x0))**2)**2*log((-0.07791882 - 0.022170913040604/x1)*(x0 - 0.20687565) + 0.8309149)**2,0,0,0,1
8,,28,0.782571566608628*((x4 - 1.59402661278876*cos(3.0174384*log(x0*(x1 - 0.28976128) + 0.8309149)) - 1.82454176438406)*sin(sin(x1)) + 0.1347562)*log(0.0478674008300104*(1 - 0.611138864785701*cos(x0))**2)**2*log((-0.07791882 + (-0.0042480168697014*x3 - 0.022170913040604)/x1)*(x0 - 0.20687565) + 0.8309149)**2,0,0,0,1
8,,29,0.894950800002544*(0.874429707874895*(x4 - 1.59402661278876*cos(3.0174384*log(x0*(x1 - 0.28976128) + 0.73674836)) - 1.82454176438406)*sin(sin(x1)) + 0.117834824600331)*log(0.0478674008300104*(1 - 0.611138864785701*cos(x0))**2)**2*log((-0.07791882 + (-0.00595169928354358*x3 - 0.022170913040604)/x1)*(x0 - 0.20687565) + 0.8309149)**2,0,0,0,1
8,,30,0.782571566608628*((x4 - 1.59402661278876*cos(3.0174384*log(x0*(x1 - 0.28976128) + 0.8309149)) - 1.82454176438406)*sin(sin(x1)) + 0.1347562)*log(0.0478674008300104*(1 - 0.611138864785701*cos(x0))**2)**2*log((-0.07791882 - 0.020534156*(0.69041957104201*x3*(x1 - 0.798709470729193)**2 + 1.079709)/x1)*(x0 - 0.20687565) + 0.8309149)**2,0,0,0,1
8,,31,0.764627314014175*((x4 - 1.59402661278876*cos(3.0174384*log(x0*(x1 - 0.28976128) + 0.8309149)) - 1.82454176438406)*sin(sin(x1)) + 0.1347562)*log(0.0478674008300104*(1 - 0.611138864785701*cos(x0))**2)**2*log((-0.07791882 - 0.020534156*(0.8309149*x3*(x1 - 0.663659513630064)**2 + 1.079709)/x1)*(x0 - 0.20687565) + 0.8309149)**2,0,0,0,1
8,,32,0.782571566608628*((x4 - 1.59402661278876*cos(3.0174384*log(x0*(x1 - 0.28976128) + 0.8309149)) - 1.82454176438406)*sin(sin(x1)) + 0.1347562)*log(0.0478674008300104*(1 - 0.611138864785701*cos(x0))**2)**2*log((-0.07791882 - 0.020534156*(0.69041957104201*x3*(x1 - 0.663659513630064)**2 + 1.079709)/x1)*(x0 - 0.20687565) + 0.8309149)**2,0,0,0,1
