Run,Equation_Index,Complexity,Constant_Num,Total_Symbols,Distinct_Symbols,MSE_Train,MSE_Test_Interpolation,MSE_Test_Extrapolation,Sigma_Train,Log_likelihood_Train,AIC_Train,BIC_Train,MDL_Train,PSM_Train,Sensitivity_Interpolation_SVP,Sensitivity_Extrapolation_SVP,Sensitivity_Interpolation_MVP,Sensitivity_Extrapolation_MVP,Extrapolation_Divergence
24,0,1,1,1,1,10.25547672642869,15.215029891686651,24.46480112079465,3.2024170509459013,-206.6275634765625,415.255126953125,417.63715,208.61584437296747,0.0,0.0,0.0,0.0,0.0,0.0
24,1,3,1,3,3,7.939580789421117,13.212656116728573,19.460557553641532,2.817724521491162,-196.38949584960938,394.77899169921875,397.161,201.67361454365906,0.12797571484743356,0.0008620262535665487,0.0016261796939809755,0.0008620262535665487,0.0016261796939809755,0.9398971358614718
24,2,5,1,5,5,6.864147630573157,13.096838972240983,8.026419783803886,2.6196703269305313,-190.5675506591797,383.1351013183594,385.51712,200.6031819593116,0.07277429954713313,0.0007254320572176515,0.0011889421148334944,0.001450864114435311,0.0023778842296670074,0.956023462506196
24,3,7,2,8,7,6.853992269243591,13.088348864980315,7.891139201027273,2.6175023870521072,-190.50833129882812,385.01666259765625,389.7807,208.06418584008455,0.000740297370172118,0.0007545902741601493,0.0012367307833538064,0.0015091805483203,0.0024734615667076423,0.9584782709962306
24,4,8,2,8,8,6.828141243782953,13.367788637391493,7.117225779365056,2.612912284400404,-190.357177734375,384.71435546875,389.4784,208.98108227025585,0.003778830834238605,0.0008995879078893216,0.0014743737046675177,0.0017991758157786552,0.002948747409335073,0.9689976118065365
24,5,10,2,11,8,6.421910983868732,13.270338969902076,8.162142683495649,2.5309556754150977,-187.90383911132812,379.80767822265625,384.57172,212.76786691148573,0.030668307752703638,0.13938341010838787,0.15534307276335546,0.2428245630617422,0.2671508189809297,0.8111322461516206
24,6,12,3,13,9,5.921226319683869,13.70161333224198,8.212488987566763,2.430025985460245,-184.656982421875,375.31396484375,382.46005,215.2112359006212,0.04058631011621508,0.14386331047435524,0.12263717990368342,0.2530910875944846,0.12249715336921142,0.9419402826743285
24,7,14,4,18,12,5.780613740696644,13.54122608256003,9.417685078296559,2.403826109137947,-183.69549560546875,375.3909912109375,384.9191,230.41238595714952,0.012016692151850274,0.3526502906947331,0.2995532241601281,0.6207527234221846,0.29937921513062327,0.9007564432227576
24,8,17,3,23,12,5.585716327233804,13.023098743969168,33.200556349949274,2.355826760077769,-182.3244171142578,370.6488342285156,377.79492,241.47036497083118,0.011432410967489114,0.1478570939847195,0.13549616464669972,0.26155682291558785,0.1495297325097825,1.0597287678634946
24,9,18,3,22,12,5.585354162891464,13.043756497925335,33.24501485834155,2.355749530399551,-182.3218231201172,370.6436462402344,377.78973,238.9828648033472,6.468494473070788e-05,0.14744005459885062,0.1350697624389292,0.26016132787681745,0.1471085601783085,1.064300675791857
24,10,19,4,25,13,5.550129020649818,13.71659753836266,31.849129732918072,2.355826760077769,-182.06793212890625,372.1358642578125,381.66397,248.17997508154644,0.006326824021479601,0.14785709398471952,0.13549616464669978,0.2615568229155878,0.1495297325097825,1.0597287678634946
24,11,23,5,29,12,5.381233974546541,14.24075921355707,8.775328867926293,2.3196161010902485,-180.831787109375,371.66357421875,383.5737,254.88244644989888,0.007725818663212465,0.14903996338144274,0.12452528997918338,0.26259542279449527,0.12551709756902846,0.9302867078228096
24,12,25,5,35,14,5.282234006931394,14.317448378369946,8.399756553083172,2.2982953040346605,-180.0890350341797,370.1780700683594,382.0882,274.4443326563376,0.009284300803980572,0.14970674076798135,0.1593390600028852,0.2654849344373321,0.1888331121625691,0.6137911581020818
24,13,27,3,32,11,5.251584380978429,14.679133753873794,10.154636849155658,2.2894999030232763,-179.85633850097656,365.7126770019531,372.85876,258.5786644641418,0.002909684456001073,0.15038731019912865,0.12624359746166616,0.265688666281348,0.1270685138801876,1.0259486850760455
24,14,29,8,41,18,5.120525341191966,13.30648230408577,8.511243934482671,2.2624615532607644,-178.84536743164062,373.69073486328125,392.74695,299.33915285306307,0.012636288616521382,0.6262731261277723,0.9163464071534533,1.1489123668258632,1.6511224666191318,0.8033308160172709
24,15,30,9,52,17,4.592168818727723,14.314435379084696,12.597939315027501,2.141739849572561,-174.48919677734375,366.9783935546875,388.41663,323.8054077220616,0.10890514219780281,0.47915401171674094,0.5202421953306833,0.8508101610284762,0.869958924318804,0.49516478327632896
24,16,32,9,48,17,4.3380033902029105,13.520283903865671,8.495555672408766,2.056145700158747,-172.2250213623047,362.4500427246094,383.88828,310.2267314503772,0.02846884573181601,0.5146679748305447,0.16563457924615294,0.8968832045248816,0.2837979503320919,0.5594147576206824
24,17,35,10,51,18,4.241122272827095,15.231030490204532,7.971536050073368,2.0561457001587473,-171.3083953857422,362.6167907714844,386.43707,320.70800513473944,0.007528810150618514,0.5146679748305447,0.16563457924615305,0.8968832045248814,0.2837979503320921,0.5594147576206824
24,18,37,10,56,18,4.240399435268587,14.198760837546597,9.370334991135973,2.058084095958735,-171.30140686035156,362.6028137207031,386.4231,335.15133586924304,8.533847123559361e-05,0.5150060312794629,0.1663753885511864,0.8973409857288793,0.28483126373461076,0.5103889062883876
24,19,38,11,58,19,4.063902515923628,14.768650378061164,7.55739051493535,2.0156075120964942,-169.60084533691406,361.2016906738281,387.404,342.36681371069375,0.042513385212743726,0.5024427620186487,0.16217872177854095,0.8749857622705599,0.2795778583915269,0.6729351162014217
24,20,41,8,51,17,4.024986399911605,15.503921101920119,8.371662881280132,2.0062364575818923,-169.2159423828125,354.431884765625,373.4881,315.6981040566659,0.0032075525751962017,0.49838271540273793,0.47180412437431685,0.8694144639199912,0.6170659342194246,0.5856513433489635
24,21,42,11,65,19,4.015677788592226,14.405935355009209,7.949136034886095,1.987521053067645,-169.12875366210938,360.25750732421875,386.4598,362.5178403912512,0.0023151087754620767,0.530047298497078,0.24928929067014693,0.9248693702409809,0.37894534395783647,0.6261250533738776
24,22,43,12,63,20,4.009987366180907,14.936644973886516,7.639098290687824,2.002351716922389,-169.0666046142578,362.1332092285156,390.71753,359.78612592019977,0.0014180759620849865,0.5206225672491238,0.17264758785202214,0.9065643344975051,0.27775914296294196,0.6257713112041687
24,23,44,11,56,22,3.890350713395281,16.759743678671505,6.840133004522841,1.9702720133093747,-167.85516357421875,357.7103271484375,383.91263,342.943437961278,0.030288665904986942,0.3495894077023929,0.19430968243420393,0.8510788615125204,0.5626138753904213,0.6631681373600654
24,24,47,14,66,23,3.852177638289187,15.565402792145495,6.971682298879801,1.9626961806857006,-167.46063232421875,362.9212646484375,396.26965,376.39153146012706,0.0032870500235042516,0.36110909396076984,0.1668546720266693,0.8440356133056188,0.4637996727620604,0.5798515532947485
24,25,49,13,70,22,3.6463979711310572,14.596613273986424,7.107229975984589,1.9020381484361812,-165.2659149169922,356.5318298339844,387.49817,383.63307155686454,0.027449313331392063,0.33287642824794006,0.18365332226642894,0.7924083548538506,0.49863586871899135,0.5837379418570194
24,26,51,14,72,23,3.613160338775631,15.56347525985699,6.925486439004024,1.897560714115214,-164.89862060546875,357.7972412109375,391.14563,392.64506607160666,0.004578521239735697,0.3163050053552407,0.1745105995901951,0.7529602809211104,0.47381252543360824,0.5827822686215125
24,27,53,15,74,24,3.603516519998243,15.529094715048,6.844270849929052,1.8966653696279558,-164.7915496826172,359.5830993652344,395.3135,401.9571001948223,0.0013362949013775876,0.318034114143363,0.17529988088035184,0.758120752708412,0.4752054680548598,0.5828094295785498
24,28,54,14,72,23,3.601258141526128,14.994191382774556,7.0528964204075155,1.897560734915357,-164.76641845703125,357.5328369140625,390.88123,392.5103914142561,0.0006270843855483218,0.31630497906557564,0.17451070663964607,0.7529602263603279,0.4738128448385312,0.5827823782170236
24,29,56,9,80,21,3.492694070402325,15.63011222724341,5.107628654569098,1.8687915662706043,-163.54202270507812,345.08404541015625,366.52228,409.092165439623,0.015304826845404282,0.36390808227826166,0.3853652928764609,0.96993234718196,0.943933769607966,1.1288269784829157
24,30,66,12,99,23,3.346292754447158,16.58316567223212,5.068623588855245,1.8100793615247426,-161.8381805419922,347.6763610839844,376.26068,474.25614019753624,0.004283576934014665,0.42390529996499354,0.3853318894200447,1.0453848088183286,0.9826892311451436,1.1020474377209653
24,31,67,11,88,23,3.3160727373782044,16.088744292169814,5.882116679975343,1.8210070658849766,-161.46632385253906,344.9326477050781,371.13495,439.3780970765765,0.009056316355711132,0.3870699500960073,0.4597741195109165,1.0044364005766746,1.0169292172700017,1.1223265432910994
24,32,68,12,92,24,3.2435992047794096,15.615249460974951,6.163252925153299,1.800610534509351,-160.58242797851562,345.16485595703125,373.74918,454.951985013548,0.022097831576081313,0.3817598950328599,0.44299329026990997,0.9890988345407351,0.9818197201146599,1.1037626403995526
24,33,69,12,93,24,3.2034626706355604,15.350810374374356,13.962206426526443,1.7896679343452784,-160.08436584472656,344.1687316894531,372.75305,457.63178198702315,0.012451169148478871,0.3825629146884325,0.4458311074042958,0.9907779258286542,0.9893826024457364,1.103145276843485
24,34,80,13,113,26,3.1878318768644656,15.981006337871596,5.338097510321726,1.782639028985941,-159.888916015625,345.77783203125,376.74417,530.0444671579993,0.0004446512322245516,0.3965632864323177,0.4071660638948652,1.0703653176702943,0.9761101396685876,0.8624483020340169
24,35,81,13,118,25,3.043275197599777,16.35502976343416,5.3202045915339955,1.7403825233939982,-158.03289794921875,342.0657958984375,373.03214,539.8520652772378,0.046406895426590836,0.3891920876321749,0.3668466236415713,1.0482553841413425,0.8577586077763192,0.8707557716810703
24,36,82,13,119,25,3.0209528758945097,16.50161541222449,5.1742862408648005,1.732453395384305,-157.73883056640625,341.4776611328125,372.444,542.7781981869589,0.007362126826306642,0.38356105955031505,0.36343868354689085,1.0320222273754844,0.8493271274212719,0.8791583900438753
24,37,84,14,124,26,3.0132007795439693,15.6797281911157,5.364431013086018,1.7331613795582772,-157.63539123535156,343.2707824707031,376.61914,563.6299724255371,0.0012845888309914973,0.3831657786612737,0.3975751138715047,1.0308312406433966,0.9408926603485268,0.884242375934926
24,38,86,13,124,25,3.0038418510182217,16.138363504809206,5.235948906354927,1.732453395384305,-157.51077270507812,341.02154541015625,371.98788,558.6402668969856,0.001555366856718859,0.383561059550315,0.36343868354689074,1.0320222273754842,0.8493271274212725,0.8791583900438756
24,39,88,12,126,23,2.9704364325400903,16.44951386453432,5.197174943183235,1.7222916903031167,-157.0634765625,338.126953125,366.71127,554.1250761928342,0.005592218854820468,0.4142081562260196,0.4228665668143785,1.0388882074608108,1.0009623202792322,0.9123611926796371
24,40,92,19,134,30,2.9328924659853186,17.329379341981635,4.486849353374887,1.7084527875802538,-156.55511474609375,351.1102294921875,396.36874,614.3074499315393,0.0031795813471989184,0.5400114480233201,0.52190626415245,1.29144023808558,1.3311188531021503,0.8165156708565514
24,41,98,20,142,30,2.888436904006382,16.501057050789758,4.691737340604065,1.69767641773105,-155.9438018798828,351.8876037597656,399.52814,640.9037558148303,0.002545520965508,0.44089985937081266,0.722821344137369,1.1010078181866791,1.8830558475220844,0.5475369498453145
24,42,99,20,144,30,2.8146890287067157,16.42631259649945,4.905113681157854,1.6749255113442307,-154.90936279296875,349.8187255859375,397.45926,646.6725503072017,0.025863627453955627,0.44078143344191184,0.7359455277433041,1.099432288883475,1.9220493451512,0.5638719719581935
24,43,100,18,142,29,2.7598391008812952,16.697350141612535,4.810180947209525,1.6605697312305716,-154.1219940185547,344.2439880371094,387.12048,634.2669205208776,0.01967959826835895,0.4386447967336287,0.7284041878023363,1.094838286408736,1.9027069329060953,0.5209568404257042
24,44,102,18,147,29,2.748986482339727,16.753493053109636,4.0533781271319285,1.6577233169468124,-153.96437072753906,343.9287414550781,386.80524,650.9453952187042,0.0019699493730715206,0.44077001252099757,0.7434267562670104,1.1014593141800426,1.9392392698410146,0.5069380268872566
24,45,110,21,153,31,2.6454257650072623,15.982998954027687,3.484252561997086,1.6260419639121133,-152.42837524414062,346.85675048828125,396.8793,679.8170988412888,0.004800459475005927,0.4183370095309181,0.6040914435554205,1.0606314766623137,1.4719529650464653,0.5259093795257028
24,46,112,22,154,32,2.625227120482771,16.123566200313274,3.3293794952505853,1.6202260495596403,-152.12179565429688,348.24359130859375,400.6482,687.8334326831246,0.003832648629689608,0.42433256208212666,0.583199107348791,1.081159427630296,1.4225379519473815,0.5215463822359758
24,47,114,22,157,31,2.624657191818198,16.317967707712405,3.4055077171923887,1.6200521697795427,-152.11309814453125,348.2261962890625,400.6308,693.2373953033992,0.00010741213280294553,0.42809364831765856,0.5829810650122191,1.0831693014466695,1.4190001516345356,0.528345697203802
24,48,116,20,165,32,2.602746928317816,16.461016327695354,3.490401224158731,1.6071751706141142,-151.7789306640625,343.557861328125,391.1984,725.619332977072,0.004194379512182772,0.45494988605335057,0.5714175377330148,1.1169455847375946,1.417734531476642,0.542151781973182
24,49,118,22,162,31,2.4749182662623896,16.86483740930655,4.500556827920369,1.571241332955207,-149.7635040283203,343.5270080566406,395.93158,708.0595673647808,0.019716625578157843,0.4734806850772503,0.5783633643315629,1.1330727569481165,1.4412477931332384,0.4906763762384025
24,50,123,23,177,30,2.5002416872761817,16.98527069952967,4.693024655971101,1.580371026768315,-150.1706085205078,346.3412170410156,401.12784,754.1716266309618,0.0007582181465992033,0.4643956080756949,0.6053542058139089,1.115402781952426,1.5402610241605912,0.46151062605928256
24,51,125,25,176,33,2.494372333814605,17.027030862384102,3.5478231894800145,1.5786861831474253,-150.0765838623047,350.1531677246094,409.70383,767.4508336448425,0.004743943771900031,0.45076124733784706,0.7330649304928982,1.1294138267031077,1.915083134424342,0.5406925748304676
24,52,128,23,180,33,2.487589253276051,16.698078589883767,3.8481857340741086,1.5762207204717842,-149.96768188476562,345.93536376953125,400.722,781.3282638845126,0.00040084793736576744,0.45023826081612117,0.7381095452017665,1.1218668727132486,1.9275294335717037,0.5087411571147354
24,53,132,25,186,34,2.463277710829181,16.581952391382966,3.5273479642152137,1.5669282372494044,-149.57501220703125,349.1500244140625,408.70068,807.4687926725956,0.0022626442098941926,0.45405954934775306,0.7449226099468287,1.1317725379455321,1.9466915799159743,0.5103531279069983
24,54,138,24,191,32,2.4076213085840417,17.938920205906136,3.177169198199955,1.5472863584675864,-148.66128540039062,345.32257080078125,402.4912,812.609343115276,0.0024854400262791037,0.5680759446516344,0.7016838233505344,1.3856674737212042,1.581600343617856,0.5133854110746153
24,55,142,23,201,32,2.3807822446591382,17.347443378307016,3.6258885960320466,1.5387272827585552,-148.21286010742188,342.42572021484375,397.21234,846.8181898490249,0.0028128973978395126,0.5702796815966282,0.7848769314354633,1.3948184429551298,1.8448245479124534,0.5010354334833163
24,56,143,24,197,29,2.379922969829921,17.352969799339782,3.6313871923150334,1.53847599778704,-148.1984100341797,344.3968200683594,401.56546,813.5480763059528,0.00036103833065650277,0.5708392796836671,0.7864530969150315,1.3964833020820948,1.8467722247505733,0.5014305625748077
24,57,145,24,195,32,2.347142936622441,17.72401652883175,3.2007011741606037,1.5265558964444723,-147.64407348632812,343.28814697265625,400.4568,825.4562237724409,0.006922810719608992,0.5696045787300689,0.6760987962378228,1.3885545051152701,1.5390332102275126,0.5995013816145409
24,58,148,24,204,32,2.3414586963442487,17.655829328397584,4.246226701975542,1.5269574886395656,-147.54641723632812,343.09283447265625,400.26147,856.5479836673056,0.0007828707429850595,0.5772573293410682,0.7780197664864114,1.3979420319053826,1.8131030324252548,0.5234847779328304
24,59,152,26,209,33,2.3239412749735098,17.322747906975216,3.613622518332194,1.5208066383075884,-147.24612426757812,346.49224853515625,408.42493,880.0080682772139,0.0019023521648059078,0.5689885382862458,0.7956994300802374,1.3818051513616127,1.8583229375041972,0.5028059362287813
24,60,169,27,190,32,2.2351045683563755,17.00262163921043,4.7094920512858325,1.4938248520355732,-145.68666076660156,345.3733215332031,409.68805,806.1659690790307,0.0017505014868201211,0.5537375206334479,0.8027803715417952,1.3360586038226347,1.840816834929325,0.4509683654765306
