run,fold,equation_index,equation,nan_count_train,nan_count_test_int,nan_count_test_ext,nan_count_synthetic
4,,44,9.901915*sqrt(-0.0101990944141896*x1 + 0.0101990944141896*(1.27262754490131 + 1.15766788268101*(cos(x1*cos(x2) + x1 - 0.45223078) + 0.64985585)/(sin(cos(3.4037287*x1*(-2*x0 + x1 + 0.13327825))**2) + 0.64985585/(cos(x0) + 0.9917243)))*(-13.8216095*x1**2*sin(x0 + 13.623772/x0) + 0.64985585/x0) + (-0.10099056596628*x0 - 0.10099056596628*x2 + 1 + 0.00189017144663431*(x2 + exp(sin(x0 - 2*x1 - x2 + 0.893343)**2))*(x1*x2/cos(-x0 + x1 - x2 + cos(x2 + 0.010826505) + 2.0400612) + x2)/(x0*cos(x2)))**2),0,0,0,1
4,,45,9.901915*sqrt(-0.0101990944141896*x1 + 0.0101990944141896*(1.27262754490131 + 1.15766788268101*(cos(x1*cos(x2) + x1 - 0.45223078) + 0.64985585)/(cos(x1*(-6.8074574*x0 + 3.4037287*x1 + 0.453643004610775))**2 + 0.64985585/(cos(x0) + 0.9917243)))*(-13.8216095*x1**2*sin(x0 + 13.6237724184455/x0) + 0.64985585/x0) + (-0.10099056596628*x0 - 0.10099056596628*x2 + 1 + 0.00189017144663431*(x2 + exp(sin(x0 - 2*x1 - x2 + 0.893343)**2))*(x1*x2/cos(-x0 + x1 - x2 + cos(x2 + 0.010826505) + 2.0400612) + x2)/(x0*cos(x2)))**2),0,0,0,1
4,,48,9.901915*sqrt(-0.0101990944141896*x1 + 0.0118071640357386*(-13.8216095*x1**2*sin(sin(x0) + 13.6237724184455/x0) + x2/x0)*(cos(x1*cos(x2) + x1 - 0.45223078) + 1.7491586)/(cos(3.4037287*x1*(-x0 + x1*cos(x2) - 1.1794466))**2 + 0.64985585/(cos(0.5280002*x2) + 0.9917243)) + (-0.10099056596628*x0 - 0.10099056596628*x2 + 1 + 0.00189017144663431*(x2 + exp(sin(x0 - 2*x1 - x2 + 0.893343)**2))*(x1*x2/cos(-x0 + x1 - x2 + cos(x2 + 0.010826505) + 2.0400612) + x2)/(x0*cos(x2)))**2 - 0.00234700224577963),0,0,0,1
4,,55,9.78568368026684*sqrt(-0.202902100334373*x1**2*sin(1.6484485*cos(x0**2 + x0 + 0.384206801091038*x1 - x2 - 4*(x1 - 0.23313281)**2 - 2.94495572)/cos(x0 + x0/(-x0 - 0.5070001) - x1 + 1.2722895) + 2.95881145383775/(x0*x2)) + (-0.101242230218194*x0 - 0.101242230218194*x2 + 1 + 0.0018948816745507*x2*(x0 + x1/cos(-x0 + x1 - x2 + cos(x2 + 0.010826505) + 2.0400612))*(x2 + exp(sin(-x0 + 2*x1 + x2 + 8.619857)**2))/(x0*cos(x2)))**2 + 0.00678632550110871*(x1*cos(x0 - x1 - x2 + 0.0271219639999999)/cos(x0 - 0.45223078 + 0.018716317/cos(x2)) + x2*cos(x2)/x0)/x0),0,0,1,0
4,,56,9.78568350193644*sqrt(0.0104428170469671*x1**2*(x1/x2 - 20.75792)*sin(1.6484485*cos(x0**2 + x0 + 0.384206801091038*x1 - x2 - 4*(x1 - 0.23313281)**2 - 3.03127618)/cos(x0 + x0/(-x0 - 0.5070001) - x1 + 1.2912524) + 2.95881145383775/(x0*x2)) + (-0.101242232063192*x0 - 0.101242232063192*x2 + 1 + 0.101242232063192*x2*(x0 + x1/cos(-x0 + x1 - x2 + cos(x2 + 0.010826505) + 2.0400612))*(0.018716317*x2 + 0.018716317*exp(sin(-x0 + 2*x1 + x2 + 8.619857)**2))/(x0*cos(x2)))**2 + 0.0067863257484513*(x1*cos(2*x1 + x2 + 1.5995458 - 0.70960146/x1)/cos(x0 - 0.45223078 + 0.018716317/cos(x2)) + x2*cos(x2)/x0)/x0),0,0,1,0
4,,57,9.78568368026684*sqrt(0.0104428166663556*x1**2*(x1/x2 - 20.75792)*sin(1.6484485*cos(x0**2 + x0 + 0.384206801091038*x1 - x2 - 4*(x1 - 0.23313281)**2 - 3.03127618)/cos(x0 + x0/(-x0 - 0.5070001) - x1 + 1.2912524) + 2.95881145383775/(x0*x2)) + (-0.101242230218194*x0 - 0.101242230218194*x2 + 1 + 0.101242230218194*x2*(x0 + x1/cos(-x0 + x1 - x2 + cos(x2 + 0.010826505) + 2.0400612))*(0.018716317*x2 + 0.018716317*exp(sin(-x0 + 2*x1 + x2 + 8.619857)**2))/(x0*cos(x2)))**2 + 0.00678632550110871*(x1*cos(2*x1 + x2 + 1.5995458 - 0.70960146/x1)/cos(x0 - 0.45223078 + 0.018716317/cos(x2)) + x2*cos(x2)/x0)/x0),0,0,1,0
4,,58,9.83138570915649*sqrt(0.0103459536937979*x1**2*(x1/x2 - 20.7579197)*sin(1.6484485*cos(x0**2 + x0 + 0.384206801091038*x1 - x2 - 4*(x1 - 0.23313281)**2 - 3.03127618)/cos(x0 + x0/(-x0 - 0.5070001) - x1 + 1.2912524) + 2.95881134403314/(x0*x2)) + (-0.101242230218194*x0 - 0.101242230218194*x2 + 1 + 0.101242230218194*x2*(x0 + x1/cos(-x0 + x1 - x2 + cos(x2 + 0.010826505) + 2.0400612))*(0.018716317*x2 + 0.018716317*exp(sin(-x0 + 2*x1 + x2 + 8.619857)**2))/(x0*cos(x2)))**2 + 0.00672337853174364*(x1*cos(x1 + x2 - 0.70960146/x0)/cos(x0 - 0.45223078 + 0.018716317/cos(x2)) + x2*cos(x2)/x0)/x0),0,0,1,0
4,,59,9.78568368026684*sqrt(0.0104428166663556*x1**2*(x1/x2 - 20.7579197)*sin(1.6484485*cos(x0**2 + x0 + 0.318353781887347*x1 - x2 - 4*(x1 - 0.23313281)**2 - 3.03127618)/cos(x0 + x0/(-x0 - 0.5070001) - x1 + 1.2912524) + 2.95881134403314/(x0*x2)) + (-0.101242230218194*x0 - 0.101242230218194*x2 + 1 + 0.101242230218194*x2*(x0 + x1/cos(-x0 + x1 - x2 + cos(x2 + 0.010826505) + 2.0400612))*(0.018716317*x2 + 0.018716317*exp(sin(-x0 + 2*x1 + x2 + 8.619857)**2))/(x0*cos(x2)))**2 + 0.00678632550110871*(x1*cos(2*x1 + x2 + 1.5995458 - 0.70960146/x1)/cos(x0 - 0.45223078 + 0.018716317/cos(x2)) + x2*cos(x2)/x0)/x0),0,0,1,0
4,,60,9.880008*sqrt(0.0102443735818565*x1**2*(-1.16914568420393*x2 - 20.75792)*sin(1.6484485*cos(x0**2 + x0 + 0.384206801091038*x1 - x2 - 4*(x1 - 0.23313281)**2 - 2.94495572)/cos(x0 + x0/(-x0 - 0.5070001) - x1 + 1.2722895) + 2.95881145383775/(x0*x2)) + (-0.10121449294373*x0 - 0.10121449294373*x2 + 1 + 0.00189436253492912*x2*(x0 + x1/cos(-x0 + x1 - x2 + cos(x2 + 0.010826505) + 2.0400612))*(x2 + exp(sin(x0 - 2*x1 - x2 + 7.1259236)**2))/(x0*cos(x2)))**2 + 0.00665736610175487*(x1*cos(-x0 + x1 + 0.615793198908962*x2 + (x1 + x2)**2 - 1.344125564)/cos(x0 - 0.45223078 + 0.018716317/cos(x2)) + x2*cos(x2)/x0)/x0),0,0,1,0
4,,61,9.78568350193644*sqrt(0.0104428170469671*x1**2*(-1.16914568420393*x2 - 20.75792)*sin(1.6484485*cos(x0**2 + x0 + 0.384206801091038*x1 - x2 - 4*(x1 - 0.23313281)**2 - 2.94495572)/cos(x0 + x0/(-x0 - 0.5070001) - x1 + 1.2722895) + 2.95881145383775/(x0*x2)) + (-0.102190102490247*x0 - 0.000947870427054428*x1 - 0.102190102490247*x2 + 1 + 0.00191262235246994*x2*(x0 + x1/cos(-x0 + x1 - x2 + cos(x2 + 0.010826505) + 2.0400612))*(x2 + exp(sin(x0 - 2*x1 - x2 + 7.1259236)**2))/(x0*cos(x2)))**2 + 0.0067863257484513*(x1*cos(-x0 + x1 + 0.615793198908962*x2 + (x1 + x2)**2 - 1.344125564)/cos(x0 - 0.45223078 + 0.018716317/cos(x2)) + x2*cos(x2)/x0)/x0),0,0,1,0
