Run,Metric,Clamp_Method,Constant_Value,Threshold_Value,Upper_Clamp,Original_Min,Original_Max,Clamped_Min,Clamped_Max,N_Clamped_Upper,N_Total,N_Valid
1,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,2.180789886109848,0.0,2.180789886109848,0,44,44
1,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.00071014856232,0.0,0.00071014856232,0,44,44
1,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0047708151199398,0.0,0.0047708151199398,0,44,44
1,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,2.812088041569916,0.0,2.812088041569916,0,44,44
1,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,11.780871220935737,0.0,10.0,3,44,44
2,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,6.917153233063495,0.0,6.917153233063495,0,52,52
2,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0003929667657082,0.0,0.0003929667657082,0,52,52
2,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0022786632100398,0.0,0.0022786632100398,0,52,52
2,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1.056109004764497,0.0,1.056109004764497,0,52,52
2,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,159.96091836329953,0.0,10.0,1,52,52
3,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.8433174684977759,0.0,0.8433174684977759,0,46,46
3,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0004759671176558,0.0,0.0004759671176558,0,46,46
3,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.001664832467537,0.0,0.001664832467537,0,46,46
3,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0005918225007516,0.0,0.0005918225007516,0,46,46
3,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0025874610894521,0.0,0.0025874610894521,0,46,46
4,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,2.1384568436044646,0.0,2.1384568436044646,0,30,30
4,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1000000.0,0.0,10.0,5,30,30
4,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1000000.0,0.0,10.0,5,30,30
4,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,2.174077279827949e+24,0.0,10.0,2,30,30
4,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1000000.0,0.0,10.0,5,30,30
5,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,2.786432834374338,0.0,2.786432834374338,0,59,59
5,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0040858519417041,0.0,0.0040858519417041,0,59,59
5,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0126965558090383,0.0,0.0126965558090383,0,59,59
5,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.005350716606136,0.0,0.005350716606136,0,59,59
5,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.047208267000653,0.0,0.047208267000653,0,59,59
