Metric,Pre_Norm_Mean,Pre_Norm_Std,Pre_Norm_Min,Pre_Norm_Max,Post_Norm_Mean,Post_Norm_Std,Post_Norm_Min,Post_Norm_Max,Post_Norm_Range
MSE_Train,0.41079505080798506,0.06416595338258566,0.3406184310585591,0.6749560151543162,0.20989749010487188,0.19191965377188328,0.0,1.0,1.0
AIC_Train,1423.6011338259138,90.54526040553742,1311.088134765625,1772.0130615234375,0.2441026564818603,0.1964425335866316,0.0,1.0,1.0
BIC_Train,1470.888497283019,76.61531281420189,1339.5684,1776.5979,0.30048337076334386,0.17530924757757077,0.0,1.0,1.0
MDL_Train,918.6466138255262,175.01801972571178,742.1453463081442,1573.0859271768916,0.21241141855516332,0.21062639586422716,0.0,1.0,1.0
PSM_Train,0.009685686960239321,0.02953277794069051,0.0,0.2589538439319047,0.037403140317107245,0.1140464937390795,0.0,1.0,1.0
Extrapolation_Divergence,1.3802294008169211,2.070089311003657,0.0,10.0,0.1380229400816921,0.20700893110036603,0.0,1.0,1.0
Sensitivity_Interpolation_SVP,0.050796655328114206,0.6427030028732433,0.0,10.0,0.005079665532811421,0.06427030028732435,0.0,1.0,1.0
Sensitivity_Interpolation_MVP,0.09557963998436973,0.8993644726092328,0.0,10.0,0.009557963998436973,0.0899364472609232,0.0,1.0,1.0
Sensitivity_Extrapolation_SVP,0.703251801534995,2.34823789327355,0.0,10.0,0.07032518015349949,0.2348237893273558,0.0,1.0,1.0
Sensitivity_Extrapolation_MVP,0.9603799545307231,2.803583206581494,0.0,10.0,0.09603799545307233,0.28035832065814953,0.0,1.0,1.0
