Run,Equation_Index,Complexity,Constant_Num,Total_Symbols,Distinct_Symbols,MSE_Train,MSE_Test_Interpolation,MSE_Test_Extrapolation,Sigma_Train,Log_likelihood_Train,AIC_Train,BIC_Train,MDL_Train,PSM_Train,Sensitivity_Interpolation_SVP,Sensitivity_Extrapolation_SVP,Sensitivity_Interpolation_MVP,Sensitivity_Extrapolation_MVP,Extrapolation_Divergence
1,0,1,1,1,1,0.9367554507159735,0.6312463466654366,0.7345712926381032,0.8085857615195691,-873.484375,0.9500041976780617,0.947270607590563,0.1617789468432773,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,2,4,4,0.936755302554951,0.6312734150743897,0.7345201789022469,0.8085857615195691,-873.4842529296875,0.9543427694134665,0.9623370962372103,0.16845217386265232,1.7719302522180376e-07,0.0,0.0,0.0,0.0,0.0
1,2,4,1,4,4,0.7730987951820263,0.5957865790243732,0.5775198062603945,0.7735261290005652,-841.8461303710938,0.8127226457713227,0.8024828987516861,0.1303782350358248,0.33750924052533815,1.3946093353240001e-05,1.819234230751e-05,1.3946093353240001e-05,1.819234230751e-05,0.06813971312070172
1,3,5,2,5,5,0.45462947778001983,0.4774601040626142,0.5021904687745891,0.7018671302246545,-771.0078735351562,0.5096873670018012,0.4933692119181887,0.04813747465463915,0.7556737913630124,1.463228373799e-05,1.362528541529e-05,1.463228373799e-05,1.362528541529e-05,0.07420903821564129
1,4,6,2,6,6,0.45349548762837283,0.4769517376847493,0.5059241838212918,0.701593649654031,-770.7291870117188,0.508478117914763,0.49209378314278535,0.05105547812268252,0.0029732674063601295,1.081873018172e-05,1.0411336084139999e-05,1.081873018172e-05,1.0411336084139999e-05,0.06878797903254187
1,5,7,2,7,6,0.409286883720394,0.4928831276591585,0.461437144617192,0.6909669511125739,-759.69287109375,0.4605904239442972,0.44158781043384926,0.03993010006411519,0.11773300884328856,7.296816827079882e-06,6.511655617898893e-06,1.4593633654150002e-05,1.302331123579e-05,0.06916220003219643
1,6,8,2,8,7,0.3850237646906296,0.4379987387067785,0.3950793286705397,0.6849719935798075,-753.4895629882812,0.4336736409917961,0.413199337802139,0.03610536909497934,0.06617391255364424,6.223177721774169e-06,5.989087068812407e-06,1.2444648383089999e-05,1.197510031746e-05,0.06441888014798267
1,7,9,2,9,7,0.3327859382898008,0.449835574739874,0.412889194933948,0.6721571428477382,-739.761962890625,0.374108192040196,0.35037703404461257,0.021926494624846547,0.1464419611580804,4.0073605121620635e-06,4.165120219170284e-06,1.2022081536479999e-05,1.249536065751e-05,0.056303685330720776
1,8,11,2,11,8,0.28974981190082433,0.461173899891692,0.3951380109594165,0.6614320192285845,-728.0478515625,0.32327947504923993,0.29676921123173594,0.014280234194291915,0.062481470966827574,3.5504475936250693e-06,4.020129163634141e-06,1.4201790374500001e-05,1.608051665453e-05,0.06156031792865452
1,9,13,2,13,8,0.24648531916182623,0.4360918375843016,0.3764570642656388,0.650368584428828,-715.8765869140625,0.270467123441132,0.2410690811489842,0.004637791986522852,0.06491938694811693,3.324772957426808e-06,3.475290511885875e-06,1.32990918297e-05,1.3901162047540001e-05,0.06216105493567738
