Run,Equation_Index,Hybrid_MSE_Train,Hybrid_AIC_Train,Hybrid_BIC_Train,Hybrid_MDL_Train,Hybrid_PSM_Train,Extrapolation_Divergence,Sensitivity_Interpolation,Sensitivity_Extrapolation,Lambda1,Lambda2,Lambda3,Complexity,MSE_Test_Interpolation,MSE_Test_Extrapolation
1,0,0.9367554507159735,0.9500041976780617,0.947270607590563,0.1617789468432773,0.0,0.0,0.0,0.0,0.1,0.7,0.9,1,0.6312463466654366,0.7345712926381032
1,1,0.936755302554951,0.9543427694134665,0.9623370962372103,0.16845217386265232,1.7719302522180376e-07,0.0,0.0,0.0,0.1,0.7,0.9,3,0.6312734150743897,0.7345201789022469
1,2,0.7799389018675205,0.8195627524568169,0.8093230054371803,0.137218341721319,0.3443493472108324,0.06813971312070172,1.3946093353240001e-05,1.819234230751e-05,0.1,0.7,0.9,4,0.5957865790243732,0.5775198062603945
1,3,0.4620728869570743,0.5171307761788556,0.5008126210952432,0.055580883831693635,0.7631172005400668,0.07420903821564129,1.463228373799e-05,1.362528541529e-05,0.1,0.7,0.9,5,0.4774601040626142,0.5021904687745891
1,4,0.4603912288452299,0.5153738591316201,0.49898952435964244,0.05795121933953963,0.009869008623217245,0.06878797903254187,1.081873018172e-05,1.0411336084139999e-05,0.1,0.7,0.9,6,0.4769517376847493,0.5059241838212918
1,5,0.41622504024728374,0.46752858047118695,0.448525966960739,0.04686825659100495,0.12467116537017832,0.06916220003219643,1.4593633654150002e-05,1.302331123579e-05,0.1,0.7,0.9,7,0.4928831276591585,0.461437144617192
1,6,0.39148514154958175,0.44013501785074827,0.41966071466109117,0.042566745953931485,0.07263528941259638,0.06441888014798267,1.2444648383089999e-05,1.197510031746e-05,0.1,0.7,0.9,8,0.4379987387067785,0.3950793286705397
1,7,0.3384359681045402,0.3797582218549354,0.35602706385935196,0.027576524439585918,0.15209199097281975,0.056303685330720776,1.2022081536479999e-05,1.249536065751e-05,0.1,0.7,0.9,9,0.449835574739874,0.412889194933948
1,8,0.295930257411941,0.3294599205603566,0.3029496567428526,0.020460679705408595,0.06866191647794424,0.06156031792865452,1.4201790374500001e-05,1.608051665453e-05,0.1,0.7,0.9,11,0.461173899891692,0.3951380109594165
1,9,0.2527232450655175,0.27670504934482326,0.24730700705267553,0.010875717890214166,0.07115731285180824,0.06216105493567738,1.32990918297e-05,1.3901162047540001e-05,0.1,0.7,0.9,13,0.4360918375843016,0.3764570642656388
1,10,0.21959794093558577,0.23486952461096297,0.20315145062531464,0.00683655655065836,0.05899823435185434,0.06811720282407505,1.510811559463e-05,1.584509703846e-05,0.1,0.7,0.9,15,0.4266388320637486,0.3453364355891483
1,11,0.21689190159359784,0.23575124304386197,0.21457181450337035,0.013327839951028816,0.011105608843382868,0.06818063706711555,1.641653459561e-05,1.727744250712e-05,0.1,0.7,0.9,17,0.4269183125744709,0.3434916828233466
1,13,0.19044228913395508,0.21028593464190767,0.2087014924877024,0.031435891200054404,0.05672895436990032,0.067025651604779,1.911432357785e-05,2.4515873795150004e-05,0.1,0.7,0.9,19,0.4264313907210591,0.3488019869620694
1,14,0.18597780164716307,0.2045000227669679,0.20260955520730076,0.05062180747999721,0.02030148318776792,0.06520069417098631,1.574317846301e-05,1.9509912973790002e-05,0.1,0.7,0.9,20,0.42470860560348,0.3380357735081648
1,15,0.18348490311282636,0.1926299937340373,0.16912257503841693,0.022648083318914557,0.013538083006977515,0.06252326580054858,1.925943133319e-05,3.765672793213e-05,0.1,0.7,0.9,21,0.4257351732513678,0.3419326604316238
1,16,0.17918912871418194,0.19099287511386323,0.17782124358700338,0.03565531406501992,0.02526645865474062,0.07428337802172928,3.101537693686e-05,4.967418146342e-05,0.1,0.7,0.9,22,0.4319417868034354,0.3200407795479453
1,17,0.16664287632293986,0.170254295040499,0.14550740017138364,0.030447902815003227,0.025570624184180678,0.0654982359428543,2.114056565238e-05,3.09993747316e-05,0.1,0.7,0.9,24,0.4136819828765664,0.3445131662592465
1,19,0.16473551364188244,0.17193306254640048,0.1577496055586088,0.04081154927099399,0.009219288238792608,0.06872074870864359,3.245276454918e-05,4.958685569186e-05,0.1,0.7,0.9,26,0.4320540134933318,0.3253428061028233
1,20,0.7973543322582941,0.8003151101227348,0.7852228826059946,0.6968878071816909,0.6928133459629903,0.17611790761549379,0.00018635234628975,0.7046686338166748,0.1,0.7,0.9,27,0.4011310821777035,0.3050987344134255
1,21,0.7946262389924386,0.7942972948418872,0.7883621818016843,0.7257511157148032,0.7056367614086182,0.16871916645580623,0.00019396957594856,0.7259000582017283,0.1,0.7,0.9,29,0.4140453142233891,0.3294621941649018
1,22,0.7726223428429904,0.7714463003578377,0.7653384194394418,0.7158186713464422,0.6584514265100959,0.16304042820062573,0.0001941862509853,0.7046532035853075,0.1,0.7,0.9,30,0.4155903640509586,0.3262922483672481
1,23,0.8546617559947765,0.8562348616472182,0.8605424877480891,0.7968522040005266,0.7507978492241818,0.17862053615238344,0.00021673071142732002,0.7986465861222639,0.1,0.7,0.9,31,0.4190291752693594,0.341001949811183
1,26,0.7414262650653104,0.7324244434430702,0.7347022650212699,0.7227668724206079,0.678799832354995,0.15790668620012566,0.00019235804787612,0.7046501926208757,0.1,0.7,0.9,36,0.4175676380080532,0.3364952696755206
1,27,0.7377508349686749,0.7267393771393269,0.7286444110954641,0.7467347928110575,0.6545934797288776,0.16894085610836498,0.00020031462466079,0.7046753098442078,0.1,0.7,0.9,41,0.4134983194613013,0.3261986772972843
1,28,0.7286575125215571,0.718157605439837,0.7300909331766395,0.7467794445553125,0.6616006573474711,0.16731701162475698,0.00020883056050717002,0.7047081945185847,0.1,0.7,0.9,44,0.4343094276677815,0.3640804830612768
1,29,0.7224916750348801,0.7051595372311005,0.7059163933885195,0.7449137659342462,0.6708271727425691,0.16462853489463108,0.00020264552468696003,0.7045060710106725,0.1,0.7,0.9,45,0.4354410701836956,0.3680229796035399
1,30,0.7195369309868711,0.7011039147410195,0.7016643289923821,0.754448221041454,0.6590395710474927,0.15989298138245336,0.00020854411371384,0.704515161628034,0.1,0.7,0.9,46,0.4391313678163768,0.3650311922584192
1,31,0.7177667959724028,0.6983195106900693,0.6986998277780165,0.7540458651070354,0.6588139726674317,0.16338513533296578,0.00021033369123448,0.7046937933993358,0.1,0.7,0.9,47,0.4304997298998281,0.3528162573695696
1,32,0.9779929764222624,0.9621911986329064,0.9831464875169583,1.0410343963406574,0.9319202626211477,0.2180789886109848,0.00029933491242324,1.0,0.1,0.7,0.9,51,0.4410776760537584,0.3575832333858324
1,33,0.97541145113615,0.958813134302049,0.9796307002984208,1.039475219622805,0.9273439914183558,0.20946519254380144,0.00029981075022792,1.0,0.1,0.7,0.9,52,0.4369408672390921,0.361456661762989
1,34,0.9716810257688788,0.9534143200481118,0.9739448871371381,1.0455187604653728,0.93391192686443,0.20782838948934562,0.00031898251610904,1.0,0.1,0.7,0.9,53,0.4264329670754711,0.3697883630998911
1,36,0.6999373244646809,0.6806345742098353,0.7009880181891399,0.7903778245722172,0.6522029406352545,0.16900228996524683,0.00020762282615725998,0.7049102796569959,0.1,0.7,0.9,56,0.4360869116181455,0.342452332431591
1,42,0.49924954802546034,0.502244625600933,0.5863339303981001,0.7252980980581165,0.45879548888915017,0.13286811575864013,0.00046616336848334,0.49443798496346086,0.1,0.7,0.9,79,0.4127505376964147,0.3672188956163445
1,43,0.7119350377474374,0.7173527082225677,0.8118495234889457,0.9320398410306352,0.6788457646945565,0.16287220819490017,0.00046668939220829,0.7318080242288973,0.1,0.7,0.9,83,0.4121546039782831,0.3941428008159067
1,44,0.49647000124015195,0.5097270588405709,0.6255402968013575,0.7825331281947504,0.46305897945082264,0.14535507710845189,0.00045703522394985,0.4962606794813328,0.1,0.7,0.9,87,0.4060880259994073,0.3627557183026377
1,45,0.7111698434889703,0.723603431819491,0.8392799424758762,0.9854826927519691,0.6799102645637952,0.18851655912310059,0.00047708151199397995,0.73186469303046,0.1,0.7,0.9,90,0.4071722685399402,0.3665249842797347
1,46,0.48601123009538466,0.49597185298793706,0.6112407365251672,0.8226563373072222,0.46136015414473724,0.14236083315382003,0.00036490901442911997,0.49244403126882974,0.1,0.7,0.9,95,0.3986551457458345,0.375867536543975
1,47,0.7019537637683607,0.7142429160652396,0.8399117625968948,1.0239493851092334,0.6850016935608082,0.1864097047438799,0.00044395332618026,0.7318602040868802,0.1,0.7,0.9,97,0.3957152595952661,0.3858424391584357
1,48,0.7013490107702846,0.7133042591511887,0.8389187206401125,1.0194846406733136,0.6780872417014349,0.1870624404387783,0.00044672884112780003,0.7318460575904745,0.1,0.7,0.9,103,0.3996842155762351,0.3828068963732002
