Run,Equation_Index,Complexity,Constant_Num,Total_Symbols,Distinct_Symbols,MSE_Train,MSE_Test_Interpolation,MSE_Test_Extrapolation,Sigma_Train,Log_likelihood_Train,AIC_Train,BIC_Train,MDL_Train,PSM_Train,Sensitivity_Interpolation_SVP,Sensitivity_Extrapolation_SVP,Sensitivity_Interpolation_MVP,Sensitivity_Extrapolation_MVP,Extrapolation_Divergence
1,0,1,1,1,1,0.8058711858548735,13.90643405564858,66.31490612098315,4.152934249325904,-102.3476333618164,0.9803017583700174,0.9792876792449134,0.059806648789759706,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,1,3,3,0.529057229287494,8.912409813882155,43.44584212048562,3.3652858086912296,-94.77278137207033,0.9428287624137076,0.9398856391553913,0.05513468427186918,0.14586831702277667,7.561083860169999e-05,0.00013947789955326,7.561083860169999e-05,0.00013947789955326,0.07616908045251862
1,2,4,1,4,4,0.41555038297026775,5.977442844900173,39.9114463522092,2.9420222895338384,-90.43286895751952,0.9213590992993197,0.9173106951366925,0.05287445432943909,0.1674135773719158,0.0012308618747747999,0.00289988327209708,0.0012308618747747999,0.00289988327209708,0.08171653273119703
1,3,5,2,5,5,0.17137030352886332,3.394379189182961,9.050365602795292,1.8786248117296784,-74.49604797363281,0.847466245275637,0.8437323946977137,0.03821561626451514,0.6140554860426746,0.0009380471408230401,0.00173039801308302,0.0009380471408230401,0.00173039801308302,0.08936665010271654
1,4,7,2,7,5,0.12965232265622648,8.329192286330212,6.848519710928331,1.6409514728825358,-69.4693603515625,0.8225990867898396,0.8175851080024216,0.03623507565581643,0.0966952808292354,0.00180651355889535,0.00292898677603447,0.00180651355889535,0.00292898677603447,0.09235911257737871
1,5,8,2,8,6,0.12039309798373178,10.718478382445552,95.42930849565774,1.543062915758275,-68.18556213378906,0.8162481025741131,0.8109071708212742,0.03822207889770647,0.051363748007677394,0.0026176569536526103,0.00608054760398148,0.0026176569536526103,0.00608054760398148,0.08939315830410575
1,6,9,2,9,6,0.11193807903277761,5.113696912412921,1.9400364972076545,1.545956967581979,-66.81666564941406,0.8094761349511114,0.8037865953285286,0.03862228981531828,0.0504789115255031,0.00046846864608201004,0.00076799382306841,0.0009369372921640201,0.00153598764613684,0.09159797301384391
1,7,13,2,15,8,0.10259013610764815,6.92693826244457,8.29098038378755,1.4713924462971186,-65.24889373779297,0.8017203252555396,0.7956315325660364,0.05336879447914835,0.015112990168241736,0.00067980653739497,0.0011397697321809401,0.00135973477299869,0.00227974624195152,0.08847050152320812
1,8,15,3,15,9,0.10002803696560664,4.620750344653039,3.990561851671373,1.4270588047239652,-64.81503295898438,0.8045210311670389,0.8026948894040128,0.05485295699788035,0.008766124868711296,0.0010102252071416801,0.0019857258071665903,0.00303067562142508,0.00595717742149979,0.09244653198352244
1,9,16,2,16,9,0.08665613624151294,4.30824980634734,44.54701379036072,1.357488789509816,-62.209251403808594,0.7866831331039023,0.7798202236682417,0.054371742195373565,0.09947880145125385,0.00111014648046044,0.00240231842428304,0.00334548672935448,0.00724038319431303,0.07314716053689127
1,10,18,2,18,9,0.08085691894018511,4.788422542280454,36.60891663619493,1.3098497922147494,-60.96282958984375,0.7805170509602792,0.7733367258793915,0.05781050761260095,0.024008314116116775,0.00125106506104449,0.01373698095247106,0.00376072563844775,0.04124664362811067,0.07776253443205741
1,11,19,4,22,12,0.07883426107196728,6.802092924716581,4.253234360555269,1.296020903202725,-60.50632858276367,0.7881527818760189,0.7896025329554094,0.07381432398383504,0.017562575227594485,0.00254757901652026,0.0028235189531538598,0.0071209807666776,0.00804023547109178,0.09202211510385593
1,12,23,4,26,12,0.07182695931160626,6.760063525317152,5.11992957461204,1.236939541202777,-58.83086013793945,0.779864194542192,0.780887221537289,0.08283723643926341,0.016132428564637966,0.00280050763747209,0.00321356225591247,0.00787976662953306,0.00921036537936762,0.09230451496490556
1,13,26,6,30,15,0.07072506213899651,7.123681096754781,26.60344087003656,1.229097981578161,-58.55241394042969,0.7883807673764355,0.798079216574663,0.10069174708942391,0.003572295807908852,0.04305294340428692,0.0013658209324244,0.09782394610628133,0.00406768123017103,0.08444099602882899
