Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
1096_FacultySalaries,1,MVP,w0.6_0.7_0.1,MSE_Train,MSE_Test_Interpolation,-0.5524451054150993
1096_FacultySalaries,1,MVP,w0.6_0.7_0.1,AIC_Train,MSE_Test_Interpolation,-0.5508354474674132
1096_FacultySalaries,1,MVP,w0.6_0.7_0.1,BIC_Train,MSE_Test_Interpolation,-0.6200507392179162
1096_FacultySalaries,1,MVP,w0.6_0.7_0.1,MDL_Train,MSE_Test_Interpolation,-0.0052313883299798785
1096_FacultySalaries,1,MVP,w0.6_0.7_0.1,PSM_Train,MSE_Test_Interpolation,-0.47514653136208557
1096_FacultySalaries,1,MVP,w0.6_0.7_0.1,MSE_Train,MSE_Test_Extrapolation,-0.5559443618231127
1096_FacultySalaries,1,MVP,w0.6_0.7_0.1,AIC_Train,MSE_Test_Extrapolation,-0.6203656722946372
1096_FacultySalaries,1,MVP,w0.6_0.7_0.1,BIC_Train,MSE_Test_Extrapolation,-0.44351325343364534
1096_FacultySalaries,1,MVP,w0.6_0.7_0.1,MDL_Train,MSE_Test_Extrapolation,0.23506254920829325
1096_FacultySalaries,1,MVP,w0.6_0.7_0.1,PSM_Train,MSE_Test_Extrapolation,-0.16262794156241797
1096_FacultySalaries,2,MVP,w0.6_0.7_0.1,MSE_Train,MSE_Test_Interpolation,-0.5075995615637561
1096_FacultySalaries,2,MVP,w0.6_0.7_0.1,AIC_Train,MSE_Test_Interpolation,-0.532955791012057
1096_FacultySalaries,2,MVP,w0.6_0.7_0.1,BIC_Train,MSE_Test_Interpolation,-0.43554987212276225
1096_FacultySalaries,2,MVP,w0.6_0.7_0.1,MDL_Train,MSE_Test_Interpolation,0.4570332480818415
1096_FacultySalaries,2,MVP,w0.6_0.7_0.1,PSM_Train,MSE_Test_Interpolation,-0.09324077457069786
1096_FacultySalaries,2,MVP,w0.6_0.7_0.1,MSE_Train,MSE_Test_Extrapolation,-0.16192911947387653
1096_FacultySalaries,2,MVP,w0.6_0.7_0.1,AIC_Train,MSE_Test_Extrapolation,-0.2558640847643406
1096_FacultySalaries,2,MVP,w0.6_0.7_0.1,BIC_Train,MSE_Test_Extrapolation,-0.10310559006211181
1096_FacultySalaries,2,MVP,w0.6_0.7_0.1,MDL_Train,MSE_Test_Extrapolation,0.48666423090975525
1096_FacultySalaries,2,MVP,w0.6_0.7_0.1,PSM_Train,MSE_Test_Extrapolation,0.2317500913408842
1096_FacultySalaries,3,MVP,w0.6_0.7_0.1,MSE_Train,MSE_Test_Interpolation,0.36674485607730994
1096_FacultySalaries,3,MVP,w0.6_0.7_0.1,AIC_Train,MSE_Test_Interpolation,0.5282745591939546
1096_FacultySalaries,3,MVP,w0.6_0.7_0.1,BIC_Train,MSE_Test_Interpolation,0.5275818639798489
1096_FacultySalaries,3,MVP,w0.6_0.7_0.1,MDL_Train,MSE_Test_Interpolation,-0.5468608972468965
1096_FacultySalaries,3,MVP,w0.6_0.7_0.1,PSM_Train,MSE_Test_Interpolation,-0.4075901010532466
1096_FacultySalaries,3,MVP,w0.6_0.7_0.1,MSE_Train,MSE_Test_Extrapolation,0.036323373529380906
1096_FacultySalaries,3,MVP,w0.6_0.7_0.1,AIC_Train,MSE_Test_Extrapolation,0.1161610596114831
1096_FacultySalaries,3,MVP,w0.6_0.7_0.1,BIC_Train,MSE_Test_Extrapolation,0.09559043467124939
1096_FacultySalaries,3,MVP,w0.6_0.7_0.1,MDL_Train,MSE_Test_Extrapolation,-0.1551265434225601
