Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
1096_FacultySalaries,1,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Interpolation,-0.3306272417111364
1096_FacultySalaries,1,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Interpolation,-0.5273204444055638
1096_FacultySalaries,1,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Interpolation,-0.5233312921004287
1096_FacultySalaries,1,SVP,w0.3_0.0_0.2,MDL_Train,MSE_Test_Interpolation,0.5290000874814101
1096_FacultySalaries,1,SVP,w0.3_0.0_0.2,PSM_Train,MSE_Test_Interpolation,-0.011635027556644213
1096_FacultySalaries,1,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Extrapolation,-0.8058962470475024
1096_FacultySalaries,1,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Extrapolation,-0.6993088968594173
1096_FacultySalaries,1,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Extrapolation,-0.6380019245910244
1096_FacultySalaries,1,SVP,w0.3_0.0_0.2,MDL_Train,MSE_Test_Extrapolation,0.7215641676143818
1096_FacultySalaries,1,SVP,w0.3_0.0_0.2,PSM_Train,MSE_Test_Extrapolation,0.007470912431108389
1096_FacultySalaries,2,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Interpolation,-0.5237486298867374
1096_FacultySalaries,2,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Interpolation,-0.49543295579101215
1096_FacultySalaries,2,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Interpolation,-0.37731092436974795
1096_FacultySalaries,2,SVP,w0.3_0.0_0.2,MDL_Train,MSE_Test_Interpolation,0.4798319327731093
1096_FacultySalaries,2,SVP,w0.3_0.0_0.2,PSM_Train,MSE_Test_Interpolation,-0.09711362805991963
1096_FacultySalaries,2,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Extrapolation,-0.30369017172086227
1096_FacultySalaries,2,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Extrapolation,-0.34285714285714286
1096_FacultySalaries,2,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Extrapolation,-0.250018268176836
1096_FacultySalaries,2,SVP,w0.3_0.0_0.2,MDL_Train,MSE_Test_Extrapolation,0.49506759225429303
1096_FacultySalaries,2,SVP,w0.3_0.0_0.2,PSM_Train,MSE_Test_Extrapolation,0.11899890390938986
1096_FacultySalaries,3,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Interpolation,0.5320445207756166
1096_FacultySalaries,3,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Interpolation,0.5367968094038623
1096_FacultySalaries,3,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Interpolation,0.5467884130982367
1096_FacultySalaries,3,SVP,w0.3_0.0_0.2,MDL_Train,MSE_Test_Interpolation,-0.54123549055814
1096_FacultySalaries,3,SVP,w0.3_0.0_0.2,PSM_Train,MSE_Test_Interpolation,-0.12359102456491483
1096_FacultySalaries,3,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Extrapolation,0.13445210583210018
1096_FacultySalaries,3,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Extrapolation,0.1210098497759668
1096_FacultySalaries,3,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Extrapolation,0.10948610172271338
1096_FacultySalaries,3,SVP,w0.3_0.0_0.2,MDL_Train,MSE_Test_Extrapolation,-0.14918637539758423
1096_FacultySalaries,3,SVP,w0.3_0.0_0.2,PSM_Train,MSE_Test_Extrapolation,-0.1264332229626941
1096_FacultySalaries,4,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Interpolation,-0.4270605122006497
1096_FacultySalaries,4,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Interpolation,-0.454962101181033
1096_FacultySalaries,4,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Interpolation,-0.3769988164488429
1096_FacultySalaries,4,SVP,w0.3_0.0_0.2,MDL_Train,MSE_Test_Interpolation,0.49082118304751826
1096_FacultySalaries,4,SVP,w0.3_0.0_0.2,PSM_Train,MSE_Test_Interpolation,-0.248973835964846
1096_FacultySalaries,4,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Extrapolation,0.34280174259021434
1096_FacultySalaries,4,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Extrapolation,0.30558283599002795
1096_FacultySalaries,4,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Extrapolation,0.2483191055375085
1096_FacultySalaries,4,SVP,w0.3_0.0_0.2,MDL_Train,MSE_Test_Extrapolation,-0.2612626224471809
1096_FacultySalaries,4,SVP,w0.3_0.0_0.2,PSM_Train,MSE_Test_Extrapolation,0.1511168190174007
1096_FacultySalaries,5,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Interpolation,-0.7734638319937776
1096_FacultySalaries,5,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Interpolation,-0.9611096707285456
1096_FacultySalaries,5,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Interpolation,-0.8975239823697175
1096_FacultySalaries,5,SVP,w0.3_0.0_0.2,MDL_Train,MSE_Test_Interpolation,0.8905237231008556
1096_FacultySalaries,5,SVP,w0.3_0.0_0.2,PSM_Train,MSE_Test_Interpolation,0.13093077521389682
1096_FacultySalaries,5,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Extrapolation,0.7138968109929998
1096_FacultySalaries,5,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Extrapolation,0.8111226341716361
1096_FacultySalaries,5,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Extrapolation,0.9117189525537984
1096_FacultySalaries,5,SVP,w0.3_0.0_0.2,MDL_Train,MSE_Test_Extrapolation,-0.6909515167228416
1096_FacultySalaries,5,SVP,w0.3_0.0_0.2,PSM_Train,MSE_Test_Extrapolation,-0.24034223489758882
1096_FacultySalaries,6,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Interpolation,0.19638290098648156
1096_FacultySalaries,6,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Interpolation,0.12184873949579834
1096_FacultySalaries,6,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Interpolation,0.19967117281695285
1096_FacultySalaries,6,SVP,w0.3_0.0_0.2,MDL_Train,MSE_Test_Interpolation,-0.19623675557179396
1096_FacultySalaries,6,SVP,w0.3_0.0_0.2,PSM_Train,MSE_Test_Interpolation,-0.0019729630982827915
1096_FacultySalaries,6,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Extrapolation,-0.23565948118377786
1096_FacultySalaries,6,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Extrapolation,-0.298136645962733
1096_FacultySalaries,6,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Extrapolation,-0.03529411764705882
1096_FacultySalaries,6,SVP,w0.3_0.0_0.2,MDL_Train,MSE_Test_Extrapolation,0.2708074534161491
1096_FacultySalaries,6,SVP,w0.3_0.0_0.2,PSM_Train,MSE_Test_Extrapolation,-0.12513701132626964
1096_FacultySalaries,7,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Interpolation,-0.3974025974025975
1096_FacultySalaries,7,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Interpolation,-0.42929292929292934
1096_FacultySalaries,7,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Interpolation,-0.21248196248196252
1096_FacultySalaries,7,SVP,w0.3_0.0_0.2,MDL_Train,MSE_Test_Interpolation,0.36111111111111116
1096_FacultySalaries,7,SVP,w0.3_0.0_0.2,PSM_Train,MSE_Test_Interpolation,-0.21219336219336224
1096_FacultySalaries,7,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Extrapolation,-0.23593073593073596
1096_FacultySalaries,7,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Extrapolation,-0.06529581529581531
1096_FacultySalaries,7,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Extrapolation,0.12943722943722946
1096_FacultySalaries,7,SVP,w0.3_0.0_0.2,MDL_Train,MSE_Test_Extrapolation,0.26038961038961045
1096_FacultySalaries,7,SVP,w0.3_0.0_0.2,PSM_Train,MSE_Test_Extrapolation,-0.10981240981240983
1096_FacultySalaries,8,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Interpolation,0.20106727653897463
1096_FacultySalaries,8,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Interpolation,0.3058128454354869
1096_FacultySalaries,8,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Interpolation,0.3039069944730322
1096_FacultySalaries,8,SVP,w0.3_0.0_0.2,MDL_Train,MSE_Test_Interpolation,0.10379264341528492
1096_FacultySalaries,8,SVP,w0.3_0.0_0.2,PSM_Train,MSE_Test_Interpolation,-0.12178387650085762
1096_FacultySalaries,8,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Extrapolation,-0.4540880503144653
1096_FacultySalaries,8,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Extrapolation,-0.3363064608347626
1096_FacultySalaries,8,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Extrapolation,0.14412044978082714
1096_FacultySalaries,8,SVP,w0.3_0.0_0.2,MDL_Train,MSE_Test_Extrapolation,0.602439489231942
1096_FacultySalaries,8,SVP,w0.3_0.0_0.2,PSM_Train,MSE_Test_Extrapolation,-0.1824661711454164
1096_FacultySalaries,9,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Interpolation,-0.12299174989144593
1096_FacultySalaries,9,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Interpolation,-0.13308727746417717
1096_FacultySalaries,9,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Interpolation,-0.06556665219279202
1096_FacultySalaries,9,SVP,w0.3_0.0_0.2,MDL_Train,MSE_Test_Interpolation,-0.027029960920538432
1096_FacultySalaries,9,SVP,w0.3_0.0_0.2,PSM_Train,MSE_Test_Interpolation,-0.1221233174120712
1096_FacultySalaries,9,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Extrapolation,-0.8024316109422492
1096_FacultySalaries,9,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Extrapolation,-0.6964828484585324
1096_FacultySalaries,9,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Extrapolation,-0.6262483716891012
1096_FacultySalaries,9,SVP,w0.3_0.0_0.2,MDL_Train,MSE_Test_Extrapolation,0.6922492401215805
1096_FacultySalaries,9,SVP,w0.3_0.0_0.2,PSM_Train,MSE_Test_Extrapolation,-0.5779418150238819
1096_FacultySalaries,10,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Interpolation,-0.2214076246334311
1096_FacultySalaries,10,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Interpolation,-0.29032258064516125
1096_FacultySalaries,10,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Interpolation,-0.29728739002932547
1096_FacultySalaries,10,SVP,w0.3_0.0_0.2,MDL_Train,MSE_Test_Interpolation,-0.344208211143695
1096_FacultySalaries,10,SVP,w0.3_0.0_0.2,PSM_Train,MSE_Test_Interpolation,-0.3112170087976539
1096_FacultySalaries,10,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Extrapolation,0.09824046920821113
1096_FacultySalaries,10,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Extrapolation,-0.014662756598240468
1096_FacultySalaries,10,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Extrapolation,-0.020161290322580645
1096_FacultySalaries,10,SVP,w0.3_0.0_0.2,MDL_Train,MSE_Test_Extrapolation,-0.36180351906158353
1096_FacultySalaries,10,SVP,w0.3_0.0_0.2,PSM_Train,MSE_Test_Extrapolation,-0.08760997067448678
1096_FacultySalaries,11,SVP,w0.3_0.0_0.2,MSE_Train,MSE_Test_Interpolation,-0.6925495887760039
1096_FacultySalaries,11,SVP,w0.3_0.0_0.2,AIC_Train,MSE_Test_Interpolation,-0.8409933881631995
1096_FacultySalaries,11,SVP,w0.3_0.0_0.2,BIC_Train,MSE_Test_Interpolation,-0.8187389130785356
