Run,Equation_Index,Hybrid_MSE_Train,Hybrid_AIC_Train,Hybrid_BIC_Train,Hybrid_MDL_Train,Hybrid_PSM_Train,Extrapolation_Divergence,Sensitivity_Interpolation,Sensitivity_Extrapolation,Lambda1,Lambda2,Lambda3,Complexity,MSE_Test_Interpolation,MSE_Test_Extrapolation
1,0,0.8058711858548735,0.9803017583700174,0.9792876792449134,0.059806648789759706,0.0,0.0,0.0,0.0,0.8,0.1,0.6,1,13.90643405564858,66.31490612098315
1,1,0.5900837414731009,1.0038552745993146,1.0009121513409982,0.11616119645747622,0.2068948292083837,0.07616908045251862,7.561083860169999e-05,0.00013947789955326,0.8,0.1,0.6,3,8.912409813882155,43.44584212048562
1,2,0.48278662530596106,0.9885953416350131,0.9845469374723859,0.12011069666513245,0.23464981970760915,0.08171653273119703,0.0012308618747747999,0.00289988327209708,0.8,0.1,0.6,4,5.977442844900173,39.9114463522092
1,3,0.24399566713296864,0.9200916088797423,0.916357758301819,0.11084097986862049,0.6866808496467799,0.08936665010271654,0.0009380471408230401,0.00173039801308302,0.8,0.1,0.6,5,3.394379189182961,9.050365602795292
1,4,0.20547765613963964,0.8984244202732528,0.8934104414858347,0.1120604091392296,0.1725206143126486,0.09235911257737871,0.00180651355889535,0.00292898677603447,0.8,0.1,0.6,7,8.329192286330212,6.848519710928331
1,5,0.19581771888477054,0.8916727234751518,0.8863317917223129,0.11364669979874523,0.12678836890871614,0.08939315830410575,0.0026176569536526103,0.00608054760398148,0.8,0.1,0.6,8,10.718478382445552,95.42930849565774
1,6,0.185724100602302,0.8832621565206357,0.8775726168980529,0.11240831138484267,0.1242649330950275,0.09159797301384391,0.00046846864608201004,0.00076799382306841,0.8,0.1,0.6,9,5.113696912412921,1.9400364972076545
1,7,0.17411837981926273,0.8732485689671542,0.867159776277651,0.12489703819076291,0.0866412338798563,0.08847050152320812,0.00067980653739497,0.0011397697321809401,0.8,0.1,0.6,13,6.92693826244457,8.29098038378755
1,8,0.1752777205574387,0.879770714758871,0.8779445729958449,0.13010264058971244,0.08401580846054338,0.09244653198352244,0.0010102252071416801,0.0019857258071665903,0.8,0.1,0.6,15,4.620750344653039,3.990561851671373
1,9,0.14672627037364186,0.8467532672360312,0.8398903578003706,0.11444187632750244,0.15954893558338276,0.07314716053689127,0.00111014648046044,0.00240231842428304,0.8,0.1,0.6,16,4.30824980634734,44.54701379036072
1,10,0.15143424156341811,0.8510943735835123,0.8439140485026245,0.12838783023583397,0.09458563673934979,0.07776253443205741,0.00125106506104449,0.01373698095247106,0.8,0.1,0.6,18,4.788422542280454,36.60891663619493
1,11,0.15440082242859637,0.8637193432326481,0.8651690943120386,0.14938088534046415,0.09312913658422357,0.09202211510385593,0.00254757901652026,0.0028235189531538598,0.8,0.1,0.6,19,6.802092924716581,4.253234360555269
1,12,0.14787875940082543,0.8559159946314112,0.8569390216265081,0.15888903652848255,0.0921842286538571,0.09230451496490556,0.00280050763747209,0.00321356225591247,0.8,0.1,0.6,23,6.760063525317152,5.11992957461204
1,13,0.143402645861943,0.861058351099382,0.8707568002976095,0.17336933081237044,0.07624987953085537,0.08444099602882899,0.04305294340428692,0.0013658209324244,0.8,0.1,0.6,26,7.123681096754781,26.60344087003656
1,14,0.13630262308172453,0.8464372101766799,0.8512322878730672,0.16170007365298183,0.15348791316033328,0.08485457421183074,0.04362189063037533,0.0017620671591409998,0.8,0.1,0.6,27,7.057624345000996,29.593976696462096
1,15,0.13342519510795547,0.8466535677343862,0.8555192340505926,0.16968473384891208,0.09732889673014207,0.08543240418822998,0.04463324473239545,0.00273442219406291,0.8,0.1,0.6,29,7.016898271525836,34.80536142674899
1,16,0.13328260513295268,0.8513848121703318,0.8646125082796505,0.19221813803441928,0.07486913998582716,0.0854324044252494,0.04463279419333091,0.00273442291912952,0.8,0.1,0.6,33,7.025932505483314,34.633498679332774
1,17,0.16140946484728236,0.8641010902981862,0.8641244276076817,0.206621443384364,0.11649703490715502,0.09428039976141805,0.1740823357392991,0.01803984982679846,0.8,0.1,0.6,34,6.833845471827957,11.106048136026551
1,18,0.16140946659189506,0.8690481171189129,0.8734446182321501,0.22691842242764718,0.10365649130816704,0.09428039976141805,0.1740823357392991,0.01803984982679846,0.8,0.1,0.6,36,6.833845561500564,11.106047989066626
1,19,0.15665853467505225,0.855272797251489,0.8547552750902918,0.22628197008324163,0.18714242740395426,0.08958534383202837,0.2295635783183046,0.01784963251110106,0.8,0.1,0.6,37,5.275011937492948,6.862630848632423
1,20,0.16243246953354462,0.862810937261228,0.8662993654503494,0.2403968210435397,0.1705783308860725,0.1016626652582912,0.22773231224059712,0.01825900675410643,0.8,0.1,0.6,38,6.331827061145787,12.366195453499028
1,21,0.14854565361678762,0.8466491417686437,0.8498944980234495,0.26135754028381886,0.11097103827359564,0.0872313295311426,0.22794509662051404,0.018398753106600222,0.8,0.1,0.6,43,6.959672506127284,9.159940329845178
1,22,0.15472876248844317,0.8626427558619403,0.8746257398780113,0.2770218937456411,0.11120385274793165,0.09288645408875659,0.22683738721821828,0.02149051206832091,0.8,0.1,0.6,44,6.244885808630269,8.848597060439385
1,23,0.1455222931888918,0.8352740350791722,0.8416642503169848,0.2512396321027935,0.29559877386863714,0.0900679830491166,0.2294971342056356,0.026921003338559613,0.8,0.1,0.6,45,6.091802435596636,8.205061201788551
1,24,0.1455903733953769,0.8402793239324685,0.8510418784432384,0.26997699015971416,0.11127245165407404,0.09004602363207513,0.22949544280278414,0.02707433944172872,0.8,0.1,0.6,48,6.085031470597759,8.165094315533342
1,25,0.14545573651211763,0.8449953209649506,0.8601229623370299,0.2793065043672897,0.11237590600592445,0.09006798304911666,0.2294971342056356,0.0269210033385597,0.8,0.1,0.6,49,6.048056935541059,8.206100402129417
1,26,0.15269537416036924,0.8508113647942902,0.8658206718039072,0.3193251559072716,0.12375161636931312,0.10133713699862083,0.2316200452982889,0.02506667217630723,0.8,0.1,0.6,53,7.223910750154292,9.764000700674243
1,27,0.2066038721189074,0.9086488168376374,0.9279479092373707,0.39339452609646214,0.17557957197316756,0.08550602507400723,1.0,0.00896135060491343,0.8,0.1,0.6,60,7.387149413891418,76.89603454238886
1,28,0.20001153739114977,0.9033482044337686,0.926726154406931,0.4045325896783242,0.1842398413478837,0.08016844060404846,1.0,0.00852696884569277,0.8,0.1,0.6,63,7.387520163415355,84.61490841861507
1,29,0.19986934861872271,0.9030784826810448,0.9264464769633157,0.4111624752253723,0.1706605355097839,0.08006975541020483,1.0,0.00853133652704819,0.8,0.1,0.6,64,7.406520942116992,84.73134236164702
1,30,0.20371093337185714,0.8988735175602762,0.9176294793115333,0.41511220666878046,0.19240392445499305,0.08580837468994786,1.0,0.00985018024800964,0.8,0.1,0.6,66,7.129894964600475,75.68710526661593
1,31,0.20418701537119083,0.9035220858412712,0.9265908761185768,0.42625848492363916,0.18494503338221052,0.08703348554668297,1.0,0.00967261637039161,0.8,0.1,0.6,67,6.953433617972421,83.37979540145096
1,32,0.12715799039541012,0.8251285997466591,0.8480953203328904,0.35613905361516807,0.10654947401817363,0.08631590754723963,0.23996829831530211,0.009949753733683241,0.8,0.1,0.6,69,8.075664767378704,81.23939453542444
1,33,0.2165119714162031,0.9181329595750849,0.945374801862508,0.4563312723091848,0.2041257637048995,0.10092635959025054,1.0,0.013734033850461961,0.8,0.1,0.6,70,7.104723824292605,82.2689566733218
1,34,0.15630528380116956,0.849840375408727,0.8724786376619059,0.37442904107779246,0.164617429099969,0.086878033965542,0.4976461853268367,0.01807452108766119,0.8,0.1,0.6,71,5.225299491734755,526.1980414222626
1,35,0.15326879429442788,0.8407940124939982,0.8630017064464895,0.37934370605489576,0.19470188626269666,0.08619849085765015,0.4976678140203689,0.017839635164901342,0.8,0.1,0.6,72,6.253567107787633,542.9102507786192
1,36,0.15617347083969785,0.839689681135568,0.8656556454678802,0.38590733685333933,0.22815540483112196,0.09185869274210423,0.4984676916060037,0.01998105078642641,0.8,0.1,0.6,73,5.68185872008296,591.3473395895649
1,37,0.15033152140270792,0.8254578128202347,0.8468209039636293,0.40436096198671956,0.13918534451464434,0.08771841083717609,0.49774273960339377,0.01758455001224385,0.8,0.1,0.6,77,5.049573733655304,561.5229262771909
1,38,0.15177608141338336,0.8248170837635607,0.8460424948538988,0.4091918199161525,0.1534378505599706,0.08843575970254171,0.4987942066831447,0.01984247990888931,0.8,0.1,0.6,78,5.158043815667354,601.9492156521646
1,39,0.1453668350699507,0.8191349510133499,0.8444587553214179,0.4205765527510392,0.16871175088223528,0.08236837758962248,0.4947537282599095,0.01978629510932477,0.8,0.1,0.6,79,4.889868327460023,522.1938236284843
1,40,0.1505256834904388,0.7888742263032515,0.8038645499025459,0.39087988865905166,0.3777337389478743,0.10278664562657362,0.00250313208066923,0.09204440212362877,0.8,0.1,0.6,80,11.550575025194023,66.16870936156451
1,41,0.15104236433805646,0.7873857114795746,0.8022556960526072,0.3977562249626023,0.14765648851272872,0.10235558249474083,0.00280789865587293,0.09398331431298787,0.8,0.1,0.6,82,12.135238625879428,68.62071156085267
1,42,0.14877322040231367,0.7737421926426845,0.7879387852948209,0.39430628483816343,0.18891064373480668,0.10258290405403085,0.00272117302602656,0.09275698567400528,0.8,0.1,0.6,84,11.539071983669118,65.216149225307
1,43,0.14871870511475593,0.7771995186742142,0.7956853347159096,0.4053145423554715,0.14448159658983323,0.10254684452073093,0.00271386549349512,0.09304157609311361,0.8,0.1,0.6,86,11.499843277474293,64.85018104555242
1,44,0.14891864931852866,0.7718078090623737,0.7858828020051405,0.4040234974810158,0.14411249740814616,0.10227647150204243,0.00286971443078697,0.09385367628081556,0.8,0.1,0.6,87,11.316069060180162,63.762546974077736
1,45,0.14821634192065095,0.7704197516942544,0.7844547514536031,0.41795702098077114,0.14386541440625605,0.10206652156456032,0.0028116030632939397,0.09312505783711578,0.8,0.1,0.6,88,11.260023837950952,63.50316715587436
1,46,0.14858022594025572,0.7754579393777479,0.7938502110397939,0.41338520017648545,0.13850898077882556,0.10222148414592254,0.00296770150920044,0.09355876260128404,0.8,0.1,0.6,96,11.697979588021251,66.23162783035426
1,47,0.14919200952656855,0.7710743768585274,0.7850905879123177,0.443440591194929,0.13935360893182386,0.1019570031794593,0.00323367418295379,0.09489975301981288,0.8,0.1,0.6,97,11.70539229507458,66.80664000814235
1,48,0.14860600204119528,0.7702795537264868,0.784283633645502,0.44282721920788737,0.14007612883079565,0.10190503539163588,0.00322396015945592,0.09403897002031177,0.8,0.1,0.6,98,11.621360630473198,65.9948737492279
1,49,0.14905102551191773,0.7747912425317577,0.7931172988287709,0.45518602085357784,0.146511499951167,0.1019570031794593,0.00323367418295379,0.09489975301981271,0.8,0.1,0.6,99,11.690028359327384,66.14499019012722
1,50,0.14904880791945466,0.7695334775541667,0.783468408171299,0.46274817252480677,0.13977910295252471,0.10196037676076207,0.00302326849349315,0.09499377509976452,0.8,0.1,0.6,102,11.796856072130456,67.73816721039675
1,51,0.1586411501722546,0.8068415039537129,0.8469012986926809,0.5179489125121524,0.1659381565225418,0.08760786867381176,0.007153825600408841,0.12984610076900172,0.8,0.1,0.6,103,8.465565954257336,436.1787219901554
1,52,0.1056354680434351,0.726714991451206,0.7529502062607979,0.45613167525702525,0.20376162466142608,0.10270843841225179,0.0071263033426919795,0.02373466592798025,0.8,0.1,0.6,104,8.12325376036901,223.57253583306783
1,53,0.102305339999846,0.7238583248418554,0.7542127851392831,0.47122069967150304,0.1134543437577327,0.099143186517146,0.00675758150816678,0.023764726780831292,0.8,0.1,0.6,106,8.379694682123763,227.0342467578429
