Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
192_vineyard,1,MVP,w0.4_0.7_0.3,MSE_Train,MSE_Test_Interpolation,-0.685013876040703
192_vineyard,1,MVP,w0.4_0.7_0.3,AIC_Train,MSE_Test_Interpolation,-0.018963922294172063
192_vineyard,1,MVP,w0.4_0.7_0.3,BIC_Train,MSE_Test_Interpolation,0.767113783533765
192_vineyard,1,MVP,w0.4_0.7_0.3,MDL_Train,MSE_Test_Interpolation,0.7269888991674375
192_vineyard,1,MVP,w0.4_0.7_0.3,PSM_Train,MSE_Test_Interpolation,0.49225254394079554
192_vineyard,1,MVP,w0.4_0.7_0.3,MSE_Train,MSE_Test_Extrapolation,0.342622571692877
192_vineyard,1,MVP,w0.4_0.7_0.3,AIC_Train,MSE_Test_Extrapolation,0.040124884366327475
192_vineyard,1,MVP,w0.4_0.7_0.3,BIC_Train,MSE_Test_Extrapolation,-0.21056891766882518
192_vineyard,1,MVP,w0.4_0.7_0.3,MDL_Train,MSE_Test_Extrapolation,-0.37407493061979646
192_vineyard,1,MVP,w0.4_0.7_0.3,PSM_Train,MSE_Test_Extrapolation,-0.18408880666049954
192_vineyard,2,MVP,w0.4_0.7_0.3,MSE_Train,MSE_Test_Interpolation,-0.8659303721488596
192_vineyard,2,MVP,w0.4_0.7_0.3,AIC_Train,MSE_Test_Interpolation,-0.5438175270108043
192_vineyard,2,MVP,w0.4_0.7_0.3,BIC_Train,MSE_Test_Interpolation,0.2740456182472989
192_vineyard,2,MVP,w0.4_0.7_0.3,MDL_Train,MSE_Test_Interpolation,0.8714045618247299
192_vineyard,2,MVP,w0.4_0.7_0.3,PSM_Train,MSE_Test_Interpolation,-0.14823529411764705
192_vineyard,2,MVP,w0.4_0.7_0.3,MSE_Train,MSE_Test_Extrapolation,0.25915966386554623
192_vineyard,2,MVP,w0.4_0.7_0.3,AIC_Train,MSE_Test_Extrapolation,0.22458583433373347
192_vineyard,2,MVP,w0.4_0.7_0.3,BIC_Train,MSE_Test_Extrapolation,0.16379351740696277
192_vineyard,2,MVP,w0.4_0.7_0.3,MDL_Train,MSE_Test_Extrapolation,-0.25474189675870346
192_vineyard,2,MVP,w0.4_0.7_0.3,PSM_Train,MSE_Test_Extrapolation,0.029243697478991592
192_vineyard,3,MVP,w0.4_0.7_0.3,MSE_Train,MSE_Test_Interpolation,0.5040853818563555
192_vineyard,3,MVP,w0.4_0.7_0.3,AIC_Train,MSE_Test_Interpolation,0.4331204619018459
192_vineyard,3,MVP,w0.4_0.7_0.3,BIC_Train,MSE_Test_Interpolation,0.025037179599335144
192_vineyard,3,MVP,w0.4_0.7_0.3,MDL_Train,MSE_Test_Interpolation,-0.5344239349138309
192_vineyard,3,MVP,w0.4_0.7_0.3,PSM_Train,MSE_Test_Interpolation,0.24972443355786897
192_vineyard,3,MVP,w0.4_0.7_0.3,MSE_Train,MSE_Test_Extrapolation,0.11538798005423846
192_vineyard,3,MVP,w0.4_0.7_0.3,AIC_Train,MSE_Test_Extrapolation,0.17672994488671157
192_vineyard,3,MVP,w0.4_0.7_0.3,BIC_Train,MSE_Test_Extrapolation,0.28083282302510715
192_vineyard,3,MVP,w0.4_0.7_0.3,MDL_Train,MSE_Test_Extrapolation,-0.0747616131572041
192_vineyard,3,MVP,w0.4_0.7_0.3,PSM_Train,MSE_Test_Extrapolation,-0.023007610882687428
192_vineyard,4,MVP,w0.4_0.7_0.3,MSE_Train,MSE_Test_Interpolation,0.5077070828331333
192_vineyard,4,MVP,w0.4_0.7_0.3,AIC_Train,MSE_Test_Interpolation,-0.13728691476590635
192_vineyard,4,MVP,w0.4_0.7_0.3,BIC_Train,MSE_Test_Interpolation,-0.43990396158463385
192_vineyard,4,MVP,w0.4_0.7_0.3,MDL_Train,MSE_Test_Interpolation,-0.5248019207683073
192_vineyard,4,MVP,w0.4_0.7_0.3,PSM_Train,MSE_Test_Interpolation,-0.09166866746698678
192_vineyard,4,MVP,w0.4_0.7_0.3,MSE_Train,MSE_Test_Extrapolation,-0.13536614645858341
192_vineyard,4,MVP,w0.4_0.7_0.3,AIC_Train,MSE_Test_Extrapolation,0.06967587034813925
192_vineyard,4,MVP,w0.4_0.7_0.3,BIC_Train,MSE_Test_Extrapolation,0.31937575030012
192_vineyard,4,MVP,w0.4_0.7_0.3,MDL_Train,MSE_Test_Extrapolation,0.06180072028811524
192_vineyard,4,MVP,w0.4_0.7_0.3,PSM_Train,MSE_Test_Extrapolation,0.0966626650660264
192_vineyard,5,MVP,w0.4_0.7_0.3,MSE_Train,MSE_Test_Interpolation,0.3433673469387754
192_vineyard,5,MVP,w0.4_0.7_0.3,AIC_Train,MSE_Test_Interpolation,0.23010204081632651
192_vineyard,5,MVP,w0.4_0.7_0.3,BIC_Train,MSE_Test_Interpolation,0.1324489795918367
192_vineyard,5,MVP,w0.4_0.7_0.3,MDL_Train,MSE_Test_Interpolation,0.046020408163265296
192_vineyard,5,MVP,w0.4_0.7_0.3,PSM_Train,MSE_Test_Interpolation,0.405204081632653
192_vineyard,5,MVP,w0.4_0.7_0.3,MSE_Train,MSE_Test_Extrapolation,-0.14571428571428569
192_vineyard,5,MVP,w0.4_0.7_0.3,AIC_Train,MSE_Test_Extrapolation,-0.07714285714285714
192_vineyard,5,MVP,w0.4_0.7_0.3,BIC_Train,MSE_Test_Extrapolation,-0.10459183673469387
192_vineyard,5,MVP,w0.4_0.7_0.3,MDL_Train,MSE_Test_Extrapolation,-0.21499999999999994
192_vineyard,5,MVP,w0.4_0.7_0.3,PSM_Train,MSE_Test_Extrapolation,-0.2770408163265306
192_vineyard,6,MVP,w0.4_0.7_0.3,MSE_Train,MSE_Test_Interpolation,-0.052670544685351664
192_vineyard,6,MVP,w0.4_0.7_0.3,AIC_Train,MSE_Test_Interpolation,-0.3411422527763088
