Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
192_vineyard,1,SVP,w0.2_0.8_0.4,MSE_Train,MSE_Test_Interpolation,-0.700277520814061
192_vineyard,1,SVP,w0.2_0.8_0.4,AIC_Train,MSE_Test_Interpolation,-0.1525208140610546
192_vineyard,1,SVP,w0.2_0.8_0.4,BIC_Train,MSE_Test_Interpolation,0.758441258094357
192_vineyard,1,SVP,w0.2_0.8_0.4,MDL_Train,MSE_Test_Interpolation,0.7269888991674375
192_vineyard,1,SVP,w0.2_0.8_0.4,PSM_Train,MSE_Test_Interpolation,0.39303885291396856
192_vineyard,1,SVP,w0.2_0.8_0.4,MSE_Train,MSE_Test_Extrapolation,0.34412580943570775
192_vineyard,1,SVP,w0.2_0.8_0.4,AIC_Train,MSE_Test_Extrapolation,0.11147086031452359
192_vineyard,1,SVP,w0.2_0.8_0.4,BIC_Train,MSE_Test_Extrapolation,-0.2534690101757632
192_vineyard,1,SVP,w0.2_0.8_0.4,MDL_Train,MSE_Test_Extrapolation,-0.37534690101757634
192_vineyard,1,SVP,w0.2_0.8_0.4,PSM_Train,MSE_Test_Extrapolation,-0.1866327474560592
192_vineyard,2,SVP,w0.2_0.8_0.4,MSE_Train,MSE_Test_Interpolation,-0.8582472989195679
192_vineyard,2,SVP,w0.2_0.8_0.4,AIC_Train,MSE_Test_Interpolation,-0.48312124849939975
192_vineyard,2,SVP,w0.2_0.8_0.4,BIC_Train,MSE_Test_Interpolation,0.5781032412965186
192_vineyard,2,SVP,w0.2_0.8_0.4,MDL_Train,MSE_Test_Interpolation,0.8711164465786313
192_vineyard,2,SVP,w0.2_0.8_0.4,PSM_Train,MSE_Test_Interpolation,0.1371908763505402
192_vineyard,2,SVP,w0.2_0.8_0.4,MSE_Train,MSE_Test_Extrapolation,0.26905162064825927
192_vineyard,2,SVP,w0.2_0.8_0.4,AIC_Train,MSE_Test_Extrapolation,0.17848739495798316
192_vineyard,2,SVP,w0.2_0.8_0.4,BIC_Train,MSE_Test_Extrapolation,0.05334933973589436
192_vineyard,2,SVP,w0.2_0.8_0.4,MDL_Train,MSE_Test_Extrapolation,-0.25704681872749097
192_vineyard,2,SVP,w0.2_0.8_0.4,PSM_Train,MSE_Test_Extrapolation,-0.049315726290516206
192_vineyard,3,SVP,w0.2_0.8_0.4,MSE_Train,MSE_Test_Interpolation,0.49453241186247926
192_vineyard,3,SVP,w0.2_0.8_0.4,AIC_Train,MSE_Test_Interpolation,0.4245472837022133
192_vineyard,3,SVP,w0.2_0.8_0.4,BIC_Train,MSE_Test_Interpolation,0.023217566267168227
192_vineyard,3,SVP,w0.2_0.8_0.4,MDL_Train,MSE_Test_Interpolation,-0.5341439944011898
192_vineyard,3,SVP,w0.2_0.8_0.4,PSM_Train,MSE_Test_Interpolation,0.22963870177587264
192_vineyard,3,SVP,w0.2_0.8_0.4,MSE_Train,MSE_Test_Extrapolation,0.12298136645962732
