Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
227_cpu_small,1,MVP,w0.8_0.7_0.1,MSE_Train,MSE_Test_Interpolation,0.8268335798549731
227_cpu_small,1,MVP,w0.8_0.7_0.1,AIC_Train,MSE_Test_Interpolation,0.8539629856776939
227_cpu_small,1,MVP,w0.8_0.7_0.1,BIC_Train,MSE_Test_Interpolation,0.8528085428767269
227_cpu_small,1,MVP,w0.8_0.7_0.1,MDL_Train,MSE_Test_Interpolation,0.8445831379198382
227_cpu_small,1,MVP,w0.8_0.7_0.1,PSM_Train,MSE_Test_Interpolation,0.48482115486160576
227_cpu_small,1,MVP,w0.8_0.7_0.1,MSE_Train,MSE_Test_Extrapolation,0.7029474367762183
227_cpu_small,1,MVP,w0.8_0.7_0.1,AIC_Train,MSE_Test_Extrapolation,0.7214906742667483
227_cpu_small,1,MVP,w0.8_0.7_0.1,BIC_Train,MSE_Test_Extrapolation,0.7220678956672317
227_cpu_small,1,MVP,w0.8_0.7_0.1,MDL_Train,MSE_Test_Extrapolation,0.7240881705689237
227_cpu_small,1,MVP,w0.8_0.7_0.1,PSM_Train,MSE_Test_Extrapolation,0.36403975546606626
227_cpu_small,2,MVP,w0.8_0.7_0.1,MSE_Train,MSE_Test_Interpolation,0.8380792316926771
227_cpu_small,2,MVP,w0.8_0.7_0.1,AIC_Train,MSE_Test_Interpolation,0.9476590636254502
227_cpu_small,2,MVP,w0.8_0.7_0.1,BIC_Train,MSE_Test_Interpolation,0.9479471788715486
227_cpu_small,2,MVP,w0.8_0.7_0.1,MDL_Train,MSE_Test_Interpolation,0.9113565426170468
227_cpu_small,2,MVP,w0.8_0.7_0.1,PSM_Train,MSE_Test_Interpolation,0.4953181272509003
227_cpu_small,2,MVP,w0.8_0.7_0.1,MSE_Train,MSE_Test_Extrapolation,0.7058343337334934
227_cpu_small,2,MVP,w0.8_0.7_0.1,AIC_Train,MSE_Test_Extrapolation,0.6420648259303721
227_cpu_small,2,MVP,w0.8_0.7_0.1,BIC_Train,MSE_Test_Extrapolation,0.6487875150060025
227_cpu_small,2,MVP,w0.8_0.7_0.1,MDL_Train,MSE_Test_Extrapolation,0.6947899159663866
227_cpu_small,2,MVP,w0.8_0.7_0.1,PSM_Train,MSE_Test_Extrapolation,0.3782472989195678
227_cpu_small,3,MVP,w0.8_0.7_0.1,MSE_Train,MSE_Test_Interpolation,0.9419685577580315
227_cpu_small,3,MVP,w0.8_0.7_0.1,AIC_Train,MSE_Test_Interpolation,0.9649350649350651
227_cpu_small,3,MVP,w0.8_0.7_0.1,BIC_Train,MSE_Test_Interpolation,0.9663704716336297
227_cpu_small,3,MVP,w0.8_0.7_0.1,MDL_Train,MSE_Test_Interpolation,0.9212576896787423
227_cpu_small,3,MVP,w0.8_0.7_0.1,PSM_Train,MSE_Test_Interpolation,0.5787423103212578
227_cpu_small,3,MVP,w0.8_0.7_0.1,MSE_Train,MSE_Test_Extrapolation,0.5151059466848941
227_cpu_small,3,MVP,w0.8_0.7_0.1,AIC_Train,MSE_Test_Extrapolation,0.5262474367737526
227_cpu_small,3,MVP,w0.8_0.7_0.1,BIC_Train,MSE_Test_Extrapolation,0.5289131920710868
227_cpu_small,3,MVP,w0.8_0.7_0.1,MDL_Train,MSE_Test_Extrapolation,0.5632262474367737
227_cpu_small,3,MVP,w0.8_0.7_0.1,PSM_Train,MSE_Test_Extrapolation,0.2796308954203691
227_cpu_small,4,MVP,w0.8_0.7_0.1,MSE_Train,MSE_Test_Interpolation,0.6222709073052807
227_cpu_small,4,MVP,w0.8_0.7_0.1,AIC_Train,MSE_Test_Interpolation,0.6370275238598877
227_cpu_small,4,MVP,w0.8_0.7_0.1,BIC_Train,MSE_Test_Interpolation,0.6342575105134597
227_cpu_small,4,MVP,w0.8_0.7_0.1,MDL_Train,MSE_Test_Interpolation,0.5836418120923674
227_cpu_small,4,MVP,w0.8_0.7_0.1,PSM_Train,MSE_Test_Interpolation,0.36047946412832715
227_cpu_small,4,MVP,w0.8_0.7_0.1,MSE_Train,MSE_Test_Extrapolation,-0.5627911661756189
227_cpu_small,4,MVP,w0.8_0.7_0.1,AIC_Train,MSE_Test_Extrapolation,-0.5599707889501649
227_cpu_small,4,MVP,w0.8_0.7_0.1,BIC_Train,MSE_Test_Extrapolation,-0.5625393467804891
227_cpu_small,4,MVP,w0.8_0.7_0.1,MDL_Train,MSE_Test_Extrapolation,-0.5636473521190603
227_cpu_small,4,MVP,w0.8_0.7_0.1,PSM_Train,MSE_Test_Extrapolation,-0.4349676412077258
227_cpu_small,5,MVP,w0.8_0.7_0.1,MSE_Train,MSE_Test_Interpolation,0.9426129426129425
227_cpu_small,5,MVP,w0.8_0.7_0.1,AIC_Train,MSE_Test_Interpolation,0.9664224664224663
227_cpu_small,5,MVP,w0.8_0.7_0.1,BIC_Train,MSE_Test_Interpolation,0.9676434676434676
227_cpu_small,5,MVP,w0.8_0.7_0.1,MDL_Train,MSE_Test_Interpolation,0.9700854700854701
227_cpu_small,5,MVP,w0.8_0.7_0.1,PSM_Train,MSE_Test_Interpolation,0.23809523809523808
227_cpu_small,5,MVP,w0.8_0.7_0.1,MSE_Train,MSE_Test_Extrapolation,0.8547008547008547
227_cpu_small,5,MVP,w0.8_0.7_0.1,AIC_Train,MSE_Test_Extrapolation,0.8357753357753357
227_cpu_small,5,MVP,w0.8_0.7_0.1,BIC_Train,MSE_Test_Extrapolation,0.8369963369963369
227_cpu_small,5,MVP,w0.8_0.7_0.1,MDL_Train,MSE_Test_Extrapolation,0.8400488400488401
227_cpu_small,5,MVP,w0.8_0.7_0.1,PSM_Train,MSE_Test_Extrapolation,0.1855921855921856
227_cpu_small,6,MVP,w0.8_0.7_0.1,MSE_Train,MSE_Test_Interpolation,0.6543726352702329
227_cpu_small,6,MVP,w0.8_0.7_0.1,AIC_Train,MSE_Test_Interpolation,0.9715155803008398
