Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
227_cpu_small,1,SVP,w0.1_0.7_1.0,MSE_Train,MSE_Test_Interpolation,0.4614524333489663
227_cpu_small,1,SVP,w0.1_0.7_1.0,AIC_Train,MSE_Test_Interpolation,0.5732890796926295
227_cpu_small,1,SVP,w0.1_0.7_1.0,BIC_Train,MSE_Test_Interpolation,0.5728561636422669
227_cpu_small,1,SVP,w0.1_0.7_1.0,MDL_Train,MSE_Test_Interpolation,0.5553952162776433
227_cpu_small,1,SVP,w0.1_0.7_1.0,PSM_Train,MSE_Test_Interpolation,0.22687999426479938
227_cpu_small,1,SVP,w0.1_0.7_1.0,MSE_Train,MSE_Test_Extrapolation,0.21995742992171433
227_cpu_small,1,SVP,w0.1_0.7_1.0,AIC_Train,MSE_Test_Extrapolation,0.3455030845268588
227_cpu_small,1,SVP,w0.1_0.7_1.0,BIC_Train,MSE_Test_Extrapolation,0.34608030592734224
227_cpu_small,1,SVP,w0.1_0.7_1.0,MDL_Train,MSE_Test_Extrapolation,0.3404523972726288
227_cpu_small,1,SVP,w0.1_0.7_1.0,PSM_Train,MSE_Test_Extrapolation,-0.02002200617219966
227_cpu_small,2,SVP,w0.1_0.7_1.0,MSE_Train,MSE_Test_Interpolation,0.9568787515006002
227_cpu_small,2,SVP,w0.1_0.7_1.0,AIC_Train,MSE_Test_Interpolation,0.970612244897959
227_cpu_small,2,SVP,w0.1_0.7_1.0,BIC_Train,MSE_Test_Interpolation,0.971188475390156
227_cpu_small,2,SVP,w0.1_0.7_1.0,MDL_Train,MSE_Test_Interpolation,0.9631212484993998
227_cpu_small,2,SVP,w0.1_0.7_1.0,PSM_Train,MSE_Test_Interpolation,0.5903961584633853
227_cpu_small,2,SVP,w0.1_0.7_1.0,MSE_Train,MSE_Test_Extrapolation,0.6484033613445378
227_cpu_small,2,SVP,w0.1_0.7_1.0,AIC_Train,MSE_Test_Extrapolation,0.6239135654261704
227_cpu_small,2,SVP,w0.1_0.7_1.0,BIC_Train,MSE_Test_Extrapolation,0.6248739495798319
227_cpu_small,2,SVP,w0.1_0.7_1.0,MDL_Train,MSE_Test_Extrapolation,0.6454261704681872
227_cpu_small,2,SVP,w0.1_0.7_1.0,PSM_Train,MSE_Test_Extrapolation,0.31995198079231685
227_cpu_small,3,SVP,w0.1_0.7_1.0,MSE_Train,MSE_Test_Interpolation,0.9337662337662338
