Run,Equation_Index,Hybrid_MSE_Train,Hybrid_AIC_Train,Hybrid_BIC_Train,Hybrid_MDL_Train,Hybrid_PSM_Train,Extrapolation_Divergence,Sensitivity_Interpolation,Sensitivity_Extrapolation,Lambda1,Lambda2,Lambda3,Complexity,MSE_Test_Interpolation,MSE_Test_Extrapolation
1,0,0.9187282286116847,0.8821578422210643,0.8812328840003815,0.8771202716829996,0.0,0.0,0.0,0.0,0.3,0.7,0.9,1,255.55771723636607,1310.0613653974242
1,1,0.8773882340949237,0.8903747601556325,0.8892914553354316,0.8848817921986164,0.05745404828960561,0.09410015139910047,8.329263027050499e-05,0.00010983846297283001,0.3,0.7,0.9,3,237.03784792167585,1223.5456086397571
1,2,0.8466182270329122,0.8891075165085356,0.887921743218314,0.8837152384490063,0.07798462361361613,0.12364727529617507,0.0010533460604679108,0.00261933166410343,0.3,0.7,0.9,4,225.8945102351237,1220.0473984040823
1,3,1.4289062081529866,1.7396223367929853,1.7362003902033463,1.7234479360691068,1.9966252351479494,0.1834448994567688,0.31510611482121403,1.0,0.3,0.7,0.9,5,68.35879190383643,257.1114928456474
1,4,1.4289062081529866,1.7396223367929853,1.7362003902033463,1.7234479360691068,1.1756078617910748,0.1834448994567688,0.31510611482121403,1.0,0.3,0.7,0.9,6,68.35879190383643,257.1114928456474
1,5,1.3820155493613235,1.6925455849353317,1.6887707805251653,1.6754039865481167,1.3030546158456895,0.17619509531072444,0.31518204019542423,1.0,0.3,0.7,0.9,7,57.23324197850672,220.7135018084312
1,6,1.3008034515241536,1.5993188314973388,1.5950420907632157,1.5799392489246378,1.3285398864857056,0.12398164902906712,0.29573891473664926,1.0,0.3,0.7,0.9,8,45.02717178553619,259.94764865617964
1,7,1.268212316013317,1.54961677228397,1.544950630955882,1.5290675461203236,1.2155961532802189,0.12346681931464905,0.29581918323653483,1.0,0.3,0.7,0.9,10,38.1739369157898,236.30870104284816
1,8,1.2429713979041699,1.503398971626509,1.4983697325234009,1.4814870762381718,1.2108585152832267,0.12309731657078411,0.2960599887361915,1.0,0.3,0.7,0.9,12,32.87352429364309,217.5123948021188
1,9,1.267467599943639,1.5199726937056826,1.5151246666783806,1.497478706758806,1.221236620769302,0.1684237087116343,0.32246479427580393,1.0,0.3,0.7,0.9,13,31.403051574678194,125.46565212961444
1,10,1.2250397690287675,1.4646772279380742,1.4593427446781773,1.4416819938766468,1.2114612371476006,0.12273671357098981,0.2964613312356193,1.0,0.3,0.7,0.9,14,29.12593391909605,203.55872993399163
1,11,1.2506466074807097,1.4853648788862832,1.4802587442482675,1.4620626286553122,1.2056742910420835,0.16214257199818607,0.3226925703984344,1.0,0.3,0.7,0.9,15,27.337754517688,97.54316194032158
1,12,1.2113613267997034,1.4307729985492719,1.4251713947360372,1.4070876185588097,1.2114012216131393,0.12296331656481865,0.2965428333424992,1.0,0.3,0.7,0.9,16,26.24040515271828,201.17143584849708
1,13,1.232842026994006,1.4392717986039099,1.433805825098243,1.41504972412256,1.2402041089508793,0.1611313165126435,0.3227740725053142,1.0,0.3,0.7,0.9,17,23.181306542836044,87.67724788979918
1,14,1.202248033623678,1.4071085952394515,1.4013273819595677,1.3831372889115143,1.1437386833313699,0.12097064697909007,0.29628799986696824,1.0,0.3,0.7,0.9,18,24.11608584601836,203.4561094436096
1,15,1.2240884500205444,1.4115308201132102,1.4061503565211986,1.3867774934594943,1.2502225943577918,0.1611313165126435,0.3227740725053142,1.0,0.3,0.7,0.9,19,21.16371037372821,98.1036444074568
1,16,1.1554404161316731,1.3325629902251395,1.3267625940181271,1.3078054903002854,1.1529136316325908,0.162735533943629,0.2909380859895095,0.9530102430755024,0.3,0.7,0.9,20,19.78269886824836,64.5260971672418
1,17,1.1917812323829504,1.306368666806287,1.3002116145499825,1.2784203389867899,1.4104766804857203,0.1495600775875892,0.3188387909783653,1.0,0.3,0.7,0.9,21,14.531693118210365,75.17436966208031
1,18,1.1877728155893317,1.2901850744896415,1.2839068722395441,1.2623002086393056,1.189555009995623,0.1470267617786511,0.31885840905574464,1.0,0.3,0.7,0.9,23,13.598981060002922,62.072862944864646
1,19,1.1850959410794264,1.2792588931750513,1.272899622205823,1.2516458871291254,1.1815954233914225,0.14506213296261214,0.3188463520596298,1.0,0.3,0.7,0.9,25,13.208269645199175,62.0313365380116
1,20,1.1847547962943468,1.27601739943826,1.2696298132530233,1.2488700501374626,1.172276469306481,0.14555550539837403,0.31915806878753905,1.0,0.3,0.7,0.9,27,12.924398547713816,58.42023440188756
1,21,1.184417287866253,1.2740706109455262,1.2679702409726623,1.247446273510329,1.1701867387513316,0.14603233234235752,0.3190557150027871,1.0,0.3,0.7,0.9,29,12.814695151586216,58.43881519405798
1,22,1.1831165518293796,1.268773713050988,1.262937420220123,1.2427491684491965,1.1740968723450609,0.1450829811459176,0.3189858075957842,1.0,0.3,0.7,0.9,31,12.573285257873293,63.68179113569642
1,23,1.1816465955992688,1.25815982235448,1.251629639262159,1.2328308646752748,1.1753223239794164,0.15003267240259538,0.3176848892387855,1.0,0.3,0.7,0.9,35,11.909971044628875,61.12110088789822
1,24,1.1794347364368831,1.2470274150960636,1.2404120123937523,1.2218055594679842,1.1827513199618025,0.1489684041606107,0.3177437434709232,1.0,0.3,0.7,0.9,37,11.365966133194483,62.46475384118765
1,25,1.1160544105075796,1.1786906750127133,1.1723311769031324,1.153588375924202,1.122374595716653,0.1511067257651208,0.28605265006355945,0.9546835339409354,0.3,0.7,0.9,38,11.134855766659465,40.97487414206454
1,26,1.115016665823283,1.1730049726769987,1.1666016015508938,1.1487179658949636,1.1127416321656902,0.15047363499423708,0.28607079182681333,0.9547754258213017,0.3,0.7,0.9,40,11.071989982846986,38.5294880589448
1,27,1.1773354726945184,1.2333187561429535,1.2265935780703585,1.2098599794070486,1.1695974898587014,0.1498263893614054,0.3177749781911271,1.0,0.3,0.7,0.9,43,10.769620913404868,58.539950291056016
1,28,1.1770308815377248,1.2319080257070203,1.2251724668826625,1.2083990351065972,1.171122316680894,0.1496988136250213,0.3177071102090875,1.0,0.3,0.7,0.9,44,10.703575676238296,58.3734649333755
1,29,1.1766939589596377,1.2301106532883095,1.2233613544404944,1.2075958153818835,1.1723082033959584,0.14933470622549586,0.317793119954381,1.0,0.3,0.7,0.9,45,10.76845482458254,55.0683065708654
1,30,1.1764716721784474,1.2288346614479067,1.2223783956137786,1.206969878622086,1.1692175280167239,0.14933470622549586,0.317793119954381,1.0,0.3,0.7,0.9,47,10.709673266989371,54.993737770558624
1,31,1.1761881490777233,1.2258576873572355,1.2190732792149854,1.2040128049560077,1.1764293383684339,0.15005310310925074,0.31779875828238763,1.0,0.3,0.7,0.9,48,10.5750553844074,53.83168721504256
1,32,1.1760536456341801,1.2230653405467482,1.2165590144820038,1.205511928134821,1.1690421343536825,0.14964680519280665,0.31852818782844416,1.0,0.3,0.7,0.9,56,10.489981556813106,54.776031949927926
1,33,1.1801664512928665,1.2258350016584525,1.2217396866648693,1.2192373684607327,1.1726588092336583,0.14951450246147996,0.32501444977637733,1.0,0.3,0.7,0.9,80,10.470259567641872,55.97628747724265
1,34,1.216708441404869,1.261452168891482,1.258560135733919,1.2579279708669018,1.209773619521546,0.9096222032910608,0.05179892480141725,1.0,0.3,0.7,0.9,87,10.534881546483875,39.98854632020439
1,35,1.2136577567032156,1.2550321085456213,1.2521087350068827,1.2523148040297665,1.2124645175949524,0.9096734549357306,0.04830477228717055,1.0,0.3,0.7,0.9,89,10.490523220278748,37.31034904785884
1,36,1.2291522939149893,1.2675553627028366,1.2649073895339187,1.264912403344677,1.2248477832113656,0.8999447079012535,0.0754006846217908,1.0,0.3,0.7,0.9,94,10.348290556321915,38.96562986543632
1,37,1.0195635552461948,1.0572435542604754,1.0536800122971919,1.0552101561464486,1.0135649566548015,0.15883691668685504,0.09372205126419354,1.0,0.3,0.7,0.9,99,9.676756284877628,28.80873038614332
1,38,1.214119995275099,1.2507282945973317,1.2459430489433123,1.2371016940968578,1.2091480874927836,0.8949669358120355,0.056357127567770844,1.0,0.3,0.7,0.9,101,10.39376144288316,39.69788807162397
1,39,1.019916410757797,1.0571336418057808,1.0544747139089923,1.0593788445805423,1.0137760331561423,0.15989303599087507,0.09396048547475865,1.0,0.3,0.7,0.9,103,9.621283633950286,30.16604623416908
1,40,1.0187186049020092,1.0534920562719554,1.0511134562721658,1.0575281073754477,1.0172910299787834,0.15893172522461668,0.09330297327396553,1.0,0.3,0.7,0.9,105,9.558894500591956,29.85757690263597
1,41,0.9977032960616037,1.0310215786587666,1.0292354989197687,1.0364676827947954,0.9950316519681864,0.15956345086991194,0.06341977253797466,1.0,0.3,0.7,0.9,107,9.614178354431733,33.596463768622485
1,42,0.9922971446619313,1.0242357898295849,1.0221339408120433,1.031073792561317,0.9881720560494469,0.16591298984857808,0.05329601629714243,1.0,0.3,0.7,0.9,111,9.520397420057478,34.10198978476532
1,43,0.9907794441815059,1.0211943183006742,1.0187755537520187,1.0277248562863708,0.9882341689477493,0.16461547005839672,0.05203779940901101,1.0,0.3,0.7,0.9,113,9.409518080923842,36.36550301373386
