Run,Metric,Clamp_Method,Constant_Value,Threshold_Value,Upper_Clamp,Original_Min,Original_Max,Clamped_Min,Clamped_Max,N_Clamped_Upper,N_Total,N_Valid
1,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.9012477777154976,0.0,0.9012477777154976,0,74,74
1,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,7.097778013931952,0.0,7.097778013931952,0,74,74
1,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,10.749339892636495,0.0,10.0,23,74,74
1,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,25.99750735886091,0.0,10.0,3,74,74
1,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,23.849892967419937,0.0,10.0,10,74,74
2,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.385830828582402,0.0,1.385830828582402,0,65,65
2,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,13.4599996645897,0.0,10.0,22,65,65
2,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,13.23954441930151,0.0,10.0,28,65,65
2,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,13.33048658520464,0.0,10.0,12,65,65
2,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,22.183104131766893,0.0,10.0,21,65,65
3,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.640571887199234,0.0,1.640571887199234,0,72,72
3,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,2274624.4610779234,0.0,10.0,37,72,72
3,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,967.9863714368374,0.0,10.0,37,72,72
3,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1024388.9286434044,0.0,10.0,4,72,72
3,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,473664873.1090848,0.0,10.0,6,72,72
4,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.6411356965101278,0.0,0.6411356965101278,0,67,67
4,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,22.37199873308261,0.0,10.0,39,67,67
4,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,21.870301872333734,0.0,10.0,39,67,67
4,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,15.062790372704791,0.0,10.0,8,67,67
4,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,19.43249023865461,0.0,10.0,37,67,67
5,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.0855054522320406,0.0,1.0855054522320406,0,68,68
5,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,9.592145290803634,0.0,9.592145290803634,0,68,68
5,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,12.209676171919336,0.0,10.0,30,68,68
5,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,8.453699239792234,0.0,8.453699239792234,0,68,68
5,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,8.453699239792234,0.0,8.453699239792234,0,68,68
6,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.0467472888605664,0.0,1.0467472888605664,0,65,65
6,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,461.0890799033268,0.0,10.0,35,65,65
6,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1485.3267534745826,0.0,10.0,30,65,65
6,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,975.8612921185202,0.0,10.0,29,65,65
6,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,32.1647593716128,0.0,10.0,33,65,65
7,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.6015870721695955,0.0,1.6015870721695955,0,75,75
7,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,13.750666562440063,0.0,10.0,36,75,75
7,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,16.33699024988098,0.0,10.0,41,75,75
7,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,50.17225994751955,0.0,10.0,50,75,75
7,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,90.82518765172034,0.0,10.0,50,75,75
