Run,Equation_Index,Complexity,Constant_Num,Total_Symbols,Distinct_Symbols,MSE_Train,MSE_Test_Interpolation,MSE_Test_Extrapolation,Sigma_Train,Log_likelihood_Train,AIC_Train,BIC_Train,MDL_Train,PSM_Train,Sensitivity_Interpolation_SVP,Sensitivity_Extrapolation_SVP,Sensitivity_Interpolation_MVP,Sensitivity_Extrapolation_MVP,Extrapolation_Divergence
1,0,1,1,1,1,0.8843180749772772,420.82701177596925,1497.6573900288367,22.06404971070781,-176.0072021484375,0.6402374819295722,0.6059911272897155,0.029206114861080896,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,1,3,3,0.8231456769879782,397.94026567985054,1467.2560046108936,21.24211383459498,-174.62185668945312,0.6248642310305487,0.5891545378785588,0.031267522768855305,0.025812665355674547,8.380540564878e-05,6.273464933589e-05,8.380540564878e-05,6.273464933589e-05,0.05693670694983057
1,2,4,2,10,7,0.28897863211880753,139.73079537038365,369.1739290526366,12.687942400936688,-154.53286743164062,0.41303272043805034,0.36726720255863077,0.02704013397564558,0.7484700758846358,0.01287575508739298,0.01182908591868374,0.01287575508739298,0.01182908591868374,0.07685886324263867
1,3,6,3,14,8,0.2642799885294706,130.7932906352467,326.13912511582845,12.154263573300264,-152.836669921875,0.4053069803177854,0.3689150818938546,0.035608364782622436,0.03159622966544573,0.015102777225908682,0.01368258719983137,0.015102777225908682,0.01368258719983137,0.07676454665202379
1,4,7,3,16,10,0.19600814481719872,108.66111011479636,239.65454332199545,10.53131643144487,-147.19564819335938,0.3427082676307049,0.3003575772977429,0.03785506665330696,0.21016513576027668,0.01344192816184745,0.017314412720713677,0.026884097391844018,0.03462904076377965,0.08025340227364441
1,5,8,3,19,10,0.15038510713799977,155.95249771648997,201.68265320546595,8.962645153282837,-142.2958984375,0.2883354887323078,0.24080896181900394,0.04007213157307455,0.18440935495812913,0.049953032584017856,0.05128769626709696,0.09983446560083264,0.10184257033989874,0.08437516252387225
1,6,9,1,13,9,0.1467943869309997,103.00178920176724,129.31565950598747,9.159421580192785,-141.79763793945312,0.2606121615300439,0.19022864310584478,0.023129325594305344,0.016712970855472006,0.029203116542315,0.03052024213611766,0.05830528786907224,0.06099237389909462,0.07414691520596944
1,7,10,3,21,10,0.11261675375563375,141.38063585487785,392.1278091476148,8.034303595429583,-136.91757202148438,0.2286519196455973,0.17544397277103949,0.03919622687580005,0.1819070568755806,0.04567708722259903,0.05501410643984579,0.09090805606808372,0.10873972559014491,0.0829908622450165
1,8,12,2,19,10,0.09120196104683832,116.1839594149267,261.0999345845877,7.333886877454836,-133.08645629882812,0.17504077619762215,0.1066204302764982,0.030099688309842543,0.0713233654826486,0.06299779388717895,0.1149761062151002,0.124402003547559,0.22523748136159022,0.07332990220878646
1,9,14,5,25,12,0.08688150175270806,109.25534398950909,293.5593580661824,7.069743692635669,-132.2229461669922,0.19874951582895367,0.1629129679316773,0.048979826488685,0.016257717618736754,0.06923673077301944,0.11271152259340649,0.1455468978182641,0.2198670083129572,0.07909233571002697
1,10,16,5,30,13,0.07976418547420618,118.8428406667337,265.5002136418491,6.861023013044841,-130.68641662597656,0.18169856727702197,0.14423890616494503,0.0632767999503982,0.02847857152413784,0.06697520956853764,0.1160229117479397,0.13148217624925893,0.2276496786949334,0.07206934163949248
1,11,19,4,25,12,0.07950145998070653,111.43090659377908,319.10264864585366,6.881565716117115,-130.6262664794922,0.16993402574202515,0.12124546571884737,0.047238310691198916,0.0007299883693013,0.06940131274357494,0.1126754103456011,0.14587562896644127,0.21979535755626195,0.07909036748389771
1,12,20,4,29,13,0.0657509468629496,113.60601444663428,280.48120912309133,6.245725451806176,-127.2781219482422,0.13277949104362932,0.08055412449285397,0.05685430707662891,0.1249712534011517,0.06271809299607323,0.11592139366063255,0.13253139675099754,0.22570629469867734,0.07835983250634862
1,13,22,5,31,14,0.06393796241667517,114.93398858760683,307.6250371007462,6.245725451806176,-126.78329467773438,0.13838541920217073,0.09680273247294578,0.0642999735118579,0.009102724763062748,0.06271809299607323,0.11592139366063244,0.13253139675099754,0.22570629469867734,0.07835983250634862
1,14,25,6,38,14,0.06361139674250425,116.24241875897674,364.0071896786964,6.207531187744528,-126.69454956054688,0.14849766222111183,0.11798659261357737,0.08410529479685702,0.0011093509982299556,0.0697570756018744,0.11467401947492699,0.14656150276317487,0.22372241493343034,0.07931840741622272
1,15,26,7,41,15,0.061383984539933364,108.77144404315332,356.7110743992884,6.130280116440796,-126.07349395751952,0.15270282798222903,0.13270101630366274,0.09500363730621575,0.02311757989100688,0.06977881916726339,0.11339776647294823,0.14662609703556886,0.22121978582144064,0.08575709999095013
1,16,27,7,40,15,0.06125524588069361,107.19785351440426,336.1217445622049,6.097895343250225,-126.03793334960938,0.1523082100593281,0.13226878067745715,0.09205596739982198,0.0013590024561005506,0.06979278116889875,0.11499391723783192,0.14662990851926241,0.2243496739753174,0.085694674168302
1,17,28,5,36,14,0.06078738418109891,119.88494584988334,367.0037884888671,6.105039068056889,-125.90389251708984,0.12862664750442893,0.08611491208656727,0.07756378827058952,0.004960085448423823,0.06944771348835825,0.11448887191782042,0.14595296316828482,0.22329273966224195,0.08652373497141648
1,18,29,7,43,15,0.0604340037191399,109.6902086776347,305.1948792635925,6.075592961989074,-125.802978515625,0.14970090399761243,0.12941333964337795,0.10054836603397856,0.0037687592898923024,0.07085587248916969,0.11729062500022444,0.14873062924479144,0.2288712849445697,0.08541015160117647
1,19,30,5,43,15,0.059645206435173445,132.29551529967338,323.6323852444588,5.984476247302147,-125.58045959472656,0.12503749547577872,0.0821841990989226,0.10032360003773969,0.008484136721437394,0.06907315521490678,0.16781501858119327,0.14508663017029688,0.3283682493652985,0.08548118170689831
1,20,32,6,47,16,0.05836130851028051,132.8544266660095,338.1135006599906,5.984476247302147,-125.1987762451172,0.1318989876327369,0.09980766031153285,0.11482935428971469,0.007012193945755085,0.06907315521490678,0.16781501858119327,0.14508663017029688,0.3283682493652985,0.08548118170689831
1,21,33,5,42,15,0.05724751505903029,131.9837666635676,328.75697121781536,5.926096696636112,-124.86651611328124,0.11711482738111613,0.0735073408351402,0.09662489825182395,0.01238968565783772,0.06910619289396965,0.16939088250335238,0.1451287440920385,0.3314579345311601,0.08587341490216263
1,22,35,9,52,19,0.05612059141838622,117.3567589131874,348.97764165006805,5.89422184034787,-124.52373504638672,0.15769917685630644,0.15839087056132037,0.13865224060819323,0.006377104839380177,0.06775475302244036,0.24660099283878684,0.1399804331504473,0.4879691955835634,0.08131318747575612
1,23,36,9,53,19,0.05487842739554416,104.20664771869728,418.2364977912181,5.817383231202778,-124.13971710205078,0.15343770967516648,0.15372378314398957,0.1414149192824722,0.014323192667487878,0.0644773351024555,0.1943603267795094,0.1335129849816428,0.38386669722119315,0.08031308688209805
1,24,37,6,48,17,0.04741551434555537,132.1468929276397,925.3572382224947,5.474755292737354,-121.65496826171876,0.09257316538859618,0.056738567388955205,0.11712969699006137,0.09256071068828571,0.08633179811793872,0.15410804339136924,0.17744752924430549,0.3052569058253828,0.08557683606345003
1,25,42,8,54,18,0.04706158843175109,132.38972140691092,926.0544395339856,5.457546618496745,-121.52891540527344,0.1133684546953479,0.09973127620044894,0.13862499702960035,0.0009393566444259714,0.08634095491072068,0.1541425771501434,0.17746584742705498,0.30532584136972146,0.08556838719602174
1,26,48,7,63,18,0.04670633355723555,143.8054491550892,976.8407662593422,5.432372464792497,-121.40164947509766,0.1008591258040414,0.07592222116487651,0.1665048766701194,0.0007907704046712492,0.08851703442142698,0.1602368943616855,0.18174961688245037,0.3173505798919501,0.08502287963162679
1,27,49,7,61,18,0.043895534677082244,131.33720761970412,844.2387641885921,5.291588372325493,-120.36349487304688,0.08933866997419852,0.0633050487284445,0.15916076839847834,0.03867777506424024,0.08906010707495694,0.20958294562681717,0.18278077464269268,0.4158300528868521,0.08483663277974336
1,28,53,11,76,21,0.04302938793814954,99.87746084651346,766.0723964442774,5.238088397526065,-120.03239440917967,0.1300526397111271,0.14833040861792635,0.21811492960364753,0.003086340045431012,0.15075970267775213,0.158967516066917,0.31448699193853286,0.3030111617950535,0.08391872139941997
1,29,54,11,77,21,0.042999266714144925,99.73620610666536,766.1226258903615,5.239791987235297,-120.02064514160156,0.12992225747528344,0.14818760618272547,0.22138003263846934,0.0004330246930838403,0.15073870927432276,0.1589219057227197,0.3144439575155949,0.30291875589804823,0.08394402810706311
1,30,55,13,79,22,0.041657166739893135,141.30942428270694,974.303748580258,5.18122170568136,-119.49530029296876,0.14628658269429806,0.18632770594511444,0.23132603266621718,0.019566531862609107,0.09893816699053123,0.1803694667837468,0.2022295979348943,0.35609880233311886,0.08682452329885874
1,31,56,11,84,21,0.04164291089639667,107.57748912762784,732.4165783135358,5.179012817644262,-119.48965454101562,0.12402982705304394,0.1417344552864915,0.24375637522301336,0.0002100159387121049,0.1443902032809,0.1732258801488863,0.3014912026016025,0.3350502609065892,0.086450118878711
1,32,57,12,84,22,0.04097446406434664,120.10865369208462,728.2702932586525,5.126198234115084,-119.22317504882812,0.13216974243158633,0.1607581703349879,0.247683209568867,0.009948507429466394,0.12569638451686152,1.0,0.3402911707348889,0.35171772774937093,0.08785890999748933
1,33,58,12,85,22,0.04017187780903908,100.56512515823243,608.8583472218947,5.020516003873947,-118.90745544433594,0.1286661854941296,0.15692103851764505,0.2506920318728221,0.012126795718818873,0.48548147277967946,1.0,0.3335033669160244,0.887440272339369,0.08722017568702194
1,34,60,9,81,20,0.04009055165098819,109.53613095811195,817.2151862842379,5.0886571510775545,-118.86399841308594,0.09489278389356065,0.08960573280679948,0.22899275045833875,0.0006201508211880946,0.14863139637080744,0.15108752200749592,0.3254929968826277,0.3345231516687761,0.08279746505375961
1,35,61,12,87,22,0.03834050676308103,99.46458435594602,602.1166656284682,4.994527332349036,-118.13355255126952,0.12007814467771666,0.14751558399936981,0.2564932599168253,0.02721424747970255,0.48481177405938897,1.0,0.3340984836338248,0.8949652311635861,0.0866052597244061
1,36,63,11,85,22,0.03576984440789027,122.62536514926175,841.6176674747163,4.85652378093102,-117.0083236694336,0.09649436879970026,0.11157780162274614,0.24862240135729335,0.020960017188258795,0.15540467591906382,0.1678700222564801,0.3245381152050997,0.28111455005506314,0.09012477777154976
1,37,67,10,89,21,0.03461417876747752,118.7659139229346,870.3600298415416,4.794807429680842,-116.48052978515624,0.07954036028675623,0.08290094578964333,0.2569094137677323,0.004915850646310958,0.16030747657741645,0.14521810444340638,0.3494814600252804,0.31978617501014084,0.08602437680662588
