Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
228_elusage,1,MVP,w0.6_0.7_0.2,MSE_Train,MSE_Test_Interpolation,0.26862643465383185
228_elusage,1,MVP,w0.6_0.7_0.2,AIC_Train,MSE_Test_Interpolation,0.25974083672713805
228_elusage,1,MVP,w0.6_0.7_0.2,BIC_Train,MSE_Test_Interpolation,0.25292854498333944
228_elusage,1,MVP,w0.6_0.7_0.2,MDL_Train,MSE_Test_Interpolation,0.15234357645316546
228_elusage,1,MVP,w0.6_0.7_0.2,PSM_Train,MSE_Test_Interpolation,0.1659977786005183
228_elusage,1,MVP,w0.6_0.7_0.2,MSE_Train,MSE_Test_Extrapolation,0.5601925212884116
228_elusage,1,MVP,w0.6_0.7_0.2,AIC_Train,MSE_Test_Extrapolation,0.4782080710847833
228_elusage,1,MVP,w0.6_0.7_0.2,BIC_Train,MSE_Test_Extrapolation,0.5666197704553868
228_elusage,1,MVP,w0.6_0.7_0.2,MDL_Train,MSE_Test_Extrapolation,0.5291817845242502
228_elusage,1,MVP,w0.6_0.7_0.2,PSM_Train,MSE_Test_Extrapolation,0.40685671973343196
228_elusage,2,MVP,w0.6_0.7_0.2,MSE_Train,MSE_Test_Interpolation,0.5170454545454546
228_elusage,2,MVP,w0.6_0.7_0.2,AIC_Train,MSE_Test_Interpolation,0.46590909090909094
228_elusage,2,MVP,w0.6_0.7_0.2,BIC_Train,MSE_Test_Interpolation,0.4524912587412588
228_elusage,2,MVP,w0.6_0.7_0.2,MDL_Train,MSE_Test_Interpolation,0.34838286713286715
228_elusage,2,MVP,w0.6_0.7_0.2,PSM_Train,MSE_Test_Interpolation,0.448208041958042
228_elusage,2,MVP,w0.6_0.7_0.2,MSE_Train,MSE_Test_Extrapolation,0.6729458041958042
228_elusage,2,MVP,w0.6_0.7_0.2,AIC_Train,MSE_Test_Extrapolation,0.6854020979020978
228_elusage,2,MVP,w0.6_0.7_0.2,BIC_Train,MSE_Test_Extrapolation,0.7755681818181819
228_elusage,2,MVP,w0.6_0.7_0.2,MDL_Train,MSE_Test_Extrapolation,0.773645104895105
228_elusage,2,MVP,w0.6_0.7_0.2,PSM_Train,MSE_Test_Extrapolation,0.6482954545454546
228_elusage,3,MVP,w0.6_0.7_0.2,MSE_Train,MSE_Test_Interpolation,-0.3732715930284906
228_elusage,3,MVP,w0.6_0.7_0.2,AIC_Train,MSE_Test_Interpolation,-0.6165026689819283
228_elusage,3,MVP,w0.6_0.7_0.2,BIC_Train,MSE_Test_Interpolation,-0.6310052093382212
228_elusage,3,MVP,w0.6_0.7_0.2,MDL_Train,MSE_Test_Interpolation,-0.6653482539070037
228_elusage,3,MVP,w0.6_0.7_0.2,PSM_Train,MSE_Test_Interpolation,-0.5491028361952538
