Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
228_elusage,1,SVP,w0.3_0.2_0.6,MSE_Train,MSE_Test_Interpolation,0.31737874861162524
228_elusage,1,SVP,w0.3_0.2_0.6,AIC_Train,MSE_Test_Interpolation,0.26693817104776
228_elusage,1,SVP,w0.3_0.2_0.6,BIC_Train,MSE_Test_Interpolation,0.2570159200296186
228_elusage,1,SVP,w0.3_0.2_0.6,MDL_Train,MSE_Test_Interpolation,0.1378896704924102
228_elusage,1,SVP,w0.3_0.2_0.6,PSM_Train,MSE_Test_Interpolation,0.22005183265457234
228_elusage,1,SVP,w0.3_0.2_0.6,MSE_Train,MSE_Test_Extrapolation,0.32629396519807474
228_elusage,1,SVP,w0.3_0.2_0.6,AIC_Train,MSE_Test_Extrapolation,0.23130692336171785
228_elusage,1,SVP,w0.3_0.2_0.6,BIC_Train,MSE_Test_Extrapolation,0.38363569048500556
228_elusage,1,SVP,w0.3_0.2_0.6,MDL_Train,MSE_Test_Extrapolation,0.44959644576082924
228_elusage,1,SVP,w0.3_0.2_0.6,PSM_Train,MSE_Test_Extrapolation,0.20405775638652346
228_elusage,2,SVP,w0.3_0.2_0.6,MSE_Train,MSE_Test_Interpolation,0.5176573426573426
228_elusage,2,SVP,w0.3_0.2_0.6,AIC_Train,MSE_Test_Interpolation,0.5065122377622377
228_elusage,2,SVP,w0.3_0.2_0.6,BIC_Train,MSE_Test_Interpolation,0.5043706293706294
228_elusage,2,SVP,w0.3_0.2_0.6,MDL_Train,MSE_Test_Interpolation,0.35375874125874124
228_elusage,2,SVP,w0.3_0.2_0.6,PSM_Train,MSE_Test_Interpolation,0.4295891608391609
228_elusage,2,SVP,w0.3_0.2_0.6,MSE_Train,MSE_Test_Extrapolation,0.6482517482517482
228_elusage,2,SVP,w0.3_0.2_0.6,AIC_Train,MSE_Test_Extrapolation,0.6419143356643356
228_elusage,2,SVP,w0.3_0.2_0.6,BIC_Train,MSE_Test_Extrapolation,0.7631993006993006
228_elusage,2,SVP,w0.3_0.2_0.6,MDL_Train,MSE_Test_Extrapolation,0.7535402097902097
228_elusage,2,SVP,w0.3_0.2_0.6,PSM_Train,MSE_Test_Extrapolation,0.5628933566433566
228_elusage,3,SVP,w0.3_0.2_0.6,MSE_Train,MSE_Test_Interpolation,-0.3046819731172423
228_elusage,3,SVP,w0.3_0.2_0.6,AIC_Train,MSE_Test_Interpolation,-0.48144575213840124
228_elusage,3,SVP,w0.3_0.2_0.6,BIC_Train,MSE_Test_Interpolation,-0.5665959225673678
228_elusage,3,SVP,w0.3_0.2_0.6,MDL_Train,MSE_Test_Interpolation,-0.6954466525178469
228_elusage,3,SVP,w0.3_0.2_0.6,PSM_Train,MSE_Test_Interpolation,-0.44684545629944056
228_elusage,3,SVP,w0.3_0.2_0.6,MSE_Train,MSE_Test_Extrapolation,0.16557334876840957
228_elusage,3,SVP,w0.3_0.2_0.6,AIC_Train,MSE_Test_Extrapolation,0.2229725384269085
228_elusage,3,SVP,w0.3_0.2_0.6,BIC_Train,MSE_Test_Extrapolation,0.19425686539327292
228_elusage,3,SVP,w0.3_0.2_0.6,MDL_Train,MSE_Test_Extrapolation,0.1878577400475915
228_elusage,3,SVP,w0.3_0.2_0.6,PSM_Train,MSE_Test_Extrapolation,0.1090102257379896
228_elusage,4,SVP,w0.3_0.2_0.6,MSE_Train,MSE_Test_Interpolation,0.7683374570995293
