Run,Equation_Index,Hybrid_MSE_Train,Hybrid_AIC_Train,Hybrid_BIC_Train,Hybrid_MDL_Train,Hybrid_PSM_Train,Extrapolation_Divergence,Sensitivity_Interpolation,Sensitivity_Extrapolation,Lambda1,Lambda2,Lambda3,Complexity,MSE_Test_Interpolation,MSE_Test_Extrapolation
1,0,0.8843180749772772,0.6402374819295722,0.6059911272897155,0.029206114861080896,0.0,0.0,0.0,0.0,0.9,1.0,0.2,1,420.82701177596925,1497.6573900288367
1,1,0.8744850655783417,0.6762036196209121,0.6404939264689222,0.08260691135921878,0.07715205394603802,0.05693670694983057,8.380540564878e-05,6.273464933589e-05,0.9,1.0,0.2,3,397.94026567985054,1467.2560046108936
1,2,0.37339318130831206,0.49744726962755487,0.4516817517481353,0.11145468316515011,0.8328846250741403,0.07685886324263867,0.01287575508739298,0.01182908591868374,0.9,1.0,0.2,4,139.73079537038365,369.1739290526366
1,3,0.351207375182167,0.4922343669704818,0.45584246854655097,0.1225357514353188,0.1185236163181421,0.07676454665202379,0.015102777225908682,0.01368258719983137,0.9,1.0,0.2,6,130.7932906352467,326.13912511582845
1,4,0.2851410175694689,0.43184114038297505,0.38949045005001304,0.12698793940557712,0.29929800851254684,0.08025340227364441,0.01344192816184745,0.017314412720713677,0.9,1.0,0.2,7,108.66111011479636,239.65454332199545
1,5,0.28653332524692204,0.42448370684123005,0.37695717992792616,0.1762203496819968,0.3205575730670514,0.08437516252387225,0.049953032584017856,0.05128769626709696,0.9,1.0,0.2,8,155.95249771648997,201.68265320546595
1,6,0.24883377558591072,0.36265155018495493,0.2922680317607558,0.12516871424921638,0.11875235951038304,0.07414691520596944,0.029203116542315,0.03052024213611766,0.9,1.0,0.2,9,103.00178920176724,129.31565950598747
1,7,0.2439884382867168,0.36002360417668033,0.30681565730212246,0.1705679114068831,0.31327874140666356,0.0829908622450165,0.04567708722259903,0.05501410643984579,0.9,1.0,0.2,10,141.38063585487785,392.1278091476148
1,8,0.2431918881649451,0.327030703315729,0.25861035739460503,0.18208961542794935,0.22331329260075541,0.07332990220878646,0.06299779388717895,0.1149761062151002,0.9,1.0,0.2,12,116.1839594149267,261.0999345845877
1,9,0.24984363918343308,0.3617116532596787,0.32587510536240233,0.21194196391941003,0.17921985504946178,0.07909233571002697,0.06923673077301944,0.11271152259340649,0.9,1.0,0.2,14,109.25534398950909,293.5593580661824
1,10,0.234806384867875,0.3367407666706908,0.29928110555861387,0.218318999344067,0.18352077091780666,0.07206934163949248,0.06697520956853764,0.1160229117479397,0.9,1.0,0.2,16,118.8428406667337,265.5002136418491
1,11,0.24261918552890963,0.33305175129022824,0.28436319126705045,0.21035603623940202,0.16384771391750438,0.07909036748389771,0.06940131274357494,0.1126754103456011,0.9,1.0,0.2,19,111.43090659377908,319.10264864585366
1,12,0.2221771678468631,0.2892057120275428,0.23698034547676747,0.2132805280605424,0.2813974743850652,0.07835983250634862,0.06271809299607323,0.11592139366063255,0.9,1.0,0.2,20,113.60601444663428,280.48120912309133
1,13,0.2203641834005886,0.2948116401860842,0.25322895345685925,0.22072619449577136,0.16552894574697619,0.07835983250634862,0.06271809299607323,0.11592139366063244,0.9,1.0,0.2,22,114.93398858760683,307.6250371007462
1,14,0.22768984291396446,0.3125761083925721,0.28206503878503764,0.24818374096831727,0.1651877971696902,0.07931840741622272,0.0697570756018744,0.11467401947492699,0.9,1.0,0.2,25,116.24241875897674,364.0071896786964
1,15,0.2310237469936415,0.3223425904359372,0.3023407787573709,0.2646433997599239,0.19275734234471503,0.08575709999095013,0.06977881916726339,0.11339776647294823,0.9,1.0,0.2,26,108.77144404315332,356.7110743992884
1,16,0.23117201724863057,0.322224981427265,0.3021855520453941,0.26197273876775895,0.1712757738240375,0.085694674168302,0.06979278116889875,0.11499391723783192,0.9,1.0,0.2,27,107.19785351440426,336.1217445622049
1,17,0.23100423352729607,0.2988434968506261,0.2563317614327645,0.24778063761678668,0.175176934794621,0.08652373497141648,0.06944771348835825,0.11448887191782042,0.9,1.0,0.2,28,119.88494584988334,367.0037884888671
1,18,0.23161713764941333,0.32088403792788583,0.3005964735736514,0.271731499964252,0.17495189322016574,0.08541015160117647,0.07085587248916969,0.11729062500022444,0.9,1.0,0.2,29,109.6902086776347,305.1948792635925
1,19,0.23921442890252737,0.30460671794313265,0.2617534215662765,0.27989282250509356,0.18805335918879132,0.08548118170689831,0.06907315521490678,0.16781501858119327,0.9,1.0,0.2,30,132.29551529967338,323.6323852444588
1,20,0.23793053097763442,0.31146821010009085,0.2793768827788867,0.2943985767570686,0.186581416413109,0.08548118170689831,0.06907315521490678,0.16781501858119327,0.9,1.0,0.2,32,132.8544266660095,338.1135006599906
1,21,0.2375179578656168,0.2973852701877026,0.2537777836417267,0.27689534105841046,0.1926601284644242,0.08587341490216263,0.06910619289396965,0.16939088250335238,0.9,1.0,0.2,33,131.9837666635676,328.75697121781536
1,22,0.24637741173676447,0.34795599717468473,0.3486476908796986,0.32890906092657146,0.1966339251577584,0.08131318747575612,0.06775475302244036,0.24660099283878684,0.9,1.0,0.2,35,117.3567589131874,348.97764165006805
1,23,0.2305096060477898,0.3290688883274121,0.3293549617962352,0.31704609793471783,0.1899543713197335,0.08031308688209805,0.0644773351024555,0.1943603267795094,0.9,1.0,0.2,36,104.20664771869728,418.2364977912181
1,24,0.24158807359887297,0.2867457246419138,0.2509111266422728,0.3113022562433789,0.2867332699416033,0.08557683606345003,0.08633179811793872,0.15410804339136924,0.9,1.0,0.2,37,132.1468929276397,925.3572382224947
1,25,0.24124260724892,0.3075494735125168,0.2939122950176179,0.3328060158467693,0.19512037546159489,0.08556838719602174,0.08634095491072068,0.1541425771501434,0.9,1.0,0.2,42,132.38972140691092,926.0544395339856
1,26,0.24379133851946377,0.29794413076626963,0.2730072261271047,0.3635898816323476,0.19787577536689946,0.08502287963162679,0.08851703442142698,0.1602368943616855,0.9,1.0,0.2,48,143.8054491550892,976.8407662593422
1,27,0.2512252003791717,0.2966683356762879,0.2706347144305339,0.36649043410056775,0.24600744076632963,0.08483663277974336,0.08906010707495694,0.20958294562681717,0.9,1.0,0.2,49,131.33720761970412,844.2387641885921
1,28,0.30110944308876303,0.3881326948617406,0.4064104637685399,0.47619498475426103,0.2611663951960445,0.08391872139941997,0.15075970267775213,0.158967516066917,0.9,1.0,0.2,53,99.87746084651346,766.0723964442774
1,29,0.30107198242936845,0.38799497319050696,0.40626032189794903,0.4794527483536929,0.25850574040830737,0.08394402810706311,0.15073870927432276,0.1589219057227197,0.9,1.0,0.2,54,99.73620610666536,766.1226258903615
