Metric,Pre_Norm_Mean,Pre_Norm_Std,Pre_Norm_Min,Pre_Norm_Max,Post_Norm_Mean,Post_Norm_Std,Post_Norm_Min,Post_Norm_Max,Post_Norm_Range
MSE_Train,2.8393230861759915,2.885107536771449,0.7884359942812202,19.785299772406525,0.10795924610757837,0.15187283387764364,0.0,1.0,1.0
AIC_Train,546.8307262408441,87.03314791828244,421.12054443359375,855.9544677734375,0.28909929759321407,0.20015261746324622,0.0,1.0,1.0
BIC_Train,573.2818512913553,73.88479498157267,465.26898,855.95447,0.27647013788854913,0.18911578974067528,0.0,1.0,1.0
MDL_Train,506.2576794836013,180.59011089731177,319.73747395456843,1095.246468364766,0.24051327176532386,0.23286655886519667,0.0,1.0,1.0
PSM_Train,0.03045776279646934,0.0544890802243032,0.0,0.5135343145527078,0.059310082955212604,0.10610601605418242,0.0,1.0,1.0
Extrapolation_Divergence,1.1306597907134357,1.0995731687709287,0.0,10.0,0.11306597907134355,0.10995731687709304,0.0,1.0,1.0
Sensitivity_Interpolation_SVP,0.1481605882106598,1.0934062456601867,0.0,10.0,0.01481605882106598,0.1093406245660186,0.0,1.0,1.0
Sensitivity_Interpolation_MVP,0.406956275495575,1.8330476908461688,0.0,10.0,0.040695627549557495,0.1833047690846171,0.0,1.0,1.0
Sensitivity_Extrapolation_SVP,0.5882513621256824,2.1772515148411937,0.0,10.0,0.05882513621256825,0.21772515148411906,0.0,1.0,1.0
Sensitivity_Extrapolation_MVP,0.7724081361640066,2.348058344882953,0.0,10.0,0.07724081361640066,0.23480583448829503,0.0,1.0,1.0
