Run,Equation_Index,Complexity,Constant_Num,Total_Symbols,Distinct_Symbols,MSE_Train,MSE_Test_Interpolation,MSE_Test_Extrapolation,Sigma_Train,Log_likelihood_Train,AIC_Train,BIC_Train,MDL_Train,PSM_Train,Sensitivity_Interpolation_SVP,Sensitivity_Extrapolation_SVP,Sensitivity_Interpolation_MVP,Sensitivity_Extrapolation_MVP,Extrapolation_Divergence
1,0,1,0,1,1,0.8273390148533468,13.089856425920146,29.46462435963484,4.0447461555969495,-414.6573791503906,0.9387358988276634,0.9318129014722302,0.12536154602460045,0.0,8.861105154716001e-05,0.00013727376188964,8.861105154716001e-05,0.00013727376188964,0.09757868222658594
1,1,3,1,4,4,0.5447835523369268,6.892321886701513,14.276639369627066,3.3371902727031,-385.74310302734375,0.8103453817831571,0.7965681551162802,0.09521919543313588,0.3829853828036071,0.0008563261527664799,0.00110040812941802,0.0008563261527664799,0.00110040812941802,0.1557382141956265
1,2,5,1,6,6,0.406242072406488,6.719644286110709,16.46563854205786,2.872849410917324,-365.96234130859375,0.7193646157618714,0.6953063959452398,0.07645345506495238,0.26247946043492715,0.00043748261150294,0.00055855510617742,0.0008749652230058899,0.00111711021235485,0.11339002594220635
1,3,6,1,7,7,0.3967019520865818,5.971136928207853,15.332833167123203,2.838139399945113,-364.3858642578125,0.7121136771107526,0.6872360936670568,0.07812511347402017,0.041938776182700054,0.00026493942579056,0.00027435538241641,0.00052979649281057,0.0005485372661893,0.10380001368906189
1,4,7,1,7,7,0.33984701742621537,6.454015167677085,15.016053914465123,2.6570025405808773,-354.1561584472656,0.6650625835255272,0.6348680878831717,0.06492741789660524,0.27061298108275833,0.0003197271093918,0.00041645192398015,0.0009591813281754,0.00124935577194047,0.10252984042705596
1,5,8,1,9,8,0.3395633220687347,4.665617321569218,14.681124910992857,2.646997010121189,-354.1163024902344,0.664879267758785,0.6346640106854236,0.07145058611436544,0.0014491931081528852,0.00032174305679509997,0.00040737714833258997,0.0009652291703853,0.00122213144499778,0.10122903153660183
1,6,9,1,10,8,0.3058246465443441,4.58424092106464,11.59332880730974,2.542187540128185,-347.27886962890625,0.6334307882620079,0.5996618405254827,0.06530390994038213,0.1805232566858418,0.00017627010589146998,0.00020522414629180002,0.00070508042356591,0.0008208965851672099,0.08956574450197843
1,7,10,1,11,9,0.2767435775668849,4.727096961082463,12.65492177522426,2.424450381790026,-340.8653259277344,0.6039319687958947,0.5668295743463625,0.06139292190069627,0.1702746689088978,0.0002623613188887,0.00033859425114585,0.0010494452755548099,0.0013543770045834,0.08402897597757193
1,8,11,0,12,7,0.2640520737438267,4.504053104038573,13.380889710899057,2.3809584771748624,-337.865478515625,0.585534841996828,0.5386992488510387,0.05646490264640853,0.079248018919001,0.000142800394523,0.00017204344260654,0.00071400197261502,0.0008602172130327201,0.09465487890225435
1,9,13,1,14,9,0.22134016045604576,3.679845970546298,11.80882354995702,2.1981228404669766,-326.8178405761719,0.5393211617840246,0.49491758703401023,0.05178334426685269,0.14660381414457774,0.00020228390701102,0.00024338915557918,0.00101141953505511,0.0012169457778959,0.09431783734224289
