Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
229_pwLinear,1,MVP,w0.0_0.8_0.4,MSE_Train,MSE_Test_Interpolation,0.5442622950819672
229_pwLinear,1,MVP,w0.0_0.8_0.4,AIC_Train,MSE_Test_Interpolation,0.5567101972770214
229_pwLinear,1,MVP,w0.0_0.8_0.4,BIC_Train,MSE_Test_Interpolation,0.7815504306751877
229_pwLinear,1,MVP,w0.0_0.8_0.4,MDL_Train,MSE_Test_Interpolation,-0.4838010558488469
229_pwLinear,1,MVP,w0.0_0.8_0.4,PSM_Train,MSE_Test_Interpolation,0.2960822450680745
229_pwLinear,1,MVP,w0.0_0.8_0.4,MSE_Train,MSE_Test_Extrapolation,0.540372325646013
229_pwLinear,1,MVP,w0.0_0.8_0.4,AIC_Train,MSE_Test_Extrapolation,0.5831064184495693
229_pwLinear,1,MVP,w0.0_0.8_0.4,BIC_Train,MSE_Test_Extrapolation,0.8427340928035567
229_pwLinear,1,MVP,w0.0_0.8_0.4,MDL_Train,MSE_Test_Extrapolation,-0.5058071686579607
229_pwLinear,1,MVP,w0.0_0.8_0.4,PSM_Train,MSE_Test_Extrapolation,0.24206724090025014
229_pwLinear,2,MVP,w0.0_0.8_0.4,MSE_Train,MSE_Test_Interpolation,0.44581881533101053
229_pwLinear,2,MVP,w0.0_0.8_0.4,AIC_Train,MSE_Test_Interpolation,0.449651567944251
229_pwLinear,2,MVP,w0.0_0.8_0.4,BIC_Train,MSE_Test_Interpolation,0.6738675958188155
229_pwLinear,2,MVP,w0.0_0.8_0.4,MDL_Train,MSE_Test_Interpolation,0.08501742160278748
229_pwLinear,2,MVP,w0.0_0.8_0.4,PSM_Train,MSE_Test_Interpolation,0.5301393728222997
229_pwLinear,2,MVP,w0.0_0.8_0.4,MSE_Train,MSE_Test_Extrapolation,0.2400696864111499
229_pwLinear,2,MVP,w0.0_0.8_0.4,AIC_Train,MSE_Test_Extrapolation,0.23048780487804882
229_pwLinear,2,MVP,w0.0_0.8_0.4,BIC_Train,MSE_Test_Extrapolation,0.3301393728222997
229_pwLinear,2,MVP,w0.0_0.8_0.4,MDL_Train,MSE_Test_Extrapolation,0.3144599303135889
229_pwLinear,2,MVP,w0.0_0.8_0.4,PSM_Train,MSE_Test_Extrapolation,0.24390243902439027
