Run,Equation_Index,Hybrid_MSE_Train,Hybrid_AIC_Train,Hybrid_BIC_Train,Hybrid_MDL_Train,Hybrid_PSM_Train,Extrapolation_Divergence,Sensitivity_Interpolation,Sensitivity_Extrapolation,Lambda1,Lambda2,Lambda3,Complexity,MSE_Test_Interpolation,MSE_Test_Extrapolation
1,0,0.837160653685916,0.9485575376602325,0.9416345403047993,0.13518318485716962,0.009821638832569167,0.09757868222658594,8.861105154716001e-05,0.00013727376188964,0.1,0.1,0.4,1,13.089856425920146,29.46462435963484
1,1,0.5608831696235332,0.8264449990697635,0.8126677724028867,0.1113188127197424,0.39908500009021364,0.1557382141956265,0.0008563261527664799,0.00110040812941802,0.1,0.1,0.4,3,6.892321886701513,14.276639369627066
1,2,0.4178482453043299,0.7309707886597132,0.7069125688430816,0.08805962796279428,0.27408563333276903,0.11339002594220635,0.00043748261150294,0.00055855510617742,0.1,0.1,0.4,5,6.719644286110709,16.46563854205786
1,3,0.4072181895510336,0.7226299145752043,0.6977523311315086,0.08864135093847199,0.05245501364715187,0.10380001368906189,0.00026493942579056,0.00027435538241641,0.1,0.1,0.4,6,5.971136928207853,15.332833167123203
1,4,0.3502985549494522,0.675514121048764,0.6453196254064085,0.07537895541984206,0.2810645186059952,0.10252984042705596,0.0003197271093918,0.00041645192398015,0.1,0.1,0.4,7,6.454015167677085,15.016053914465123
1,5,0.3498813503874075,0.6751972960774577,0.6449820390040962,0.08176861443303816,0.011767221426825616,0.10122903153660183,0.00032174305679509997,0.00040737714833258997,0.1,0.1,0.4,8,4.665617321569218,14.681124910992857
1,6,0.3148809376636478,0.6424870793813117,0.6087181316447864,0.07436020105968584,0.18957954780514552,0.08956574450197843,0.00017627010589146998,0.00020522414629180002,0.1,0.1,0.4,9,4.58424092106464,11.59332880730974
1,7,0.28530814899698925,0.6124965402259991,0.5753941457764669,0.06995749333080069,0.17883924033900223,0.08402897597757193,0.0002623613188887,0.00033859425114585,0.1,0.1,0.4,10,4.727096961082463,12.65492177522426
1,8,0.2736006590505471,0.5950834273035482,0.5482478341577589,0.06601348795312888,0.08879660422572135,0.09465487890225435,0.000142800394523,0.00017204344260654,0.1,0.1,0.4,11,4.504053104038573,13.380889710899057
1,9,0.23088952824320283,0.5488705295711817,0.5044669548211673,0.06133271205400975,0.1561531819317348,0.09431783734224289,0.00020228390701102,0.00024338915557918,0.1,0.1,0.4,13,3.679845970546298,11.80882354995702
1,10,0.1953205144892718,0.499806783341569,0.4498427419711172,0.05553187952391398,0.1518720899967266,0.09582524475514752,0.00018636406114101,0.00022747086359358,0.1,0.1,0.4,15,3.6446842274705857,10.4457528141161
1,11,0.18705357479939164,0.49153700012137186,0.44829390067942376,0.06002868273292653,0.045735326550204486,0.09573857766279924,0.00018375961069171,0.00022432185149824,0.1,0.1,0.4,17,3.826793397795948,10.885958459678807
1,12,0.17985249267932985,0.4760175201397217,0.4234411258812134,0.06021386828733447,0.06809468284446624,0.08887672483292638,0.00024345903091350002,0.00027251767707105,0.1,0.1,0.4,18,3.552239324762595,7.428283940322431
1,13,0.16535709092125805,0.44698435971039346,0.38338840257008766,0.05685318850225802,0.08229634155928937,0.09651914150283533,0.00019280310096529,0.00024195019229562,0.1,0.1,0.4,20,3.847001797011548,9.54078295323976
1,14,0.14385324903997976,0.4172329049869348,0.3655965893379312,0.07539612251834599,0.12149275560198655,0.09524079340017624,0.00023352673184268,0.00026120430975648003,0.1,0.1,0.4,22,4.063094923041829,7.896751754657279
1,15,0.14292826467662392,0.4152046502931844,0.3633097972702168,0.06644369894201922,0.023095203107048795,0.09789753652568009,0.00021369217725718,0.00025329083941938,0.1,0.1,0.4,23,3.880179439669651,8.01640706266584
1,16,0.14275933261361837,0.4194744471599241,0.3757162060903168,0.06903626470241601,0.011828444351054405,0.09791372798455704,0.00021483504061232,0.00025506133135404,0.1,0.1,0.4,24,3.898173275017335,8.042270442988439
1,17,0.14238165960525653,0.4188338285967236,0.37501428502252254,0.087551776196344,0.011378970095601734,0.09651889108190176,0.00028350672477519,0.00034132620971017997,0.1,0.1,0.4,26,3.5082505103591743,9.415724039235696
1,18,0.12968923998915777,0.3926830001920093,0.3458509100155188,0.09106603865825472,0.1639060300900042,0.10180414212330591,0.00028020402324573,0.00029259447797404,0.1,0.1,0.4,27,3.712263873771877,7.99624039378768
1,19,0.12476999114811177,0.3874325425130981,0.34772449539756084,0.08091698449905166,0.06327486478911772,0.09612984744996902,0.00027942823992022,0.00031370731258696996,0.1,0.1,0.4,28,3.6926766499075794,8.270085022765517
1,20,0.11005820496059371,0.35153610411117375,0.3002213260966945,0.07899529518557594,0.09867529275053126,0.0871812654328808,0.00026437295544474,0.00025801883713575996,0.1,0.1,0.4,30,3.230469356316984,7.5538373189807535
1,21,0.09362678767387278,0.3139312055877212,0.26601692150182904,0.09809674237206248,0.038732412116119205,0.08709601225706129,0.00030167861915648996,0.00036429787006714997,0.1,0.1,0.4,38,2.627058946473026,5.193526983530653
1,22,0.09217493316611054,0.31424066906944204,0.27399173806570737,0.10768683643248095,0.02201541406666545,0.08927464326625163,0.00029385496342612,0.00035172268753751,0.1,0.1,0.4,40,2.6344347769799805,4.767959192257015
1,23,0.08667836843540949,0.2998013629048155,0.2579710799647582,0.11040956350395625,0.0892433676536994,0.08484241439699639,0.0002884862021154,0.00034655126550921,0.1,0.1,0.4,41,2.381405857179218,4.813190745738976
1,24,0.08515538881726961,0.3074867295174691,0.28938009405504417,0.16875885476979202,0.014702969084110416,0.0943272952107032,0.0002494793005744,0.00037022422361513,0.1,0.1,0.4,49,2.367184624885653,5.476973277932091
1,25,0.0750498703701741,0.27366660314685104,0.24415289023184603,0.1640493912468983,0.17373532592297952,0.08829680038329003,0.00023732419574638,0.00035534830623491,0.1,0.1,0.4,50,2.4962125596578826,4.741040343297204
1,26,0.07292837372967662,0.2713611468077946,0.2492325047259263,0.1736200931900894,0.029182499459516356,0.08910355218419734,0.00023347953455092,0.00034769036058483,0.1,0.1,0.4,52,2.481109951483433,4.891780412097967
1,27,0.07172669310993494,0.2676498765964803,0.24510993632635003,0.17651659432799477,0.030002908277632058,0.08839441964250637,0.00023401274309844,0.00034613087421486,0.1,0.1,0.4,53,2.5482266712434254,4.6411422500175865
1,28,0.07213492528039873,0.2623027294652899,0.2313999021306203,0.16938724606945108,0.019566420790638125,0.09720192926802942,0.00022525397725482,0.00045410867001428,0.1,0.1,0.4,54,2.759996141592307,4.744592938397721
1,29,0.0713671138079012,0.27064421654154514,0.25607560515449956,0.1953331628506898,0.009501529002542648,0.09032085247526143,0.00022941330619324001,0.00033681684202296,0.1,0.1,0.4,56,2.49706878194218,5.353201094155955
1,30,0.07123832489508197,0.26819832411931266,0.25325283114528274,0.20006506133959095,0.019685726201411218,0.09879419886940516,0.00027541885463148996,0.00042988680881923,0.1,0.1,0.4,58,2.877951231506179,5.551683530681658
1,31,0.06490333162210707,0.2433610285458575,0.2180128530849844,0.19785608616652473,0.12319025498811069,0.09369595036237945,0.00026727773428253,0.00041677611774434996,0.1,0.1,0.4,59,2.8699314271433005,5.9893273945044125
1,32,0.06471361078046257,0.2431105294871073,0.21775300258261288,0.1978146410718796,0.00984849309926072,0.09224243836888268,0.00024868548236904,0.00036682005205553004,0.1,0.1,0.4,60,2.8139138757139976,6.234806530901827
1,33,0.056424031926869025,0.21506248452699284,0.1866247008147312,0.20134207426656864,0.16562828090545967,0.08433402090866206,0.00023719196386132,0.00037477786676339003,0.1,0.1,0.4,61,3.02793648882702,5.806231574565619
1,34,0.055261434307617936,0.24267369151542734,0.2709293685879733,0.4370264706286033,0.009291840694373136,0.08502921979777282,0.00030200300744243,0.00033585879262808,0.1,0.1,0.4,104,3.1403113033547485,7.078077206323661
1,35,0.05299100972861012,0.23386791720418001,0.26112961429802517,0.4487074642852985,0.03396891196335809,0.08517117227636359,0.00026404775822587,0.00028559568009445003,0.1,0.1,0.4,106,3.373579616850154,7.082228823054459
1,36,0.053242651601476294,0.2432406626796941,0.28683884979479446,0.4860981433242509,0.009027337445393977,0.08772569386460696,0.00029401628815793997,0.00033021589851321,0.1,0.1,0.4,112,2.9238390020606446,7.044888372749534
1,37,0.05130537532602192,0.23642568514607798,0.2792874040931743,0.4847862701283762,0.04618455514098015,0.0845809897561125,0.00033395128533065,0.00036034601681848,0.1,0.1,0.4,113,3.366868293296837,7.021486146787641
1,38,0.04781718247697506,0.2220917163411439,0.2633327271959635,0.5075905626544371,0.04997017107514957,0.08477622454000434,0.00033047370971182996,0.00033652610693393,0.1,0.1,0.4,115,3.363858811695135,7.413102752164208
1,39,0.04826448940403024,0.2263845107588575,0.2756876919850598,0.5223313966820381,0.015040708972562516,0.09179484729179296,0.00031147965536037,0.00029563730794869,0.1,0.1,0.4,116,3.379798068395775,7.065540051105257
1,40,0.04810212110337587,0.22567017094950373,0.27489131549176987,0.5266488506664205,0.013539553104995009,0.09184867530597228,0.00031850200166649997,0.00030773095010183996,0.1,0.1,0.4,117,3.266631110898093,7.136071742926869
1,41,0.047736135024092574,0.22410836010982016,0.2731530122236484,0.5216971838923384,0.01826664496258891,0.09185771907421764,0.00031895139234818,0.00030804611397397,0.1,0.1,0.4,118,3.274143603291616,6.93481093613362
1,42,0.04766705005164515,0.2284522873349776,0.2856434494850471,0.5541326491401077,0.01072074111954687,0.09179484721699047,0.0003114796554214,0.0002956373087403,0.1,0.1,0.4,119,3.372350626702615,6.901477469880719
1,43,0.047754434653555056,0.2060596641837939,0.2299520661416677,0.513513482620756,0.018343004123198694,0.09274838725524263,0.00049497226742786,0.00335303517820527,0.1,0.1,0.4,123,3.2288884355293064,6.137743649650901
1,44,0.050604994250654026,0.21716067327170724,0.25726150874969833,0.5619909518426602,0.016174553352395087,0.09129819330066499,0.0029955929945625,0.010933328965867909,0.1,0.1,0.4,126,3.328413482168646,6.442729618361394
1,45,0.050735213022683606,0.22178032940835252,0.27003911793978164,0.5726012125894213,0.014788204820406083,0.0946775320849758,0.00426311667011978,0.01018003975199566,0.1,0.1,0.4,127,3.3314287535310583,6.46739453028088
