Run,Equation_Index,Complexity,Constant_Num,Total_Symbols,Distinct_Symbols,MSE_Train,MSE_Test_Interpolation,MSE_Test_Extrapolation,Sigma_Train,Log_likelihood_Train,AIC_Train,BIC_Train,MDL_Train,PSM_Train,Sensitivity_Interpolation_SVP,Sensitivity_Extrapolation_SVP,Sensitivity_Interpolation_MVP,Sensitivity_Extrapolation_MVP,Extrapolation_Divergence
1,0,1,1,1,1,7.336510547484853,8.711788044575725,26.088333794673648,2.708540687917841,-661.8114013671875,1325.622802734375,1329.236,664.4152654369225,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,1,3,3,4.448489553285518,4.88773993593735,10.226968490406206,2.1091328527896387,-593.2705078125,1188.541015625,1192.1542,599.1701843615763,0.2501493514063224,0.0005592981484257,0.0022889895565524,0.0005592981484257,0.0022889895565524,1.0358015700511476
1,2,5,2,5,5,2.4177347069170825,2.349400054856198,1.7400369906398965,1.5542215720769743,-509.737060546875,1023.47412109375,1030.7003,520.3887421792278,0.3048667469162509,0.0037318317317321,0.0152729342744823,0.0037318317317321,0.0152729342744823,1.1880119076339055
1,3,7,1,7,3,2.397920970242451,2.41616400671402,2.9061873646539764,1.5485193076533383,-508.6096801757813,1019.2193603515624,1022.83246,518.9038007728478,0.0041145614716636,0.0050336833358315,0.0206009060089717,0.0050336833358315,0.0206009060089717,1.203537357567397
1,4,8,1,8,4,2.3769906914866192,2.3583054640566017,1.7538727549960442,1.541734178918598,-507.4085693359375,1016.817138671875,1020.43024,521.1027703612848,0.0087669209413205,0.0031772778121681,0.007925725225803,0.0031772778121681,0.007925725225803,1.0647118308292145
1,5,10,2,10,6,2.3758575646346807,2.350939964250093,1.7571452114930026,1.5411457652251164,-507.34326171875,1018.6865234375,1025.9127,527.8649173408203,0.0002382360954844,0.0033045058991582,0.0081817775850535,0.0033045058991582,0.0081817775850535,1.0651510420824497
1,6,12,3,12,7,2.3752334292253803,2.366168973333462,1.75342104054969,1.5411457652251164,-507.3072509765625,1020.614501953125,1031.4539,533.2620369996882,0.0001315487334604,0.0033045058991582,0.0081817775850535,0.0033045058991582,0.0081817775850535,1.0651510420824504
1,7,13,1,15,8,2.3703751513494784,2.492715894674064,2.870399819035978,1.5394028092815029,-507.02679443359375,1016.0535888671876,1019.6667,540.8224431490588,0.0020476205838579,0.0025369348604584,0.0103309356713831,0.0050737476815403,0.0206617367561742,1.2239903156799472
1,8,14,1,16,9,2.351311547603047,2.45221122874499,1.6713060945848983,1.5331318178307356,-505.9205322265625,1013.841064453125,1017.45416,543.6802180423232,0.0080748724103291,0.0016087807807375,0.0039936081247158,0.0032173421578769,0.0079865559730055,1.0894553384837549
1,9,16,2,19,10,2.347065747665899,2.415216005100678,1.7090526295290298,1.5316384681507118,-505.67291259765625,1015.3458251953124,1022.5721,552.0262281679294,0.00090363155144,0.0016164267587563,0.0039929167057614,0.0032326510629259,0.0079851104656149,1.09070444986494
