Run,Metric,Clamp_Method,Constant_Value,Threshold_Value,Upper_Clamp,Original_Min,Original_Max,Clamped_Min,Clamped_Max,N_Clamped_Upper,N_Total,N_Valid
1,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.234487725144853,0.0,1.234487725144853,0,37,37
1,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0780566049937357,0.0,0.0780566049937357,0,37,37
1,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0489763346161336,0.0,0.0489763346161336,0,37,37
1,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.1550317715668266,0.0,0.1550317715668266,0,37,37
1,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.1576106873117012,0.0,0.1576106873117012,0,37,37
2,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,2.911059055296389,0.0,2.911059055296389,0,41,41
2,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.1121109776373808,0.0,0.1121109776373808,0,41,41
2,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.1329189768122423,0.0,0.1329189768122423,0,41,41
2,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,17.439341524420147,0.0,10.0,1,41,41
2,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,27482.10618870097,0.0,10.0,1,41,41
3,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.099910878864996,0.0,1.099910878864996,0,30,30
3,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0986605555192963,0.0,0.0986605555192963,0,30,30
3,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.1204260178257043,0.0,0.1204260178257043,0,30,30
3,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.1028267408229832,0.0,0.1028267408229832,0,30,30
3,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.1445324498032927,0.0,0.1445324498032927,0,30,30
4,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.4298003040292864,0.0,1.4298003040292864,0,46,46
4,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0363368103441964,0.0,0.0363368103441964,0,46,46
4,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0443399233201625,0.0,0.0443399233201625,0,46,46
4,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.3131678248360718,0.0,0.3131678248360718,0,46,46
4,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.4570382526293756,0.0,0.4570382526293756,0,46,46
5,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.2099655077470566,0.0,1.2099655077470566,0,39,39
5,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0540940174944335,0.0,0.0540940174944335,0,39,39
5,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0703321815680317,0.0,0.0703321815680317,0,39,39
5,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.1621503143603049,0.0,0.1621503143603049,0,39,39
5,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.1621503143603049,0.0,0.1621503143603049,0,39,39
6,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,36.9305487971296,0.0,10.0,6,47,47
6,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0480267084290239,0.0,0.0480267084290239,0,47,47
6,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0650855281809877,0.0,0.0650855281809877,0,47,47
6,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,20.980253284512266,0.0,10.0,6,47,47
6,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,42.0597782102026,0.0,10.0,6,47,47
7,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,2.45912976524766e+49,0.0,10.0,24,35,35
