Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
519_vinnie,1,MVP,w0.7_1.0_0.9,MSE_Train,MSE_Test_Interpolation,-0.34305357989568513
519_vinnie,1,MVP,w0.7_1.0_0.9,AIC_Train,MSE_Test_Interpolation,-0.17449027975343764
519_vinnie,1,MVP,w0.7_1.0_0.9,BIC_Train,MSE_Test_Interpolation,0.5564248458985301
519_vinnie,1,MVP,w0.7_1.0_0.9,MDL_Train,MSE_Test_Interpolation,0.6194879089615931
519_vinnie,1,MVP,w0.7_1.0_0.9,PSM_Train,MSE_Test_Interpolation,0.020625889046941674
519_vinnie,1,MVP,w0.7_1.0_0.9,MSE_Train,MSE_Test_Extrapolation,0.06614509246088193
519_vinnie,1,MVP,w0.7_1.0_0.9,AIC_Train,MSE_Test_Extrapolation,0.3677098150782361
519_vinnie,1,MVP,w0.7_1.0_0.9,BIC_Train,MSE_Test_Extrapolation,0.320293978188715
519_vinnie,1,MVP,w0.7_1.0_0.9,MDL_Train,MSE_Test_Extrapolation,0.16856330014224752
519_vinnie,1,MVP,w0.7_1.0_0.9,PSM_Train,MSE_Test_Extrapolation,0.07325746799431009
519_vinnie,2,MVP,w0.7_1.0_0.9,MSE_Train,MSE_Test_Interpolation,0.4540069686411151
519_vinnie,2,MVP,w0.7_1.0_0.9,AIC_Train,MSE_Test_Interpolation,0.6369337979094079
519_vinnie,2,MVP,w0.7_1.0_0.9,BIC_Train,MSE_Test_Interpolation,0.5630662020905924
519_vinnie,2,MVP,w0.7_1.0_0.9,MDL_Train,MSE_Test_Interpolation,0.3569686411149826
519_vinnie,2,MVP,w0.7_1.0_0.9,PSM_Train,MSE_Test_Interpolation,0.3608013937282231
519_vinnie,2,MVP,w0.7_1.0_0.9,MSE_Train,MSE_Test_Extrapolation,0.7930313588850176
519_vinnie,2,MVP,w0.7_1.0_0.9,AIC_Train,MSE_Test_Extrapolation,0.8796167247386761
519_vinnie,2,MVP,w0.7_1.0_0.9,BIC_Train,MSE_Test_Extrapolation,0.7763066202090594
519_vinnie,2,MVP,w0.7_1.0_0.9,MDL_Train,MSE_Test_Extrapolation,0.52404181184669
519_vinnie,2,MVP,w0.7_1.0_0.9,PSM_Train,MSE_Test_Extrapolation,0.6512195121951221
519_vinnie,3,MVP,w0.7_1.0_0.9,MSE_Train,MSE_Test_Interpolation,0.3446051167964405
519_vinnie,3,MVP,w0.7_1.0_0.9,AIC_Train,MSE_Test_Interpolation,0.5181312569521691
519_vinnie,3,MVP,w0.7_1.0_0.9,BIC_Train,MSE_Test_Interpolation,0.435817575083426
519_vinnie,3,MVP,w0.7_1.0_0.9,MDL_Train,MSE_Test_Interpolation,-0.06740823136818688
519_vinnie,3,MVP,w0.7_1.0_0.9,PSM_Train,MSE_Test_Interpolation,0.314349276974416
519_vinnie,3,MVP,w0.7_1.0_0.9,MSE_Train,MSE_Test_Extrapolation,0.13192436040044492
519_vinnie,3,MVP,w0.7_1.0_0.9,AIC_Train,MSE_Test_Extrapolation,0.2996662958843159
519_vinnie,3,MVP,w0.7_1.0_0.9,BIC_Train,MSE_Test_Extrapolation,0.4642936596218019
519_vinnie,3,MVP,w0.7_1.0_0.9,MDL_Train,MSE_Test_Extrapolation,0.3299221357063403
519_vinnie,3,MVP,w0.7_1.0_0.9,PSM_Train,MSE_Test_Extrapolation,0.15194660734149054
519_vinnie,4,MVP,w0.7_1.0_0.9,MSE_Train,MSE_Test_Interpolation,0.43308252127790803
519_vinnie,4,MVP,w0.7_1.0_0.9,AIC_Train,MSE_Test_Interpolation,0.3653632663130628
519_vinnie,4,MVP,w0.7_1.0_0.9,BIC_Train,MSE_Test_Interpolation,0.24201307512026646
519_vinnie,4,MVP,w0.7_1.0_0.9,MDL_Train,MSE_Test_Interpolation,-0.0711091924233366
519_vinnie,4,MVP,w0.7_1.0_0.9,PSM_Train,MSE_Test_Interpolation,0.4330074934989127
519_vinnie,4,MVP,w0.7_1.0_0.9,MSE_Train,MSE_Test_Extrapolation,-0.3818921919328975
519_vinnie,4,MVP,w0.7_1.0_0.9,AIC_Train,MSE_Test_Extrapolation,0.642654496114469
519_vinnie,4,MVP,w0.7_1.0_0.9,BIC_Train,MSE_Test_Extrapolation,0.8038731960034539
519_vinnie,4,MVP,w0.7_1.0_0.9,MDL_Train,MSE_Test_Extrapolation,0.8884023563383902
519_vinnie,4,MVP,w0.7_1.0_0.9,PSM_Train,MSE_Test_Extrapolation,0.2885688736763157
519_vinnie,5,MVP,w0.7_1.0_0.9,MSE_Train,MSE_Test_Interpolation,-0.359919028340081
519_vinnie,5,MVP,w0.7_1.0_0.9,AIC_Train,MSE_Test_Interpolation,0.695344129554656
519_vinnie,5,MVP,w0.7_1.0_0.9,BIC_Train,MSE_Test_Interpolation,0.7939271255060729
519_vinnie,5,MVP,w0.7_1.0_0.9,MDL_Train,MSE_Test_Interpolation,0.6002024291497976
519_vinnie,5,MVP,w0.7_1.0_0.9,PSM_Train,MSE_Test_Interpolation,-0.1821862348178138
519_vinnie,5,MVP,w0.7_1.0_0.9,MSE_Train,MSE_Test_Extrapolation,0.03259109311740891
519_vinnie,5,MVP,w0.7_1.0_0.9,AIC_Train,MSE_Test_Extrapolation,0.3937246963562753
519_vinnie,5,MVP,w0.7_1.0_0.9,BIC_Train,MSE_Test_Extrapolation,0.32085020242914986
519_vinnie,5,MVP,w0.7_1.0_0.9,MDL_Train,MSE_Test_Extrapolation,0.15303643724696359
519_vinnie,5,MVP,w0.7_1.0_0.9,PSM_Train,MSE_Test_Extrapolation,0.11963562753036439
519_vinnie,6,MVP,w0.7_1.0_0.9,MSE_Train,MSE_Test_Interpolation,-0.45363089731729883
519_vinnie,6,MVP,w0.7_1.0_0.9,AIC_Train,MSE_Test_Interpolation,-0.3141766882516189
519_vinnie,6,MVP,w0.7_1.0_0.9,BIC_Train,MSE_Test_Interpolation,-0.19310823311748382
519_vinnie,6,MVP,w0.7_1.0_0.9,MDL_Train,MSE_Test_Interpolation,-0.2593663274745606
519_vinnie,6,MVP,w0.7_1.0_0.9,PSM_Train,MSE_Test_Interpolation,-0.4239130434782609
519_vinnie,6,MVP,w0.7_1.0_0.9,MSE_Train,MSE_Test_Extrapolation,0.26919518963922295
519_vinnie,6,MVP,w0.7_1.0_0.9,AIC_Train,MSE_Test_Extrapolation,0.2488436632747456
519_vinnie,6,MVP,w0.7_1.0_0.9,BIC_Train,MSE_Test_Extrapolation,0.29266882516188714
519_vinnie,6,MVP,w0.7_1.0_0.9,MDL_Train,MSE_Test_Extrapolation,0.1909111933395005
519_vinnie,6,MVP,w0.7_1.0_0.9,PSM_Train,MSE_Test_Extrapolation,0.2267576318223867
519_vinnie,7,MVP,w0.7_1.0_0.9,MSE_Train,MSE_Test_Interpolation,0.08879551820728293
519_vinnie,7,MVP,w0.7_1.0_0.9,AIC_Train,MSE_Test_Interpolation,0.3201680672268908
519_vinnie,7,MVP,w0.7_1.0_0.9,BIC_Train,MSE_Test_Interpolation,0.46470588235294125
519_vinnie,7,MVP,w0.7_1.0_0.9,MDL_Train,MSE_Test_Interpolation,0.4560224089635854
519_vinnie,7,MVP,w0.7_1.0_0.9,PSM_Train,MSE_Test_Interpolation,0.050700280112044825
519_vinnie,7,MVP,w0.7_1.0_0.9,MSE_Train,MSE_Test_Extrapolation,0.5621848739495799
519_vinnie,7,MVP,w0.7_1.0_0.9,AIC_Train,MSE_Test_Extrapolation,0.6484593837535014
519_vinnie,7,MVP,w0.7_1.0_0.9,BIC_Train,MSE_Test_Extrapolation,0.49607843137254903
519_vinnie,7,MVP,w0.7_1.0_0.9,MDL_Train,MSE_Test_Extrapolation,0.4117647058823529
519_vinnie,7,MVP,w0.7_1.0_0.9,PSM_Train,MSE_Test_Extrapolation,0.534453781512605
519_vinnie,8,MVP,w0.7_1.0_0.9,MSE_Train,MSE_Test_Interpolation,0.1789473684210526
