Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
519_vinnie,1,SVP,w0.2_0.5_0.4,MSE_Train,MSE_Test_Interpolation,-0.39307728781412987
519_vinnie,1,SVP,w0.2_0.5_0.4,AIC_Train,MSE_Test_Interpolation,-0.2982456140350877
519_vinnie,1,SVP,w0.2_0.5_0.4,BIC_Train,MSE_Test_Interpolation,0.5327169274537695
519_vinnie,1,SVP,w0.2_0.5_0.4,MDL_Train,MSE_Test_Interpolation,0.6223328591749644
519_vinnie,1,SVP,w0.2_0.5_0.4,PSM_Train,MSE_Test_Interpolation,-0.12731152204836413
519_vinnie,1,SVP,w0.2_0.5_0.4,MSE_Train,MSE_Test_Extrapolation,0.024656235182550973
519_vinnie,1,SVP,w0.2_0.5_0.4,AIC_Train,MSE_Test_Extrapolation,0.3155523944997629
519_vinnie,1,SVP,w0.2_0.5_0.4,BIC_Train,MSE_Test_Extrapolation,0.25699383594120434
519_vinnie,1,SVP,w0.2_0.5_0.4,MDL_Train,MSE_Test_Extrapolation,0.15339023233760074
519_vinnie,1,SVP,w0.2_0.5_0.4,PSM_Train,MSE_Test_Extrapolation,-0.0478899952584163
519_vinnie,2,SVP,w0.2_0.5_0.4,MSE_Train,MSE_Test_Interpolation,-0.08466898954703835
519_vinnie,2,SVP,w0.2_0.5_0.4,AIC_Train,MSE_Test_Interpolation,0.5686411149825785
519_vinnie,2,SVP,w0.2_0.5_0.4,BIC_Train,MSE_Test_Interpolation,0.5898954703832754
519_vinnie,2,SVP,w0.2_0.5_0.4,MDL_Train,MSE_Test_Interpolation,0.36707317073170737
519_vinnie,2,SVP,w0.2_0.5_0.4,PSM_Train,MSE_Test_Interpolation,0.391637630662021
519_vinnie,2,SVP,w0.2_0.5_0.4,MSE_Train,MSE_Test_Extrapolation,0.12491289198606274
519_vinnie,2,SVP,w0.2_0.5_0.4,AIC_Train,MSE_Test_Extrapolation,0.8452961672473869
519_vinnie,2,SVP,w0.2_0.5_0.4,BIC_Train,MSE_Test_Extrapolation,0.7675958188153312
519_vinnie,2,SVP,w0.2_0.5_0.4,MDL_Train,MSE_Test_Extrapolation,0.5311846689895472
519_vinnie,2,SVP,w0.2_0.5_0.4,PSM_Train,MSE_Test_Extrapolation,0.5968641114982579
519_vinnie,3,SVP,w0.2_0.5_0.4,MSE_Train,MSE_Test_Interpolation,0.26184649610678534
