Run,Metric,Clamp_Method,Constant_Value,Threshold_Value,Upper_Clamp,Original_Min,Original_Max,Clamped_Min,Clamped_Max,N_Clamped_Upper,N_Total,N_Valid
1,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.714464432,0.0,0.714464432,0,57,57
1,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.013348454,0.0,0.013348454,0,57,57
1,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.030054501,0.0,0.030054501,0,57,57
1,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.027125906,0.0,0.027125906,0,57,57
1,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.053672669,0.0,0.053672669,0,57,57
2,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.7909155511327162,0.0,0.7909155511327162,0,37,37
2,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0075083238805821,0.0,0.0075083238805821,0,37,37
2,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0143840296024075,0.0,0.0143840296024075,0,37,37
2,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.009919847918536,0.0,0.009919847918536,0,37,37
2,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0195272852400118,0.0,0.0195272852400118,0,37,37
3,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.30221747233423,0.0,1.30221747233423,0,52,52
3,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0124995357421585,0.0,0.0124995357421585,0,52,52
3,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0235048109725083,0.0,0.0235048109725083,0,52,52
3,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0152951237794713,0.0,0.0152951237794713,0,52,52
3,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0346434581804862,0.0,0.0346434581804862,0,52,52
4,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.881115668644866,0.0,0.881115668644866,0,39,39
4,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0088396913501053,0.0,0.0088396913501053,0,39,39
4,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.017148204077628,0.0,0.017148204077628,0,39,39
4,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0236188543109403,0.0,0.0236188543109403,0,39,39
4,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0320630849954802,0.0,0.0320630849954802,0,39,39
5,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,4.1127727119967625,0.0,4.1127727119967625,0,52,52
5,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0054634964729942,0.0,0.0054634964729942,0,52,52
5,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0214009071739768,0.0,0.0214009071739768,0,52,52
5,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,4.321544907699599,0.0,4.321544907699599,0,52,52
5,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,905.9217059094055,0.0,10.0,1,52,52
6,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.0598998681301726,0.0,1.0598998681301726,0,47,47
6,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1000000.0,0.0,10.0,3,47,47
6,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1000000.0,0.0,10.0,5,47,47
6,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0064101845196477,0.0,0.0064101845196477,0,47,47
6,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0080989000864456,0.0,0.0080989000864456,0,47,47
7,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,9101926370.196287,0.0,10.0,6,55,55
7,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0233939592815999,0.0,0.0233939592815999,0,55,55
7,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0815654310392182,0.0,0.0815654310392182,0,55,55
7,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,2.038290998924955e+19,0.0,10.0,6,55,55
7,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,9.903977856557622e+20,0.0,10.0,6,55,55
8,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,5.287594040800107,0.0,5.287594040800107,0,51,51
8,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0032632496250475,0.0,0.0032632496250475,0,51,51
8,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0080603117894448,0.0,0.0080603117894448,0,51,51
8,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.1643569293121164,0.0,0.1643569293121164,0,51,51
8,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1.2124970586281334,0.0,1.2124970586281334,0,51,51
9,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.6195309135621262,0.0,0.6195309135621262,0,45,45
9,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0013063934138657,0.0,0.0013063934138657,0,45,45
9,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0048599411876699,0.0,0.0048599411876699,0,45,45
9,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0039954195443365,0.0,0.0039954195443365,0,45,45
9,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0146058133312759,0.0,0.0146058133312759,0,45,45
10,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.6463156289381404,0.0,0.6463156289381404,0,46,46
10,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0108713964301796,0.0,0.0108713964301796,0,46,46
10,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0168150666394531,0.0,0.0168150666394531,0,46,46
10,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0072900692778894,0.0,0.0072900692778894,0,46,46
10,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.012238567561594,0.0,0.012238567561594,0,46,46
11,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.0259242113038152,0.0,1.0259242113038152,0,50,50
11,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0097859044826328,0.0,0.0097859044826328,0,50,50
11,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0200034716763442,0.0,0.0200034716763442,0,50,50
11,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0057381656118065,0.0,0.0057381656118065,0,50,50
11,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0283677836873814,0.0,0.0283677836873814,0,50,50
12,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.7245898564074567,0.0,0.7245898564074567,0,44,44
12,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1000000.0,0.0,10.0,1,44,44
12,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1000000.0,0.0,10.0,1,44,44
12,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0013887464142439,0.0,0.0013887464142439,0,44,44
12,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.006735560812129,0.0,0.006735560812129,0,44,44
13,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.7831058871347831,0.0,0.7831058871347831,0,37,37
13,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0040231475065295,0.0,0.0040231475065295,0,37,37
13,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0104365835122906,0.0,0.0104365835122906,0,37,37
13,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0126260318420851,0.0,0.0126260318420851,0,37,37
13,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0205828845761921,0.0,0.0205828845761921,0,37,37
14,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.8253264056059914,0.0,0.8253264056059914,0,36,36
14,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0021622309819231,0.0,0.0021622309819231,0,36,36
14,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0051027392420242,0.0,0.0051027392420242,0,36,36
14,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0059344399385874,0.0,0.0059344399385874,0,36,36
14,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0078331713940173,0.0,0.0078331713940173,0,36,36
15,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.265056480691657,0.0,1.265056480691657,0,42,42
15,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.003426413015332,0.0,0.003426413015332,0,42,42
15,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0081776285422674,0.0,0.0081776285422674,0,42,42
15,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0067454232104665,0.0,0.0067454232104665,0,42,42
15,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.016585994276444,0.0,0.016585994276444,0,42,42
16,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.7151674476398538,0.0,0.7151674476398538,0,53,53
16,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1000000.0,0.0,10.0,1,53,53
16,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1000000.0,0.0,10.0,1,53,53
16,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0433239296945861,0.0,0.0433239296945861,0,53,53
16,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0567690309625761,0.0,0.0567690309625761,0,53,53
17,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.9734172304221962,0.0,0.9734172304221962,0,47,47
17,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0031654921090094,0.0,0.0031654921090094,0,47,47
17,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0054354269506152,0.0,0.0054354269506152,0,47,47
17,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0079865264082391,0.0,0.0079865264082391,0,47,47
17,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0102828541822314,0.0,0.0102828541822314,0,47,47
18,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.7068408005133897,0.0,0.7068408005133897,0,45,45
18,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0020156915286002,0.0,0.0020156915286002,0,45,45
18,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0053313752622569,0.0,0.0053313752622569,0,45,45
18,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0034369206363386,0.0,0.0034369206363386,0,45,45
18,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0094831227968202,0.0,0.0094831227968202,0,45,45
19,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.7708630359864473,0.0,0.7708630359864473,0,54,54
19,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1000000.0,0.0,10.0,1,54,54
19,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1000000.0,0.0,10.0,2,54,54
19,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0162914813427425,0.0,0.0162914813427425,0,54,54
19,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0231155772769597,0.0,0.0231155772769597,0,54,54
20,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.905781058623732,0.0,0.905781058623732,0,52,52
20,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0021096007907868,0.0,0.0021096007907868,0,52,52
20,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0036075538597743,0.0,0.0036075538597743,0,52,52
20,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0010483371514373,0.0,0.0010483371514373,0,52,52
20,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0032008378265047,0.0,0.0032008378265047,0,52,52
21,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.8705364938804218,0.0,0.8705364938804218,0,50,50
21,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0023800075143021,0.0,0.0023800075143021,0,50,50
21,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0055638033463398,0.0,0.0055638033463398,0,50,50
21,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.003898567109357,0.0,0.003898567109357,0,50,50
21,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1000000.0,0.0,10.0,2,50,50
22,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.7186758235987136,0.0,0.7186758235987136,0,40,40
22,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0066437619506057,0.0,0.0066437619506057,0,40,40
22,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0108365505789544,0.0,0.0108365505789544,0,40,40
22,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0043884762192432,0.0,0.0043884762192432,0,40,40
22,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0102641091547712,0.0,0.0102641091547712,0,40,40
23,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.7467514355311807,0.0,0.7467514355311807,0,43,43
23,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1000000.0,0.0,10.0,1,43,43
23,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1000000.0,0.0,10.0,3,43,43
23,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0020282409672123,0.0,0.0020282409672123,0,43,43
23,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0042179868659148,0.0,0.0042179868659148,0,43,43
24,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.8919688159148907,0.0,0.8919688159148907,0,53,53
24,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0171351058683526,0.0,0.0171351058683526,0,53,53
24,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0293766800135898,0.0,0.0293766800135898,0,53,53
24,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0552155336378321,0.0,0.0552155336378321,0,53,53
24,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0950778293115447,0.0,0.0950778293115447,0,53,53
25,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.6981150786639979,0.0,0.6981150786639979,0,41,41
25,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.003997722014288,0.0,0.003997722014288,0,41,41
25,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0082323287378262,0.0,0.0082323287378262,0,41,41
25,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0038034293255299,0.0,0.0038034293255299,0,41,41
25,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0082442693110231,0.0,0.0082442693110231,0,41,41
26,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.7012128683526415,0.0,0.7012128683526415,0,41,41
26,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0031887654832126,0.0,0.0031887654832126,0,41,41
26,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.005927055466366,0.0,0.005927055466366,0,41,41
26,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0042468554082049,0.0,0.0042468554082049,0,41,41
26,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.011600877065939,0.0,0.011600877065939,0,41,41
27,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.813959270120415,0.0,0.813959270120415,0,61,61
27,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0073244620485575,0.0,0.0073244620485575,0,61,61
27,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.015900916039185,0.0,0.015900916039185,0,61,61
27,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0084527241331145,0.0,0.0084527241331145,0,61,61
27,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0192539356979347,0.0,0.0192539356979347,0,61,61
28,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.8885920972592051,0.0,0.8885920972592051,0,38,38
28,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0060907968668847,0.0,0.0060907968668847,0,38,38
28,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0097116955935109,0.0,0.0097116955935109,0,38,38
28,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.007596720254636,0.0,0.007596720254636,0,38,38
28,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0121728387350438,0.0,0.0121728387350438,0,38,38
