Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
522_pm10,1,MVP,w0.1_0.0_0.4,MSE_Train,MSE_Test_Interpolation,0.8182525278714027
522_pm10,1,MVP,w0.1_0.0_0.4,AIC_Train,MSE_Test_Interpolation,0.7831864143116413
522_pm10,1,MVP,w0.1_0.0_0.4,BIC_Train,MSE_Test_Interpolation,0.10824474980554837
522_pm10,1,MVP,w0.1_0.0_0.4,MDL_Train,MSE_Test_Interpolation,-0.8046409126263937
522_pm10,1,MVP,w0.1_0.0_0.4,PSM_Train,MSE_Test_Interpolation,0.012639357013222711
522_pm10,1,MVP,w0.1_0.0_0.4,MSE_Train,MSE_Test_Extrapolation,-0.11777288047705471
522_pm10,1,MVP,w0.1_0.0_0.4,AIC_Train,MSE_Test_Extrapolation,-0.12341197822141561
522_pm10,1,MVP,w0.1_0.0_0.4,BIC_Train,MSE_Test_Extrapolation,0.6709229971480425
522_pm10,1,MVP,w0.1_0.0_0.4,MDL_Train,MSE_Test_Extrapolation,0.11777288047705471
522_pm10,1,MVP,w0.1_0.0_0.4,PSM_Train,MSE_Test_Extrapolation,-0.09443868291418202
522_pm10,2,MVP,w0.1_0.0_0.4,MSE_Train,MSE_Test_Interpolation,0.04125177809388335
522_pm10,2,MVP,w0.1_0.0_0.4,AIC_Train,MSE_Test_Interpolation,0.044570886676149835
522_pm10,2,MVP,w0.1_0.0_0.4,BIC_Train,MSE_Test_Interpolation,0.225936462778568
522_pm10,2,MVP,w0.1_0.0_0.4,MDL_Train,MSE_Test_Interpolation,-0.05239449976292081
522_pm10,2,MVP,w0.1_0.0_0.4,PSM_Train,MSE_Test_Interpolation,-0.10715979137031767
522_pm10,2,MVP,w0.1_0.0_0.4,MSE_Train,MSE_Test_Extrapolation,-0.4310099573257468
522_pm10,2,MVP,w0.1_0.0_0.4,AIC_Train,MSE_Test_Extrapolation,-0.3541963015647226
522_pm10,2,MVP,w0.1_0.0_0.4,BIC_Train,MSE_Test_Extrapolation,0.4838786154575628
522_pm10,2,MVP,w0.1_0.0_0.4,MDL_Train,MSE_Test_Extrapolation,0.44855381697486957
522_pm10,2,MVP,w0.1_0.0_0.4,PSM_Train,MSE_Test_Extrapolation,-0.4049312470365102
522_pm10,3,MVP,w0.1_0.0_0.4,MSE_Train,MSE_Test_Interpolation,0.21215743191325875
