Run,Equation_Index,Hybrid_MSE_Train,Hybrid_AIC_Train,Hybrid_BIC_Train,Hybrid_MDL_Train,Hybrid_PSM_Train,Extrapolation_Divergence,Sensitivity_Interpolation,Sensitivity_Extrapolation,Lambda1,Lambda2,Lambda3,Complexity,MSE_Test_Interpolation,MSE_Test_Extrapolation
1,0,0.9025545358848537,0.9189369707767026,0.7123951096813712,0.041309086525047126,0.0,0.0,0.0,0.0,0.7,0.6,0.0,1,0.694210762,1.159800744
1,1,0.902554026834873,0.9274790593243181,0.7378360771433612,0.0452796695152175,4.34545354862979e-07,0.0,0.0,0.0,0.7,0.6,0.0,4,0.693878042,1.158853465
1,2,0.7225932856091898,0.7673028918697408,0.5751593233379619,0.07267919661524604,0.8936515203617533,0.07038154020000001,1.09993e-05,1.5330199999999998e-05,0.7,0.6,0.0,5,0.578370448,1.154612537
1,3,0.7123798023010803,0.7572436222338529,0.565002216308948,0.07913157020138513,0.08048647686664875,0.0677321321,9.36e-06,1.2101500000000001e-05,0.7,0.6,0.0,6,0.564784559,1.059362763
1,4,0.7110742983686162,0.7644984595029403,0.5891420663052594,0.09030152129051003,0.049604532838990745,0.0675386667,9.270000000000001e-06,1.20105e-05,0.7,0.6,0.0,8,0.568614951,1.079466682
1,5,0.7110581105792287,0.7730254276307247,0.6145678192735766,0.10273241150614565,0.04731492514219452,0.0675386667,9.270000000000001e-06,1.20105e-05,0.7,0.6,0.0,10,0.569060969,1.081842379
1,6,0.6901906563759076,0.7437868398929298,0.5682278252039953,0.0932210523965492,0.11196424046935809,0.0621857561,3.60989e-05,4.8493100000000005e-05,0.7,0.6,0.0,11,0.628210332,1.256698637
1,7,0.6361687125672187,0.6890246237315077,0.5128059466981426,0.09630747896284557,0.2668125545082244,0.06289125770000001,2.57226e-05,5.39965e-05,0.7,0.6,0.0,12,0.552442989,1.145366308
1,8,0.6296001570005247,0.6822817786018978,0.5059830921845992,0.10020599565675989,0.07121912865416813,0.0628360221,2.1336599999999998e-05,4.3970899999999996e-05,0.7,0.6,0.0,13,0.551636171,1.13685119
1,9,0.608648711389799,0.6603260992736878,0.483760855781861,0.10234978506562843,0.1341636350349259,0.0633485478,5.156610000000001e-05,0.0001286069,0.7,0.6,0.0,14,0.528699834,1.023097205
1,10,0.6030157710870336,0.6716124738623388,0.5288041793817027,0.11493802268304702,0.04659426029346528,0.059973464899999995,1.9841e-05,3.04897e-05,0.7,0.6,0.0,17,0.527592227,0.935193258
1,11,0.580091781766525,0.6300084432160753,0.4530845192212619,0.10400913810062629,0.1513500813249463,0.06296137469999999,2.90664e-05,4.74951e-05,0.7,0.6,0.0,18,0.524779592,1.042993033
1,12,0.5251498026947625,0.5789685947318592,0.4182859723720742,0.12264472962003375,0.26166158311992993,0.05644138480000001,0.0001431304,0.00023279239999999998,0.7,0.6,0.0,19,0.490188418,1.098043286
1,13,0.5067012602369897,0.5580713482956081,0.3971159428449736,0.13064827202025833,0.13368209372740542,0.0590836889,0.0003208039,0.0003871689,0.7,0.6,0.0,20,0.487092882,1.052776662
1,14,0.502119376503528,0.5441691400124457,0.36623451601248147,0.13057087545103976,0.05194319382150158,0.0612187079,9.825039999999999e-05,0.00014530739999999998,0.7,0.6,0.0,23,0.551247766,0.925971744
1,15,0.4909453739860364,0.5314524515012506,0.3533659913574911,0.13468512389646206,0.09418908059707841,0.0612284738,9.07433e-05,0.00013807400000000002,0.7,0.6,0.0,24,0.548172488,0.944397447
