Run,Metric,Clamp_Method,Constant_Value,Threshold_Value,Upper_Clamp,Original_Min,Original_Max,Clamped_Min,Clamped_Max,N_Clamped_Upper,N_Total,N_Valid
1,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,2.6934602870660786e+29,0.0,10.0,5,12,12
1,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,15.665391341081731,0.0,10.0,3,12,12
1,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,15.665391341081731,0.0,10.0,3,12,12
1,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1.5542524725023563e+75,0.0,10.0,5,12,12
1,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1.5542524725023563e+75,0.0,10.0,5,12,12
2,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,2.140274805760225,0.0,2.140274805760225,0,11,11
2,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.049710963009909,0.0,0.049710963009909,0,11,11
2,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.049710963009909,0.0,0.049710963009909,0,11,11
2,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.440895023756599,0.0,0.440895023756599,0,11,11
2,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.8345461953754872,0.0,0.8345461953754872,0,11,11
3,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.5559368563344484,0.0,1.5559368563344484,0,15,15
3,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.11772375652049,0.0,0.11772375652049,0,15,15
3,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.1193342856343838,0.0,0.1193342856343838,0,15,15
3,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0111402680329395,0.0,0.0111402680329395,0,15,15
3,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0223056095597898,0.0,0.0223056095597898,0,15,15
4,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.9373375704633435,0.0,1.9373375704633435,0,10,10
4,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.2160412432029886,0.0,0.2160412432029886,0,10,10
4,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.2164972486036488,0.0,0.2164972486036488,0,10,10
4,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.4775424403323946,0.0,0.4775424403323946,0,10,10
4,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.4796639962435647,0.0,0.4796639962435647,0,10,10
5,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.9164169943038184,0.0,0.9164169943038184,0,11,11
