Metric,Pre_Norm_Mean,Pre_Norm_Std,Pre_Norm_Min,Pre_Norm_Max,Post_Norm_Mean,Post_Norm_Std,Post_Norm_Min,Post_Norm_Max,Post_Norm_Range
MSE_Train,2.6613994832717545,4.528793780206972,0.4481394634954069,16.163887880351027,0.14083071076669557,0.2881691447382615,0.0,1.0,1.0
AIC_Train,226.94404461788932,76.01555656263899,154.15997314453125,547.0950927734375,0.18523177959276438,0.19345574565701631,0.0,1.0,1.0
BIC_Train,235.14248855153204,74.23008234343848,158.74089,549.38556,0.1955782439103342,0.19001944233218002,0.0,1.0,1.0
MDL_Train,165.76177015509563,78.44672567791464,93.58571710247293,844.6664423813814,0.09609626585187717,0.10444513224431895,0.0,1.0,1.0
PSM_Train,0.22222606489666485,0.563575229917638,0.0,2.378985865543441,0.09341209971665844,0.23689725865138683,0.0,1.0,1.0
Extrapolation_Divergence,2.495819110107097,3.3850398901918024,0.0,10.0,0.24958191101070967,0.33850398901918044,0.0,1.0,1.0
Sensitivity_Interpolation_SVP,0.23003951094183886,1.036324159349564,0.0,10.0,0.02300395109418388,0.10363241593495637,0.0,1.0,1.0
Sensitivity_Interpolation_MVP,0.3008824591466027,1.1376745758128588,0.0,10.0,0.03008824591466027,0.11376745758128581,0.0,1.0,1.0
Sensitivity_Extrapolation_SVP,1.4788430154218217,3.2989319034917033,0.0,10.0,0.14788430154218218,0.3298931903491704,0.0,1.0,1.0
Sensitivity_Extrapolation_MVP,1.6062651799641396,3.309405398460066,0.0,10.0,0.16062651799641395,0.3309405398460063,0.0,1.0,1.0
