Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
523_analcatdata_neavote,1,SVP,w0.1_0.3_0.7,MSE_Train,MSE_Test_Interpolation,0.18181818181818185
523_analcatdata_neavote,1,SVP,w0.1_0.3_0.7,AIC_Train,MSE_Test_Interpolation,0.2447552447552448
523_analcatdata_neavote,1,SVP,w0.1_0.3_0.7,BIC_Train,MSE_Test_Interpolation,0.2657342657342658
523_analcatdata_neavote,1,SVP,w0.1_0.3_0.7,MDL_Train,MSE_Test_Interpolation,-0.06293706293706294
523_analcatdata_neavote,1,SVP,w0.1_0.3_0.7,PSM_Train,MSE_Test_Interpolation,-0.2867132867132868
523_analcatdata_neavote,1,SVP,w0.1_0.3_0.7,MSE_Train,MSE_Test_Extrapolation,-0.34965034965034975
523_analcatdata_neavote,1,SVP,w0.1_0.3_0.7,AIC_Train,MSE_Test_Extrapolation,-0.1258741258741259
523_analcatdata_neavote,1,SVP,w0.1_0.3_0.7,BIC_Train,MSE_Test_Extrapolation,-0.10489510489510491
523_analcatdata_neavote,1,SVP,w0.1_0.3_0.7,MDL_Train,MSE_Test_Extrapolation,-0.39860139860139865
523_analcatdata_neavote,1,SVP,w0.1_0.3_0.7,PSM_Train,MSE_Test_Extrapolation,-0.14685314685314685
523_analcatdata_neavote,2,SVP,w0.1_0.3_0.7,MSE_Train,MSE_Test_Interpolation,0.27272727272727276
523_analcatdata_neavote,2,SVP,w0.1_0.3_0.7,AIC_Train,MSE_Test_Interpolation,0.26363636363636367
523_analcatdata_neavote,2,SVP,w0.1_0.3_0.7,BIC_Train,MSE_Test_Interpolation,0.36363636363636365
523_analcatdata_neavote,2,SVP,w0.1_0.3_0.7,MDL_Train,MSE_Test_Interpolation,0.03636363636363637
523_analcatdata_neavote,2,SVP,w0.1_0.3_0.7,PSM_Train,MSE_Test_Interpolation,-0.19090909090909092
523_analcatdata_neavote,2,SVP,w0.1_0.3_0.7,MSE_Train,MSE_Test_Extrapolation,0.5272727272727273
523_analcatdata_neavote,2,SVP,w0.1_0.3_0.7,AIC_Train,MSE_Test_Extrapolation,0.43636363636363645
523_analcatdata_neavote,2,SVP,w0.1_0.3_0.7,BIC_Train,MSE_Test_Extrapolation,0.3545454545454546
