Run,Equation_Index,Hybrid_MSE_Train,Hybrid_AIC_Train,Hybrid_BIC_Train,Hybrid_MDL_Train,Hybrid_PSM_Train,Extrapolation_Divergence,Sensitivity_Interpolation,Sensitivity_Extrapolation,Lambda1,Lambda2,Lambda3,Complexity,MSE_Test_Interpolation,MSE_Test_Extrapolation
1,0,1.0,0.6569735481524963,0.6549622960425902,0.15112994132297058,0.0,0.0,0.0,0.0,0.7,0.6,0.9,1,14.061850930098686,14.780191390625005
1,1,0.5862752399312722,0.5813514079272059,0.5787271067904114,0.15710428443405244,0.1472205890591974,0.04113508959756933,9.217545798124e-05,9.483608635362e-05,0.7,0.6,0.9,3,7.898982553953981,9.7677933474913
1,2,1.791055647945008,2.608217304695231,2.608217304695231,1.8612450635114046,2.036778170386688,1.0,0.01369550782538521,1.0,0.7,0.6,0.9,4,6.471265882615239,2.1589239291196177e+21
1,3,0.26429165996290954,0.3080228069903576,0.30248055407961166,0.2577594866469668,0.95792973492243,0.34888922906041925,0.00270220718957038,0.00825450943077971,0.7,0.6,0.9,5,1.2697155061113918,17.103815407599775
1,4,1.6146271845933988,1.641956368783252,1.6421541813970175,1.613159996110133,1.6603218219735145,1.0,0.013695507825385232,1.0,0.7,0.6,0.9,6,1.899484365537367,2.1589239291700325e+21
1,5,2.2040191843555195,2.2153653805797555,2.209592220981794,2.1999999999999997,2.2298052514209608,1.0,1.0,1.0,0.7,0.6,0.9,7,1.5565957687287657,0.7459879245740602
1,6,2.203972983000502,2.2151006959001367,2.2093259687889764,2.2003721595491346,2.20059804801056,1.0,1.0,1.0,0.7,0.6,0.9,8,1.588948300194319,0.7336460295386275
1,7,2.203947514480981,2.2200448162111286,2.2201623383214213,2.2065083328997157,2.200329646210207,1.0,1.0,1.0,0.7,0.6,0.9,9,1.584524825069246,0.735023557978837
1,8,0.3694190632592185,0.3853680663351886,0.38548454112533315,0.3901757041637569,0.36563835207418977,0.34788901288065555,0.02303841205469265,0.12017508161566459,0.7,0.6,0.9,12,1.5846657069387706,0.7458614807413861
1,9,0.35230822955421254,0.37334524684658466,0.3793548602213975,0.37249153068627827,0.3483942427082005,0.3329169694108372,0.020243051065188162,0.11467199256712471,0.7,0.6,0.9,15,1.587859697534458,0.8832243163231733
1,10,0.36456168857867094,0.3855986050396114,0.3916082069194079,0.40203735433233523,0.36064603908350135,0.3414135722369525,0.020303164887380938,0.12163841970042352,0.7,0.6,0.9,19,1.5869020784205787,0.8789828798994721
1,13,0.3647531440969074,0.40105966034086254,0.4247486023229906,0.48459656408593393,0.36083746357814245,0.3415097884645131,0.02030151688708685,0.12177743391589654,0.7,0.6,0.9,35,1.5873799272227929,0.93091318116239
2,0,0.9584187915834251,0.6493066239981709,0.6472504283752291,0.14912440134636987,0.0,0.0,0.0,0.0,0.7,0.6,0.9,1,17.005309364167353,12.965368947062093
2,1,0.551409720906277,0.5623280999249436,0.5596593183745692,0.1436772624674617,0.13567938634007284,0.02479068642297599,9.036738947553e-05,9.38453115645e-05,0.7,0.6,0.9,3,9.47668444600879,8.538677747940186
2,2,0.10776577034844995,0.23479099011041496,0.22995431281512704,0.09224954266569846,0.8978740655900023,0.0681440889963886,0.0049710963009909,0.010024283618174621,0.7,0.6,0.9,4,0.387789229011328,2.172699515862156
2,3,0.18026646824873163,0.2625774122403735,0.25734210669032137,0.1734932743776703,0.30773756864995633,0.2140274805760225,0.00264920202070699,0.0045187646452145,0.7,0.6,0.9,5,0.2538126195921658,15.470234111222002
2,4,0.08061945659229201,0.16682489424922714,0.16747289995206088,0.07747470314427245,0.06006626047469027,0.06719480398493018,0.0038376100862936397,0.00773859317778801,0.7,0.6,0.9,6,0.2647120919860585,1.9623321321072609
2,5,0.09893325869096321,0.19022807766473487,0.19676924252433442,0.11658006104266508,0.0746179298048414,0.0917081544271159,0.00392464211199269,0.00896350325135136,0.7,0.6,0.9,11,0.2646527489347187,6.990257397182312
2,6,0.0999089711940323,0.1912020109994607,0.19774315248754104,0.13033972163649338,0.07559594827780107,0.0929164318650346,0.00396002733314278,0.00908505135984997,0.7,0.6,0.9,14,0.2645499978082701,5.885910232110393
