Run,Metric,Clamp_Method,Constant_Value,Threshold_Value,Upper_Clamp,Original_Min,Original_Max,Clamped_Min,Clamped_Max,N_Clamped_Upper,N_Total,N_Valid
1,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.6666665360954583,1.4250383215850135,0.6666665360954583,1.4250383215850135,0,45,45
1,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0001635503360809,0.0168844964688111,0.0001635503360809,0.0168844964688111,0,45,45
1,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0001635503360809,0.0358121833130621,0.0001635503360809,0.0358121833130621,0,45,45
1,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0004602925728001,0.0406244545669291,0.0004602925728001,0.0406244545669291,0,45,45
1,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0004602925728001,0.0857725074340702,0.0004602925728001,0.0857725074340702,0,45,45
2,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.8995526872893689,1.455758049433202,0.8995526872893689,1.455758049433202,0,33,33
2,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0007354949841926,0.0178473459973435,0.0007354949841926,0.0178473459973435,0,33,33
2,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0007423840278823,0.0361348146364583,0.0007423840278823,0.0361348146364583,0,33,33
2,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0014978486914824,0.0442534867851842,0.0014978486914824,0.0442534867851842,0,33,33
2,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0014978486914824,0.0885069735703684,0.0014978486914824,0.0885069735703684,0,33,33
3,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.9149131530916752,1.3874208140626454,0.9149131530916752,1.3874208140626454,0,37,37
3,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0007552265034249,0.012594991832845,0.0007552265034249,0.012594991832845,0,37,37
3,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0007552265034249,0.0358116393918787,0.0007552265034249,0.0358116393918787,0,37,37
3,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0014741709260759,0.0298686507693637,0.0014741709260759,0.0298686507693637,0,37,37
3,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0014741709260759,0.0891169624007334,0.0014741709260759,0.0891169624007334,0,37,37
4,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.5127623214456007,0.0,1.5127623214456007,0,33,33
4,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0109602229160354,0.0,0.0109602229160354,0,33,33
4,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0328806687481064,0.0,0.0328806687481064,0,33,33
4,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0271564119013405,0.0,0.0271564119013405,0,33,33
4,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0814692357040216,0.0,0.0814692357040216,0,33,33
5,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.9566642322355784,1.4702833008912244,0.9566642322355784,1.4702833008912244,0,45,45
5,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0007440254616676,0.0111710337256759,0.0007440254616676,0.0111710337256759,0,45,45
5,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.000764795804124,0.0341273308400197,0.000764795804124,0.0341273308400197,0,45,45
5,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.001422527136028,0.0250837731573481,0.001422527136028,0.0250837731573481,0,45,45
5,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.001422527136028,0.0878235037085122,0.001422527136028,0.0878235037085122,0,45,45
6,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.9565349694638206,1.365411218727906,0.9565349694638206,1.365411218727906,0,41,41
6,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0007509124686444,0.0176226222972309,0.0007509124686444,0.0176226222972309,0,41,41
6,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0007655292414451,0.035329839027951,0.0007655292414451,0.035329839027951,0,41,41
6,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0016039821664249,0.124953351875261,0.0016039821664249,0.124953351875261,0,41,41
6,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0016039821664249,0.1115936656780675,0.0016039821664249,0.1115936656780675,0,41,41
7,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.6666651765216984,1.3498958460182642,0.6666651765216984,1.3498958460182642,0,46,46
7,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.000164321661487,0.0126417726039799,0.000164321661487,0.0126417726039799,0,46,46
7,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.000164321661487,0.0379253178119398,0.000164321661487,0.0379253178119398,0,46,46
7,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0003655757664416,0.0300831813251299,0.0003655757664416,0.0300831813251299,0,46,46
7,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0003655757664416,0.0902495439753897,0.0003655757664416,0.0902495439753897,0,46,46
8,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.933094640506844,1.6383652206704875,0.933094640506844,1.6383652206704875,0,42,42
8,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0007517661746688,1.150967002400545,0.0007517661746688,1.150967002400545,0,42,42
8,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0007677252125282,1.4941568462031245,0.0007677252125282,1.4941568462031245,0,42,42
8,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.001543035769505,0.456475860843405,0.001543035769505,0.456475860843405,0,42,42
8,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.001543035769505,0.9370658568575224,0.001543035769505,0.9370658568575224,0,42,42
9,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.9974257552815194,1.3295490124602742,0.9974257552815194,1.3295490124602742,0,55,55
