Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
529_pollen,1,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Interpolation,0.8255599472990777
529_pollen,1,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Interpolation,0.6061923583662714
529_pollen,1,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Interpolation,0.20210803689064558
529_pollen,1,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Interpolation,-0.05718050065876151
529_pollen,1,MVP,w0.3_0.3_0.7,PSM_Train,MSE_Test_Interpolation,0.3753623188405797
529_pollen,1,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Extrapolation,0.5513833992094861
529_pollen,1,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Extrapolation,0.4509881422924901
529_pollen,1,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Extrapolation,0.45243741765480894
529_pollen,1,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Extrapolation,0.29183135704874835
529_pollen,1,MVP,w0.3_0.3_0.7,PSM_Train,MSE_Test_Extrapolation,0.4451910408432147
529_pollen,2,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Interpolation,0.1985294117647059
529_pollen,2,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Interpolation,0.4154411764705882
529_pollen,2,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Interpolation,0.8114973262032086
529_pollen,2,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Interpolation,0.6677807486631017
529_pollen,2,MVP,w0.3_0.3_0.7,PSM_Train,MSE_Test_Interpolation,0.2108957219251337
529_pollen,2,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Extrapolation,0.17847593582887702
529_pollen,2,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Extrapolation,0.29979946524064177
529_pollen,2,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Extrapolation,0.6928475935828877
529_pollen,2,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Extrapolation,0.5528074866310161
529_pollen,2,MVP,w0.3_0.3_0.7,PSM_Train,MSE_Test_Extrapolation,0.08689839572192513
529_pollen,3,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Interpolation,0.21147463252726406
529_pollen,3,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Interpolation,0.30227596017069697
529_pollen,3,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Interpolation,0.7889995258416311
529_pollen,3,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Interpolation,0.5357989568515883
529_pollen,3,MVP,w0.3_0.3_0.7,PSM_Train,MSE_Test_Interpolation,0.2828354670459933
529_pollen,3,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Extrapolation,0.1085822664770033
529_pollen,3,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Extrapolation,0.0910384068278805
529_pollen,3,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Extrapolation,0.8411569464201043
529_pollen,3,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Extrapolation,0.6953532479848268
529_pollen,3,MVP,w0.3_0.3_0.7,PSM_Train,MSE_Test_Extrapolation,0.32669511616880037
529_pollen,4,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Interpolation,0.9057486631016043
529_pollen,4,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Interpolation,0.9014037433155081
529_pollen,4,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Interpolation,0.5023395721925134
529_pollen,4,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Interpolation,0.016377005347593582
529_pollen,4,MVP,w0.3_0.3_0.7,PSM_Train,MSE_Test_Interpolation,0.3760026737967915
529_pollen,4,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Extrapolation,0.3522727272727273
529_pollen,4,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Extrapolation,0.3482620320855615
529_pollen,4,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Extrapolation,0.580548128342246
529_pollen,4,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Extrapolation,0.5491310160427808
529_pollen,4,MVP,w0.3_0.3_0.7,PSM_Train,MSE_Test_Extrapolation,0.4565508021390375
529_pollen,5,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Interpolation,0.7065876152832674
529_pollen,5,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Interpolation,0.8527009222661396
529_pollen,5,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Interpolation,0.3147562582345191
529_pollen,5,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Interpolation,0.048748353096179184
529_pollen,5,MVP,w0.3_0.3_0.7,PSM_Train,MSE_Test_Interpolation,0.06205533596837944
529_pollen,5,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Extrapolation,0.18577075098814227
529_pollen,5,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Extrapolation,0.3830039525691699
529_pollen,5,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Extrapolation,0.4606060606060605
529_pollen,5,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Extrapolation,0.32121212121212117
529_pollen,5,MVP,w0.3_0.3_0.7,PSM_Train,MSE_Test_Extrapolation,-0.029644268774703556
529_pollen,6,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Interpolation,0.15836236933797912
529_pollen,6,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Interpolation,0.24564459930313592
529_pollen,6,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Interpolation,-0.04094076655052265
529_pollen,6,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Interpolation,-0.2837979094076655
529_pollen,6,MVP,w0.3_0.3_0.7,PSM_Train,MSE_Test_Interpolation,0.0026132404181184675
529_pollen,6,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Extrapolation,0.9132404181184671
529_pollen,6,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Extrapolation,0.8947735191637631
529_pollen,6,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Extrapolation,0.6278745644599305
529_pollen,6,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Extrapolation,0.4195121951219513
529_pollen,6,MVP,w0.3_0.3_0.7,PSM_Train,MSE_Test_Extrapolation,0.7207317073170734
529_pollen,7,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Interpolation,0.6769657724329324
529_pollen,7,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Interpolation,0.7064446500154179
529_pollen,7,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Interpolation,0.6053037311131668
529_pollen,7,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Interpolation,0.3329633055812519
529_pollen,7,MVP,w0.3_0.3_0.7,PSM_Train,MSE_Test_Interpolation,0.43940795559666973
529_pollen,7,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Extrapolation,0.7219858156028368
529_pollen,7,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Extrapolation,0.69127351218008
529_pollen,7,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Extrapolation,0.6426765340733889
529_pollen,7,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Extrapolation,0.3377736663583102
529_pollen,7,MVP,w0.3_0.3_0.7,PSM_Train,MSE_Test_Extrapolation,0.604563675609004
529_pollen,8,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Interpolation,0.588363989952192
529_pollen,8,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Interpolation,0.6455716716635604
529_pollen,8,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Interpolation,0.6288793452718581
529_pollen,8,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Interpolation,0.6248278097398915
529_pollen,8,MVP,w0.3_0.3_0.7,PSM_Train,MSE_Test_Interpolation,0.4363503767928045
529_pollen,8,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Extrapolation,0.7116927315452557
529_pollen,8,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Extrapolation,0.759338789401183
529_pollen,8,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Extrapolation,0.7528563325500366
529_pollen,8,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Extrapolation,0.7235232152985981
529_pollen,8,MVP,w0.3_0.3_0.7,PSM_Train,MSE_Test_Extrapolation,0.5514139859006564
529_pollen,9,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Interpolation,0.5672438672438673
529_pollen,9,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Interpolation,0.34105339105339116
529_pollen,9,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Interpolation,0.517821067821068
529_pollen,9,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Interpolation,0.4770562770562772
529_pollen,9,MVP,w0.3_0.3_0.7,PSM_Train,MSE_Test_Interpolation,0.5004329004329006
529_pollen,9,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Extrapolation,0.6693362193362195
529_pollen,9,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Extrapolation,0.5047619047619047
529_pollen,9,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Extrapolation,0.5621933621933622
529_pollen,9,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Extrapolation,0.508946608946609
529_pollen,9,MVP,w0.3_0.3_0.7,PSM_Train,MSE_Test_Extrapolation,0.6093795093795095
529_pollen,10,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Interpolation,0.14817629179331307
529_pollen,10,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Interpolation,0.2063612679114199
529_pollen,10,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Interpolation,0.3187147199305254
529_pollen,10,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Interpolation,0.055471124620060784
529_pollen,10,MVP,w0.3_0.3_0.7,PSM_Train,MSE_Test_Interpolation,0.1302648719062093
529_pollen,10,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Extrapolation,0.6011723838471559
529_pollen,10,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Extrapolation,0.5690403821102908
529_pollen,10,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Extrapolation,0.5675206252713851
529_pollen,10,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Extrapolation,0.26541467650890144
529_pollen,10,MVP,w0.3_0.3_0.7,PSM_Train,MSE_Test_Extrapolation,0.3862353452019106
529_pollen,11,MVP,w0.3_0.3_0.7,MSE_Train,MSE_Test_Interpolation,0.6313418681839734
529_pollen,11,MVP,w0.3_0.3_0.7,AIC_Train,MSE_Test_Interpolation,0.5860597439544807
529_pollen,11,MVP,w0.3_0.3_0.7,BIC_Train,MSE_Test_Interpolation,0.18421052631578946
529_pollen,11,MVP,w0.3_0.3_0.7,MDL_Train,MSE_Test_Interpolation,0.08060692271218588
